Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24361,-0.292,-0.848,-0.048,13.412,-28.714,-12.727,0,127
24418,-0.018,-0.78,0.085,9.617,-40.985,91.802,0,134
24475,-0.055,-1.121,-0.228,16.805,-47.374,35.206,0,141
24532,-0.254,-1.175,-0.436,-16.28,15.212,58.412,0,158
24591,-0.739,-1.284,-0.269,-64.588,66.893,186.947,0,166
24646,-0.994,-1.786,-0.462,-12.527,30.057,168.061,0,95
24700,-0.261,-0.033,0.966,-36.908,-70.145,113.977,0,102
24757,0.179,-0.882,-0.583,-5.852,-250.137,64.913,0,73
24812,0.118,-0.466,-0.473,51.985,-27.877,-31.366,0,57
24865,-0.902,-0.657,0.373,-16.208,92.969,53.359,0,71
24922,-1.083,-1.149,0.467,24.878,-77.076,-19.977,0,66
24974,-0.605,-0.91,0.004,44.359,-65.672,-39.435,0,66
25031,-0.725,-0.8,0.072,38.565,42.038,-30.672,0,76
25083,-0.521,-0.687,0.028,35.641,-43.718,0.169,0,61
25139,-0.337,-0.86,-0.054,17.427,-43.766,-15.608,0,58
25192,-0.47,-0.65,0.122,11.137,55.954,-17.426,0,64
25247,-0.752,-0.675,0.503,9.34,52.809,-19.122,0,72
25304,-0.735,-0.554,0.309,14.115,7.245,-1.999,0,64
25357,-0.646,-0.562,0.164,-19.647,-22.427,-19.199,0,63
25413,-0.631,-0.606,0.155,-9.051,7.827,6.697,0,75
25466,-0.627,-0.75,0.265,-25.206,-35.525,-5.498,0,70
25523,-0.487,-0.649,0.243,-26.966,-28.611,-9.099,0,69
25576,-0.541,-0.69,0.188,-23.858,-17.418,-19.832,0,81
25629,-1.4,-0.22,0.51,-6.758,60.718,2.893,0,74
25683,-2.0,-0.516,0.742,-24.075,56.962,-13.666,5,22
25739,-1.17,-1.836,-0.346,97.534,-96.687,250.13,0,63
25795,-0.058,-1.861,-0.246,-18.633,-103.107,118.16,0,69
25845,0.21,-0.947,0.152,-34.87,-144.366,46.436,159,65
25896,0.158,-0.639,-0.05,-3.448,-89.435,8.659,172,54
25949,-0.408,-0.463,0.221,-8.019,21.564,-22.137,0,56
26004,-0.838,-0.719,0.151,-14.867,-13.125,-14.665,0,56
26056,-0.771,-0.508,0.569,-12.4,-31.832,26.052,0,54
26106,-0.526,-0.598,0.467,8.837,-15.099,8.083,156,55
26159,-0.535,-0.478,0.412,7.235,2.832,-11.758,154,54
26209,-0.608,-0.547,0.359,-11.071,-20.542,-40.221,173,53
26261,-0.72,-0.409,0.582,-3.381,-20.165,-59.664,0,52
26316,-0.628,-0.444,0.362,14.351,26.037,-33.901,0,54
26366,-0.77,-0.65,0.106,-8.043,23.42,-34.618,157,54
26417,-0.676,-0.522,0.656,-17.689,-1.991,-32.112,159,52
26466,-0.869,-0.675,0.858,-10.697,-11.97,-29.771,161,52
26518,-0.717,-0.736,0.592,24.618,22.025,-36.504,0,51
26573,-0.74,-0.816,0.274,14.893,-33.628,-37.863,5,16
26630,-0.617,-0.518,0.265,-24.491,-38.619,-43.015,0,55
26685,-0.477,-0.755,0.079,8.221,-58.088,-24.145,0,53
26738,-0.283,-0.783,0.177,-15.027,42.504,-23.331,0,66
26795,-0.596,-0.793,0.518,-16.082,43.153,-39.924,0,64
26847,-0.67,-0.606,0.525,-7.662,0.987,-39.939,0,60
26904,-0.605,-0.582,0.277,-5.021,-4.015,-21.069,0,75
26957,-0.689,-0.584,0.224,-18.9,33.702,47.588,0,64
27014,-0.731,-0.71,0.558,-42.756,-39.707,9.418,0,66
27110,-0.216,-0.726,0.538,-4.958,-27.183,33.537,0,71
27165,-0.721,-0.72,0.682,19.595,30.298,24.987,0,63
27223,-1.2,-0.865,0.98,50.26,85.679,50.405,0,76
27276,-1.264,-1.04,0.608,123.45,105.74,143.176,0,79
27327,-1.153,-1.117,0.504,102.931,61.771,146.412,137,85
27376,-0.54,-0.606,0.113,91.16,-46.695,107.588,117,83
27426,-0.121,-0.369,-0.364,36.519,-57.527,78.573,143,76
27476,0.242,-0.526,-0.111,61.855,-63.069,47.29,144,72
27525,-0.579,-0.396,0.141,-27.026,-25.927,-34.308,107,76
27576,-0.884,-0.028,0.569,-8.735,-1.351,46.969,105,70
27626,-0.778,-0.442,0.81,23.291,-74.756,51.918,137,76
27674,-0.48,-0.426,0.252,-36.367,-36.947,-29.577,109,68
27724,-0.63,0.061,0.526,-1.379,25.511,10.379,135,88
27774,-0.94,0.105,0.688,-27.435,20.586,-23.214,135,88
27826,-0.759,-0.011,0.588,-5.369,-56.122,-27.893,134,88
27877,-0.598,-0.155,0.398,-8.466,-10.277,-13.755,135,93
27928,-0.77,-0.198,0.482,1.558,32.084,0.109,135,101
27977,-0.903,-0.239,0.657,-1.252,8.978,-6.052,114,97
28033,-0.879,-0.342,0.78,-6.721,-4.675,-23.275,138,103
28088,-0.903,-0.453,0.776,10.241,19.032,-43.664,0,103
28139,-0.808,-0.338,0.557,12.427,-0.495,-25.412,129,106
28190,-0.603,-0.438,0.325,-0.211,-34.796,4.75,127,108
28242,-0.478,-0.463,0.232,-6.812,-5.261,-2.423,124,123
28294,-0.671,-0.378,0.434,-17.989,25.504,-13.884,122,114
28346,-0.838,-0.098,0.636,-27.863,13.659,9.585,121,117
28398,-0.758,-0.409,0.348,-54.532,-34.268,-12.873,119,120
28453,-0.785,-0.251,0.427,-35.779,2.854,37.931,119,138
