Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24361,-0.499,-0.848,-0.048,13.412,-88.188,-54.358,0,127
24418,-0.213,-0.78,0.085,-9.037,-40.985,41.047,0,134
24475,-0.055,-1.121,-0.228,-12.957,-47.374,35.206,0,141
24532,-0.516,-1.175,-0.436,-27.612,-32.399,58.412,0,158
24591,-0.739,-1.284,-0.269,-64.588,66.893,186.947,0,166
24646,-0.994,-1.786,-0.462,-12.527,11.937,168.061,0,95
24700,-0.281,-0.033,0.966,-36.908,-70.145,113.977,0,102
24757,0.179,-0.882,-0.583,-33.873,-250.137,-12.514,0,71
24812,0.118,-0.466,-0.473,51.985,-5.257,-31.366,0,59
24865,-0.902,-0.657,0.618,71.504,92.969,53.359,0,74
24922,-1.083,-1.149,0.223,24.878,-77.076,-19.977,0,64
24974,-0.605,-0.91,0.004,44.359,-65.672,-39.435,0,67
25031,-0.725,-0.8,0.072,38.565,30.766,-30.672,0,75
25083,-0.29,-0.687,0.028,35.641,-43.718,30.352,0,62
25139,-0.08,-0.86,-0.054,17.427,17.551,9.245,0,63
25192,-0.114,-0.65,0.122,11.137,55.954,4.187,0,66
25247,-0.752,-0.675,0.341,-1.549,52.809,-19.122,0,71
25304,-0.735,-0.554,0.399,14.115,22.744,4.213,0,65
25357,-0.646,-0.562,0.164,-17.444,-19.479,-17.866,0,63
25413,-0.631,-0.606,0.155,-8.452,8.273,6.894,0,75
25466,-0.627,-0.75,0.265,-25.206,-7.588,13.113,0,72
25523,-0.311,-0.649,0.243,-5.254,-28.611,0.713,0,73
25576,-0.541,-0.69,0.188,-42.141,-72.094,-19.832,0,80
25629,-1.4,0.225,1.035,26.225,60.718,63.338,0,76
25683,-2.0,-0.011,0.742,-9.846,56.962,23.088,0,79
25739,-1.17,-1.836,-0.346,97.534,-96.687,250.13,0,63
25795,-0.058,-1.861,-0.246,-17.958,-103.107,118.16,0,70
25845,0.21,-0.947,0.152,-34.87,-144.366,42.006,159,65
25896,0.158,-0.639,-0.05,-6.626,-89.435,2.144,172,54
25949,-0.353,-0.463,0.221,1.431,36.389,-22.137,0,56
26004,-0.838,-0.719,0.456,3.215,35.264,14.205,0,56
26056,-0.771,-0.508,0.569,-10.466,-31.832,29.769,0,54
26106,-0.526,-0.598,0.282,-3.548,-43.685,-13.794,156,55
26159,-0.535,-0.478,0.313,2.084,-12.379,-21.184,154,54
26209,-0.608,-0.547,0.456,-4.715,-7.543,-40.221,173,53
26261,-0.72,-0.363,0.582,-0.952,-14.246,-59.664,0,52
26316,-0.628,-0.444,0.282,14.351,16.196,-33.901,0,54
26366,-0.77,-0.65,0.408,3.456,23.42,-34.618,157,54
26417,-0.676,-0.388,0.656,-6.816,10.995,-12.195,159,52
26466,-0.869,-0.675,0.858,26.901,30.898,-29.771,161,52
26518,-0.717,-0.736,0.592,24.618,7.549,-36.504,0,51
26573,-0.74,-0.816,0.274,14.893,35.48,-37.863,0,55
26630,-0.617,-0.518,0.492,-0.563,-2.487,-43.015,0,55
26685,-0.352,-0.755,0.079,8.221,-34.021,-24.145,0,53
26738,-0.114,-0.783,0.177,-1.461,42.504,10.945,0,68
26795,-0.596,-0.793,0.518,-42.153,43.153,-39.924,0,61
26847,-0.67,-0.606,0.525,-9.177,-3.694,-39.939,0,60
26904,-0.605,-0.582,0.277,-8.817,-15.763,-21.069,0,74
26957,-0.689,-0.584,0.224,-24.099,33.702,-20.144,0,61
27014,-0.731,-0.71,0.558,-42.756,26.74,69.567,0,69
27110,-0.113,-0.726,0.58,-3.008,-27.183,49.173,0,72
27165,-0.721,-0.72,0.682,19.595,30.298,1.507,0,62
27223,-1.2,-0.865,0.98,50.26,85.679,50.405,0,76
27276,-1.264,-1.04,0.608,123.45,105.74,143.176,0,80
27327,-1.153,-1.117,0.504,102.931,61.771,146.412,137,80
27376,-0.54,-0.606,0.113,91.16,-46.695,107.588,117,83
27426,-0.192,-0.401,-0.364,36.519,-57.527,78.573,143,75
27476,-0.184,-0.526,-0.111,-22.168,-63.069,47.29,144,70
27525,-0.579,-0.436,0.141,-32.787,-30.423,-45.122,107,76
27576,-0.884,-0.028,0.569,-16.636,-3.562,46.969,105,70
27626,-0.778,-0.442,0.568,-6.909,-74.756,20.225,137,74
27674,-0.48,-0.09,0.252,0.99,-36.947,6.2,109,75
27724,-0.63,0.032,0.503,-5.276,25.511,7.645,135,88
27774,-0.94,-0.716,0.688,-27.435,-64.109,-23.214,135,88
27826,-0.759,-0.051,0.588,-9.269,-56.122,-27.893,134,88
27877,-0.598,0.099,0.61,10.336,25.225,7.083,135,93
27928,-0.77,0.022,0.688,13.622,32.084,14.085,135,101
27977,-0.903,-0.267,0.657,-2.328,6.59,-7.369,114,97
28033,-0.879,-0.367,0.78,-8.012,-7.103,-23.275,138,103
28088,-0.903,-0.453,0.776,16.115,26.992,-43.664,0,103
28139,-0.808,-0.545,0.557,12.427,-19.355,-25.412,129,106
28190,-0.603,-0.371,0.416,5.839,-26.136,9.355,127,108
28242,0.058,-0.158,0.568,30.157,28.494,17.633,124,123
28294,-0.671,-0.488,0.328,-32.163,25.504,-19.718,122,114
28346,-0.838,-0.275,0.636,-27.863,-1.111,-5.544,121,117
28398,-0.758,-0.18,0.548,-0.066,-7.613,18.146,119,120
28453,-0.785,-0.117,0.544,-35.779,18.825,62.262,119,138
28511,-0.906,-0.156,0.634,-47.557,5.491,35.405,0,128
28567,-0.852,-0.212,0.583,-53.901,-28.931,45.908,0,135
28625,-0.899,-0.237,0.509,-49.595,-0.971,69.298,0,147
28683,-0.937,-0.461,0.615,-52.71,-30.588,95.504,0,147
28739,-1.046,-0.34,0.59,-34.038,-29.595,118.588,0,116
28795,-1.363,-0.065,0.682,-29.13,42.368,177.275,0,117
28850,-1.556,0.071,0.388,-40.618,2.317,250.13,133,152
28905,-1.581,-0.163,0.359,-31.282,46.672,250.13,128,163
28962,-1.293,0.296,0.349,-38.344,92.87,250.13,121,170
29012,-1.008,0.07,0.228,-95.908,40.366,250.13,26,184
29064,-0.628,0.118,0.217,-133.351,89.213,250.13,20,0
29101,-0.088,-0.428,0.265,-113.542,44.84,195.351,15,0
29140,0.041,0.051,0.309,-73.359,77.015,133.29,9,19
29180,-0.023,0.287,0.526,-46.107,112.481,84.519,13,20
29220,-0.358,0.546,0.661,-25.588,121.252,57.13,13,20
29265,-0.459,0.699,0.774,-27.992,97.519,48.336,17,116
29315,-0.465,0.788,0.743,-30.084,59.611,36.87,15,114
29360,-0.234,0.662,0.744,-32.565,30.214,54.773,18,110
29405,-0.114,0.542,0.692,-32.382,32.515,26.052,17,108
29449,-0.233,0.411,0.653,-29.084,-18.64,-22.429,13,101
29494,-0.117,0.441,0.581,-2.211,28.317,-42.191,18,100
29539,-0.545,0.656,0.727,-16.967,35.244,-43.13,13,103
29583,-0.518,0.829,0.938,-22.257,-27.102,-36.275,14,99
29670,-0.298,0.761,0.817,-10.759,-28.656,-4.982,17,92
29714,-0.142,0.668,0.833,15.443,2.837,5.731,19,89
29761,-0.424,0.657,0.678,-6.143,-16.419,-21.783,13,84
29805,-0.542,0.43,0.63,0.209,5.562,7.187,18,82
29848,-0.08,0.271,0.53,13.168,-31.382,24.824,21,90
29891,-0.562,0.381,0.04,20.168,-51.644,-37.456,13,70
29935,-0.307,0.625,0.631,10.355,42.473,-16.519,16,84
29978,-0.506,0.678,0.723,1.012,45.056,6.173,18,77
30021,-0.529,0.729,0.671,-36.866,-25.691,-21.371,12,70
30065,-0.173,0.709,0.607,18.009,29.573,60.223,22,86
30112,-0.459,0.638,0.578,-23.219,30.366,21.153,20,129
30172,-0.44,0.581,0.591,-27.374,33.725,39.519,0,120
30218,-0.635,0.572,0.672,-34.458,39.069,41.893,16,131
30279,-0.289,0.483,0.725,-24.771,31.969,44.26,0,0
30329,-0.402,0.561,0.756,-27.842,32.069,40.802,16,0
30375,-0.127,0.654,0.596,13.093,31.122,89.311,17,119
30422,-0.441,0.701,0.663,-28.756,43.458,36.504,16,119
30468,-0.137,0.698,0.981,-26.168,90.848,44.977,25,118
30513,-0.459,0.42,1.336,15.649,27.46,39.573,15,117
30553,-0.738,0.232,1.358,77.748,-29.137,-48.814,9,12
30600,-0.472,0.538,0.78,135.55,-38.625,-19.486,15,68
30644,-0.469,0.895,0.025,124.611,-33.038,17.693,14,87
30692,-0.204,0.944,-0.387,62.313,-7.999,58.13,20,167
30741,-0.007,1.038,-0.551,46.996,36.115,61.626,21,164
30789,-0.301,1.024,0.042,-57.336,86.962,59.74,19,163
30843,-0.478,0.658,0.9,-77.527,43.366,41.076,16,163
