Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40437,-0.183,-0.975,0.207,-2.043,0.047,2.958,0,99
40483,-0.139,-0.964,0.222,-0.898,-4.128,19.4,59,98
40534,-0.152,-0.991,0.21,-3.717,-15.465,14.384,128,99
40588,-0.121,-0.983,0.211,-1.804,-17.521,16.723,0,100
40643,-0.125,-0.978,0.214,-0.978,-17.569,12.572,0,100
40696,-0.114,-0.969,0.217,0.235,-15.794,8.452,0,76
40749,-0.115,-0.985,0.228,1.655,-8.01,9.986,0,73
40805,-0.107,-0.995,0.199,1.966,-8.531,5.825,0,74
40857,-0.094,-0.973,0.176,0.438,-9.178,-0.279,0,74
40910,-0.128,-0.967,0.229,-0.654,-0.954,0.043,0,75
40964,-0.116,-0.954,0.205,-1.925,-9.228,-6.086,0,75
41017,-0.096,-0.958,0.19,-1.615,1.0,-6.238,0,74
41069,-0.132,-0.975,0.227,-1.024,10.883,-1.654,0,74
41122,-0.125,-0.992,0.198,-1.216,7.277,-5.079,0,74
41176,-0.146,-0.986,0.218,-0.616,7.655,-1.22,0,74
41229,-0.125,-0.983,0.205,-0.655,4.234,-3.633,0,75
41284,-0.146,-0.972,0.22,-3.519,1.498,-7.701,0,74
41337,-0.126,-0.99,0.188,-3.11,-2.107,-13.739,0,75
41391,-0.143,-0.975,0.225,-2.686,0.751,-9.021,0,74
41444,-0.138,-0.983,0.218,0.129,-5.142,-3.337,0,75
41497,-0.143,-0.993,0.227,1.183,-5.816,-2.251,0,74
41545,-0.117,-0.995,0.173,3.264,-13.079,-4.197,128,75
41594,-0.082,-0.927,0.174,6.112,3.111,9.388,126,76
41644,-0.12,-0.948,0.185,4.983,8.857,16.954,125,75
41692,-0.141,-0.978,0.186,5.829,7.787,16.059,126,74
41743,-0.167,-0.971,0.214,-4.956,-8.57,-2.145,125,73
41792,-0.141,-0.973,0.203,-9.463,-24.325,-9.202,126,73
41841,-0.133,-0.972,0.197,-9.76,-29.798,-6.297,125,75
41889,-0.119,-1.004,0.208,-4.967,-21.664,0.442,125,75
41947,-0.093,-1.005,0.223,1.155,-9.755,7.212,0,135
41995,-0.103,-1.006,0.221,5.532,-3.16,11.015,123,78
42044,-0.107,-0.964,0.201,4.874,-3.128,9.966,125,77
42093,-0.1,-0.966,0.204,9.187,0.186,16.189,126,76
42146,-0.105,-0.981,0.178,4.733,1.726,6.697,0,75
42203,-0.109,-0.969,0.186,4.725,2.767,3.384,0,76
42256,-0.104,-0.968,0.194,1.585,4.659,-2.974,0,77
42309,-0.123,-0.978,0.215,-0.004,5.49,-6.021,0,75
42362,-0.122,-0.974,0.239,-0.553,6.737,-4.266,0,76
42416,-0.118,-0.972,0.221,-0.766,5.598,-8.208,0,75
42469,-0.132,-0.971,0.227,-0.917,5.109,-10.046,0,75
42522,-0.136,-0.979,0.232,-0.84,3.817,-11.849,0,76
42575,-0.131,-0.973,0.228,-0.099,4.099,-10.448,0,75
42629,-0.147,-0.974,0.229,-0.203,1.06,-16.617,0,75
42685,-0.147,-0.975,0.226,1.153,-1.158,-13.38,0,75
42738,-0.146,-0.962,0.221,2.655,-2.519,-5.978,0,75
42787,-0.147,-0.959,0.228,4.283,-1.982,1.602,123,76
42835,-0.16,-0.967,0.218,3.196,-9.335,3.664,123,74
42885,-0.133,-0.965,0.219,5.134,-8.986,11.397,121,75
42934,-0.133,-0.966,0.233,6.692,-3.975,19.908,122,78
42987,-0.135,-0.969,0.219,4.817,-7.779,16.773,0,76
43077,-0.11,-0.964,0.231,5.081,-7.748,18.698,106,75
43126,-0.117,-0.969,0.225,4.198,-8.204,14.485,106,78
43179,-0.114,-0.968,0.242,4.809,-6.278,12.9,104,105
43228,-0.115,-0.969,0.255,7.171,-0.673,13.769,117,80
43276,-0.113,-0.959,0.208,1.25,-2.498,0.729,31,24
43324,-0.111,-0.962,0.247,5.884,5.487,4.372,118,72
43377,-0.129,-0.971,0.23,2.409,5.202,-2.051,0,71
43430,-0.134,-0.954,0.241,2.969,6.795,-4.746,0,73
43479,-0.142,-0.955,0.262,3.165,8.83,-5.604,119,71
43527,-0.136,-0.961,0.212,1.686,3.005,-14.838,117,72
43576,-0.134,-0.954,0.249,1.646,13.706,-9.781,119,78
