Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34253,-0.128,-0.981,0.253,0.826,-1.592,-2.262,102,81
34300,-0.122,-0.972,0.243,0.721,1.222,-1.226,102,80
34349,-0.138,-0.983,0.23,0.268,1.921,-0.149,103,81
34396,-0.128,-0.969,0.166,-0.724,-2.546,-1.13,103,80
34444,-0.127,-0.979,0.222,-0.947,-1.844,1.182,103,82
34491,-0.12,-0.978,0.17,-0.965,-3.044,0.658,103,79
34539,-0.119,-0.972,0.237,-0.362,-0.376,2.843,104,80
34589,-0.123,-0.979,0.197,-0.064,-2.83,2.134,103,80
34637,-0.121,-0.983,0.23,0.696,-2.195,3.329,103,80
34684,-0.114,-0.974,0.22,1.493,-1.201,2.426,103,80
34733,-0.112,-0.973,0.213,1.541,-1.141,1.112,102,82
34781,-0.116,-0.983,0.227,2.307,-1.104,1.543,101,95
34829,-0.116,-0.978,0.194,1.61,-1.336,0.537,102,96
34878,-0.113,-0.979,0.193,1.572,-1.51,-0.331,102,96
34926,-0.119,-0.977,0.191,2.041,0.805,-0.153,102,96
34974,-0.126,-0.982,0.192,2.508,1.374,-0.269,102,95
35026,-0.132,-0.98,0.193,3.43,2.673,0.069,102,96
35075,-0.124,-0.975,0.246,6.681,6.06,2.19,102,94
35123,-0.124,-0.979,0.224,5.715,5.819,2.354,103,94
35172,-0.123,-0.993,0.276,12.397,14.603,6.954,103,95
35220,-0.14,-0.98,0.219,4.387,7.464,2.921,105,94
35274,-0.145,-0.969,0.251,8.432,7.864,3.256,0,96
35329,-0.15,-0.955,0.26,10.549,4.972,1.068,0,95
35382,-0.146,-0.96,0.195,3.975,0.223,0.831,0,78
35435,-0.153,-0.963,0.245,10.585,4.123,0.929,0,77
35487,-0.145,-0.952,0.197,3.793,1.717,-0.308,0,74
35538,-0.138,-0.948,0.228,5.814,5.405,1.476,0,77
35592,-0.162,-0.956,0.272,6.439,5.611,1.175,0,76
35645,-0.157,-0.944,0.239,1.592,0.252,0.293,0,76
35700,-0.16,-0.954,0.255,2.922,-1.053,1.954,0,122
35755,-0.155,-0.967,0.238,-0.009,-3.907,-0.695,0,91
35809,-0.147,-0.948,0.285,12.451,10.159,2.224,0,90
35864,-0.167,-0.926,0.317,14.911,16.731,5.79,0,118
35919,-0.183,-0.933,0.312,12.979,6.851,6.167,0,115
35968,-0.164,-0.941,0.301,15.244,8.059,7.032,102,87
36025,-0.157,-0.942,0.316,17.971,11.553,9.531,0,88
36078,-0.168,-0.931,0.297,11.051,10.349,7.26,0,86
36132,-0.175,-0.966,0.314,8.966,5.505,4.466,0,84
36186,-0.164,-0.916,0.325,16.606,17.42,7.82,0,83
36235,-0.161,-0.949,0.381,20.62,15.85,14.684,113,83
36283,-0.094,-0.996,0.308,23.786,27.237,10.263,101,81
36331,-0.061,-1.003,0.467,9.41,44.878,11.354,103,81
36385,0.083,-1.187,0.387,44.069,73.107,45.809,0,105
36440,-0.032,-1.448,0.575,33.511,59.328,58.023,0,79
36497,0.267,-0.935,-0.151,56.366,59.962,17.143,0,100
36553,-0.259,0.111,0.362,14.515,125.595,-74.252,0,121
36614,-0.382,-0.292,0.261,31.336,26.969,-148.183,0,195
36666,-0.147,-1.505,-0.194,19.278,78.534,-204.221,76,188
36718,-0.331,-1.988,-0.27,24.168,97.733,-175.252,83,172
36771,-0.385,-1.359,0.606,-73.115,105.496,-85.992,92,171
36868,-0.606,-0.799,0.099,14.036,124.42,-174.374,105,177
36921,-0.907,-0.493,0.481,18.852,66.282,23.95,94,169
36975,-0.086,-0.882,0.045,23.061,-147.275,42.427,68,169
37028,0.433,-0.906,-0.208,-19.901,-51.573,21.416,95,173
37082,0.03,-1.115,0.291,0.825,32.489,20.67,97,174
37135,-0.138,-0.932,0.48,-19.595,-46.786,2.22,99,164
37188,0.092,-0.964,0.343,-1.171,-82.672,31.267,113,165
37241,0.202,-0.982,0.214,-1.497,-59.351,19.944,114,163
37296,0.212,-0.991,0.211,3.298,-31.084,13.277,114,163
37350,0.155,-1.058,0.183,8.938,9.974,28.471,114,170
37403,0.044,-1.02,0.331,-13.681,-48.847,7.617,115,162
37462,0.122,-0.949,0.319,4.129,-33.443,5.811,116,185
37515,0.091,-0.957,0.413,19.791,-54.954,11.524,118,164
37569,0.211,-0.978,0.284,15.482,-36.779,-1.94,119,167
37623,0.093,-0.942,0.323,1.577,-23.101,5.186,120,154
37678,0.011,-0.985,0.39,-1.761,-29.803,-2.913,122,164
37733,-0.015,-0.889,0.405,19.906,-5.544,0.96,124,190
