Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32619,-0.151,-0.976,0.147,-2.73,-2.928,3.76,0,67
32671,-0.112,-0.977,0.207,-1.142,-1.74,2.836,0,66
32723,-0.112,-0.975,0.2,-2.481,-2.06,0.719,0,66
32776,-0.183,-0.975,0.131,-4.896,-3.52,-2.703,0,66
32829,-0.249,-0.978,0.042,-8.728,-3.91,-6.307,0,67
32881,-0.251,-0.979,0.062,-8.785,-1.881,-7.289,0,66
32932,-0.189,-0.977,0.119,-6.12,-1.409,-5.571,178,66
32988,-0.111,-0.974,0.2,-2.444,-0.013,-1.901,0,65
33040,-0.13,-0.988,0.192,-3.309,0.408,-2.964,0,64
33093,-0.058,-0.867,0.275,0.615,0.801,-0.128,0,64
33145,-0.031,-0.974,0.3,1.179,0.464,1.595,0,63
33198,-0.131,-0.979,0.198,-3.05,-2.546,-0.628,0,63
33250,-0.139,-0.981,0.17,-4.081,-1.402,-1.071,0,64
33302,-0.013,-0.976,0.315,3.312,3.449,1.332,0,62
33354,-0.085,-0.981,0.236,-1.081,-1.996,0.37,0,57
33406,-0.23,-0.974,0.057,-10.724,-5.681,-2.497,0,58
33462,-0.123,-0.977,0.171,-4.417,-0.816,-0.617,0,70
33515,-0.066,-0.975,0.249,-0.516,-0.604,-0.094,0,67
33567,-0.083,-0.914,0.208,-2.719,-0.31,-0.624,0,61
33619,0.001,-0.973,0.302,4.921,3.027,3.89,0,61
33672,-0.19,-0.98,0.13,-12.297,-0.701,-7.413,0,62
33724,-0.115,-0.958,0.171,-7.449,0.646,-5.506,0,63
33775,-0.209,-1.049,0.072,-18.786,-0.1,-12.244,170,60
33825,-0.072,-0.903,0.216,-2.237,2.275,-0.675,169,59
33875,-0.102,-0.919,0.19,-6.058,3.126,-3.672,169,58
33930,-0.118,-0.936,0.161,-10.441,4.73,-6.655,167,64
33980,-0.143,-0.949,0.146,-15.595,4.04,-8.996,160,57
34031,-0.256,-1.077,-0.047,-16.214,-17.867,-21.514,165,73
