Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35084,-0.096,-0.964,0.197,0.687,-2.607,1.877,0,81
35137,-0.124,-0.965,0.199,0.983,0.706,4.27,0,83
35192,-0.113,-0.964,0.191,1.765,1.307,2.719,0,123
35249,-0.121,-0.986,0.19,1.027,3.297,1.546,0,125
35304,-0.115,-1.002,0.181,1.87,4.812,-0.992,0,124
35357,-0.145,-0.945,0.202,0.756,8.055,-0.832,0,83
35410,-0.172,-0.974,0.226,-1.901,-3.645,-7.303,0,81
35464,-0.148,-0.989,0.205,-4.57,-11.788,-12.451,0,80
35520,-0.155,-1.007,0.211,-4.856,-11.679,-10.268,0,79
35569,-0.146,-1.007,0.234,-1.637,-14.303,-2.116,121,79
35617,-0.103,-1.004,0.201,4.944,-11.761,0.652,120,81
35671,-0.055,-0.912,0.165,10.576,6.988,9.322,0,80
35724,-0.099,-0.941,0.167,10.926,23.725,16.364,0,80
35780,-0.176,-0.987,0.188,4.208,15.87,3.212,0,126
35836,-0.199,-0.971,0.22,-6.897,-15.041,-13.623,0,126
35890,-0.136,-0.973,0.205,-6.697,-33.351,-14.55,0,82
35941,-0.094,-0.97,0.192,-3.586,-20.102,-5.623,121,80
35990,-0.131,-1.014,0.215,-0.658,-13.157,1.933,120,79
36039,-0.119,-0.994,0.214,5.261,-10.748,11.861,121,78
36091,-0.09,-0.997,0.184,7.612,-7.517,17.002,0,77
36145,-0.076,-0.971,0.169,10.724,8.632,18.61,0,77
36198,-0.124,-0.963,0.187,10.812,22.557,18.25,0,78
36251,-0.172,-0.98,0.228,5.484,4.373,10.619,0,77
36304,-0.101,-0.958,0.183,5.931,-5.194,6.797,0,79
36359,-0.108,-0.978,0.174,1.385,1.741,1.381,0,79
36414,-0.116,-0.97,0.2,1.172,4.005,-4.229,0,78
36468,-0.139,-0.969,0.227,-0.388,2.511,-8.509,0,81
36524,-0.148,-0.963,0.227,-1.745,-3.712,-14.951,0,126
36577,-0.138,-0.974,0.219,-1.12,-3.623,-13.945,0,78
36626,-0.136,-0.963,0.216,-0.298,-0.301,-15.486,120,77
36675,-0.147,-0.964,0.219,0.668,3.952,-13.334,121,75
36723,-0.165,-0.979,0.229,1.424,2.84,-10.363,121,76
36772,-0.144,-0.977,0.208,3.363,3.791,-6.643,121,76
36820,-0.159,-0.962,0.222,3.812,7.498,-2.052,122,75
36872,-0.175,-0.966,0.216,4.085,-0.781,2.982,122,75
36921,-0.134,-0.97,0.189,5.28,-0.235,7.167,122,75
36969,-0.159,-0.974,0.215,4.054,2.557,11.406,122,75
37018,-0.148,-0.985,0.208,4.632,-4.7,13.833,121,75
37066,-0.126,-0.985,0.2,4.272,-4.656,16.129,122,75
37115,-0.111,-0.98,0.189,5.962,3.423,16.37,121,76
37164,-0.146,-0.976,0.214,4.751,3.535,15.379,122,77
37213,-0.127,-0.972,0.216,4.714,-5.002,11.233,123,78
37268,-0.111,-0.988,0.205,5.539,0.918,8.216,0,103
37324,-0.104,-0.981,0.208,8.004,5.212,3.197,0,77
37378,-0.136,-0.967,0.24,6.526,7.379,-0.166,0,75
37431,-0.132,-0.975,0.218,8.716,4.478,-3.196,0,74
37486,-0.135,-0.968,0.211,8.142,8.57,-6.475,0,118
37542,-0.157,-0.96,0.228,9.912,14.191,-8.92,0,127
37599,-0.165,-0.966,0.229,9.69,7.914,-11.199,0,129
37652,-0.131,-0.967,0.228,10.971,12.517,-5.829,0,73
37751,-0.095,-0.893,0.153,21.443,44.0,9.75,0,123
37806,-0.141,-0.683,0.192,12.208,59.168,27.87,0,91
37864,-0.268,-1.087,0.372,-18.107,26.084,22.739,0,119
37918,-0.293,-1.138,0.418,-13.603,3.286,21.46,0,89
37972,-0.381,-0.603,0.513,-10.137,-13.524,11.15,0,89
38027,-0.729,-0.62,0.637,-13.084,-50.214,-21.172,0,84
38085,-0.818,-1.303,0.388,55.962,-81.137,-61.863,0,160
38142,-0.373,-2.0,-0.308,78.55,-73.13,24.603,0,141
38198,-0.042,0.277,0.536,-21.26,-13.83,148.55,0,101
38250,-0.488,-0.877,0.716,39.45,-131.733,63.298,0,62
38303,0.302,-0.626,-0.251,27.832,-34.649,30.305,0,62
38359,-0.339,-0.701,0.23,21.206,48.939,36.206,0,64
38412,-0.507,-0.668,0.424,-40.611,-17.902,-3.255,0,61
38464,-0.394,-0.787,0.42,-25.878,-44.336,-1.376,0,63
38519,-0.455,-0.824,0.568,-19.611,-44.824,7.879,0,95
38575,-0.347,-0.812,0.512,-9.368,-29.702,13.973,0,104
38629,-0.435,-0.839,0.484,-0.423,-25.469,7.152,0,92
38684,-0.351,-0.903,0.291,-9.114,-30.863,-6.359,0,105
38737,-0.281,-0.785,0.49,-8.346,-41.122,13.739,0,69
38791,-0.159,-0.949,0.549,8.109,-40.74,5.386,0,68
38847,-0.12,-0.889,0.506,15.787,-4.751,5.371,0,67
38900,-0.184,-0.833,0.37,21.043,8.517,-8.943,0,68
38952,-0.476,-0.884,0.513,17.77,4.251,-3.087,0,67
39008,-0.422,-0.791,0.458,21.18,0.773,8.493,0,90
39061,-0.336,-0.833,0.438,13.353,1.486,11.348,0,69
39114,-0.333,-0.81,0.426,11.717,4.292,3.88,0,70
39168,-0.323,-0.897,0.607,-0.151,-22.814,5.632,0,71
39221,-0.29,-0.729,0.629,12.782,-22.167,-4.333,0,71
39274,-0.166,-0.675,0.254,12.078,-1.762,0.617,0,71
39330,-0.158,-0.764,0.422,-10.127,-8.693,-0.749,0,74
39384,-0.096,-0.869,0.642,-8.877,-5.386,-7.108,0,74
39438,-0.241,-0.82,0.707,2.723,18.214,-20.427,0,78
39495,-0.172,-0.818,0.537,13.149,6.486,-20.007,0,134
39554,-0.245,-0.772,0.46,15.518,19.496,-16.93,0,155
39608,-0.347,-0.793,0.557,10.089,33.13,-11.52,0,99
39667,-0.283,-0.795,0.544,4.382,13.591,-14.407,0,157
39724,-0.289,-0.724,0.596,6.707,29.305,-12.007,0,132
39780,-0.299,-0.781,0.61,16.166,4.667,-14.285,0,112
39838,-0.295,-0.768,0.511,10.663,23.107,-12.295,0,110
39894,-0.401,-0.703,0.535,6.978,9.45,-14.107,0,106
39950,-0.324,-0.765,0.518,1.776,1.664,-8.419,0,110
40004,-0.369,-0.773,0.615,-0.449,6.673,-5.183,0,96
40060,-0.238,-0.77,0.542,1.786,-7.431,-8.758,0,106
40115,-0.264,-0.771,0.54,1.149,6.366,-10.161,0,98
40176,-0.361,-0.772,0.568,0.207,-4.376,-11.031,0,0
40237,-0.273,-0.774,0.503,-2.87,-9.217,-4.679,0,0
40292,-0.255,-0.802,0.548,-5.301,-0.873,-3.149,0,97
40350,-0.25,-0.828,0.555,-1.867,-4.67,-5.55,0,96
40404,-0.258,-0.808,0.527,-0.666,-9.026,-3.394,0,95
40460,-0.234,-0.797,0.489,-0.391,2.047,1.38,0,95
40558,-0.143,-0.823,0.484,-3.928,-10.118,-1.983,0,97
40617,-0.191,-0.857,0.553,-3.087,0.131,-10.81,0,171
40678,-0.177,-0.821,0.482,-1.465,7.474,-11.327,0,0
40733,-0.227,-0.814,0.473,-1.948,14.17,-8.807,0,96
40794,-0.252,-0.831,0.491,-4.182,2.969,-9.377,0,0
40855,-0.18,-0.86,0.448,-5.844,9.085,-7.064,0,0
40920,-0.219,-0.862,0.503,-7.922,-5.734,-16.526,0,0
40974,-0.188,-0.886,0.496,-7.897,-5.295,-18.724,0,95
41035,-0.164,-0.876,0.453,-3.916,-1.05,-15.149,0,0
41097,-0.166,-0.85,0.434,-4.983,2.532,-8.689,0,0
41157,-0.158,-0.848,0.454,-3.474,13.371,-3.523,0,0
41219,-0.158,-0.856,0.404,-6.192,12.259,-4.004,0,0
41279,-0.206,-0.905,0.475,-10.107,-3.829,-6.084,0,0
41340,-0.158,-0.877,0.452,-9.983,-3.743,-5.755,0,0
41401,-0.158,-0.902,0.421,-7.195,-9.081,-6.778,0,0
41464,-0.158,-0.913,0.419,-7.923,-8.324,-7.794,180,0
41525,-0.139,-0.896,0.396,-5.948,-0.788,-6.536,179,0
41584,-0.124,-0.912,0.382,-7.019,-1.657,-5.648,179,0
41645,-0.091,-0.909,0.379,-8.493,6.104,-5.139,179,0
41704,-0.081,-0.931,0.354,-6.507,23.115,-2.388,178,0
41764,-0.159,-0.904,0.387,-7.648,17.809,-7.472,180,0
41810,-0.143,-0.958,0.36,-8.728,-5.716,-12.471,179,0
41870,-0.07,-0.948,0.335,-7.833,-4.872,-10.894,179,0
41931,-0.081,-0.973,0.35,-4.843,15.908,-9.81,0,0
41996,-0.143,-0.944,0.367,-3.226,4.445,-14.157,0,0
42062,-0.134,-0.938,0.351,-2.339,-9.479,-12.795,0,0
42123,-0.075,-0.93,0.298,-0.214,-0.891,-4.749,0,0
42183,-0.093,-0.904,0.317,2.624,10.537,8.874,0,0
42243,-0.093,-0.894,0.315,4.087,8.537,24.176,0,0
42303,-0.098,-1.003,0.276,2.854,2.043,32.756,0,0
42362,-0.08,-1.023,0.218,0.672,15.885,14.083,0,0
42423,-0.138,-0.927,0.292,-11.389,16.176,-13.206,0,0
42483,-0.191,-0.929,0.382,-13.779,-8.608,-28.939,0,0
42541,-0.154,-0.983,0.365,-9.057,-38.901,-28.817,0,101
42595,-0.102,-0.988,0.314,-4.356,-38.344,-17.22,0,99
42649,-0.084,-0.958,0.26,0.771,-23.104,-6.332,194,100
42707,-0.092,-0.946,0.259,3.893,-10.786,2.134,178,0
42768,-0.107,-0.958,0.255,4.297,-1.397,6.843,0,0
42814,-0.138,-0.955,0.292,1.97,-6.202,10.057,0,0
42874,-0.109,-0.945,0.273,1.902,-12.521,15.001,0,0
42920,-0.111,-0.955,0.276,0.657,-16.001,18.255,0,0
42981,-0.1,-0.964,0.27,1.725,-16.403,22.907,0,0
43030,-0.098,-0.96,0.27,1.229,-13.639,23.084,0,0
43085,-0.077,-0.966,0.247,1.771,-8.257,22.274,0,122
43141,-0.101,-0.954,0.29,-1.209,-5.427,15.511,0,109
43198,-0.093,-0.954,0.269,-1.056,-8.66,6.015,0,146
43253,-0.103,-0.953,0.298,-3.145,-6.292,-0.442,0,111
43311,-0.101,-0.966,0.264,-1.945,-8.0,-7.892,0,145
43367,-0.111,-0.954,0.297,-2.538,-1.372,-11.182,0,147
43422,-0.122,-0.964,0.29,-2.494,-5.429,-15.181,0,110
43520,-0.131,-0.957,0.272,-3.437,-5.059,-16.93,0,95
43578,-0.13,-0.963,0.259,-3.873,-4.506,-14.699,0,114
43633,-0.13,-0.968,0.256,-4.424,-6.309,-9.146,0,94
43686,-0.126,-0.957,0.25,-4.158,-7.691,-1.699,0,93
43742,-0.117,-0.973,0.235,-5.039,-9.951,3.902,0,96
43796,-0.101,-0.968,0.243,-3.206,-6.527,10.339,0,103
43849,-0.095,-0.973,0.227,-3.16,-7.198,13.057,170,104
43901,-0.089,-0.973,0.219,-3.549,-3.331,13.748,169,85
43955,-0.097,-0.963,0.22,-5.583,-6.479,11.687,169,107
44009,-0.089,-0.955,0.212,-5.629,-1.428,7.5,0,100
44063,-0.1,-0.961,0.214,-8.456,-6.344,-1.922,166,69
44118,-0.1,-0.946,0.207,-9.779,-8.283,-6.722,0,89
44173,-0.09,-0.972,0.19,-10.947,-11.458,-12.21,0,108
