Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32619,-0.149,-0.976,0.15,-3.13,-3.345,3.304,0,67
32671,-0.158,-0.977,0.162,-3.22,-3.739,0.9,0,66
32723,-0.166,-0.975,0.146,-5.409,-4.484,-1.896,0,66
32776,-0.066,-0.975,0.249,1.568,0.548,1.76,0,66
32829,-0.121,-0.978,0.174,-2.918,-1.013,-2.226,0,67
32881,-0.085,-0.979,0.237,0.546,1.437,0.188,0,66
32932,-0.119,-0.977,0.192,-2.16,-0.456,-2.132,178,66
32988,-0.174,-0.974,0.134,-7.04,-1.002,-5.883,0,65
33040,-0.128,-0.988,0.195,-2.683,0.565,-2.496,0,64
33093,-0.117,-0.931,0.215,-1.485,-0.16,-1.573,0,64
33145,-0.126,-0.974,0.204,-3.602,-1.725,-1.164,0,63
33198,-0.143,-0.979,0.186,-3.78,-2.891,-0.955,0,63
33250,-0.129,-0.981,0.18,-3.371,-0.993,-0.853,0,64
33302,-0.154,-0.976,0.17,-4.518,-1.299,-0.875,0,62
33354,-0.215,-0.981,0.097,-11.317,-6.916,-2.078,5,17
33406,-0.087,-0.974,0.209,-0.206,-0.481,0.33,0,58
33462,-0.092,-0.977,0.206,-0.379,0.965,0.489,0,70
33515,-0.113,-0.975,0.2,-2.86,-1.461,-0.98,0,67
33567,-0.04,-0.858,0.259,5.992,1.363,2.849,0,61
33619,-0.12,-0.973,0.173,-5.468,0.97,-1.623,0,61
33672,-0.046,-0.98,0.291,9.122,2.04,4.865,0,62
33724,-0.126,-0.97,0.159,-8.747,0.488,-6.302,0,63
33775,-0.201,-1.044,0.076,-23.509,-0.463,-15.216,170,60
33825,-0.128,-0.963,0.153,-9.334,0.878,-5.326,169,59
33875,-0.13,-0.949,0.158,-9.311,2.363,-5.745,169,58
33930,-0.183,-1.007,0.077,-26.885,1.187,-16.742,167,64
33980,-0.101,-0.904,0.206,-15.595,10.203,-1.032,160,57
34031,-0.105,-0.92,0.146,-16.214,11.057,-4.737,165,73
34081,-0.105,-0.903,0.064,-15.618,20.878,-8.27,158,66
34131,-0.167,-0.865,0.109,-11.223,40.771,-3.259,156,68
34183,-0.212,-0.86,-0.001,-5.371,59.267,9.281,162,72
34229,-0.442,-0.799,-0.17,5.651,104.985,4.653,86,64
34275,-0.61,-0.549,-0.293,7.004,134.008,-11.676,83,82
34323,-0.676,-0.429,-0.232,-0.223,105.748,9.45,72,106
34374,-0.444,-1.013,-0.129,-24.954,72.641,34.183,73,116
34423,-0.486,-1.275,0.156,-30.313,-16.689,83.672,66,143
34471,0.287,-1.475,0.092,-35.992,-57.859,208.863,59,114
34522,-0.154,-2.0,0.492,-56.58,-15.06,119.0,77,152
34571,0.064,-1.517,0.438,41.008,-84.519,-73.664,51,135
34617,0.125,-1.417,-0.518,73.794,55.137,-119.573,54,96
34664,0.033,-1.469,-0.707,117.886,242.443,12.834,57,121
34712,-0.715,-1.136,0.555,70.069,111.275,39.015,50,123
34762,-0.014,-1.392,-0.291,39.374,-36.58,-85.176,51,125
34811,-0.013,-0.611,-0.174,27.763,81.924,-72.969,50,157
34860,-0.993,-0.805,0.474,-20.817,26.069,-61.267,16,159
34907,-0.434,-0.275,0.381,-29.603,-118.557,-49.71,17,160
34955,0.043,-1.05,-0.306,-2.498,-59.55,-29.313,16,162
35003,0.182,-0.947,-0.078,-1.888,1.343,-1.131,16,164
35051,-0.006,-0.915,0.231,-19.956,-17.705,-11.308,16,163
35098,0.05,-0.942,0.069,-1.065,8.617,-25.622,16,163
35189,0.013,-0.899,0.043,18.771,25.641,-9.604,16,165
35240,0.058,-0.977,0.185,21.008,1.079,8.143,16,165
35290,0.002,-1.007,0.035,25.474,25.071,12.344,38,163
35339,-0.005,-0.915,0.018,16.99,-28.908,-15.052,38,163
35387,0.104,-1.005,0.004,0.294,4.127,-9.863,18,164
35434,-0.01,-0.9,0.339,6.227,11.189,2.923,16,164
35482,0.003,-0.924,0.153,4.988,-2.61,-9.79,16,163
35531,-0.051,-1.035,0.14,10.633,7.14,0.975,42,162
35579,-0.153,-1.027,-0.001,2.631,-11.376,-3.078,19,163
35628,0.002,-0.919,0.182,6.81,-8.911,11.018,17,162
35678,-0.14,-0.996,-0.034,-4.59,-3.214,-12.159,5,49
35726,-0.118,-1.101,0.213,2.752,0.912,16.382,17,163
35781,-0.161,-1.007,0.187,-0.84,-30.08,26.672,0,113
35830,-0.156,-0.865,0.245,-1.251,4.853,25.794,79,112
35881,-0.174,-0.95,0.301,5.984,-15.137,22.863,76,162
35933,-0.048,-1.147,0.087,3.797,-10.647,23.298,76,162
35984,-0.247,-0.873,0.4,-2.366,15.513,39.069,75,162
36033,-0.083,-1.032,0.226,14.438,-18.496,17.816,73,111
36087,-0.262,-0.981,0.145,-3.831,1.395,10.251,74,162
36135,-0.329,-0.98,0.242,17.792,7.708,21.616,71,111
36187,-0.192,-0.868,0.248,-2.409,-5.953,21.847,73,162
36235,-0.333,-1.005,0.265,17.931,3.362,29.794,73,112
36286,-0.239,-0.786,0.254,18.728,13.87,29.71,73,162
36335,-0.304,-0.994,0.054,1.534,-4.954,22.947,75,111
36390,-0.285,-0.976,0.242,1.865,-3.284,16.782,0,111
36449,-0.322,-0.902,0.27,0.316,6.228,15.912,0,164
36505,-0.324,-0.941,0.267,3.986,-11.733,12.957,0,113
36558,-0.354,-0.89,0.268,-0.835,-0.614,13.974,89,133
36609,-0.354,-0.869,0.254,1.059,-7.518,13.072,81,132
36658,-0.314,-0.839,0.252,3.865,-0.575,21.572,80,112
36713,-0.368,-0.84,0.328,-4.557,-5.184,23.62,0,109
36770,-0.194,-0.772,0.286,1.139,6.438,24.708,0,132
36827,-0.316,-0.848,0.335,-2.811,-6.908,16.243,0,138
36884,-0.329,-0.775,0.28,3.221,11.307,18.65,0,132
36942,-0.348,-0.896,0.336,-29.262,-18.134,8.052,0,158
37000,-0.099,-1.215,0.952,-3.815,43.13,43.031,0,127
37058,-0.222,-1.405,0.657,38.832,45.405,43.107,0,102
37112,-0.62,-0.962,0.662,28.992,-48.878,26.038,0,94
37167,-0.322,-0.395,-0.327,95.939,-32.908,27.588,5,26
37222,-0.304,-0.191,-0.567,57.695,140.916,-7.834,0,87
37277,-0.86,-0.64,-1.316,61.977,234.87,-53.229,197,110
37332,-0.872,-0.978,-0.386,-130.298,144.427,-52.382,176,132
37390,-1.06,-0.877,0.375,-89.595,79.405,-25.244,0,129
37447,-0.943,-1.155,0.096,-31.137,-40.104,-34.832,0,127
37505,-0.657,-0.853,0.181,4.142,30.552,-24.359,195,149
37563,-0.609,-1.009,-0.24,28.153,58.885,-23.504,159,127
37617,-0.677,-0.783,-0.102,-2.415,25.244,-41.0,160,131
37671,-0.527,-0.823,-0.143,16.463,12.797,-24.71,162,122
37727,-0.363,-1.063,-0.291,-11.158,-25.614,-58.067,164,126
37780,-0.635,-0.889,0.015,25.137,30.641,-34.634,167,102
37878,-0.312,-0.775,-0.159,36.718,-88.542,-34.962,0,94
37936,-0.147,-0.931,0.308,14.973,-68.733,-31.275,0,133
37995,-0.488,-1.564,0.549,-12.089,-97.847,-22.502,0,177
38055,-0.425,-0.842,0.216,58.374,38.298,33.107,0,132
38112,-0.578,-0.723,0.234,76.679,14.922,23.937,181,133
38170,-0.124,-0.482,-0.293,48.496,-26.603,13.419,181,175
38230,-0.372,-0.573,-0.042,-36.906,51.519,-3.711,186,173
38283,-0.46,-0.898,0.363,-25.939,31.183,-8.221,187,85
38338,-0.325,-0.855,0.469,-6.894,30.595,8.409,0,83
38392,-0.298,-0.81,0.331,24.498,29.656,4.144,0,83
38451,-0.319,-0.852,0.097,-5.115,47.809,-31.959,0,165
38509,-0.219,-0.723,0.23,-17.076,39.359,-16.536,195,151
38565,-0.141,-1.003,0.044,-1.924,57.527,-29.534,184,76
38620,-0.21,-1.155,-0.087,6.81,112.443,-42.71,0,70
38671,-0.497,-1.137,-0.026,-6.804,77.618,-53.351,122,111
38728,-0.378,-0.9,-0.364,-0.734,43.573,-44.16,0,136
38784,-0.48,-1.048,-0.215,-45.015,2.518,-52.71,127,164
38833,-0.501,-1.033,-0.04,-32.267,30.687,-38.412,129,59
38880,-0.513,-1.037,-0.04,-19.092,15.449,-26.863,97,57
38933,-0.402,-0.84,-0.102,-15.176,0.407,-2.602,96,160
38985,-0.344,-0.991,-0.169,-7.639,-4.803,1.553,96,98
39037,-0.359,-0.974,-0.033,-22.221,-28.977,-3.885,130,109
39090,-0.216,-1.027,-0.167,-15.443,-27.802,4.925,129,106
39139,-0.292,-0.971,-0.13,-21.129,-30.519,-1.023,128,62
39191,-0.195,-0.986,-0.119,6.502,-29.481,13.95,128,111
39250,-0.316,-1.023,-0.149,-12.488,-37.092,-5.722,127,147
39304,-0.114,-0.988,-0.186,-5.861,-14.079,8.412,127,147
39356,-0.167,-0.897,-0.09,2.239,-45.618,1.334,127,141
39411,-0.323,-0.981,-0.103,-4.253,-55.389,-4.763,125,138
39463,-0.24,-1.059,-0.092,-0.898,-35.038,11.487,125,138
39517,-0.238,-0.988,-0.081,-5.053,-34.076,8.407,125,142
39569,-0.079,-0.891,-0.089,4.74,-25.382,5.944,125,143
39621,-0.37,-1.051,-0.033,3.821,-29.634,-6.389,125,127
39672,-0.303,-1.002,-0.097,-4.121,-48.261,-2.009,125,128
39726,-0.369,-0.931,0.03,-2.312,-51.153,7.234,124,144
39778,-0.304,-0.973,-0.081,1.945,-56.374,7.075,123,145
39831,-0.297,-1.004,-0.002,-2.094,-32.962,6.765,123,146
39886,-0.329,-0.98,0.043,1.077,-50.687,2.723,123,146
39944,-0.36,-0.866,0.034,1.421,-51.275,10.12,0,147
40001,-0.454,-0.977,0.049,8.693,-73.672,12.264,0,151
40059,-0.325,-0.837,-0.023,6.728,-49.939,20.527,0,151
40117,-0.333,-1.003,0.178,8.489,-46.176,23.908,0,154
40174,-0.267,-0.936,0.117,2.134,-61.672,15.437,0,157
40232,-0.064,-0.87,0.152,15.418,-42.092,18.42,0,157
40292,-0.38,-0.997,0.027,1.439,-37.553,-4.614,0,189
40352,-0.311,-0.973,0.147,1.319,-7.534,-2.802,0,0
40401,-0.303,-1.005,0.168,4.991,-17.706,-20.134,0,0
40460,-0.267,-0.9,0.227,17.672,-3.914,-24.0,0,161
40520,-0.38,-0.993,0.105,22.244,-7.297,-23.069,0,0
40566,-0.313,-0.829,0.253,1.705,-6.229,-22.213,0,0
40668,-0.144,-0.91,0.348,3.258,-34.626,-11.334,0,160
40725,-0.126,-0.934,0.214,-4.807,-14.88,-42.809,0,162
40783,-0.126,-0.886,0.313,-8.439,-6.831,-30.962,0,163
40844,-0.031,-0.839,0.361,4.367,-1.659,-24.435,0,0
40907,-0.046,-0.969,0.33,-4.221,-8.29,-22.175,0,0
40968,0.003,-0.976,0.285,6.734,15.865,-14.609,0,0
