Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33851,-0.379,-0.195,0.788,-0.581,1.106,-2.362,0,117
33906,-0.42,-0.12,0.91,-0.779,15.107,-1.289,0,117
33961,-0.441,-0.219,0.786,-0.899,-6.979,-5.666,0,116
34017,-0.419,-0.122,0.854,-1.076,2.345,-4.206,0,116
34072,-0.394,-0.252,0.741,-0.901,-5.964,-8.249,0,116
34127,-0.402,-0.044,0.926,0.528,10.711,-1.319,0,117
34183,-0.414,0.022,0.974,1.159,13.499,0.153,0,117
34241,-0.413,0.006,0.962,-0.01,10.004,0.235,0,116
34296,-0.399,-0.174,0.802,-1.296,-1.326,-3.77,0,116
34352,-0.4,-0.076,0.913,0.757,7.121,-1.837,0,116
34407,-0.413,-0.158,0.829,-2.032,4.283,-2.569,0,116
34462,-0.417,-0.09,0.883,0.092,9.589,-2.561,0,116
34518,-0.431,-0.091,0.877,-0.901,8.347,-2.178,0,117
34573,-0.423,0.076,1.013,1.481,17.731,1.138,0,116
34629,-0.427,-0.011,0.945,0.849,9.945,-0.275,0,116
34684,-0.407,-0.232,0.756,-1.346,-5.166,-5.716,0,116
34743,-0.406,-0.079,0.889,0.342,8.762,-2.498,0,116
34798,-0.412,-0.112,0.857,0.021,9.475,-2.275,0,116
34853,-0.431,0.05,0.978,0.463,24.316,0.627,0,117
34909,-0.441,-0.179,0.804,-0.442,1.514,-3.095,0,117
34965,-0.446,-0.234,0.756,-0.844,-4.211,-5.069,0,121
35020,-0.449,-0.128,0.85,0.192,4.703,-1.843,0,122
35077,-0.435,-0.284,0.725,-1.519,-11.146,-4.894,0,121
35132,-0.432,0.044,0.958,3.758,23.623,1.788,0,123
35192,-0.438,-0.168,0.81,-1.845,3.245,-7.122,0,0
35238,-0.476,-0.034,0.93,8.184,31.904,22.357,0,0
35283,-0.422,-0.314,0.669,-22.359,41.137,30.939,0,119
35339,-0.732,0.031,1.106,40.591,63.626,97.389,0,111
35399,-0.963,0.267,1.056,97.832,59.603,144.809,0,0
35460,-1.262,0.34,0.682,102.282,104.916,241.412,0,0
35516,-1.021,0.477,0.627,20.672,94.947,250.13,133,195
35572,-0.709,0.314,0.445,-52.344,-24.19,250.13,126,0
35623,-0.186,0.501,0.606,-142.237,-41.878,209.649,37,0
35660,0.097,0.304,0.429,-157.687,-87.29,178.092,30,0
35716,0.608,0.299,0.406,-136.42,-71.061,153.038,61,0
35768,0.404,0.248,0.562,-125.87,-47.908,121.305,51,0
35819,0.355,0.172,0.985,-109.412,-53.885,60.847,46,0
35872,0.478,0.059,1.021,-87.779,-74.656,104.459,65,0
35923,0.773,-0.209,1.242,-56.847,-38.13,-36.779,45,0
35975,0.868,-0.274,1.045,22.679,53.679,-68.87,47,0
36027,0.548,0.45,0.587,85.947,57.763,-28.221,44,0
36087,0.064,0.816,0.791,-21.427,127.107,82.0,0,0
36148,-0.143,0.055,1.0,-87.45,76.55,154.198,0,0
36211,0.11,-1.176,1.618,27.099,-54.214,101.351,0,0
36263,0.374,-0.296,0.596,72.374,-25.322,-68.664,65,0
36315,0.039,0.232,0.987,57.305,53.076,28.39,58,178
36367,-0.112,0.445,0.923,46.015,50.719,50.977,57,0
36419,-0.23,0.746,0.973,-4.572,-32.832,49.649,45,0
36470,-0.125,0.307,0.881,-6.862,-75.466,71.634,46,0
36523,0.418,-0.073,1.187,-11.427,-104.122,61.985,57,0
36618,1.019,0.099,0.501,81.42,-43.634,-134.153,55,0
36669,0.578,0.469,0.603,14.963,80.517,-122.595,23,0
36724,-0.101,0.65,0.376,-30.031,87.244,-59.565,56,0
36776,-0.243,0.665,0.949,-50.168,45.794,52.641,56,0
36829,-0.152,0.309,1.142,-73.626,-76.092,77.084,56,0
36881,0.299,-0.312,1.257,-9.162,-116.351,43.656,59,0
36941,0.552,0.286,0.918,16.794,-76.389,53.656,0,0
37003,0.981,-0.344,0.877,-12.424,-85.252,2.307,0,0
37063,1.147,0.355,0.13,33.313,19.216,-62.74,0,0
37113,0.698,0.544,0.276,-20.893,108.13,-34.145,16,0
37174,0.064,0.475,0.939,-47.794,59.405,36.145,0,0
37237,0.443,0.328,1.183,-66.817,-100.489,74.427,0,0
37298,1.097,0.097,0.631,-32.16,-51.046,94.145,0,0
37345,0.797,-0.039,0.667,-43.458,-5.268,78.137,0,0
37392,0.853,-0.217,0.444,-67.405,-10.728,48.046,0,0
37452,0.679,-0.27,0.583,-61.534,88.443,43.641,0,0
37513,0.322,-0.224,0.586,-25.366,5.915,63.351,0,0
37563,0.068,-0.293,0.58,-47.763,54.763,87.916,16,0
37623,-0.2,-0.853,1.016,-87.206,-127.65,88.985,5,60
37684,0.747,-1.182,0.353,-30.573,-38.008,-33.871,0,200
37748,0.538,-1.009,0.164,26.542,97.26,-65.076,0,0
37800,0.002,-0.79,0.774,25.931,118.137,-71.405,58,0
37854,0.126,-0.185,1.083,27.74,38.985,-76.519,57,0
37906,0.034,0.066,1.267,22.758,54.092,-19.475,58,0
37966,-0.271,-0.35,1.417,28.591,-30.023,55.519,0,0
38028,0.141,-0.629,1.014,3.589,-221.321,35.924,0,0
38088,1.505,-0.616,-0.231,53.489,-187.145,-46.565,0,0
38149,1.52,-0.209,-0.141,45.756,110.962,-60.076,0,0
