Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35092,-0.36,-0.063,0.924,-2.269,-1.946,-2.427,0,164
35149,-0.341,-0.053,0.914,-1.714,1.319,-1.614,0,162
35208,-0.342,-0.051,0.898,-2.645,4.819,-1.442,0,163
35266,-0.376,-0.058,0.926,-2.691,3.424,-2.001,0,163
35324,-0.349,-0.054,0.918,-0.741,2.102,-0.887,0,166
35382,-0.353,-0.064,0.919,-2.254,0.462,-2.264,0,163
35440,-0.352,-0.056,0.916,-1.931,3.523,-1.604,0,163
35501,-0.357,-0.052,0.92,-1.587,3.339,-1.398,0,164
35559,-0.369,-0.063,0.921,-2.821,0.707,-1.981,0,163
35617,-0.341,-0.046,0.918,-1.326,1.509,-1.54,0,163
35675,-0.348,-0.066,0.918,-1.886,2.799,-2.089,0,163
35733,-0.364,-0.064,0.909,-2.595,3.507,-1.661,0,166
35791,-0.344,-0.036,0.923,-0.703,4.926,-0.966,0,163
35850,-0.371,-0.051,0.918,-3.01,2.528,-0.792,0,162
35907,-0.38,-0.077,0.932,-2.461,-8.236,-0.547,0,164
35965,-0.331,-0.043,0.928,-1.103,-9.013,0.272,0,163
36023,-0.284,-0.041,0.936,-0.486,-1.34,-0.492,0,89
36076,-0.26,-0.045,0.93,2.511,18.539,13.909,0,90
36130,-0.339,-0.185,1.184,3.446,26.322,20.55,0,88
36191,-0.473,-0.458,1.104,70.244,123.344,156.527,0,0
36251,-1.453,0.379,0.877,142.702,127.053,247.13,0,0
36307,-0.86,0.725,0.793,95.313,72.229,242.618,136,0
36364,-0.498,0.443,0.319,0.8,22.764,250.13,128,199
36415,-0.176,0.629,0.41,-91.206,31.074,206.656,36,0
36474,0.012,0.649,0.604,-143.244,-5.787,159.962,0,0
36531,0.106,0.203,0.672,-153.282,-52.573,98.748,67,0
36591,0.449,0.217,0.507,-96.672,-57.878,64.153,0,0
36652,0.25,0.328,0.68,-108.206,57.084,82.672,0,0
36711,0.16,0.222,1.087,-125.221,60.573,45.397,0,200
36766,-0.032,0.054,0.968,-125.679,56.137,21.229,106,198
36820,-0.175,-0.016,0.956,-96.954,41.496,-28.147,102,196
36876,-0.106,-0.132,0.93,-128.313,34.344,-29.58,101,195
36930,-0.005,-0.295,0.957,-150.084,38.099,-19.136,100,195
36984,-0.054,-0.568,0.906,-137.0,46.611,-21.026,99,195
37042,-0.235,-0.624,0.898,-86.809,7.918,-6.681,97,195
37096,-0.16,-0.545,0.763,-69.099,-31.87,11.596,96,196
37150,0.004,-0.656,0.529,-64.817,-39.069,9.494,97,196
37204,0.085,-0.712,0.539,-67.176,1.596,19.546,97,197
37260,-0.092,-0.885,0.543,-51.053,32.176,22.139,98,0
37314,-0.259,-0.843,0.577,-45.382,34.763,9.009,98,0
37368,-0.263,-0.95,0.481,-24.931,31.466,6.668,98,0
37424,-0.303,-0.774,0.539,3.588,42.267,10.896,99,0
37478,-0.384,-0.829,0.637,-2.162,29.443,2.244,99,0
37535,-0.392,-0.92,0.727,18.887,-5.592,-19.756,99,0
37591,-0.35,-0.626,0.857,37.595,-31.015,-77.153,98,0
37645,-0.254,-0.577,0.691,27.435,22.83,-50.26,99,195
37699,-0.446,-0.639,0.648,51.008,42.366,81.069,96,195
37753,-0.629,-0.804,0.665,10.596,-83.031,72.779,83,196
37807,-0.154,-0.714,0.371,14.618,-191.275,42.954,80,198
37860,0.243,-0.696,0.396,24.168,-196.481,18.039,77,0
37957,0.771,-0.697,0.557,-56.733,21.216,-26.54,93,193
38014,-0.121,-0.73,0.902,-41.618,100.344,-2.168,93,200
38069,-0.366,-0.733,1.151,-5.944,6.377,3.559,94,196
38123,-0.18,-0.655,0.892,16.72,-48.099,10.208,95,0
38183,-0.373,-0.406,1.025,27.473,-60.557,64.687,0,0
38245,-0.196,-0.289,0.972,20.656,-89.496,151.458,0,0
38303,0.327,-1.427,0.739,-40.16,-231.969,60.153,0,169
38362,1.133,-0.761,-0.718,71.412,-46.672,-32.87,0,165
38414,0.53,-0.556,0.113,-6.38,250.13,-40.901,73,165
38467,-0.543,-0.902,0.485,-98.985,250.13,-99.855,75,0
38524,-0.885,-0.741,0.818,-41.733,162.176,-70.718,92,200
38580,-1.191,-0.597,1.193,-29.183,42.542,29.24,94,200
38629,-0.983,-0.715,1.102,-8.466,-120.153,54.931,94,108
38677,-0.567,-0.656,1.013,26.557,-221.191,81.58,75,112
38728,-0.07,-1.111,0.823,29.209,-250.137,61.0,72,163
38788,0.519,-1.24,-0.413,69.74,-246.374,11.239,0,166
38846,1.332,-0.68,-0.378,54.252,31.55,0.315,0,167
38906,0.407,-0.681,0.198,-36.931,250.13,-83.756,0,0
38965,-0.282,-0.824,0.506,-60.344,250.13,-139.977,92,0
39019,-1.064,-0.465,0.887,-7.73,250.13,-24.206,94,0
39074,-1.648,-0.352,1.273,1.212,87.527,57.321,95,0
39114,-1.12,-0.257,0.985,-18.94,-130.16,55.74,79,0
39162,-0.931,-0.519,0.961,-57.267,-245.824,63.435,75,109
39216,-0.313,-1.254,0.684,-28.954,-250.137,24.94,73,0
39264,0.576,-0.898,-0.285,52.305,-250.137,-27.736,17,166
39325,1.586,-0.518,-0.46,35.122,-109.0,14.135,0,0
39386,0.761,-0.724,-0.156,-29.298,250.13,-56.855,0,0
39438,-0.335,-0.982,0.251,-73.221,250.13,-92.832,75,109
39492,-1.125,-0.606,0.369,13.551,250.13,30.369,93,0
39547,-2.0,-0.308,1.292,24.504,122.733,26.738,95,0
39587,-1.279,-0.372,0.691,-39.527,-198.679,23.313,79,0
39641,-0.877,-0.572,0.603,-56.191,-250.137,32.481,76,0
39687,-0.25,-1.094,0.54,-2.241,-250.137,9.114,16,115
39737,0.417,-0.883,0.066,27.405,-250.137,-9.377,62,166
39796,1.243,-0.709,-0.225,15.919,-194.74,-7.728,0,167
39856,1.221,-0.754,-0.432,6.275,166.092,-21.947,0,168
39914,0.258,-0.694,0.208,-44.244,250.13,-55.023,0,112
39968,-0.767,-0.735,0.303,-7.933,250.13,-13.048,77,0
40023,-2.0,-0.491,1.499,-4.064,213.42,7.978,82,0
40062,-1.525,-0.22,0.974,-32.817,-176.878,29.527,79,0
40112,-0.936,-0.648,0.711,-26.29,-250.137,41.908,76,110
40162,-0.123,-0.954,0.443,-4.993,-250.137,-0.381,16,0
40223,0.578,-0.919,-0.023,25.389,-250.137,-18.497,0,0
40284,1.162,-0.668,-0.167,22.206,-87.443,3.357,0,0
40348,0.822,-0.688,0.072,-16.521,213.977,-56.0,0,0
40401,-0.07,-0.812,0.364,-33.55,250.13,-71.214,74,0
40456,-0.727,-0.605,0.605,-12.105,250.13,-17.706,77,0
40510,-1.64,-0.367,1.336,-7.328,161.458,16.832,79,0
40558,-1.578,-0.47,1.122,-30.176,-121.061,53.847,78,108
40607,-0.914,-0.81,0.769,-9.912,-250.137,67.145,74,113
40710,0.663,-0.923,-0.161,49.74,-250.137,5.185,0,173
40771,1.637,-0.421,-0.426,36.382,-64.74,11.289,0,0
40832,0.775,-0.724,0.148,-30.939,250.13,-50.794,0,0
40896,0.059,-0.944,0.253,-40.176,250.13,-88.626,0,0
40950,-0.647,-0.845,0.593,-4.769,250.13,-72.069,77,0
40993,-1.508,-0.67,1.254,19.74,173.252,-94.573,82,14
41049,-1.601,-0.484,1.085,0.661,-22.198,-72.0,93,199
41103,-0.953,-0.371,0.663,22.779,-192.573,31.779,79,199
41156,-0.414,-0.723,0.579,43.901,-250.137,93.107,73,0
41207,0.183,-1.133,0.249,57.634,-250.137,40.137,14,0
41257,1.4,-0.59,-0.353,57.145,-250.137,-47.794,10,0
41322,1.591,-0.771,-0.506,41.969,31.254,-50.092,0,0
41372,0.883,-0.634,0.116,26.353,250.13,-78.023,16,0
41422,0.143,-0.853,0.786,-0.628,250.13,-115.0,17,0
41475,-0.632,-0.927,1.021,56.122,250.13,-157.794,27,0
41526,-0.624,-0.459,1.115,126.626,122.718,-127.802,22,0
41568,-0.34,-0.063,0.882,142.122,36.611,-136.145,99,0
41622,-0.148,0.064,0.81,120.191,-12.145,-134.275,97,0
41678,0.146,0.205,0.778,86.504,32.356,-104.588,100,0
41720,0.011,0.343,0.719,78.374,139.809,-49.153,106,0
41779,-0.238,0.622,0.7,88.351,154.931,11.135,108,0
41835,-0.701,0.654,0.832,57.756,134.588,-4.905,112,0
41891,-0.807,0.58,0.87,3.273,111.771,-17.577,114,0
41948,-0.763,0.371,0.834,-5.878,45.359,5.439,116,0
42004,-0.644,0.285,0.786,7.23,-26.428,3.321,116,0
42066,-0.354,0.179,0.822,22.939,-10.32,4.694,117,0
42122,-0.316,0.055,0.838,38.595,-22.099,2.216,118,0
42177,-0.323,-0.085,0.679,67.573,-24.099,-42.328,120,0
42233,-0.184,0.169,0.695,95.855,3.885,-91.321,122,0
42292,-0.344,0.236,0.59,73.992,8.001,-102.74,125,0
42348,-0.726,0.46,0.655,61.45,-36.481,-112.824,129,0
42407,-0.896,0.705,0.624,42.374,177.992,28.282,0,0
42455,-1.37,0.59,0.693,34.832,126.496,-64.084,0,0
42514,-0.986,0.578,0.532,-3.017,-58.275,-67.519,5,5
42561,-0.777,0.237,0.257,12.381,-109.687,-67.931,0,0
42620,-0.478,0.354,0.285,-10.517,-58.206,-77.145,0,0
42668,-0.824,0.133,0.515,-35.29,4.573,-91.534,0,0
42727,-1.011,0.192,0.779,-34.802,-21.053,-129.687,0,0
