Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30561,-0.633,-0.011,0.914,1.307,-13.349,0.278,0,164
30621,-0.42,-0.005,0.879,1.411,-16.479,-2.709,0,0
30667,-0.356,-0.012,0.801,-1.079,19.029,-1.236,0,0
30713,-0.455,-0.023,0.799,-1.201,34.573,3.51,0,0
30759,-0.571,-0.017,0.831,1.481,30.756,1.797,0,0
30806,-0.588,-0.032,0.834,3.059,17.683,0.096,0,0
30852,-0.603,-0.012,0.858,2.394,2.919,2.975,0,0
30912,-0.553,-0.001,0.835,0.653,-5.853,3.402,0,0
30961,-0.499,0.006,0.789,-1.307,7.755,1.705,0,0
31021,-0.535,-0.007,0.774,-0.527,15.014,1.271,0,0
31068,-0.604,-0.008,0.801,1.438,9.368,1.076,0,0
31127,-0.623,-0.014,0.823,0.423,-0.872,0.716,0,0
31174,-0.556,-0.009,0.817,0.083,-6.117,1.039,0,0
31234,-0.54,-0.013,0.802,-0.506,-0.949,1.553,0,0
31280,-0.556,-0.005,0.784,0.373,6.121,1.966,0,0
31340,-0.597,-0.009,0.795,0.469,2.622,1.659,0,0
31386,-0.589,-0.001,0.806,0.547,-5.413,0.905,0,0
31449,-0.551,-0.006,0.811,-0.062,-5.375,0.763,0,0
31496,-0.538,-0.018,0.799,-0.2,3.164,0.95,0,0
31555,-0.573,-0.012,0.785,-0.114,4.262,1.962,0,0
31602,-0.587,-0.002,0.79,0.166,-0.542,1.916,0,0
31662,-0.567,-0.004,0.8,0.203,-3.904,1.101,0,0
31709,-0.558,-0.009,0.815,0.076,-2.441,1.048,0,0
31768,-0.553,-0.008,0.809,0.126,1.214,1.314,0,0
31815,-0.577,-0.008,0.787,0.316,0.869,2.148,0,0
31875,-0.602,-0.005,0.825,0.521,-2.013,5.613,0,0
31922,-0.534,-0.059,0.813,16.09,13.556,60.748,0,0
31984,-0.904,0.056,0.604,43.855,153.618,229.809,0,0
32031,-2.0,0.83,0.574,-10.764,250.13,250.13,0,0
32088,-1.785,0.537,0.412,-112.504,89.824,250.13,133,0
32128,-0.901,0.151,0.378,-154.947,-97.847,250.13,82,0
32176,-0.425,0.032,0.462,-156.321,-134.641,208.015,78,117
32224,-0.099,-0.08,0.581,-151.0,-167.389,155.084,59,124
32272,0.205,-0.071,1.018,-135.511,-226.29,106.511,54,131
32322,0.694,-0.363,0.49,-75.519,-216.275,35.504,23,0
32375,0.71,0.186,0.308,-10.853,-35.137,-69.137,22,0
32427,0.311,0.569,0.37,-63.443,119.16,11.046,28,0
32477,0.056,0.319,1.131,-90.664,52.198,74.313,20,0
32528,0.767,-0.696,1.045,-44.389,-67.634,79.389,46,0
32580,0.913,-0.003,1.027,74.702,34.145,-65.71,48,0
32632,-0.115,0.915,0.923,66.282,198.565,-39.466,50,0
32679,-1.265,0.851,0.821,-13.719,182.641,78.008,50,123
32727,-0.909,0.452,0.817,-106.802,-47.305,134.901,53,123
