Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28500,-0.252,-0.141,0.953,-33.097,-46.2,-12.396,120,0
28542,0.08,0.013,1.06,22.436,24.624,24.126,120,0
28598,-0.279,-0.055,1.078,-1.67,-12.274,-6.24,119,0
28653,-0.042,0.248,0.982,9.004,14.694,16.708,119,0
28708,-0.283,0.091,1.091,-35.102,-54.162,-60.994,36,5
28750,-0.714,0.316,1.28,21.026,-32.519,50.901,118,0
28806,-1.114,0.426,1.559,40.557,41.473,58.832,116,0
28861,-0.723,-0.259,0.894,108.374,-3.41,218.779,110,0
28913,-0.162,-0.405,1.025,59.214,-44.58,250.13,104,0
28965,0.65,-0.215,0.786,58.977,-117.084,200.817,60,0
29016,0.923,0.011,0.538,51.863,-71.099,157.542,19,0
29067,0.912,0.077,0.446,30.985,54.29,116.496,55,0
29119,0.481,0.089,1.04,30.275,118.168,92.962,50,0
29169,0.193,0.039,1.045,45.611,117.221,85.679,30,0
29219,0.23,0.457,0.987,39.481,63.344,66.069,18,0
29268,0.071,0.394,1.021,-7.15,-17.593,-7.64,17,0
29321,0.207,0.532,0.927,18.664,31.099,-48.085,16,0
29371,0.17,0.603,0.831,39.015,68.931,24.962,16,0
29421,-0.028,0.572,0.852,32.282,69.695,35.29,29,0
29472,0.087,0.57,0.893,23.382,32.939,37.824,52,0
29524,0.553,0.493,0.925,17.336,-29.29,33.74,63,0
29575,0.21,0.4,0.845,24.443,-74.382,48.571,29,0
29626,0.431,0.499,0.844,31.489,-58.328,22.148,30,0
29675,0.514,0.668,0.722,34.015,-30.819,0.59,23,0
29727,0.425,0.732,0.84,31.359,50.359,11.901,51,0
29778,0.316,0.706,0.598,29.351,26.023,-10.423,48,0
29834,0.21,0.692,0.615,22.809,30.351,-1.293,52,0
29885,0.163,0.613,0.567,1.555,-39.573,-27.244,46,0
29937,0.344,0.63,0.85,20.443,-27.641,-66.855,56,0
29989,0.557,0.693,0.925,33.634,-68.534,-127.359,55,0
30042,0.652,0.857,0.796,31.878,-108.725,-226.931,60,0
30094,0.324,0.902,0.501,-24.427,-42.641,-250.137,63,0
30147,-0.242,0.217,0.185,-38.473,98.87,-250.137,71,0
30203,-1.14,-0.429,0.674,-9.78,122.015,-250.137,123,0
30260,-1.577,-0.173,0.56,18.718,-111.947,-235.435,127,0
30319,-0.556,0.548,0.552,-47.702,-197.382,-156.008,127,0
30376,-0.562,0.177,0.835,-37.046,-36.602,-96.702,159,0
30422,-0.952,0.113,1.028,-33.489,-19.267,-71.588,157,0
30479,-0.83,0.455,0.965,-37.817,-143.863,-62.076,154,0
30529,-0.279,0.061,0.837,-40.87,-148.679,-40.282,8,0
30578,0.131,-0.159,0.908,-37.473,-73.748,10.809,9,0
30627,0.059,-0.093,0.909,-27.229,-76.985,-59.616,9,0
30688,0.28,-0.078,0.995,-25.908,-62.802,20.025,0,0
30741,-0.275,-0.273,1.111,-33.061,-71.611,-27.679,16,0
30793,0.26,-0.181,1.001,-56.854,-71.855,-52.373,48,0
30854,0.204,-0.226,1.04,7.07,-75.481,-30.763,0,0
30914,0.212,-0.176,0.852,-2.676,0.798,-23.289,0,0
30964,0.063,-0.209,0.98,-6.217,-39.618,6.596,10,0
31013,0.209,-0.301,0.881,-42.368,-69.45,-24.847,10,0
31074,0.206,-0.422,1.071,-22.318,-90.702,3.504,0,0
31177,0.471,-0.325,0.818,8.758,-49.252,14.685,0,0
31224,0.488,-0.22,0.817,-7.158,-56.901,-10.12,0,0
31291,0.584,-0.265,0.755,2.193,-70.29,13.555,0,0
31327,0.501,-0.32,0.771,-13.893,-54.992,14.387,17,0
31387,0.58,-0.326,0.819,-1.476,-74.076,31.947,0,0
31434,0.822,-0.428,0.577,-2.248,-79.84,25.71,0,0
31481,0.987,-0.413,0.565,-18.884,-47.992,-35.247,0,0
31527,0.724,-0.599,0.519,16.122,-104.434,42.42,0,0
31575,0.68,-0.891,0.865,32.893,-50.009,42.618,0,0
31609,0.771,-0.645,1.056,74.779,-63.802,42.321,6,0
31656,0.579,-0.887,1.014,104.649,-112.771,65.344,7,151
31707,0.799,-0.94,0.633,162.061,-129.55,77.13,11,149
31764,0.953,-0.58,0.286,194.504,-57.282,74.977,0,145
31821,0.61,-0.456,0.151,177.321,12.702,81.656,0,141
31879,0.7,-0.311,0.161,134.802,1.226,69.649,0,140
31935,0.899,-0.32,0.159,119.237,-10.644,67.664,0,138
31982,0.88,-0.29,0.154,133.351,45.046,54.496,24,139
32030,0.767,-0.047,0.443,106.985,38.985,52.969,30,140
32077,0.717,0.06,0.425,82.55,25.244,41.878,24,139
32126,0.817,-0.209,0.538,65.504,-47.718,36.71,17,0
32177,0.866,0.251,0.555,57.046,19.888,25.893,17,143
32227,0.904,0.41,0.882,33.84,25.978,24.761,12,0
32276,0.759,0.353,0.858,23.58,14.039,-1.718,12,0
32326,0.762,0.258,0.687,19.641,22.583,2.193,12,0
32376,0.62,0.082,0.766,15.748,50.206,-2.469,9,0
32425,0.626,0.196,0.819,9.778,27.405,8.481,10,0
32476,0.629,0.375,0.887,14.114,32.209,12.81,11,0
32536,0.689,0.266,0.871,0.388,7.176,0.378,0,0
32596,0.652,0.026,0.768,-2.272,13.492,5.2,0,0
32657,0.558,0.042,0.84,4.625,20.042,11.842,0,0
32721,0.56,0.046,0.816,-2.052,-6.83,-1.295,0,0
32782,0.59,-0.019,0.803,7.967,4.442,0.618,0,0
32842,0.627,0.009,0.601,-6.688,-5.938,-0.312,0,0
32892,0.473,-0.015,0.846,30.56,30.122,4.422,17,0
32943,0.35,-0.023,0.835,23.557,24.847,-0.86,17,0
33003,0.4,0.016,0.825,21.252,41.661,7.376,0,0
33064,0.569,0.03,0.84,18.649,30.565,8.843,0,0
33118,0.596,0.063,0.969,12.099,66.573,-20.589,86,0
33169,0.343,0.179,1.062,34.595,81.023,-39.069,31,0
33223,0.214,0.349,1.009,51.733,-53.923,-49.87,18,0
33273,0.376,0.461,0.985,50.595,38.228,-35.718,13,0
33324,0.399,0.551,0.799,32.107,17.696,-0.471,17,0
33374,0.331,0.409,0.988,-18.96,36.405,-82.969,14,0
33424,0.282,0.364,1.068,22.115,33.328,-59.718,13,0
33474,0.17,0.351,1.109,27.679,5.916,-91.756,15,0
33524,0.29,0.206,0.949,27.718,-101.481,-143.611,17,0
33580,0.325,0.183,0.634,16.672,-181.855,-187.55,96,0
33616,0.599,0.441,0.381,-27.122,-159.832,-217.298,16,0
33675,0.683,0.537,0.402,-75.939,-67.702,-208.176,103,0
33717,0.452,0.215,0.558,-110.939,57.0,-175.489,109,0
33816,-0.231,0.047,0.862,-72.107,39.893,-182.519,120,0
33878,-0.271,0.02,0.694,-56.412,59.076,-175.214,0,0
33934,-0.674,0.289,0.948,-94.611,127.0,-94.267,0,120
33990,-0.885,-0.116,1.211,-63.733,94.237,-103.947,0,123
34052,-0.923,-0.111,1.07,-46.504,1.189,-79.58,0,0
34108,-0.479,-0.201,0.859,-6.543,-37.466,30.794,0,112
34167,-0.525,-0.081,0.899,34.223,-50.412,28.977,0,175
34227,-0.279,0.021,1.013,19.656,-48.595,45.046,0,121
34283,-0.349,-0.05,0.935,-2.572,30.914,-2.003,0,118
34339,-0.214,-0.003,0.931,4.073,-13.728,14.922,0,118
34385,-0.667,-0.056,0.877,-5.765,56.702,6.515,17,116
34443,-0.527,0.033,0.976,2.194,22.615,12.564,0,128
34488,-0.277,-0.114,0.891,2.048,22.676,4.6,17,119
34549,-0.467,-0.066,0.82,-1.143,33.328,0.673,0,0
34610,-0.272,-0.051,0.913,-1.532,4.133,-8.615,0,0
34661,-0.434,0.012,0.901,4.028,2.534,5.356,16,0
34724,-0.261,0.049,0.908,-2.133,-14.641,-1.048,0,0
34782,-0.497,0.059,0.986,3.077,-9.533,8.419,0,126
34843,-0.409,-0.039,0.884,-2.577,17.446,-0.565,0,0
34904,-0.341,-0.016,0.867,1.461,3.142,-0.506,0,0
34965,-0.446,-0.152,0.917,2.697,18.947,0.772,0,0
35015,-0.339,-0.0,0.854,-1.285,10.163,-1.752,17,0
35066,-0.409,0.068,0.847,13.263,27.646,15.637,17,0
35127,-0.428,-0.007,0.975,-10.219,-7.302,-3.937,0,0
35188,-0.483,-0.196,1.013,-44.302,-25.033,-32.682,0,0
35257,-0.426,-0.057,0.887,24.733,28.473,-33.42,0,0
35317,-0.696,-0.114,0.795,54.115,60.496,50.191,0,0
35378,-0.874,0.233,0.854,70.985,52.176,124.412,0,0
35437,-1.073,0.354,0.864,57.366,-39.409,173.702,0,0
35493,-0.745,0.599,0.907,19.084,3.199,174.473,128,0
35549,-0.419,0.579,0.73,-54.259,-43.183,200.763,37,5
35604,-0.34,0.422,0.749,15.154,30.153,219.84,112,0
35656,-0.261,0.365,0.601,-4.667,44.069,250.13,64,0
35708,-0.324,0.353,0.668,-17.379,74.046,250.13,55,0
35763,-0.333,0.019,0.715,5.519,5.043,238.115,50,0
35813,0.273,0.429,0.863,16.748,-63.603,165.084,29,0
35864,0.83,0.208,0.495,2.092,-100.031,155.168,42,0
35914,0.951,0.259,0.223,23.656,-35.237,123.527,18,0
35964,0.769,0.303,0.428,31.875,44.823,64.886,22,0
36014,0.668,0.277,0.578,15.55,29.031,37.771,14,0
36063,0.613,0.441,0.886,20.763,25.405,55.729,12,0
36112,0.554,0.442,0.682,31.786,25.183,-7.264,12,0
36162,0.448,0.415,0.723,43.71,15.645,-15.444,17,0
36214,0.459,0.488,0.856,56.076,24.359,0.912,9,0
36263,0.427,0.524,0.524,67.985,-5.896,-43.367,9,0
36313,0.503,0.76,0.515,80.504,9.598,-16.254,7,0
36362,0.385,0.765,0.533,75.427,20.962,-29.366,7,0
36411,0.367,0.82,0.523,79.977,-28.611,-43.176,8,0
36460,0.499,0.941,0.377,74.527,-53.756,-47.115,9,0
36510,0.575,0.919,0.257,51.87,-40.74,-59.985,18,0
36605,0.446,0.908,0.135,26.756,-2.596,-109.099,57,0
36655,0.456,1.173,0.208,42.321,-33.324,-122.153,17,0
36710,0.151,1.035,0.349,45.45,-32.443,-156.137,61,0
36763,0.379,0.894,-0.022,24.893,-86.893,-189.221,66,0
36815,-0.344,1.093,0.08,-81.924,-93.099,-193.122,70,0
36870,-0.473,0.287,-0.062,-76.504,-93.748,-184.023,75,0
36930,-0.408,0.253,0.147,20.992,-9.231,-131.931,0,0
36990,-0.771,1.162,0.61,-31.497,57.145,-75.519,0,0
37037,-0.842,0.698,0.514,-27.994,-29.931,-79.053,0,0
37084,-0.795,0.439,0.269,-5.97,-49.237,-53.313,0,0
37130,-0.59,0.702,0.218,-12.833,-23.445,-42.443,0,0
37196,-0.713,0.637,0.198,19.892,58.061,-50.237,0,0
37243,-0.807,0.419,0.179,13.319,49.458,-44.29,0,0
37289,-0.818,0.614,0.249,15.002,34.866,-45.0,0,0
37336,-0.877,0.482,0.182,0.508,30.468,-39.122,0,0
37383,-0.797,0.454,0.151,-9.932,11.769,-39.198,0,0
37429,-0.852,0.432,0.281,-9.118,30.29,-38.573,0,0
37476,-0.833,0.478,0.315,-1.918,23.885,-37.863,0,0
37520,-0.865,0.339,0.252,0.899,28.099,-42.695,160,0
37577,-1.032,0.402,0.262,19.468,48.091,-28.55,160,0
37625,-0.989,0.242,0.153,5.304,-17.061,-43.371,161,0
37678,-0.887,0.327,0.098,8.435,-25.29,-23.992,161,107
37731,-0.958,-0.082,0.243,-26.666,-79.586,-87.052,48,31
37783,-0.909,0.32,0.249,12.895,-47.458,-22.447,161,101
37836,-0.681,0.37,-0.003,13.115,24.217,-8.532,162,102
37889,-0.952,0.45,0.102,13.705,45.198,2.829,162,100
37942,-1.127,0.407,0.139,6.055,24.64,-2.913,162,99
37994,-1.071,0.191,0.155,-16.032,-26.629,-13.886,162,99
38047,-0.904,0.236,0.133,-10.165,-16.329,3.404,163,99
38103,-0.829,0.251,0.127,-9.074,-6.304,-6.494,162,100
38156,-1.026,0.076,0.276,-19.334,-35.198,-15.867,163,99
38208,-0.898,0.299,0.202,0.393,-0.278,10.599,162,99
38261,-0.942,0.16,0.271,-4.968,-16.813,6.933,162,101
38313,-0.879,0.063,0.25,-9.082,-44.879,-9.644,162,100
38367,-0.708,0.168,0.198,4.779,9.497,2.634,162,101
38419,-0.743,0.487,0.254,32.716,69.55,35.542,162,101
38472,-1.062,0.429,0.3,15.214,96.366,14.206,162,103
