Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35917,-1.246,0.039,0.244,-46.229,91.473,23.748,0,163
35972,-1.322,0.207,0.121,-70.076,58.695,86.191,0,89
36017,-1.39,0.093,-0.037,-104.0,14.042,133.305,59,82
36068,-2.0,-0.013,-0.513,-162.809,36.711,154.603,160,86
36113,-2.0,-1.231,-0.749,-152.305,-63.328,166.305,51,88
36160,-0.978,-0.913,-0.618,-103.641,-122.198,159.855,74,94
36210,-0.161,-0.817,-0.59,-49.55,-79.992,108.534,143,71
36264,0.261,-0.702,-0.479,-25.076,-22.676,18.206,140,103
36310,0.353,-0.63,-0.284,10.718,73.351,-55.733,45,103
36356,0.228,-0.622,-0.271,19.473,93.87,-105.626,51,98
36407,-0.335,-0.725,0.325,37.893,43.489,-137.229,149,91
36458,-2.0,-1.429,-0.846,156.947,75.076,-201.618,156,86
36510,-2.0,-0.675,-0.708,80.672,171.924,-47.084,160,84
36561,-2.0,-0.05,-0.251,83.076,106.7,-32.931,159,92
36615,-0.97,0.181,-0.454,82.412,-33.779,60.8,183,97
36671,0.161,0.751,-0.239,61.947,36.16,75.217,173,104
36722,-0.296,1.188,0.091,44.518,24.069,30.435,149,98
36771,-1.078,1.001,-0.216,-150.565,-29.764,84.466,115,93
36823,-2.0,0.11,-1.285,-235.588,63.764,128.008,155,91
36874,-2.0,-0.81,-1.667,-247.71,-79.695,188.313,142,98
36923,-1.597,-0.936,-1.122,-161.947,-87.481,143.802,120,75
36971,-0.847,-0.777,-0.65,-121.702,-34.573,61.756,115,81
37020,-0.106,-0.689,-0.109,-101.771,7.439,27.058,112,83
37069,0.574,-0.946,0.541,-54.603,-56.374,-62.977,111,82
37121,0.709,-1.006,0.183,86.527,-52.107,-134.672,114,78
37167,0.003,-0.881,-0.352,169.481,31.057,-194.382,44,101
37217,-2.0,-1.317,-0.974,228.405,66.458,-213.244,125,93
37267,-2.0,-0.905,-1.049,143.107,197.069,-89.198,128,90
37317,-2.0,-0.015,-0.057,43.802,35.527,-5.959,127,94
37367,-1.033,0.254,-0.298,46.45,-30.359,-5.895,125,98
37417,-0.757,0.527,-0.287,51.336,42.176,35.374,121,101
37468,-0.27,0.673,0.249,20.405,36.282,52.344,119,105
37521,-0.323,0.586,0.345,-55.481,-47.794,44.87,118,105
37571,-0.298,0.66,-0.248,-173.618,-141.198,27.71,123,101
37620,-1.01,0.801,-2.0,-207.107,-35.282,-5.238,125,70
37668,-2.0,0.15,-2.0,-250.137,63.321,28.756,128,64
37719,-2.0,-0.602,-2.0,-250.137,-74.695,107.282,123,96
37769,-1.101,-0.906,-1.406,-250.137,-69.153,118.519,114,104
37820,-0.386,-1.259,-0.5,-213.634,-39.634,109.069,105,112
37874,0.354,-1.432,0.216,-116.817,-78.267,38.71,100,0
37929,0.726,-1.087,0.335,62.26,-69.565,-103.84,104,140
37984,-0.239,-0.643,-0.422,127.267,11.485,-198.573,99,0
38039,-2.0,-0.489,-1.271,178.137,115.664,-207.313,106,0
38096,-2.0,0.022,-0.638,81.695,154.206,-94.908,127,0
38138,-1.639,0.032,-0.314,-89.866,-51.74,-94.565,126,0
38190,-0.962,0.147,-0.344,-62.606,-83.969,-65.496,125,101
38240,-0.632,0.305,-0.178,-58.336,-49.443,-54.736,123,100
38291,-0.327,0.822,0.191,-61.214,-55.863,-6.959,123,105
38342,-0.51,1.094,-0.254,-135.641,-58.542,4.782,126,102
38395,-1.16,1.247,-1.323,-250.137,-9.727,71.389,129,105
38488,-2.0,-0.687,-2.0,-250.137,-155.725,165.573,103,97
38538,-1.238,-1.159,-1.736,-224.031,-20.899,149.038,99,103
38587,-0.529,-1.062,-0.647,-186.153,32.076,77.237,93,108
38636,0.399,-1.211,-0.114,-125.939,-33.71,-41.748,89,111
38685,0.775,-0.923,-0.161,-44.111,-37.832,-187.061,91,110
38735,0.444,-0.726,-0.353,52.366,42.718,-235.718,99,104
38786,-1.158,-0.992,-1.052,91.382,197.252,-199.634,122,97
38844,-2.0,-0.546,-0.865,74.084,187.817,-109.603,169,132
38900,-2.0,-0.059,-0.286,26.953,-31.878,-34.916,133,0
38955,-0.997,-0.051,-0.429,-60.861,-68.412,-45.056,139,136
39006,-0.777,0.369,-0.408,-54.108,-44.264,40.313,135,99
39057,-0.51,0.684,-0.351,-52.145,-40.166,41.305,120,98
39107,-0.452,1.188,-0.461,-121.55,-13.199,48.206,124,98
39163,-1.107,0.999,-1.179,-250.137,-48.485,97.214,127,0
39206,-2.0,-0.35,-2.0,-250.137,-72.481,120.015,123,0
39260,-2.0,-0.919,-2.0,-233.344,-108.588,118.023,120,95
39310,-0.808,-0.813,-1.219,-162.878,-0.446,77.794,114,100
39360,-0.259,-0.704,-0.567,-123.42,4.426,-28.187,109,105
39409,0.253,-0.692,-0.255,-80.344,-15.793,-61.351,107,85
39458,0.512,-0.739,0.509,42.234,53.925,-115.45,107,84
39508,0.057,-0.802,-0.402,74.626,-36.189,-161.573,112,100
39563,-1.225,-1.03,-1.198,165.87,159.198,-203.947,0,92
39618,-2.0,-0.355,-1.019,120.359,167.634,-79.229,130,176
39676,-1.607,-0.043,-0.624,43.313,-58.267,-70.112,0,95
39728,-0.677,0.245,-0.577,57.023,11.129,-6.228,124,97
39778,-0.205,0.643,0.247,37.26,64.16,49.715,123,101
39829,-0.469,0.899,0.263,-68.295,-22.41,24.573,123,99
39881,-0.848,0.765,-0.29,-99.321,-49.992,33.664,158,95
39931,-1.353,0.495,-1.298,-174.756,-78.48,59.015,134,81
39986,-2.0,-0.721,-1.813,-205.069,-32.924,102.458,0,81
40037,-1.576,-0.72,-1.357,-209.733,-86.023,109.588,148,85
40089,-1.067,-0.71,-0.756,-147.305,-87.055,69.718,143,94
40144,0.005,-0.542,-0.298,-84.634,25.504,26.318,139,102
40196,0.229,-0.542,-0.318,-102.724,-1.552,-37.832,137,98
40248,0.203,-0.56,-0.489,21.664,-10.874,-54.977,140,99
40300,-0.849,-0.666,-0.273,73.832,1.521,-87.557,145,94
40352,-1.809,-0.685,-1.262,156.275,79.366,-102.534,152,89
40398,-2.0,-0.197,-0.899,122.122,99.519,-18.026,44,93
40443,-1.713,0.087,-0.74,107.076,-21.214,-31.593,41,97
40489,-1.018,0.273,-0.648,104.992,-29.015,-11.146,36,93
40540,-0.592,0.547,-0.333,70.985,-5.301,20.45,58,96
40591,-0.299,0.542,0.226,11.939,-1.423,21.473,148,99
40643,-0.287,0.591,-0.029,-56.779,-40.771,32.885,148,95
40695,-0.724,0.7,-0.401,-131.878,-14.596,53.824,151,92
40748,-1.989,0.909,-0.969,-191.565,10.055,46.702,153,91
