Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21484,-0.459,-0.528,0.718,-2.021,-2.19,2.626,0,68
21540,-0.408,-0.517,0.677,-1.385,0.05,4.041,0,67
21593,-0.477,-0.518,0.722,-2.138,-0.976,3.39,0,66
21649,-0.441,-0.531,0.699,-0.69,-0.404,2.76,0,67
21701,-0.467,-0.513,0.717,-1.921,-1.511,2.085,0,66
21757,-0.416,-0.515,0.679,-2.284,-0.671,3.386,0,67
21810,-0.475,-0.542,0.734,-1.676,-0.072,2.072,0,66
21866,-0.431,-0.518,0.689,0.183,0.567,0.745,0,67
21921,-0.465,-0.502,0.72,-1.999,-1.627,1.723,0,68
21978,-0.444,-0.519,0.712,-0.717,-0.975,1.722,0,67
22030,-0.456,-0.503,0.721,-1.139,-2.56,2.446,0,67
22086,-0.429,-0.5,0.709,-0.518,-1.542,2.284,0,69
22139,-0.453,-0.509,0.727,-1.061,1.594,2.351,0,68
22195,-0.448,-0.514,0.714,-1.885,-1.893,3.939,0,69
22251,-0.421,-0.513,0.713,-1.91,0.75,2.344,0,118
22305,-0.45,-0.517,0.707,-1.119,2.231,1.264,0,98
22359,-0.449,-0.525,0.708,-0.965,-0.058,0.308,0,91
22416,-0.44,-0.518,0.707,-1.154,-0.9,0.936,0,91
22470,-0.44,-0.5,0.704,-0.549,1.293,0.602,0,88
22522,-0.457,-0.516,0.711,-1.262,-1.698,1.476,0,70
22579,-0.439,-0.515,0.703,-1.054,1.733,1.089,0,70
22632,-0.462,-0.521,0.715,-0.909,1.892,1.229,0,69
22688,-0.442,-0.511,0.744,-1.227,-1.242,1.686,0,68
22740,-0.357,-0.43,0.795,-1.556,10.309,0.674,0,69
22797,-0.503,0.395,1.131,-14.692,64.061,2.233,0,68
22851,-0.642,0.346,1.089,-25.573,-6.594,-3.918,0,92
22900,-0.642,-0.644,0.789,14.826,-69.565,-89.916,57,94
22942,-0.223,-1.304,0.283,-30.626,-58.817,-242.473,16,72
22985,0.009,-2.0,0.106,-109.267,110.954,-250.137,16,70
23027,0.176,-1.277,0.071,-47.641,156.611,-250.137,16,72
23070,-0.318,-0.077,0.96,29.0,-8.162,98.137,17,72
23114,-0.003,-0.79,0.706,32.855,-122.473,51.557,51,73
23164,0.351,-0.727,0.355,5.764,-6.987,-33.198,149,73
23209,-0.158,-0.827,0.501,5.56,42.954,-5.825,50,74
23258,-0.387,-0.858,0.709,17.974,-22.504,23.183,123,74
23310,-0.071,-0.686,0.71,9.215,-71.664,9.493,123,76
23360,0.196,-0.769,0.639,16.112,-49.756,5.581,148,75
23409,0.123,-0.689,0.649,14.156,-3.8,-3.192,122,75
23457,0.042,-0.782,0.686,12.699,2.98,-5.048,123,77
23505,-0.028,-0.722,0.73,15.106,-4.765,-6.873,98,76
23553,0.033,-0.702,0.636,15.873,-5.325,-8.899,98,77
23600,-0.056,-0.712,0.672,15.66,9.252,-4.044,98,77
23648,-0.028,-0.657,0.755,7.827,-5.018,-1.722,102,77
23700,0.033,-0.672,0.714,15.917,-8.966,-0.251,121,76
23750,-0.01,-0.697,0.719,12.219,0.707,-0.279,149,78
23800,0.041,-0.693,0.729,10.963,4.217,2.133,148,77
23852,0.0,-0.634,0.725,9.328,-5.072,-1.554,147,79
23902,0.019,-0.661,0.709,3.896,8.987,-1.576,142,79
23950,-0.019,-0.618,0.732,8.083,-12.645,-1.0,120,80
24001,0.064,-0.647,0.69,-1.274,-3.291,-4.366,147,80
