Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21481,-0.173,-0.481,0.868,-0.618,18.143,-4.881,0,20
21534,-0.286,-0.521,0.878,2.01,8.821,-4.361,0,21
21586,-0.233,-0.54,0.836,1.255,-15.292,-6.482,0,63
21643,-0.096,-0.501,0.781,2.999,-0.429,-1.277,0,64
21695,-0.184,-0.533,0.833,-4.161,-12.761,-9.212,0,59
21751,-0.095,-0.519,0.825,2.073,6.265,-4.96,0,65
21804,-0.213,-0.508,0.863,-1.25,-4.804,-12.522,0,62
21859,-0.169,-0.521,0.832,0.449,-11.48,-8.685,0,60
21914,-0.171,-0.49,0.845,-2.736,-10.991,-4.589,0,65
21970,-0.168,-0.512,0.842,18.154,12.423,2.376,0,62
22023,-0.005,-0.345,0.858,-2.246,21.24,3.356,0,61
22078,-0.324,0.538,0.927,-55.618,142.695,-20.298,0,59
22128,-0.939,-0.346,0.861,-66.0,110.473,-37.092,160,67
22171,-0.531,-1.364,0.484,-6.76,-38.519,-80.702,16,64
22220,-0.069,-1.547,0.415,-26.885,-82.939,-191.069,152,67
22268,0.885,-0.512,0.573,-71.672,54.565,-150.58,105,72
22320,-0.278,-0.601,0.743,-23.527,110.29,-32.298,129,66
22367,-0.231,-0.817,1.073,44.122,-45.405,58.237,105,67
22410,-0.077,-0.796,0.652,25.832,-75.466,-10.965,16,67
22458,0.233,-0.71,0.538,9.226,-27.092,-10.732,123,71
22505,0.001,-0.768,0.624,11.158,13.885,0.815,104,69
22554,-0.223,-0.586,0.787,14.587,17.025,-3.564,142,70
22603,-0.049,-0.648,0.745,16.366,-11.733,-7.303,142,70
22651,-0.195,-0.721,0.624,4.468,-21.807,-3.328,104,66
22699,-0.107,-0.612,0.736,10.369,-10.011,1.641,104,69
22749,-0.106,-0.706,0.753,2.625,-19.932,0.52,102,68
22796,0.114,-0.526,0.775,24.859,9.493,4.615,102,74
22843,-0.176,-0.875,0.853,-11.015,-44.041,-8.701,102,65
22890,0.078,-0.648,0.831,18.372,-3.26,-4.636,102,71
22937,0.01,-0.618,0.831,17.42,-9.111,-8.674,103,71
22985,-0.048,-0.672,0.787,17.679,-34.842,-22.827,109,69
23032,0.076,-0.49,0.797,18.214,-27.595,-1.197,108,73
23080,-0.001,-0.638,0.795,0.004,-26.947,-18.779,108,70
23131,0.262,-0.414,0.741,17.389,10.574,2.943,147,76
23176,0.056,-0.584,0.815,16.969,-7.258,-8.003,107,73
23224,-0.031,-0.521,0.82,15.863,-18.123,-18.88,107,73
23273,0.039,-0.621,0.781,16.389,-14.838,-10.207,137,73
23321,-0.158,-0.519,0.853,-18.039,-19.299,-17.025,106,70
23369,0.075,-0.529,0.838,7.239,-18.574,-4.028,105,76
23419,0.21,-0.511,0.826,4.817,-13.357,-8.364,147,76
23468,0.184,-0.513,0.806,-3.029,-3.162,-15.786,107,76
23515,0.124,-0.511,0.788,8.713,-2.921,-9.141,100,76
23566,0.22,-0.467,0.796,12.089,-3.672,-5.236,100,79
23613,0.179,-0.502,0.771,-0.666,-1.131,-15.736,99,77
23660,0.171,-0.501,0.764,2.037,8.117,-3.509,98,79
23708,0.251,-0.595,0.827,1.708,12.254,-1.443,98,79
23758,0.362,-0.615,0.9,13.623,27.018,-5.238,98,131
23808,0.192,-0.703,1.043,17.021,25.149,-29.26,99,98
23857,-0.013,-0.933,0.825,7.9,62.237,-46.481,100,110
23908,-0.749,-0.28,0.615,21.099,156.061,-0.18,118,117
24002,-0.296,-0.196,0.75,6.67,-128.45,70.84,138,86
24057,0.355,-0.634,0.74,-5.547,-171.053,47.573,134,130
24110,1.014,-0.678,0.573,7.711,-165.328,-2.72,116,140
24161,0.758,-0.286,0.428,32.489,-33.448,25.588,81,141
24211,0.254,-0.177,0.659,-11.667,63.878,-3.675,81,140
24261,0.062,-0.322,0.948,-26.824,58.107,22.115,79,141
24311,0.062,-0.443,0.915,-7.441,-41.41,48.603,75,145
24363,0.28,-0.369,0.76,-28.961,-64.557,27.099,74,158
24412,0.358,-0.372,0.527,-42.13,-39.046,-16.525,74,126
24461,0.205,-0.512,0.799,-40.214,31.146,31.499,76,119
24515,0.062,-0.504,0.975,-20.786,-104.038,50.305,75,165
24566,0.496,-0.571,0.735,-17.084,-113.305,56.679,61,172
24615,0.691,-0.662,0.531,-17.153,-56.505,62.031,73,131
24669,0.488,-0.449,0.678,-38.031,33.58,53.252,72,195
24717,0.244,-0.75,0.553,-46.84,24.183,53.275,114,72
24763,0.23,-0.738,0.787,-53.962,-1.897,24.328,72,72
24808,0.302,-0.795,0.65,-45.542,-7.741,21.237,64,71
24856,0.204,-0.849,0.514,-44.855,-25.979,-12.659,109,67
24905,0.173,-0.871,0.716,-43.893,-4.006,19.683,59,76
24952,0.385,-0.842,0.506,-34.847,-67.855,-22.313,62,119
25009,0.45,-0.886,0.331,-53.031,3.506,-28.718,0,115
25059,-0.077,-0.865,0.592,-50.229,32.366,15.226,107,102
25105,-0.176,-0.918,0.61,-31.924,-45.282,51.779,60,101
25152,0.177,-0.922,0.365,-29.733,-35.931,68.359,57,101
25201,0.005,-0.957,0.407,-24.519,-28.382,69.366,87,101
25249,0.255,-0.999,0.38,-26.305,-37.511,52.817,86,103
25300,0.415,-0.979,0.305,-26.206,-13.094,35.237,116,105
25352,0.242,-1.018,0.44,-19.565,1.653,21.084,86,91
25398,0.195,-1.106,0.369,18.084,23.018,51.045,58,90
25445,0.479,-0.923,0.29,23.343,37.602,37.075,86,90
25492,0.066,-0.932,0.18,-1.446,33.008,8.172,57,104
25539,-0.21,-0.996,0.333,-8.905,34.664,23.615,51,104
25585,-0.182,-0.976,0.426,-4.119,-7.534,30.595,51,103
25633,-0.131,-1.054,0.348,-2.076,-33.796,35.397,47,118
25682,0.029,-0.969,0.24,5.937,-17.802,24.145,120,88
25731,0.091,-0.987,0.252,12.447,35.673,20.863,88,88
25784,-0.13,-0.917,0.277,-3.104,-3.945,-3.003,119,88
25834,-0.212,-1.007,0.311,-7.538,2.2,-3.863,120,90
25882,-0.018,-0.996,0.348,10.554,11.56,27.338,89,88
25932,-0.009,-0.984,0.345,6.165,6.735,11.725,121,102
25979,-0.092,-0.955,0.403,14.957,9.439,18.843,74,89
26030,-0.055,-0.975,0.373,18.809,21.297,32.102,122,100
26081,-0.034,-0.938,0.33,20.252,7.396,21.195,123,98
26136,-0.044,-0.96,0.347,24.145,19.309,16.783,0,97
26191,0.073,-0.983,0.343,22.092,29.504,22.211,0,96
26248,-0.352,-0.897,0.413,19.29,48.443,-12.974,171,95
26303,-0.293,-1.017,0.466,33.992,33.206,3.96,0,94
26356,-0.256,-0.889,0.424,35.733,26.565,14.041,0,65
26409,-0.213,-0.873,0.366,38.695,30.555,16.238,174,93
26458,-0.228,-0.828,0.385,35.855,34.527,28.129,78,93
26556,-0.21,-0.79,0.446,32.71,47.328,-4.372,0,106
26611,-0.618,-1.001,0.874,33.405,50.832,9.67,0,110
26664,-0.286,-0.779,0.422,42.351,38.214,3.366,0,57
26725,-0.629,-0.8,0.483,46.153,53.16,19.733,0,122
26784,-0.44,-0.602,0.432,33.534,21.948,23.038,0,125
26842,-0.381,-0.484,0.598,22.634,31.763,28.675,0,128
26898,-0.569,-0.586,0.767,32.466,34.542,31.842,0,121
26954,-0.43,-0.658,0.558,32.641,5.447,4.715,0,114
27011,-0.455,-0.52,0.484,36.779,28.458,-3.973,0,114
27066,-0.46,-0.43,0.735,35.176,47.889,2.739,0,107
27122,-0.549,-0.675,0.502,43.229,-19.462,-14.186,0,107
27176,-0.437,-0.438,0.363,29.641,41.695,-0.86,0,83
27232,-0.805,-0.417,0.477,20.786,75.985,0.86,0,101
27290,-0.837,-0.56,0.807,29.771,14.764,13.802,0,100
27344,-0.461,-0.688,0.818,55.756,-69.855,-8.83,0,79
27399,0.313,-0.368,0.777,44.038,-63.939,-37.191,0,76
27453,0.263,-0.395,0.564,52.588,31.473,-98.718,0,93
27496,-0.587,-0.217,0.31,34.687,89.908,-142.924,17,60
27549,-1.168,-0.959,0.489,26.832,43.527,-101.824,0,57
27600,-1.139,-0.499,0.457,35.2,-66.168,-88.588,175,51
27653,-0.585,-0.412,0.46,-17.183,-68.92,-22.954,0,49
27709,-0.656,-0.273,0.742,-24.649,60.947,-19.985,0,47
27761,-0.737,-0.596,0.813,-17.573,13.916,5.592,0,47
27813,-0.227,-0.77,0.752,-17.611,-57.145,-36.459,0,48
27865,-0.262,-0.601,0.584,-24.206,11.674,-44.985,178,48
27923,-0.549,-0.803,0.719,-21.366,52.573,-22.74,0,48
