Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32196,-0.269,-0.576,0.753,-0.758,-3.114,0.052,0,72
32252,-0.264,-0.577,0.751,-0.3,-0.985,-0.262,0,70
32305,-0.28,-0.574,0.75,-0.081,0.136,-0.119,0,70
32361,-0.29,-0.596,0.766,-0.27,-1.89,-0.306,0,70
32414,-0.272,-0.578,0.761,0.023,-3.624,-0.502,0,71
32471,-0.268,-0.582,0.747,0.222,-1.301,-0.574,0,72
32523,-0.286,-0.584,0.76,0.515,-1.648,-0.479,0,71
32579,-0.272,-0.574,0.752,1.013,-2.049,-0.016,0,71
32635,-0.271,-0.572,0.76,0.68,-4.371,-0.44,0,72
32688,-0.267,-0.583,0.756,1.11,-2.501,-0.312,0,72
32745,-0.268,-0.573,0.76,1.098,-1.754,0.042,0,74
32797,-0.275,-0.573,0.763,0.945,-1.234,-0.43,0,75
32855,-0.276,-0.566,0.758,0.408,-1.749,-0.622,0,75
32907,-0.266,-0.57,0.767,0.419,-4.641,-0.285,0,76
32958,-0.251,-0.589,0.766,0.297,-5.658,-0.912,0,32
33014,-0.245,-0.586,0.758,0.891,-2.578,-0.698,0,77
33065,-0.255,-0.568,0.765,1.113,-2.463,-0.373,157,76
33119,-0.256,-0.565,0.755,0.732,-0.231,-0.977,156,77
33169,-0.258,-0.575,0.771,0.304,-1.587,-1.422,156,76
33220,-0.289,-0.566,0.77,-0.255,-1.072,-2.524,156,76
33271,-0.286,-0.581,0.776,-0.654,-8.036,-3.024,156,76
33321,-0.262,-0.592,0.766,-0.467,-13.786,-3.499,156,75
33373,-0.227,-0.567,0.792,-1.682,-9.082,0.449,157,75
33423,-0.155,-0.521,0.773,8.08,8.58,-0.828,156,76
33474,-0.112,-0.698,0.619,4.11,8.522,-15.198,156,75
33527,0.17,-0.044,0.762,-0.071,126.076,-63.908,158,71
33581,-0.617,-0.425,1.096,-0.85,187.137,-74.389,0,69
33623,-0.344,-0.953,0.762,27.198,145.046,-130.924,20,68
33666,-0.05,-1.129,0.267,-0.669,133.168,-161.573,21,69
33709,-0.05,-0.725,0.19,-32.939,178.237,-120.244,38,68
33755,-0.327,-0.958,0.179,-35.092,173.725,-84.374,40,99
33800,-0.519,-0.682,0.418,-13.282,145.252,-47.977,38,95
33849,-0.713,-0.816,0.464,-4.729,12.639,-25.382,51,164
33898,-0.328,-0.725,0.343,-18.962,0.691,-43.328,53,137
33951,-0.399,-0.873,0.483,-9.527,-33.809,-43.656,70,161
34001,-0.317,-0.911,0.339,-11.519,-40.42,-43.977,57,157
34051,-0.221,-0.872,0.335,-10.641,-14.213,-24.252,53,155
34101,-0.251,-0.886,0.374,-15.893,-0.931,-37.023,53,160
34150,-0.276,-0.934,0.394,-9.365,0.422,-40.687,54,152
34199,-0.216,-0.971,0.349,-6.859,-1.466,-36.115,54,150
34249,-0.12,-0.95,0.311,-4.514,-12.063,-40.176,72,146
34298,-0.114,-0.898,0.296,-4.72,23.595,-33.168,57,152
34352,0.007,-1.018,0.225,-6.155,27.557,-31.519,70,142
34401,-0.05,-1.06,0.264,0.415,32.634,-42.359,58,151
34450,-0.1,-0.925,0.34,-5.382,26.405,-41.924,57,154
34500,0.022,-0.973,0.292,-25.168,30.496,-46.008,57,146
34549,-0.102,-1.026,0.363,-1.689,61.702,-8.99,71,147
34599,-0.15,-0.975,0.347,-2.16,32.42,-21.763,58,146
34649,-0.094,-1.066,0.216,-1.562,10.952,-12.737,60,147
34698,0.044,-0.939,0.2,-9.71,12.966,-13.987,60,147
34790,-0.113,-1.046,0.314,4.712,-15.716,-17.696,62,147
34843,0.041,-0.987,0.175,7.904,-32.702,1.053,71,147
34893,0.122,-0.978,0.184,-0.619,4.483,-4.633,71,145
34944,0.013,-1.02,0.264,-3.328,16.107,-6.252,71,145
34994,0.079,-0.961,0.245,1.006,5.823,-2.74,71,145
