Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21484,-0.459,-0.324,0.718,1.155,-0.11,7.751,0,68
21540,-0.408,-0.517,0.677,2.345,2.562,10.696,0,67
21593,-0.477,-0.518,0.722,3.716,3.177,12.991,0,66
21649,-0.441,-0.497,0.699,-0.2,-0.137,3.594,0,67
21701,-0.467,-0.513,0.717,-0.746,-0.873,3.849,0,66
21757,-0.416,-0.515,0.679,-1.274,-0.059,4.962,0,67
21810,-0.475,-0.441,0.734,-0.318,0.817,3.784,0,66
21866,-0.431,-0.518,0.689,0.322,0.66,0.935,0,67
21921,-0.465,-0.502,0.72,-6.225,-5.915,-4.086,5,20
21978,-0.444,-0.58,0.712,-1.274,-1.761,0.806,0,67
22030,-0.456,-0.503,0.721,-3.359,-5.583,-1.172,0,67
22086,-0.429,-0.5,0.709,1.149,0.805,5.434,0,69
22139,-0.453,-0.509,0.727,-0.229,2.581,3.778,0,68
22195,-0.448,-0.514,0.714,-1.162,-1.059,5.095,0,69
22251,-0.421,-0.513,0.713,-1.573,1.068,2.785,0,118
22305,-0.45,-0.517,0.707,-2.398,1.125,-0.226,0,98
22359,-0.449,-0.494,0.708,-0.64,0.244,0.616,0,91
22416,-0.44,-0.518,0.707,-2.372,-2.292,-0.201,0,89
22470,-0.44,-0.5,0.704,-1.298,0.466,-0.096,0,88
22522,-0.457,-0.516,0.711,-2.246,-3.009,0.435,0,70
22579,-0.439,-0.515,0.703,-3.468,-1.535,-1.708,0,70
22632,-0.462,-0.793,0.715,-5.351,-8.003,-3.297,5,21
22688,-0.442,-0.511,0.744,1.449,9.042,3.034,0,68
22740,-0.357,-0.43,0.795,-8.666,-2.665,-0.924,0,69
22797,-0.503,0.395,1.131,-0.115,64.061,26.074,0,68
22851,-0.642,0.346,1.089,-25.573,-100.828,-114.793,5,28
22900,-0.642,-0.483,0.789,33.085,-69.565,-89.916,57,95
22942,-0.298,-1.304,0.283,-30.626,-58.817,-242.473,16,72
22985,-0.034,-2.0,0.106,-109.267,110.954,-250.137,16,70
23027,0.176,-1.277,0.071,-47.641,156.611,-250.137,16,72
23070,-0.318,-0.077,0.96,29.0,8.2,98.137,17,72
23114,-0.023,-0.948,0.706,32.855,-122.473,51.557,51,73
23164,0.351,-0.733,0.355,4.709,-7.231,-33.198,149,73
23209,-0.175,-0.955,0.345,-14.397,42.954,-28.071,50,74
23258,-0.387,-0.774,0.709,28.515,-22.504,23.183,123,74
23310,-0.235,-0.865,0.71,-15.282,-71.664,-8.946,123,76
23360,0.196,-0.819,0.564,7.719,-49.756,-0.095,148,75
23409,0.123,-0.611,0.773,26.245,20.403,2.567,122,75
23457,-0.029,-0.828,0.686,4.204,-4.753,-8.616,123,75
23505,-0.136,-0.805,0.73,0.943,-9.918,-12.784,98,76
23553,0.041,-0.695,0.648,17.242,-4.766,-8.316,98,77
23600,-0.015,-0.674,0.672,20.635,11.712,-2.321,98,78
23648,-0.029,-0.657,0.755,8.008,-4.944,-1.685,102,77
23700,-0.068,-0.764,0.714,3.413,-14.86,-2.434,121,76
23750,0.05,-0.642,0.719,18.444,3.582,0.63,149,80
23800,0.13,-0.613,0.729,19.632,9.196,3.472,148,79
23852,0.236,-0.408,0.725,29.15,9.339,2.246,147,85
23902,0.2,-0.489,0.709,15.384,20.724,2.583,142,83
23950,-0.075,-0.674,0.732,5.451,-16.312,-2.435,120,79
24001,0.064,-0.516,0.69,3.233,5.769,-0.746,147,83
24093,0.282,-0.433,0.771,9.043,22.513,11.782,133,85
24141,0.109,-0.828,0.911,-16.494,-19.838,-17.732,101,75
24195,0.294,-0.813,0.916,-1.545,-35.589,-28.225,147,76
24246,0.282,-0.982,0.739,30.092,76.233,-31.382,144,88
24299,-0.226,-0.663,0.742,11.872,46.817,-40.122,149,119
24350,-0.3,-0.557,0.755,37.218,32.328,18.961,114,126
24400,0.051,-0.611,0.658,7.174,28.859,23.937,114,102
24451,0.178,-0.774,0.82,-2.404,-15.694,-8.566,114,103
24501,0.059,-0.202,0.922,16.678,7.674,-34.739,115,100
24551,-0.205,-0.343,0.753,23.334,-11.959,-34.053,116,100
24602,-0.591,-0.903,-0.005,-65.156,31.29,-49.336,35,35
24656,-0.127,-0.51,0.902,-40.145,17.508,38.203,115,121
24710,0.231,-0.654,1.056,-39.758,-26.863,30.282,142,121
24763,0.271,-1.096,1.189,33.753,56.389,-29.611,143,123
24816,-0.319,-0.457,1.01,64.359,66.13,-43.321,149,128
24869,-0.487,-0.323,0.886,54.832,-43.176,-66.924,144,123
24922,0.293,-0.156,1.078,27.486,-78.115,-33.107,115,124
24975,0.882,-0.704,1.025,-36.733,-38.237,27.357,147,127
25030,0.344,-0.666,1.028,65.87,53.481,-45.252,149,149
25084,-0.642,-0.3,0.742,50.359,43.122,-66.763,81,163
25138,-0.356,0.261,0.787,-67.183,-68.435,-5.254,114,154
25190,0.838,-1.108,0.95,-53.198,-84.71,89.275,110,130
25241,0.822,-0.347,0.952,45.702,119.773,50.763,111,129
25294,0.219,-0.501,0.791,47.87,12.231,24.381,139,126
25347,0.164,-0.149,0.444,17.239,49.472,-61.26,113,127
25402,-0.26,-0.485,0.591,-73.061,109.031,-46.809,142,161
