Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32196,-0.269,-0.58,0.753,-0.849,-3.409,0.011,0,72
32252,-0.264,-0.579,0.751,-0.336,-1.115,-0.282,0,70
32305,-0.28,-0.581,0.75,-0.195,-0.448,-0.207,0,70
32361,-0.29,-0.591,0.766,-0.201,-1.504,-0.206,0,70
32414,-0.272,-0.581,0.761,-0.013,-3.822,-0.554,0,71
32471,-0.268,-0.579,0.747,0.275,-1.029,-0.518,0,72
32523,-0.286,-0.584,0.76,0.506,-1.696,-0.488,0,71
32579,-0.272,-0.587,0.752,0.642,-3.35,-0.251,0,71
32635,-0.271,-0.574,0.76,0.599,-4.642,-0.476,0,72
32688,-0.267,-0.581,0.756,1.188,-2.258,-0.279,0,72
32745,-0.268,-0.579,0.76,0.921,-2.395,-0.072,0,74
32797,-0.275,-0.581,0.763,0.718,-2.181,-0.587,0,75
32855,-0.276,-0.574,0.758,0.214,-2.815,-0.802,0,75
32907,-0.266,-0.574,0.767,0.327,-5.156,-0.39,0,76
32958,-0.251,-0.579,0.766,0.538,-4.31,-0.653,0,32
33014,-0.245,-0.579,0.758,1.08,-1.74,-0.49,0,77
33065,-0.255,-0.563,0.765,1.253,-1.993,-0.187,157,76
33119,-0.256,-0.564,0.755,0.746,-0.192,-0.949,156,77
33169,-0.258,-0.577,0.771,0.25,-1.834,-1.575,156,76
33220,-0.289,-0.57,0.77,-0.335,-1.801,-2.869,156,76
33271,-0.286,-0.587,0.776,-0.893,-9.836,-3.625,156,76
33321,-0.262,-0.599,0.766,-1.093,-15.759,-4.489,156,75
33373,-0.227,-0.569,0.792,-2.036,-10.016,-0.2,157,75
33423,-0.155,-0.524,0.773,7.726,5.802,-3.153,156,76
33474,-0.112,-0.698,0.619,3.87,5.773,-18.626,156,75
33527,0.17,-0.044,0.762,-0.094,126.076,-63.908,158,71
33581,-0.617,-0.425,1.096,-0.853,187.137,-74.389,0,69
33623,-0.347,-0.953,0.762,27.198,145.046,-130.924,20,68
33666,-0.05,-1.129,0.262,-0.908,133.168,-161.573,21,69
33709,-0.05,-0.725,0.19,-32.939,178.237,-120.244,38,68
33755,-0.327,-0.958,0.179,-35.092,173.725,-84.374,40,99
33800,-0.519,-0.682,0.43,-13.282,145.252,-47.977,38,95
33849,-0.713,-0.816,0.464,-4.774,12.265,-25.382,51,164
33898,-0.328,-0.725,0.341,-18.962,-0.341,-43.328,53,137
33951,-0.402,-0.873,0.479,-9.527,-33.809,-43.656,70,161
34001,-0.31,-0.911,0.351,-11.519,-40.42,-43.977,57,157
34051,-0.221,-0.872,0.341,-10.641,-13.892,-24.252,53,155
34101,-0.251,-0.886,0.374,-15.893,-0.917,-37.023,53,160
34150,-0.276,-0.934,0.387,-11.232,-0.256,-40.687,54,152
34199,-0.216,-0.971,0.348,-7.104,-1.652,-36.115,54,150
34249,-0.12,-0.95,0.329,-2.249,-7.789,-40.176,72,146
34298,-0.114,-0.898,0.278,-6.153,23.595,-33.168,57,152
34352,0.007,-1.018,0.225,-7.184,27.557,-31.519,70,142
34401,-0.05,-1.06,0.258,-0.46,32.634,-42.359,58,151
34450,-0.1,-0.925,0.34,-5.435,26.405,-41.924,57,154
34500,0.022,-0.973,0.314,-25.168,30.496,-46.008,57,146
34549,-0.102,-1.026,0.366,-1.197,61.702,-7.365,71,147
34599,-0.15,-0.975,0.327,-5.022,32.42,-21.763,58,146
34649,-0.094,-1.066,0.216,-3.685,7.354,-19.182,60,147
34698,0.044,-0.939,0.2,-9.71,14.091,-12.808,60,147
34790,-0.113,-1.046,0.316,4.854,-15.345,-17.409,62,147
34843,0.041,-0.987,0.175,7.1,-32.702,-0.231,71,147
34893,0.122,-0.978,0.184,-0.224,6.132,-3.965,71,145
34944,0.013,-1.02,0.249,-3.898,16.107,-6.908,71,145
34994,0.079,-0.961,0.246,1.081,5.998,-2.646,71,145
35044,-0.068,-0.994,0.371,1.684,-0.205,-2.632,71,143
35093,0.021,-1.003,0.281,8.81,8.161,4.603,61,145
35142,0.069,-1.013,0.267,10.686,-18.252,5.335,61,146
35192,0.097,-0.958,0.234,3.78,8.042,0.791,71,145
35243,0.04,-1.013,0.223,3.583,19.832,0.38,72,153
35296,-0.011,-0.985,0.358,0.932,-5.182,3.162,60,144
