Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
22318,-0.153,-0.983,0.103,-0.602,-2.128,2.83,0,78
22371,-0.146,-0.979,0.104,-1.674,-3.275,2.008,0,77
22423,-0.151,-0.998,0.091,-1.853,-2.716,2.513,0,77
22476,-0.162,-0.988,0.088,-2.781,-2.744,2.013,0,76
22530,-0.196,-0.984,0.136,-0.471,1.001,8.749,0,79
22583,-0.181,-0.977,0.106,-3.361,-16.405,1.979,0,83
22637,-0.17,-1.001,0.075,-5.935,-23.686,-11.559,0,83
22690,-0.379,-0.951,0.115,-0.767,10.301,32.855,0,83
22748,-1.073,-0.9,0.392,25.985,122.557,85.679,0,110
22802,-2.0,-0.991,0.942,52.824,57.275,186.282,0,89
22856,-1.766,-1.591,0.382,72.191,-107.832,250.13,0,99
22910,-1.014,-1.648,-0.003,116.42,-76.443,250.13,0,88
22961,-0.292,-1.807,0.115,83.267,-179.443,250.13,137,83
23014,0.641,-1.21,-0.768,146.626,-131.053,204.107,0,89
23066,0.309,0.266,-0.286,46.863,102.046,90.664,0,58
23123,-0.737,0.208,0.564,-70.679,169.115,-34.297,0,89
23175,-1.218,-0.097,0.91,0.307,-59.817,16.019,123,59
23222,-0.718,0.159,0.583,11.379,-124.244,19.31,125,59
23274,-0.466,0.155,0.173,18.954,-19.771,-0.198,0,61
23330,-0.863,0.168,0.566,3.765,19.702,7.122,0,58
23384,-0.748,0.087,0.578,-3.058,-35.748,1.113,0,82
23436,-0.611,0.188,0.524,7.703,-32.565,-9.803,0,60
23492,-0.82,0.224,0.675,10.037,-23.267,-3.762,0,68
23545,-0.745,0.18,0.613,32.883,-37.107,8.6,0,72
23602,-0.741,0.193,0.568,19.987,-32.588,-7.602,0,71
23658,-0.656,0.159,0.525,13.577,16.63,2.524,0,80
23711,-0.763,0.176,0.66,3.649,-28.298,-21.257,0,71
23768,-0.7,0.157,0.636,-3.466,-42.916,-26.58,0,81
23821,-0.688,0.198,0.725,1.778,-19.641,-16.631,0,74
23875,-0.744,0.224,0.738,12.569,-21.13,-0.563,0,82
23928,-0.499,0.061,0.511,5.615,-18.885,-2.543,0,82
23982,-0.603,0.039,0.653,-14.476,-16.141,-11.916,0,81
24036,-0.545,0.122,0.765,-11.008,-19.435,-25.099,0,83
24089,-0.562,0.055,0.784,4.552,8.832,-34.595,0,87
24146,-0.559,0.014,0.706,-0.715,2.453,-37.069,0,85
24200,-0.72,0.045,0.689,-2.084,18.656,-45.962,0,84
24254,-0.667,-0.024,0.612,-15.982,0.734,-34.885,0,83
24307,-0.647,-0.029,0.69,-25.695,-1.899,-37.74,0,82
24361,-0.61,-0.103,0.725,-26.824,-8.781,-40.191,0,81
24415,-0.532,-0.144,0.724,-27.305,10.48,-46.229,0,83
24469,-0.716,-0.215,0.751,-12.499,1.819,-44.42,0,80
24522,-0.604,-0.18,0.67,-25.542,15.525,-40.473,0,78
24576,-0.652,-0.266,0.747,-21.764,1.411,-38.29,0,75
24632,-0.444,-0.15,0.62,-23.473,24.79,-39.672,0,79
24685,-0.655,-0.368,0.719,-5.894,14.598,-38.099,0,76
24738,-0.531,-0.479,0.633,-23.443,12.326,-42.893,0,74
24792,-0.613,-0.264,0.703,17.389,37.422,-40.244,0,79
24846,-0.645,-0.466,0.64,-17.955,17.504,-41.351,0,77
24899,-0.621,-0.346,0.625,6.738,24.714,-35.611,0,79
24952,-0.599,-0.555,0.595,-27.339,-1.192,-33.809,0,74
25049,-0.559,-0.546,0.591,-14.132,19.804,-29.527,0,75
25102,-0.503,-0.638,0.577,-24.153,-0.818,-37.481,0,75
25159,-0.597,-0.684,0.535,-26.546,2.896,-30.779,0,93
25212,-0.539,-0.59,0.533,-23.099,-4.736,-22.031,0,80
25267,-0.483,-0.701,0.538,-25.664,2.793,-5.036,0,82
25321,-0.544,-0.667,0.6,-21.618,-10.615,-9.986,0,81
25374,-0.395,-0.723,0.496,-0.607,-9.134,-3.61,0,84
25428,-0.382,-0.695,0.381,-19.844,-1.751,-15.157,0,82
25483,-0.42,-0.737,0.481,-24.832,-12.385,-21.507,0,84
25537,-0.318,-0.728,0.371,-23.855,-7.587,-24.763,0,83
25593,-0.349,-0.81,0.411,-26.695,12.123,-28.176,0,85
25649,-0.415,-0.799,0.366,-31.221,7.909,-29.397,0,91
25703,-0.344,-0.826,0.343,-37.046,13.659,-24.687,0,101
25758,-0.309,-0.833,0.371,-46.771,17.874,-41.206,0,99
25812,-0.414,-0.878,0.203,-49.405,26.229,-22.504,0,84
25867,-0.485,-0.93,0.442,-44.038,16.509,-11.514,0,97
25921,-0.223,-0.939,0.293,-39.298,-25.931,-12.792,0,86
25975,-0.209,-0.941,0.154,-33.679,0.923,-20.557,0,89
26031,-0.236,-0.888,0.193,-44.038,-5.69,-24.466,0,91
26088,-0.229,-1.113,0.152,-33.954,-19.87,-34.863,0,93
26139,-0.263,-1.11,0.201,-30.695,-46.611,-38.947,136,94
26190,-0.154,-1.098,0.149,-24.748,-51.405,-33.427,146,85
26242,-0.135,-1.025,0.079,-26.717,-19.463,-43.232,137,90
26293,-0.176,-0.93,0.04,-1.793,20.267,-1.138,139,93
26343,-0.354,-0.99,0.106,2.082,28.053,13.54,147,78
26394,-0.248,-0.968,0.025,7.964,23.542,44.748,149,78
26445,-0.241,-1.017,0.061,4.32,39.832,54.374,149,79
26500,-0.278,-0.968,0.101,7.921,50.076,50.099,0,93
26557,-0.283,-1.029,0.102,17.626,13.75,40.031,0,93
26612,-0.367,-0.967,0.09,20.275,1.147,44.053,0,93
26669,-0.412,-0.957,0.044,26.061,5.528,43.672,0,119
26723,-0.466,-0.897,0.11,26.672,14.157,42.023,0,97
26779,-0.456,-0.849,0.032,24.702,0.436,43.733,0,114
26833,-0.522,-0.839,0.019,13.377,20.153,51.092,0,94
26889,-0.696,-0.813,0.133,5.221,11.641,61.985,0,93
26943,-0.731,-0.828,0.102,-3.241,-18.609,75.847,0,91
26998,-0.797,-0.766,0.119,-0.854,-12.123,91.42,0,96
27056,-0.96,-0.662,0.118,5.61,7.888,108.214,0,97
27108,-1.313,-0.502,0.018,3.765,25.672,145.397,153,84
27159,-1.653,-0.313,0.176,-26.061,36.748,231.16,146,86
27210,-1.512,-0.516,0.338,-23.145,-27.366,250.13,139,94
27261,-0.785,-0.559,-0.022,0.197,-40.893,250.13,132,101
27314,-0.463,-0.502,0.132,6.942,-23.962,177.733,127,107
27365,-0.17,-0.103,-0.276,-2.18,6.728,120.183,124,110
27417,-0.667,0.435,0.217,-16.801,44.962,60.092,123,115
27471,-0.833,0.246,0.182,-13.103,-20.763,44.534,122,117
27528,-0.721,0.653,0.195,0.861,-40.855,47.753,123,187
27572,-0.77,0.365,0.215,-4.885,-6.565,18.067,30,68
27624,-0.829,0.509,0.181,10.947,-6.166,26.769,0,52
27679,-0.78,0.436,0.123,-1.835,-17.563,8.052,0,51
27765,-0.768,0.417,0.324,2.086,-42.275,-8.674,30,51
27808,-0.663,0.542,0.177,19.244,-32.641,-23.103,27,51
27850,-0.72,0.473,0.149,20.321,-10.887,-5.783,32,51
27899,-0.84,0.573,0.345,21.176,-20.71,-22.885,145,51
27954,-0.852,0.56,0.233,25.626,-38.771,-21.351,144,70
28003,-0.784,0.527,0.2,29.313,-26.466,0.14,145,51
28052,-0.795,0.465,0.375,25.817,-41.954,-21.695,146,51
28101,-0.696,0.525,0.207,32.656,-36.099,-23.389,145,51
28150,-0.742,0.567,0.182,29.153,-26.786,-26.71,146,51
28200,-0.83,0.625,0.187,19.405,-28.16,-35.427,145,52
28250,-0.874,0.502,0.465,15.1,-40.939,-21.748,146,53
28299,-0.642,0.57,0.237,27.069,-30.153,-21.962,146,54
28352,-0.727,0.518,0.174,23.26,3.229,-15.042,146,53
28401,-0.825,0.526,0.405,16.706,2.214,-21.42,147,51
28450,-0.862,0.503,0.327,3.493,-10.201,-25.748,146,53
28500,-0.742,0.373,0.319,11.713,-26.16,-3.312,147,54
28550,-0.62,0.378,0.315,10.782,8.039,-21.401,148,58
28601,-0.848,0.305,0.473,8.047,28.931,-27.931,148,73
28651,-0.878,0.368,0.536,29.548,28.041,-32.763,122,87
28695,-0.827,0.23,0.272,5.601,3.091,-36.925,29,69
28740,-0.87,0.286,0.453,12.315,0.754,-26.0,28,78
28793,-0.895,0.29,0.35,11.139,-7.623,-24.702,122,90
28845,-0.903,0.317,0.344,13.668,-9.513,-20.71,123,113
28897,-0.9,0.196,0.382,-0.08,-20.328,-22.733,122,112
28949,-0.887,0.266,0.388,26.626,-25.868,-30.989,123,112
29006,-0.952,0.344,0.423,36.817,-5.837,-14.856,122,112
29058,-0.864,0.23,0.179,39.427,-26.641,-28.492,122,115
29107,-0.849,0.196,0.544,27.275,-8.471,-18.286,122,90
29158,-1.068,0.181,0.786,46.176,5.589,-4.444,121,115
29206,-1.087,-0.081,1.002,56.893,-46.573,-5.533,120,83
29260,-1.105,0.007,1.09,93.389,-53.046,-21.015,119,119
29308,-1.051,0.012,0.404,175.13,-27.214,10.856,116,84
29358,-1.534,0.464,0.106,200.443,-40.0,30.447,113,81
29411,-1.175,0.38,-0.647,157.038,-135.74,78.29,0,85
29464,-0.663,0.618,-0.445,93.992,-164.542,71.115,0,83
29518,-0.281,0.586,-0.166,27.985,-84.962,54.351,0,87
29573,-0.497,0.575,0.25,-10.795,-45.389,12.859,0,98
29627,-0.466,0.534,0.417,26.008,-61.344,28.559,0,100
29684,-0.429,0.598,0.237,27.954,-86.74,-8.567,0,104
29739,-0.362,0.629,0.064,26.573,-63.275,-23.28,0,103
29795,-0.35,0.728,0.187,25.863,-31.649,-29.435,0,121
29849,-0.25,0.911,0.505,-45.595,-50.455,-27.084,0,102
29904,-0.435,0.546,0.602,-33.969,-25.893,-39.809,0,105
29959,-0.586,0.728,0.776,8.881,1.912,-27.565,0,100
30013,-0.494,0.627,0.536,1.231,13.69,-3.539,0,95
30067,-0.519,0.549,0.457,-20.481,-28.42,-20.298,0,96
30123,-0.476,0.665,0.523,-17.155,-32.405,-21.924,0,111
30180,-0.516,0.644,0.577,-23.024,-14.722,-33.736,0,102
30235,-0.584,0.561,0.658,-13.991,8.206,-15.149,0,102
30289,-0.54,0.537,0.63,1.132,-15.741,-7.589,0,94
30388,-0.345,0.621,0.477,-3.543,2.828,5.681,0,107
30442,-0.517,0.506,0.645,-38.221,-10.13,-18.663,0,95
30496,-0.443,0.42,0.551,-4.787,11.988,-0.871,0,99
30551,-0.438,0.463,0.218,-56.183,-19.212,-24.649,0,90
30605,-0.079,0.256,0.146,-94.412,-1.818,-58.756,0,93
30649,-0.213,0.354,0.415,-131.061,25.076,-100.527,38,82
30705,-0.314,-0.178,0.353,-147.298,47.664,-104.573,0,87
30759,-0.735,-0.181,0.481,-160.886,49.069,-124.42,0,78
30813,-1.052,-0.543,0.837,-174.969,46.389,-106.244,0,78
30866,-0.957,-0.52,0.786,-147.16,10.326,-78.733,0,76
30919,-0.851,-0.777,0.674,-117.053,26.29,-54.298,0,75
30973,-0.624,-0.783,0.528,-81.107,3.803,-33.397,0,88
31028,-0.692,-0.863,0.462,-63.382,21.115,-39.878,0,91
31082,-0.654,-0.909,0.457,-66.275,11.556,-27.58,0,88
31138,-0.638,-0.817,0.484,-53.496,-0.67,-38.55,0,84
31194,-0.614,-0.829,0.301,-35.313,-11.926,-29.321,0,103
31249,-0.548,-0.793,0.247,-22.015,6.435,-23.969,0,102
31303,-0.61,-0.867,0.217,-23.89,7.298,-25.557,0,101
31358,-0.465,-0.835,0.38,-22.985,6.607,17.355,0,100
31413,-0.432,-0.828,0.188,-11.516,-2.089,-22.115,0,99
31468,-0.481,-0.913,0.124,-31.548,-5.829,-26.855,0,98
31522,-0.376,-0.854,0.101,-3.923,-0.156,-31.092,0,96
31577,-0.367,-0.927,0.083,-21.312,-1.39,-35.595,0,96
31634,-0.11,-0.833,-0.066,-23.213,-11.912,-51.489,0,94
31689,-0.268,-1.071,0.09,-22.672,24.035,-77.847,0,99
31737,-0.303,-0.901,0.163,-38.954,-19.573,-84.748,59,122
31784,-0.229,-1.318,0.037,-33.809,-30.947,-96.855,57,120
31833,-0.118,-0.968,0.068,-26.206,-7.448,-69.55,57,121
31881,-0.082,-1.19,0.071,-29.305,-12.758,-77.458,58,120
31930,0.006,-1.066,0.046,11.621,5.452,-61.29,59,147
31982,-0.042,-0.969,-0.008,-26.954,-14.642,-64.931,60,0
32021,-0.017,-1.082,-0.033,-26.55,-13.117,-49.29,61,0
32077,0.015,-1.022,-0.008,-13.415,-13.944,-37.336,62,0
32116,0.066,-1.018,-0.015,-8.656,-2.366,-22.962,62,0
32164,0.061,-0.994,-0.034,-3.769,-2.38,-6.85,63,128
32218,0.138,-1.009,-0.058,-5.153,-15.647,-4.542,63,0
32257,0.189,-0.999,-0.107,4.987,-6.311,7.55,63,0
32309,0.18,-1.029,-0.093,1.459,-4.745,5.566,63,0
32348,0.211,-0.991,-0.102,2.117,-8.765,5.447,64,0
32401,0.215,-1.015,-0.156,0.022,-2.009,0.709,62,0
32443,0.182,-1.01,-0.105,-5.343,-8.378,1.761,62,0
32495,0.187,-1.011,-0.146,0.131,-0.588,3.178,62,0
32534,0.145,-1.003,-0.058,-1.661,0.751,8.511,62,0
32583,0.164,-1.003,-0.057,1.301,-4.912,5.673,62,129
32631,0.163,-1.049,-0.068,-1.53,-21.198,-2.872,62,131
32685,0.211,-1.031,-0.065,1.369,-19.788,2.414,62,0
32723,0.165,-0.998,-0.085,8.428,-12.541,1.761,61,0
32776,0.175,-1.015,-0.122,7.532,-3.687,1.914,61,0
32815,0.129,-0.992,-0.066,2.935,-6.292,7.784,61,0
32863,0.162,-1.004,-0.091,-1.888,-15.657,-2.186,61,132
32958,0.111,-1.031,-0.034,10.413,-20.962,12.324,60,130
33007,0.13,-0.958,-0.094,13.833,-2.297,12.242,60,130
33055,-0.082,-0.835,0.099,-3.461,-32.136,-2.491,59,122
33104,-0.38,-0.878,-0.154,45.221,-21.847,31.282,60,151
33153,-0.342,-1.021,-0.147,15.412,-45.71,45.771,59,121
33203,-0.065,-1.062,-0.257,17.384,-33.023,66.458,90,124
33253,0.021,-1.287,-0.138,-27.397,-51.939,64.618,87,124
33302,0.156,-1.21,-0.035,-22.397,-64.977,56.557,84,103
33353,0.306,-1.318,0.077,-27.977,-70.061,32.71,81,103
33401,0.385,-1.352,0.098,20.889,-52.824,6.982,80,104
33451,0.147,-1.023,-0.208,45.168,34.374,-33.298,80,107
33500,-0.442,-0.813,-0.089,6.977,77.092,-19.439,81,131
33551,-0.649,-0.917,0.098,0.936,-29.351,10.076,80,143
33601,-0.149,-0.948,-0.029,-18.42,-74.672,30.977,79,133
33649,-0.013,-1.035,0.066,-8.621,-30.969,16.382,78,90
33697,-0.105,-1.042,0.083,3.624,-19.261,1.026,78,109
33751,-0.239,-1.169,0.178,-11.917,-26.021,-2.619,149,111
33806,-0.21,-1.333,0.385,24.55,-35.115,30.196,147,94
33857,-0.242,-1.282,0.472,64.542,-6.618,31.344,147,95
33912,-0.374,-1.429,0.326,110.076,-31.869,32.26,0,92
33967,-0.335,-1.011,0.308,134.176,-13.389,48.901,0,82
34021,-0.445,-0.684,-0.038,117.496,-25.76,54.985,0,79
34074,-0.601,-0.781,0.09,92.427,-38.153,60.008,0,78
34129,-0.382,-0.509,0.542,61.855,-54.641,72.366,0,90
34184,-0.081,-0.636,0.457,90.832,-33.603,79.626,0,78
34241,-0.119,-0.537,0.243,71.756,-16.8,44.641,0,80
