Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33027,0.037,-0.891,0.428,20.578,56.11,21.432,121,102
33080,-0.218,-1.021,0.262,-10.419,-25.798,-3.862,0,81
33133,-0.295,-1.158,0.233,-21.794,-67.916,-19.708,0,75
33186,-0.041,-0.893,0.09,1.98,-67.29,-5.967,0,72
33239,0.039,-0.9,0.035,1.947,-8.644,5.209,0,71
33292,-0.139,-1.016,0.104,1.686,46.634,-4.91,0,72
33344,-0.483,-0.996,0.153,-9.532,49.565,-54.098,5,22
33395,-0.03,-0.965,0.302,5.169,24.466,13.351,111,71
33442,-0.241,-0.992,0.21,-2.019,-9.678,-15.583,111,72
33490,-0.172,-0.998,0.136,0.503,-29.3,-18.119,112,70
33543,-0.113,-1.0,0.09,2.409,-13.554,-11.408,0,71
33596,-0.27,-0.978,0.111,-1.58,-12.579,-14.492,0,72
33644,-0.198,-0.976,0.168,1.397,3.857,1.02,113,75
33691,-0.214,-0.986,0.16,0.896,-16.162,1.106,111,74
33739,-0.045,-0.997,0.122,1.854,-6.592,8.322,113,73
33793,-0.065,-0.994,0.121,2.147,1.776,9.356,0,76
33848,-0.127,-0.978,0.136,-0.013,-3.089,9.154,0,73
33896,0.117,-0.979,0.124,3.832,5.054,20.948,111,72
33944,-0.052,-0.991,0.106,-0.164,-2.118,6.369,112,73
33991,-0.09,-0.991,0.123,-1.618,0.212,0.732,110,73
34039,-0.012,-0.994,0.136,0.903,2.066,1.71,110,73
34086,-0.29,-0.993,0.14,-5.121,-9.506,-12.693,110,73
34135,-0.042,-0.997,0.137,0.423,-0.869,0.096,110,72
34183,0.039,-1.003,0.133,2.624,4.935,5.523,110,73
34230,-0.1,-0.985,0.132,1.902,0.051,-3.379,110,73
34281,-0.081,-0.991,0.125,2.569,-0.073,-2.442,110,78
34329,-0.237,-0.99,0.129,-0.128,-1.003,-13.395,110,72
34377,-0.149,-0.978,0.12,0.976,1.653,-5.882,111,75
34424,-0.043,-0.993,0.122,2.853,1.348,1.764,112,78
34478,-0.052,-0.987,0.112,2.347,-1.107,0.653,0,77
34531,-0.207,-0.994,0.102,-1.449,-1.249,-3.136,0,71
34584,-0.257,-0.992,0.129,-1.176,-2.141,-3.495,0,73
34637,0.061,-0.989,0.113,3.061,6.736,2.55,0,73
34691,-0.123,-0.991,0.124,0.788,2.667,-0.196,0,75
34746,-0.124,-1.0,0.119,1.895,7.501,-2.641,0,74
34799,-0.075,-0.973,0.131,1.739,11.8,-1.301,0,77
34852,-0.264,-0.987,0.135,-1.624,-4.745,-6.145,0,70
34906,-0.096,-0.985,0.137,2.98,10.54,10.051,0,73
34959,-0.115,-0.976,0.146,5.559,9.356,20.194,0,78
35011,-0.09,-0.974,0.15,17.262,21.332,79.304,0,73
35065,-0.503,-1.007,0.385,16.061,17.127,45.321,0,82
35119,-0.921,-0.968,0.48,21.985,47.763,119.802,0,78
35174,-1.478,-1.118,0.558,59.267,11.201,202.427,0,116
35230,-1.47,-1.258,0.408,91.45,-55.29,250.13,0,68
35283,-1.154,-1.272,0.115,96.649,-90.504,250.13,0,76
35334,-0.602,-0.85,-0.056,89.366,-90.397,250.13,137,77
35383,0.067,-0.612,-0.051,55.977,-66.084,228.58,130,67
35439,-0.381,-0.561,-0.044,21.702,-42.615,148.977,0,127
35482,-0.376,0.365,0.349,-32.443,50.269,96.748,43,47
35524,-0.573,0.164,0.783,-21.481,-48.183,56.969,37,48
35609,-0.373,0.305,0.567,-12.556,-8.475,-5.949,33,52
35652,-0.672,0.309,0.622,-11.072,26.13,-15.222,35,50
35697,-0.716,0.323,0.623,-8.973,-19.374,1.737,35,52
35740,-0.591,0.305,0.538,20.687,34.247,18.403,40,51
35782,-0.574,0.25,0.578,-18.855,4.546,-18.201,36,53
35835,-0.688,0.244,0.672,-19.374,17.153,-0.96,0,65
35892,-0.622,0.212,0.607,-17.809,6.506,-21.996,0,62
35936,-0.627,0.21,0.62,-10.575,33.611,-21.2,37,68
35978,-0.692,0.169,0.569,-53.168,23.183,-32.725,29,51
36030,-0.567,0.172,0.463,-21.847,27.046,-42.389,0,51
36082,-0.662,0.039,0.44,-29.099,55.771,-47.718,0,57
36137,-0.765,-0.081,0.532,-28.947,40.87,-63.298,0,59
36197,-0.711,-0.433,0.436,-31.618,52.069,-65.244,0,107
36248,-0.778,-0.113,0.539,-34.71,58.481,-69.817,126,106
36299,-0.637,-0.683,0.401,-28.641,65.252,-62.366,134,102
36355,-0.713,-0.102,0.446,-19.802,78.611,-39.489,0,99
36409,-0.928,0.082,0.326,-31.481,34.771,-10.88,0,95
36454,-0.949,-0.309,0.144,-9.422,28.618,-32.931,26,91
36508,-1.131,-0.599,0.077,7.871,103.351,-34.802,0,88
36554,-1.436,-0.243,0.172,13.172,82.756,-15.089,22,83
36598,-1.138,-0.114,-0.016,7.684,33.046,-10.216,22,84
36642,-0.919,0.002,-0.124,1.878,54.679,4.558,23,85
36686,-1.039,-0.318,0.006,-13.373,56.992,-16.205,23,82
36730,-1.02,-0.667,0.049,-25.81,47.099,-27.876,29,76
36773,-1.063,-0.025,-0.023,22.402,33.786,4.482,20,84
36816,-0.984,-0.529,-0.093,1.926,27.397,-8.116,21,66
36860,-0.979,-0.684,-0.08,-11.661,-25.5,-3.848,21,79
36903,-0.894,-0.236,-0.156,12.374,18.015,1.682,20,79
36950,-0.954,-0.284,-0.135,10.773,14.493,-1.678,21,79
36994,-0.969,-0.665,-0.126,-9.535,-10.578,-6.421,21,75
37038,-0.971,-0.558,-0.133,-13.781,-0.088,-3.156,20,78
37082,-1.021,-0.115,-0.123,-5.203,6.048,8.002,42,82
37126,-0.972,-0.485,-0.14,-19.25,-12.713,0.302,22,78
37170,-0.931,-0.373,-0.162,-14.012,-0.907,4.949,21,80
37213,-0.954,-0.517,-0.119,-15.524,-1.059,2.866,22,78
37257,-0.959,0.105,-0.113,5.663,3.779,14.005,20,79
37300,-0.916,-0.435,-0.143,-13.979,-13.09,-1.543,20,81
37357,-0.942,-0.598,-0.12,-20.028,-18.751,-4.594,0,78
37401,-0.942,-0.61,-0.142,-20.732,-18.535,-1.938,19,77
37444,-0.941,-0.714,-0.117,-18.848,-17.529,-1.068,21,76
37488,-0.976,-0.403,-0.075,-9.94,-8.637,-0.255,21,80
37532,-0.985,-0.32,-0.086,-6.026,-15.73,-0.802,22,81
37576,-0.936,-0.346,-0.11,-3.669,-15.357,0.588,23,82
37620,-0.981,0.195,-0.069,3.951,9.325,3.892,22,87
37664,-0.975,-0.569,-0.087,-12.203,-35.801,-3.687,21,79
37719,-0.99,-0.453,-0.051,-9.04,-28.456,1.356,0,82
37767,-0.957,-0.752,-0.04,-15.639,-50.666,-6.748,41,79
37812,-0.954,-0.396,-0.02,-8.287,-27.552,2.841,41,83
37866,-0.961,0.122,-0.007,1.356,10.334,18.079,0,89
37920,-0.931,-0.462,-0.03,-6.902,-28.521,-0.919,0,84
38008,-0.911,-0.283,0.029,-3.774,-27.325,-0.057,21,85
38052,-0.942,-0.157,0.074,0.135,-14.357,5.333,20,87
38096,-0.992,0.358,0.101,14.284,27.173,20.194,21,94
38140,-0.996,0.39,0.1,27.426,24.303,26.374,24,97
38189,-1.015,-0.765,0.177,-30.437,-75.419,-18.333,22,84
38234,-1.203,0.306,0.396,24.313,57.278,61.146,26,98
38288,-1.373,-0.039,0.607,46.534,-48.473,26.015,0,96
38343,-1.585,-0.393,0.562,104.908,-78.847,50.481,0,96
38394,-1.229,-0.381,0.279,143.115,-140.924,59.626,133,102
