Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26006,-0.131,-0.979,0.159,-0.544,-11.564,0.626,175,71
26058,-0.127,-0.98,0.144,0.231,-5.862,2.836,0,69
26110,-0.129,-0.98,0.149,1.095,-2.818,3.797,0,64
26163,-0.125,-0.982,0.14,0.536,-2.245,1.0,0,65
26215,-0.132,-0.987,0.165,1.933,1.161,5.006,0,65
26267,-0.124,-0.981,0.164,1.678,-0.748,2.236,0,65
26320,-0.127,-0.978,0.158,-0.383,-0.293,-0.522,0,65
26373,-0.137,-0.984,0.166,0.02,0.615,-2.445,0,64
26428,-0.142,-0.977,0.166,0.237,1.999,0.84,0,65
26480,-0.145,-0.99,0.167,0.08,1.228,-3.068,0,69
26532,-0.152,-0.979,0.163,0.005,1.675,-0.57,0,71
26587,-0.156,-0.994,0.165,-0.193,-0.037,-2.179,0,94
26640,-0.157,-0.983,0.173,-0.003,-1.234,-1.322,0,71
26692,-0.157,-0.983,0.167,0.007,-3.141,0.539,0,69
26744,-0.144,-0.996,0.172,0.072,-1.663,1.745,0,65
26798,-0.141,-0.981,0.156,-0.12,-5.273,1.093,0,64
26850,-0.143,-0.972,0.167,-0.619,-4.528,2.355,0,65
26905,-0.142,-0.979,0.163,0.664,0.852,7.069,0,65
26957,-0.132,-0.983,0.164,-0.466,-4.487,2.455,0,67
27011,-0.133,-0.977,0.157,0.067,0.286,4.987,0,68
27063,-0.14,-0.987,0.167,0.338,1.255,5.846,0,68
27116,-0.136,-0.985,0.166,0.016,-1.204,4.129,0,69
27168,-0.129,-0.988,0.156,0.218,-0.802,2.176,0,70
27222,-0.145,-0.98,0.167,-0.164,-0.894,1.119,0,68
27274,-0.135,-0.987,0.178,-0.338,-1.813,-0.519,0,69
27327,-0.148,-0.989,0.163,1.224,0.248,0.241,0,66
27382,-0.146,-0.975,0.166,-0.817,-6.651,-5.008,0,65
27435,-0.201,-0.99,0.148,-21.362,-25.528,-42.908,5,24
27488,-0.484,-0.991,0.133,12.302,65.267,43.412,0,70
27542,-1.433,-1.042,-0.059,46.817,216.298,96.924,0,96
27596,-1.914,-1.076,0.863,-2.559,72.267,184.611,0,105
27651,-0.76,-1.552,0.618,9.142,-223.305,222.756,0,92
27704,0.809,-1.061,-0.373,93.351,-139.267,109.794,0,78
27759,-0.055,-0.812,-0.683,85.84,76.603,73.038,0,94
27812,-0.914,-0.628,0.805,-49.351,-36.885,53.221,0,83
27872,-0.403,-0.776,0.55,16.651,-166.794,33.053,0,121
27925,-0.226,-0.365,0.091,44.336,64.965,20.565,0,84
27981,-0.704,-0.281,0.182,25.807,30.458,26.538,0,117
28035,-0.722,-0.256,0.676,-28.443,-68.519,30.364,0,82
28089,-0.521,-0.568,0.592,-11.287,-67.824,-19.914,0,80
28142,-0.655,-0.635,0.577,3.498,-26.536,-9.342,0,82
28196,-0.724,-0.587,0.761,-0.321,-47.058,8.438,0,81
28250,-0.386,-0.64,0.594,3.31,-40.42,-14.078,0,82
28304,-0.212,-0.343,0.471,10.841,28.098,-0.169,0,89
28360,-0.698,-0.33,0.844,-12.07,20.641,-25.383,0,83
28414,-0.729,-0.572,0.773,-1.341,-42.214,-33.351,0,82
28470,-0.347,-0.641,0.493,7.643,-0.727,7.573,0,101
28523,-0.4,-0.373,0.805,5.765,5.195,6.19,0,89
28577,-0.449,-0.38,0.708,7.455,-6.914,-20.31,0,86
28632,-0.608,-0.635,0.72,9.489,-5.444,-10.418,0,89
28728,-0.426,-0.32,0.843,0.505,0.813,-5.177,0,80
28782,-0.536,-0.448,0.82,11.73,5.686,-9.399,0,81
28835,-0.515,-0.496,0.673,13.75,5.616,-7.433,0,80
28893,-0.498,-0.646,0.545,5.409,12.341,-14.055,0,80
28946,-0.329,-0.455,0.782,2.689,-17.195,13.282,0,82
29000,-0.482,-0.292,0.842,-7.533,8.914,-43.191,0,91
29054,-0.705,-0.644,0.631,26.467,30.059,11.953,0,84
29108,-0.231,-0.723,0.551,22.158,-9.323,28.335,0,82
29162,-0.475,-0.25,0.851,-5.727,19.916,-17.737,0,84
29216,-0.664,-0.64,0.724,30.017,12.736,-32.0,0,91
29271,-0.172,-0.699,0.512,14.534,1.096,24.48,0,81
29325,-0.247,-0.413,0.742,9.209,-0.647,-41.718,0,98
29382,-0.619,-0.473,0.787,1.489,34.908,-23.199,0,83
29436,-0.441,-0.789,0.808,5.716,-21.597,-11.187,0,92
29491,-0.221,-0.456,0.983,15.706,-13.426,-23.172,0,86
29545,-0.563,-0.336,0.73,28.481,35.779,-43.313,0,85
29599,-0.697,-0.463,0.603,15.356,-22.297,-17.234,0,80
29652,-0.476,-0.447,0.705,-7.816,-31.588,2.519,0,80
29707,-0.445,-0.319,0.958,-18.655,-36.023,2.216,0,84
29761,-0.333,-0.453,0.657,-4.23,-37.458,-21.383,0,90
29818,-0.4,-0.577,0.79,-8.303,-19.578,27.649,0,83
29873,-0.097,-0.377,0.732,-15.137,-52.908,25.712,0,89
29927,-0.062,-0.365,0.749,-2.355,-1.274,15.463,0,85
29981,-0.38,-0.534,0.791,-15.03,25.542,1.608,0,89
30035,-0.518,-0.585,0.844,-24.188,-27.313,10.374,0,85
30094,-0.259,-0.393,0.815,-9.509,-14.258,35.351,0,155
30149,-0.197,-0.462,0.715,-14.202,-0.694,20.729,0,91
30199,-0.161,-0.639,0.598,-27.489,-19.219,3.139,126,96
30254,-0.15,-0.681,0.558,-40.527,-11.466,-14.52,0,87
30311,-0.281,-0.559,0.564,-58.214,22.916,-15.147,0,86
30365,-0.324,-0.637,0.515,-68.496,21.603,-4.247,0,85
30419,-0.387,-0.762,0.676,-83.145,30.176,-18.971,0,85
30474,-0.233,-0.797,0.517,-71.969,31.822,-10.809,0,82
30528,-0.378,-0.88,0.442,-73.359,23.443,-14.964,0,80
30582,-0.355,-0.847,0.49,-75.076,-5.864,-21.95,0,82
30636,-0.186,-0.875,0.412,-66.603,-1.086,1.085,0,70
30689,-0.218,-0.882,0.307,-62.847,9.799,-0.264,0,70
30742,-0.267,-0.996,0.301,-59.412,9.516,-1.952,0,66
30798,-0.23,-1.132,0.183,-56.947,0.193,3.492,0,64
30852,-0.231,-0.954,0.142,-54.931,12.282,-30.382,0,61
30905,-0.26,-0.949,0.087,-48.29,11.06,-17.055,0,59
30957,-0.428,-1.064,0.02,-39.084,33.748,-43.382,0,57
31010,-0.399,-0.986,0.006,-33.664,46.626,-36.42,0,55
31060,-0.388,-0.938,0.075,-37.191,42.649,5.457,162,54
31111,-0.414,-0.999,0.026,-26.908,13.551,-3.471,164,52
31163,-0.313,-0.99,-0.142,-31.844,43.786,-6.254,0,51
31216,-0.431,-1.059,-0.055,-22.03,45.656,3.232,0,51
31271,-0.362,-1.037,-0.046,-10.294,22.84,12.841,0,52
31326,-0.286,-1.057,-0.114,0.128,10.788,12.263,0,76
31381,-0.323,-0.971,-0.069,7.719,26.519,28.391,0,98
31478,-0.377,-0.923,-0.095,-2.957,38.145,27.031,0,92
31533,-0.414,-0.942,-0.177,24.336,55.031,40.397,5,24
31587,-0.475,-0.994,-0.096,29.969,53.427,62.748,0,75
31640,-0.347,-1.003,-0.148,48.053,91.389,87.435,0,76
31694,-0.809,-1.086,0.005,83.916,153.947,135.168,0,81
31749,-1.566,-1.042,0.447,70.122,119.672,183.756,0,78
31806,-1.718,-1.116,0.277,108.847,-13.942,250.13,197,84
31858,-1.184,-1.035,-0.165,138.13,-32.435,250.13,144,90
31909,-1.017,-0.696,-0.174,130.992,12.387,250.13,133,99
31962,-0.948,-0.566,-0.173,77.916,-29.756,250.13,124,111
32011,-0.657,-0.374,-0.267,43.336,-62.412,250.13,118,64
32060,-0.182,-0.142,-0.126,28.992,-38.031,250.13,134,70
32114,-0.059,0.189,-0.212,46.206,-37.74,167.252,0,79
32160,-0.115,0.862,0.014,-19.202,-94.466,85.153,37,99
32210,0.016,0.947,-0.115,-8.316,-66.008,56.183,34,114
