Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26006,-0.131,-0.979,0.159,0.465,-4.355,5.275,175,71
26058,-0.127,-0.98,0.144,-2.222,-15.721,-5.052,0,69
26110,-0.129,-0.98,0.149,2.386,1.377,7.673,0,64
26163,-0.125,-0.982,0.14,-1.66,-6.597,-3.827,0,65
26215,-0.132,-0.987,0.165,1.622,0.669,4.24,0,65
26267,-0.124,-0.981,0.164,0.655,-1.856,0.438,0,65
26320,-0.127,-0.978,0.158,-0.542,-0.472,-0.745,0,65
26373,-0.137,-0.984,0.166,-0.536,-0.157,-3.516,0,64
26428,-0.142,-0.977,0.166,0.528,2.311,1.225,0,65
26480,-0.145,-0.99,0.167,0.93,2.405,-0.328,0,69
26532,-0.152,-0.979,0.163,-0.525,0.839,-3.055,0,71
26587,-0.156,-0.994,0.165,-0.895,-1.56,-4.968,0,93
26640,-0.157,-0.983,0.173,1.216,2.151,2.441,0,71
26692,-0.157,-0.983,0.167,0.489,-0.851,2.088,0,69
26744,-0.144,-0.996,0.172,-0.028,-2.585,1.312,0,65
26798,-0.141,-0.981,0.156,-0.616,-8.154,-0.445,0,64
26850,-0.143,-0.972,0.167,-0.808,-5.653,1.723,0,65
26905,-0.142,-0.979,0.163,-0.04,-4.284,4.003,0,65
26957,-0.132,-0.983,0.164,-0.213,-3.278,3.288,0,67
27011,-0.133,-0.977,0.157,-1.683,-8.27,-0.961,0,68
27063,-0.14,-0.987,0.167,-0.132,-1.336,3.976,0,68
27116,-0.136,-0.985,0.166,0.36,-0.443,4.791,0,69
27168,-0.129,-0.988,0.156,0.648,0.419,3.197,0,70
27222,-0.145,-0.98,0.167,0.444,0.459,2.23,0,68
27274,-0.135,-0.987,0.178,0.586,-0.177,0.933,0,69
27327,-0.148,-0.989,0.163,1.445,0.932,0.748,0,66
27382,-0.146,-0.975,0.166,-1.756,-10.225,-8.614,0,65
27435,-0.201,-0.99,0.148,1.336,14.239,9.517,0,65
27488,-0.62,-0.991,0.133,-7.548,65.267,43.412,0,70
27542,-1.433,-1.042,-0.059,46.817,216.298,96.924,0,94
27596,-1.914,-1.076,0.863,-21.609,72.267,184.611,0,104
27651,-0.76,-1.552,0.618,7.275,-223.305,222.756,0,91
27704,0.809,-1.061,-0.373,93.351,-139.267,109.794,0,78
27759,-0.055,-0.812,-0.683,85.84,76.603,73.038,0,94
27812,-0.914,-0.54,0.805,-49.351,-36.885,53.221,0,83
27872,-0.318,-0.686,0.55,20.134,-166.794,33.053,0,121
27925,-0.226,-0.641,0.091,44.336,-66.237,-31.208,0,84
27981,-0.704,-0.618,0.182,-6.425,30.458,-13.296,0,117
