Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26006,-0.131,-0.979,0.159,0.031,-7.092,3.489,175.0,71.0
26058,-0.127,-0.980,0.144,0.366,-5.229,3.336,0.0,69.0
26110,-0.129,-0.980,0.149,0.885,-3.618,3.061,0.0,64.0
26163,-0.125,-0.982,0.140,1.298,-0.550,2.901,0.0,65.0
26215,-0.132,-0.987,0.165,0.786,-0.458,2.672,0.0,65.0
26267,-0.124,-0.981,0.164,0.969,-1.519,0.962,0.0,65.0
26320,-0.127,-0.978,0.158,-0.069,0.115,0.076,0.0,65.0
26373,-0.137,-0.984,0.166,0.534,1.466,-1.130,0.0,64.0
26428,-0.142,-0.977,0.166,-0.588,0.695,-2.084,0.0,65.0
26480,-0.145,-0.990,0.167,-0.115,0.931,-3.855,0.0,69.0
26532,-0.152,-0.979,0.163,-0.626,0.695,-3.427,0.0,71.0
26587,-0.156,-0.994,0.165,-0.275,-0.244,-2.580,0.0,94.0
26640,-0.157,-0.983,0.173,0.099,-0.893,-0.939,0.0,71.0
26692,-0.157,-0.983,0.167,0.099,-2.580,0.908,0.0,69.0
26744,-0.144,-0.996,0.172,-0.160,-3.275,0.954,0.0,65.0
26798,-0.141,-0.981,0.156,-0.008,-4.336,1.565,0.0,64.0
26850,-0.143,-0.972,0.167,-0.595,-4.336,2.458,0.0,65.0
26905,-0.142,-0.979,0.163,-0.221,-5.290,3.382,0.0,65.0
26957,-0.132,-0.983,0.164,-0.435,-4.313,2.573,0.0,67.0
27011,-0.133,-0.977,0.157,-0.611,-3.405,2.450,0.0,68.0
27063,-0.140,-0.987,0.167,-0.611,-3.214,2.573,0.0,68.0
27116,-0.136,-0.985,0.166,-0.565,-3.588,2.176,0.0,69.0
27168,-0.129,-0.988,0.156,0.031,-1.527,1.588,0.0,70.0
27222,-0.145,-0.980,0.167,-0.122,-0.786,1.206,0.0,68.0
27274,-0.135,-0.987,0.178,0.160,-0.885,0.298,0.0,69.0
27327,-0.148,-0.989,0.163,1.069,-0.450,-0.244,0.0,66.0
27382,-0.146,-0.975,0.166,0.435,-1.008,0.588,0.0,65.0
27435,-0.201,-0.990,0.148,0.099,12.099,6.687,0.0,65.0
27488,-0.508,-0.991,0.133,8.557,65.267,43.412,0.0,70.0
27542,-1.433,-1.042,-0.059,46.817,216.298,96.924,0.0,96.0
27596,-1.914,-1.076,0.863,-20.725,72.267,184.611,0.0,104.0
27651,-0.760,-1.552,0.618,4.901,-223.305,222.756,0.0,91.0
27704,0.809,-1.061,-0.373,93.351,-139.267,109.794,0.0,78.0
27759,-0.055,-0.812,-0.683,85.840,76.603,73.038,0.0,94.0
27812,-0.914,-0.553,0.805,-49.351,-36.885,53.221,0.0,83.0
27872,-0.365,-0.737,0.550,18.382,-166.794,33.053,0.0,121.0
27925,-0.226,-0.538,0.091,44.336,-23.519,-14.298,0.0,84.0
27981,-0.704,-0.418,0.182,11.191,30.458,8.496,0.0,117.0
28035,-0.722,-0.256,0.676,-28.443,-68.519,18.557,0.0,82.0
28089,-0.427,-0.482,0.592,-4.878,-67.824,-11.947,0.0,80.0
28142,-0.655,-0.640,0.577,3.153,-28.084,-9.740,0.0,82.0
28196,-0.724,-0.506,0.761,3.550,-24.344,15.282,0.0,81.0
28250,-0.269,-0.520,0.594,9.916,-40.420,-2.267,0.0,82.0
28304,-0.212,-0.429,0.471,6.473,10.588,-11.344,0.0,89.0
28360,-0.698,-0.330,0.844,-12.092,20.641,-25.427,0.0,83.0
28414,-0.729,-0.572,0.773,-1.344,-42.214,-33.351,0.0,82.0
28470,-0.379,-0.678,0.493,6.046,-4.840,2.977,0.0,101.0
28523,-0.449,-0.373,0.805,3.473,-0.229,-0.115,0.0,89.0
28577,-0.479,-0.380,0.708,5.725,-8.260,-23.427,0.0,86.0
28632,-0.608,-0.655,0.720,8.595,-6.046,-11.969,0.0,89.0
28728,-0.482,-0.320,0.843,-3.473,-1.557,-11.908,0.0,80.0
28782,-0.543,-0.455,0.820,11.214,5.290,-10.000,0.0,81.0
28835,-0.548,-0.547,0.673,10.916,2.038,-11.267,0.0,80.0
28893,-0.466,-0.576,0.545,9.397,18.176,-5.809,0.0,80.0
28946,-0.335,-0.472,0.782,1.282,-19.137,10.618,0.0,82.0
29000,-0.480,-0.292,0.842,-5.550,12.160,-43.191,0.0,91.0
29054,-0.705,-0.705,0.631,15.977,8.573,-12.061,0.0,84.0
29108,-0.231,-0.731,0.551,13.947,-18.427,12.252,0.0,82.0
29162,-0.453,-0.250,0.851,0.679,19.916,-9.466,0.0,84.0
29216,-0.664,-0.653,0.724,18.763,-1.969,-32.000,0.0,90.0
29271,-0.172,-0.735,0.512,7.641,-11.031,8.244,0.0,81.0
29325,-0.298,-0.445,0.742,3.412,-7.176,-41.718,0.0,98.0
29382,-0.619,-0.386,0.787,11.504,34.908,-9.481,0.0,83.0
29436,-0.383,-0.700,0.808,15.885,-9.527,3.557,0.0,92.0
29491,-0.221,-0.419,0.983,20.534,-7.626,-18.321,0.0,86.0
29545,-0.563,-0.336,0.730,28.481,35.779,-43.313,0.0,85.0
29599,-0.697,-0.464,0.603,15.214,-22.519,-17.389,0.0,80.0
29652,-0.452,-0.409,0.705,-4.473,-31.588,7.191,0.0,80.0
29707,-0.422,-0.319,0.958,-15.947,-36.023,6.748,0.0,84.0
29761,-0.337,-0.464,0.657,-5.046,-37.458,-22.611,0.0,90.0
29818,-0.398,-0.568,0.790,-7.489,-19.405,27.649,0.0,83.0
29873,-0.097,-0.440,0.732,-21.481,-52.908,18.481,0.0,89.0
29927,-0.062,-0.485,0.749,-16.145,-3.481,1.481,0.0,85.0
29981,-0.379,-0.524,0.791,-13.756,25.542,2.847,0.0,89.0
30035,-0.496,-0.489,0.844,-13.198,-20.466,22.634,0.0,85.0
30094,-0.286,-0.460,0.815,-18.489,-21.519,35.351,0.0,155.0
30149,-0.197,-0.457,0.715,-13.366,-0.267,21.473,0.0,91.0
30199,-0.161,-0.533,0.598,-27.489,-9.198,17.924,126.0,96.0
30254,-0.150,-0.520,0.558,-40.527,5.595,3.053,0.0,88.0
30311,-0.250,-0.519,0.564,-58.214,22.916,-10.672,0.0,86.0
30365,-0.348,-0.667,0.515,-68.496,21.603,-8.290,0.0,85.0
30419,-0.359,-0.762,0.676,-83.145,30.176,-13.046,0.0,85.0
30474,-0.273,-0.797,0.517,-71.969,17.656,-20.840,0.0,82.0
30528,-0.333,-0.880,0.442,-73.359,23.443,-5.557,0.0,80.0
30582,-0.342,-0.847,0.490,-75.076,-3.084,-19.786,0.0,82.0
30636,-0.186,-0.875,0.360,-66.603,-8.412,-2.740,0.0,70.0
30689,-0.218,-0.882,0.354,-62.847,15.038,3.405,0.0,70.0
30742,-0.249,-0.996,0.319,-59.412,11.832,0.076,0.0,66.0
30798,-0.230,-1.132,0.183,-56.947,-5.519,-4.290,0.0,64.0
30852,-0.231,-0.954,0.142,-54.931,6.115,-30.382,0.0,61.0
30905,-0.275,-0.949,0.087,-48.290,6.405,-23.557,0.0,59.0
30957,-0.364,-1.064,0.020,-39.084,33.748,-43.382,0.0,57.0
31010,-0.378,-0.986,0.006,-33.664,46.626,-36.420,0.0,55.0
31060,-0.454,-0.938,0.075,-37.191,42.649,-13.130,162.0,54.0
31111,-0.405,-0.999,0.026,-26.908,18.618,-1.580,164.0,52.0
31163,-0.250,-0.990,-0.142,-14.115,43.786,4.565,0.0,51.0
31216,-0.364,-1.059,-0.055,-8.847,45.656,17.008,0.0,51.0
31271,-0.335,-1.037,-0.046,-6.794,22.840,20.420,0.0,52.0
31326,-0.271,-1.057,-0.114,2.275,19.382,18.084,0.0,76.0
31381,-0.339,-0.971,-0.069,4.305,26.519,20.313,0.0,98.0
