Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33027,-0.194,-0.891,0.233,-11.776,-40.648,-1.677,121,102
33080,-0.18,-1.021,0.294,-4.351,-3.028,0.288,0,81
33133,-0.196,-1.158,0.298,-21.794,-67.916,-9.553,0,76
33186,-0.041,-0.893,0.09,8.784,-67.29,-0.907,0,72
33239,0.039,-0.9,0.035,6.903,-6.262,10.663,0,71
33292,-0.136,-1.016,0.104,1.039,46.634,-6.321,0,72
33344,-0.217,-0.996,0.153,0.995,49.565,-23.471,0,72
33395,-0.198,-0.965,0.233,0.66,24.466,-7.979,111,71
33442,-0.202,-0.992,0.247,-0.311,-3.335,-4.006,111,72
33490,-0.138,-0.998,0.136,1.576,-23.545,-11.41,112,70
33543,-0.13,-1.0,0.09,1.694,-17.692,-14.78,0,71
33596,-0.142,-0.978,0.111,1.655,7.257,-4.179,0,72
33644,-0.135,-0.976,0.168,3.613,15.657,6.136,113,76
33691,-0.159,-0.986,0.16,2.305,-9.424,4.043,111,76
33739,-0.105,-0.997,0.122,0.727,-12.058,4.999,113,73
33793,-0.203,-0.994,0.121,-1.262,-19.829,-3.762,5,22
33848,-0.181,-0.978,0.136,-1.199,-9.746,4.458,0,73
33896,-0.119,-0.979,0.124,-1.582,-12.183,6.663,111,72
33944,-0.103,-0.991,0.106,-1.399,-5.839,3.667,112,73
33991,-0.126,-0.991,0.123,-2.576,-2.314,-0.975,110,73
34039,-0.103,-0.994,0.136,-1.134,-1.828,-1.799,110,73
34086,-0.093,-0.993,0.14,-0.209,-1.724,-1.29,110,73
34135,-0.073,-0.997,0.137,0.194,-1.118,-0.202,110,72
34183,-0.172,-1.003,0.133,-1.706,-1.602,-12.284,110,73
34230,-0.157,-0.985,0.132,0.625,-1.329,-8.471,110,73
34281,-0.061,-0.991,0.125,3.655,0.861,2.496,110,78
34329,-0.107,-0.99,0.129,3.131,2.067,-2.537,110,77
34377,-0.093,-0.978,0.12,2.663,3.608,-1.044,111,78
34424,-0.111,-0.993,0.122,1.817,0.135,-0.512,112,74
34478,-0.117,-0.987,0.112,1.399,-2.445,-1.346,0,75
34531,-0.14,-0.994,0.102,-0.571,0.018,-1.483,0,74
34584,-0.132,-0.992,0.129,0.449,0.645,-1.184,0,73
34637,-0.164,-0.989,0.113,-0.519,-1.333,-2.386,0,73
34691,-0.133,-0.991,0.124,0.601,1.995,-0.533,0,75
34746,-0.145,-1.0,0.119,1.464,5.812,-3.427,0,73
34799,-0.177,-0.973,0.131,-0.277,3.619,-5.191,0,73
34852,-0.184,-0.987,0.135,-0.199,-0.181,-3.033,0,73
34906,-0.154,-0.985,0.137,1.502,6.913,5.424,0,73
34959,-0.132,-0.976,0.146,5.778,9.834,21.73,0,76
35011,-0.252,-0.974,0.15,4.251,11.643,16.085,0,73
35065,-0.503,-1.007,0.335,9.481,16.486,45.321,0,82
35119,-0.921,-0.968,0.48,21.985,47.763,119.802,0,79
35174,-1.478,-1.118,0.558,59.267,3.054,202.427,0,116
35230,-1.47,-1.258,0.408,91.45,-55.29,250.13,0,68
35283,-1.154,-1.272,0.115,96.649,-90.504,250.13,0,75
35334,-0.602,-0.85,-0.056,89.366,-90.397,250.13,137,77
35383,-0.381,-0.612,-0.051,55.977,-66.084,228.58,130,67
35439,-0.278,-0.476,-0.044,21.702,-23.985,148.977,0,127
35482,-0.376,-0.399,0.299,-32.443,-35.806,96.748,40,47
35524,-0.573,0.164,0.783,-21.481,-48.183,56.969,36,48
35609,-0.408,0.305,0.567,-16.351,-13.75,-14.66,32,52
35652,-0.672,0.309,0.622,5.619,26.13,6.986,36,50
35697,-0.716,0.323,0.623,-17.177,-31.606,-1.929,34,52
35740,-0.591,0.305,0.538,-15.789,-18.583,-3.675,37,51
35782,-0.574,0.25,0.578,-18.855,15.904,-8.812,36,53
35835,-0.688,0.244,0.672,-19.374,17.153,2.11,0,65
35892,-0.622,0.212,0.607,-17.809,8.414,-19.819,0,62
35936,-0.627,0.21,0.62,-14.893,33.611,-28.356,37,68
35978,-0.692,0.169,0.569,10.51,23.183,-32.725,32,51
36030,-0.567,0.172,0.463,-21.847,27.046,-42.389,0,51
36082,-0.662,0.039,0.44,-29.099,55.771,-47.718,0,57
36137,-0.765,-0.081,0.532,-28.947,40.87,-63.298,0,59
36197,-0.711,-0.183,0.436,-31.618,52.069,-65.244,0,107
36248,-0.778,-0.366,0.539,-34.71,58.481,-69.817,126,106
36299,-0.637,-0.235,0.401,-28.641,65.252,-62.366,134,102
36355,-0.713,-0.102,0.261,-19.802,78.611,-39.489,0,99
36409,-0.928,0.082,0.264,-31.481,34.771,-29.229,0,95
36454,-0.949,-0.346,0.144,-11.236,28.618,-32.931,26,91
36508,-1.131,-0.599,0.077,2.728,103.351,-34.802,0,87
36554,-1.436,-0.176,0.172,16.482,82.756,-4.303,22,83
36598,-1.138,-0.305,-0.016,0.616,33.046,-30.413,22,82
36642,-0.919,-0.076,-0.124,-0.306,54.679,0.806,23,83
