Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26006,-0.131,-0.979,0.159,0.316,-4.327,5.23,175,71
26058,-0.127,-0.98,0.144,0.742,-3.175,4.943,0,69
26110,-0.129,-0.98,0.149,0.865,-3.708,2.979,0,64
26163,-0.125,-0.982,0.14,1.708,0.444,4.024,0,65
26215,-0.132,-0.987,0.165,0.267,-1.227,1.524,0,65
26267,-0.124,-0.981,0.164,0.793,-1.714,0.619,0,65
26320,-0.127,-0.978,0.158,0.551,0.96,1.379,0,65
26373,-0.137,-0.984,0.166,0.551,1.498,-1.078,0,64
26428,-0.142,-0.977,0.166,-0.651,0.583,-2.358,0,65
26480,-0.145,-0.99,0.167,0.087,1.269,-2.865,0,69
26532,-0.152,-0.979,0.163,-0.549,0.83,-2.984,0,71
26587,-0.156,-0.994,0.165,-0.407,-0.665,-3.446,0,94
26640,-0.157,-0.983,0.173,0.013,-1.267,-1.363,0,71
26692,-0.157,-0.983,0.167,0.181,-1.824,1.388,0,69
26744,-0.144,-0.996,0.172,-0.149,-3.17,1.003,0,65
26798,-0.141,-0.981,0.156,-0.133,-5.802,0.854,0,64
26850,-0.143,-0.972,0.167,-0.67,-5.136,2.04,0,65
26905,-0.142,-0.979,0.163,-0.054,-3.822,4.242,0,65
26957,-0.132,-0.983,0.164,-0.37,-3.871,2.866,0,67
27011,-0.133,-0.977,0.157,-0.661,-3.731,2.23,0,68
27063,-0.14,-0.987,0.167,-0.71,-3.778,2.167,0,68
27116,-0.136,-0.985,0.166,-0.978,-5.677,0.487,5,24
27168,-0.129,-0.988,0.156,-0.078,-2.069,1.156,0,70
27222,-0.145,-0.98,0.167,-0.299,-1.322,0.787,0,68
27274,-0.135,-0.987,0.178,0.164,-0.876,0.306,0,69
27327,-0.148,-0.989,0.163,1.041,-0.607,-0.35,0,66
27382,-0.146,-0.975,0.166,0.885,1.149,2.716,0,65
27435,-0.201,-0.99,0.148,1.006,13.708,8.802,0,65
27488,-0.502,-0.991,0.133,9.67,65.267,43.412,0,70
27542,-1.433,-1.042,-0.059,46.817,216.298,96.924,0,96
27596,-1.914,-1.076,0.863,-17.046,72.267,184.611,0,104
27651,-0.76,-1.552,0.618,5.081,-223.305,222.756,0,91
27704,0.809,-1.061,-0.373,93.351,-139.267,109.794,0,78
27759,-0.055,-0.812,-0.683,85.84,76.603,73.038,0,94
27812,-0.914,-0.555,0.805,-49.351,-36.885,53.221,0,83
27872,-0.379,-0.749,0.55,17.645,-166.794,33.053,0,121
27925,-0.226,-0.533,0.091,44.336,-20.077,-12.947,0,84
27981,-0.704,-0.432,0.182,9.384,30.458,6.27,0,117
28035,-0.722,-0.256,0.676,-28.443,-68.519,18.284,0,82
28089,-0.45,-0.502,0.592,-6.687,-67.824,-14.202,0,80
28142,-0.655,-0.724,0.577,-4.533,-62.995,-18.619,5,25
28196,-0.724,-0.48,0.761,5.028,-15.468,17.928,0,81
28250,-0.241,-0.491,0.594,11.804,-40.42,1.141,0,82
28304,-0.212,-0.409,0.471,7.663,15.443,-8.256,0,89
28360,-0.698,-0.33,0.844,-9.408,20.641,-19.841,0,83
28414,-0.729,-0.612,0.773,-3.483,-42.214,-33.351,0,82
