Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24361,-0.266,-0.848,-0.048,13.412,-21.023,-7.344,0.0,127.0
24418,-0.243,-0.780,0.085,-11.809,-40.985,33.511,0.0,134.0
24475,-0.055,-1.121,-0.228,-5.771,-47.374,35.206,0.0,141.0
24532,-0.272,-1.175,-0.436,-17.053,11.962,58.412,0.0,158.0
24591,-0.739,-1.284,-0.269,-64.588,66.893,186.947,0.0,166.0
24646,-0.994,-1.786,-0.462,-12.527,13.809,168.061,0.0,95.0
24700,-0.266,-0.033,0.966,-36.908,-70.145,113.977,0.0,102.0
24757,0.179,-0.882,-0.583,-20.137,-250.137,25.435,0.0,72.0
24812,0.118,-0.466,-0.473,51.985,-20.740,-31.366,0.0,58.0
24865,-0.902,-0.657,0.366,-18.611,92.969,53.359,0.0,71.0
24922,-1.083,-1.149,0.441,24.878,-77.076,-19.977,0.0,66.0
24974,-0.605,-0.910,0.004,44.359,-65.672,-39.435,0.0,66.0
25031,-0.725,-0.800,0.072,38.565,15.473,-30.672,0.0,75.0
25083,-0.451,-0.687,0.028,35.641,-43.718,9.397,0.0,61.0
25139,-0.217,-0.860,-0.054,17.427,-14.969,-3.939,0.0,60.0
25192,-0.338,-0.650,0.122,11.137,55.954,-9.366,0.0,65.0
25247,-0.752,-0.675,0.363,-0.069,52.809,-19.122,0.0,71.0
25304,-0.735,-0.554,0.296,14.115,5.069,-2.870,0.0,64.0
25357,-0.646,-0.562,0.164,-6.153,-4.397,-11.008,0.0,66.0
25413,-0.631,-0.606,0.155,-19.130,0.351,3.473,0.0,74.0
25466,-0.627,-0.750,0.265,-25.206,-24.702,1.710,0.0,71.0
25523,-0.443,-0.649,0.243,-21.458,-28.611,-6.611,0.0,70.0
25576,-0.541,-0.690,0.188,-15.588,7.328,-19.832,0.0,82.0
25629,-1.400,-0.313,0.401,-13.687,60.718,-9.809,0.0,73.0
25683,-2.000,-0.151,0.742,-13.779,56.962,12.931,0.0,75.0
25739,-1.170,-1.836,-0.346,97.534,-96.687,250.130,0.0,62.0
25795,-0.058,-1.861,-0.246,-16.779,-103.107,118.160,0.0,70.0
25845,0.210,-0.947,0.152,-34.870,-144.366,14.038,159.0,64.0
25896,0.158,-0.639,-0.050,-10.565,-89.435,-5.924,172.0,54.0
25949,-0.412,-0.463,0.221,-8.641,20.588,-22.137,0.0,56.0
26004,-0.838,-0.719,0.284,-6.947,8.084,-2.015,0.0,56.0
26056,-0.771,-0.508,0.569,-8.511,-31.832,33.519,0.0,54.0
26106,-0.526,-0.598,0.418,5.496,-22.817,2.176,156.0,55.0
26159,-0.535,-0.478,0.365,4.794,-4.382,-16.229,154.0,54.0
26209,-0.608,-0.547,0.415,-7.389,-13.008,-40.221,173.0,53.0
26261,-0.720,-0.341,0.582,0.229,-11.374,-59.664,0.0,52.0
26316,-0.628,-0.444,0.291,14.351,17.290,-33.901,0.0,54.0
26366,-0.770,-0.650,0.312,-0.160,23.420,-34.618,157.0,54.0
26417,-0.676,-0.398,0.656,-7.656,9.992,-13.733,159.0,52.0
26466,-0.869,-0.675,0.858,4.527,5.389,-29.771,161.0,52.0
26518,-0.717,-0.736,0.592,24.618,5.725,-36.504,0.0,51.0
26573,-0.740,-0.816,0.274,14.893,14.985,-37.863,0.0,55.0
26630,-0.617,-0.518,0.339,-16.626,-26.740,-43.015,0.0,55.0
26685,-0.287,-0.755,0.079,8.221,-21.695,-24.145,0.0,53.0
26738,-0.204,-0.783,0.177,-8.641,42.504,-7.191,0.0,67.0
26795,-0.596,-0.793,0.518,-16.290,43.153,-39.924,0.0,64.0
26847,-0.670,-0.606,0.525,-9.588,-4.962,-39.939,0.0,60.0
26904,-0.605,-0.582,0.277,-4.313,-1.824,-21.069,0.0,75.0
26957,-0.689,-0.584,0.224,-22.191,33.702,4.710,0.0,62.0
27014,-0.731,-0.710,0.558,-42.756,-18.275,28.817,0.0,67.0
27110,-0.347,-0.726,0.485,-7.458,-27.183,13.504,0.0,70.0
27165,-0.721,-0.720,0.682,19.595,30.298,22.511,0.0,63.0
27223,-1.200,-0.865,0.980,50.260,85.679,50.405,0.0,76.0
27276,-1.264,-1.040,0.608,123.450,105.740,143.176,0.0,80.0
27327,-1.153,-1.117,0.504,102.931,61.771,146.412,137.0,79.0
27376,-0.540,-0.606,0.113,91.160,-46.695,107.588,117.0,83.0
27426,-0.235,-0.420,-0.364,36.519,-57.527,78.573,143.0,75.0
27476,-0.159,-0.526,-0.111,-17.260,-63.069,47.290,144.0,70.0
27525,-0.579,-0.252,0.141,-4.603,-8.389,7.863,107.0,77.0
27576,-0.884,-0.028,0.569,-13.290,-2.626,46.969,105.0,70.0
27626,-0.778,-0.442,0.478,-17.962,-74.756,8.626,137.0,73.0
27674,-0.480,-0.176,0.252,-8.473,-36.947,-2.863,109.0,73.0
27724,-0.630,-0.117,0.380,-23.985,25.511,-5.504,135.0,88.0
27774,-0.940,-0.206,0.688,-27.435,-11.695,-23.214,135.0,88.0
27826,-0.759,-0.169,0.588,-20.229,-56.122,-27.893,134.0,88.0
27877,-0.598,-0.144,0.407,-7.641,-8.718,-12.840,135.0,93.0
27928,-0.770,-0.213,0.468,0.740,32.084,-0.840,135.0,101.0
27977,-0.903,-0.283,0.657,-2.939,5.237,-8.115,114.0,97.0
28033,-0.879,-0.375,0.780,-8.450,-7.924,-23.275,138.0,103.0
28088,-0.903,-0.453,0.776,-3.336,0.603,-43.664,0.0,103.0
28139,-0.808,-0.430,0.557,12.427,-8.947,-25.412,129.0,106.0
28190,-0.603,-0.358,0.433,6.947,-24.550,10.198,127.0,108.0
28242,-0.397,-0.417,0.283,-1.176,-0.115,0.634,124.0,123.0
28294,-0.671,-0.371,0.441,-17.008,25.504,-13.481,122.0,114.0
28346,-0.838,-0.257,0.636,-27.863,0.374,-4.023,121.0,117.0
28398,-0.758,-0.279,0.462,-23.359,-19.015,4.878,119.0,120.0
28453,-0.785,-0.308,0.377,-35.779,-4.092,27.344,119.0,138.0
28511,-0.906,-0.344,0.476,-47.557,-23.779,35.405,0.0,128.0
28567,-0.852,-0.356,0.449,-53.901,-28.931,45.908,0.0,135.0
28625,-0.899,-0.328,0.509,-49.595,-20.191,69.298,0.0,147.0
28683,-0.937,-0.314,0.615,-52.710,-30.588,95.504,0.0,147.0
28739,-1.046,-0.257,0.590,-34.038,-29.595,118.588,0.0,116.0
28795,-1.363,-0.065,0.412,-29.130,-14.519,177.275,0.0,117.0
28850,-1.556,0.071,0.380,-40.618,-0.481,250.130,133.0,152.0
28905,-1.581,-0.240,0.327,-31.282,46.672,250.130,128.0,163.0
28962,-1.293,0.296,0.394,-38.344,92.870,250.130,121.0,170.0
