Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33832,-0.236,-0.971,0.024,4.38,-0.331,0.775,0,90
33887,-0.229,-0.942,0.031,-19.936,-17.815,-7.816,0,102
33941,-0.262,-1.111,0.02,-20.066,-12.801,-4.184,0,88
33995,-0.317,-1.229,0.061,-28.219,-45.207,-25.681,0,91
34050,-0.306,-1.118,0.029,-9.391,-49.592,-17.825,0,92
34104,-0.169,-0.705,0.038,7.384,-13.444,40.489,0,96
34158,-0.282,-1.036,0.013,2.146,-3.809,45.748,0,99
34216,-0.34,-1.176,-0.021,18.431,-70.267,54.397,0,107
34272,-0.189,-1.109,-0.138,18.168,-81.962,19.568,0,112
34329,-0.083,-0.833,-0.105,10.76,-45.496,39.847,0,159
34382,-0.149,-0.888,-0.071,-1.465,-15.662,54.794,0,65
34444,-0.243,-0.954,-0.004,10.314,14.55,41.168,0,168
34503,-0.218,-0.927,-0.032,1.104,-21.472,1.03,0,173
34553,-0.19,-0.952,-0.04,-3.432,-11.246,-19.188,0,33
34617,-0.212,-1.027,-0.008,-10.181,-3.475,-23.511,0,182
34676,-0.239,-1.116,0.05,-18.097,9.064,-28.031,0,182
34731,-0.327,-1.318,0.121,-17.479,14.561,-40.634,0,46
34794,-0.291,-1.085,0.104,-2.734,12.169,-48.107,0,191
34848,-0.058,-0.495,0.058,1.896,25.824,1.695,0,98
34900,-0.16,-0.892,-0.007,20.897,59.618,28.13,0,51
34964,-0.278,-1.167,-0.047,28.817,67.817,-12.346,0,199
35024,-0.211,-0.926,-0.012,27.015,78.046,-21.84,0,0
35077,-0.341,-0.746,0.156,34.819,70.794,29.516,0,55
35140,-0.747,-0.9,-0.076,-33.687,-91.612,-22.081,0,0
35192,-0.298,-0.916,0.06,-8.611,-56.458,-15.771,0,46
35247,-0.19,-0.894,-0.027,-25.774,-60.903,-34.177,0,48
35302,-0.297,-0.937,0.057,-13.701,1.991,-9.302,0,48
35353,-0.569,-1.083,0.108,-25.688,-26.338,-22.423,0,45
35409,-0.3,-1.022,0.021,9.656,21.316,28.541,0,51
35462,-0.479,-1.407,-0.279,-30.297,79.435,0.86,0,59
35518,-0.625,-1.25,-0.556,34.122,157.87,48.053,0,72
35564,-1.576,-0.693,1.118,-32.159,5.869,7.991,72,76
35617,-0.597,-0.797,-0.352,-77.786,-250.137,109.969,0,65
35674,0.107,-0.931,-0.534,-68.969,-150.756,155.748,0,74
35731,-0.081,-0.993,-0.365,-36.924,-71.74,122.046,0,77
35784,-0.114,-1.004,-0.322,-43.183,-48.321,89.16,0,76
35837,-0.185,-1.054,0.02,-56.916,-44.588,65.695,0,65
35893,-0.236,-1.065,0.276,-4.658,-59.634,22.465,0,46
35944,-0.185,-0.943,-0.059,25.282,0.645,-42.076,0,44
35999,-0.499,-0.788,-0.117,49.618,73.664,-44.55,0,34
36050,-0.863,-0.708,0.013,28.817,56.634,-45.084,0,32
36106,-0.806,-0.713,-0.03,33.519,44.237,-37.26,0,54
36163,-0.75,-0.583,-0.073,50.267,62.557,-26.977,0,82
36214,-0.797,-0.954,0.015,50.008,54.496,-29.931,0,36
36265,-0.756,-1.304,0.05,36.573,28.145,-41.992,0,43
36318,-0.32,-0.704,0.077,34.84,10.274,-21.237,0,55
36373,-0.222,-0.718,-0.111,36.832,-5.911,-5.37,0,50
36428,-0.208,-0.696,-0.038,28.954,70.939,12.415,0,109
36481,-0.785,-0.685,0.179,5.118,56.687,-7.228,0,49
36533,-0.72,-0.678,0.042,-18.719,-34.809,-12.139,0,49
36628,-0.422,-0.757,0.012,-10.927,-2.313,-2.926,0,56
36683,-0.636,-0.781,0.126,-41.475,-47.157,-13.969,0,58
36736,-0.66,-0.79,0.078,-64.205,-44.137,-25.343,0,61
36792,-0.397,-0.823,0.033,1.445,-42.198,5.272,0,52
36844,-0.535,-0.783,0.057,-41.321,-6.648,-7.405,0,58
36901,-0.704,-0.727,0.074,-45.863,-42.206,24.765,0,62
36955,-0.986,-0.76,-0.011,-54.214,-51.015,-40.916,0,67
37011,-1.555,-1.379,0.154,-39.962,-63.626,-58.739,0,76
37063,-1.741,-1.145,0.041,21.443,-156.252,112.611,0,49
37120,-1.109,-1.352,-0.375,33.656,-169.252,171.145,0,63
37175,-0.264,-1.616,-0.355,43.71,-144.321,185.16,161,76
37226,0.458,-1.2,-0.445,15.561,-181.298,120.71,152,79
37276,0.947,-0.749,-0.5,-3.326,-144.252,56.626,148,72
37326,0.123,-0.416,0.126,-39.74,52.206,36.42,147,81
37378,-1.026,-0.664,0.873,-9.137,49.42,-23.351,148,73
37428,-0.907,-0.352,0.805,66.174,-48.038,66.766,148,73
37479,-0.569,-0.601,0.481,20.802,-46.499,11.6,147,72
37529,-0.375,-0.495,0.557,18.969,23.206,13.787,147,72
37582,-0.499,-0.516,0.602,24.336,20.137,-5.624,147,75
37633,-0.483,-0.442,0.332,18.595,-12.426,-34.733,148,67
37686,-0.62,-0.42,0.456,13.863,37.626,-40.641,0,65
37736,-0.728,-0.448,0.715,15.302,40.733,-37.939,153,65
37789,-0.865,-0.689,0.735,26.366,18.038,-41.435,0,60
37846,-0.846,-0.717,0.52,31.931,23.076,-45.496,0,59
37897,-0.781,-0.588,0.396,22.962,27.237,-41.351,155,67
37947,-0.645,-0.665,0.438,22.954,28.381,-24.618,155,68
37998,-0.596,-0.514,0.256,-1.058,-2.505,-20.511,155,71
38052,-0.48,-0.499,0.421,14.091,22.542,-25.115,157,73
38104,-0.674,-0.389,0.388,-1.265,20.795,-33.26,161,78
38156,-0.705,-0.412,0.266,-29.224,3.889,-22.229,159,73
38207,-0.725,-0.462,0.422,-21.057,8.698,-1.61,158,78
38258,-0.731,-0.533,0.446,-43.107,0.62,6.255,157,80
38312,-0.687,-0.574,0.457,-48.244,-41.557,10.492,0,83
38365,-0.722,-0.6,0.243,-48.664,-36.137,-1.239,155,87
38416,-0.671,-0.633,0.42,-49.786,-63.086,-8.727,154,80
38471,-0.733,-0.623,0.485,-50.313,-39.053,1.692,153,81
38525,-0.741,-0.54,0.442,-50.977,-51.382,25.847,0,85
38579,-0.77,-0.75,0.216,-55.588,-63.221,6.592,0,80
38633,-0.488,-1.048,0.07,-60.511,-41.756,18.498,0,84
38687,-0.734,-0.656,0.075,-59.977,-66.676,3.741,0,84
38743,-0.599,-0.816,0.001,-76.458,-56.496,23.792,0,89
38797,-0.58,-1.027,0.056,-87.305,-68.817,-3.542,0,92
38852,-0.538,-0.944,0.167,-84.779,-82.206,15.828,0,101
38909,-0.609,-0.894,0.014,-67.084,-107.458,33.71,0,123
38969,-0.289,-0.813,0.095,-39.802,-67.137,-32.36,0,127
39026,-0.621,-0.847,0.119,-79.835,-19.327,-34.13,0,131
39083,-0.953,-1.167,0.658,16.328,8.591,87.031,0,123
39139,-1.568,-1.417,1.026,102.992,51.748,190.351,0,112
39190,-2.0,-1.271,1.0,139.115,15.233,250.13,129,101
39241,-1.571,-0.809,0.307,152.466,-82.809,250.13,115,112
39335,0.016,-1.012,-0.933,122.198,-151.229,239.084,38,177
39385,0.581,-0.263,-0.768,125.626,-62.168,124.908,25,166
39442,0.387,0.568,0.017,-60.534,10.486,7.823,122,167
39495,-0.374,0.73,0.577,-15.211,50.115,-56.985,97,164
39545,-0.92,0.605,0.691,-0.709,56.313,-12.646,40,162
39600,-0.762,0.686,0.464,16.828,44.4,34.124,124,167
39653,-0.448,0.512,0.315,-35.602,12.034,25.04,95,168
39706,-0.275,0.599,0.422,11.972,42.954,41.63,95,162
39755,-0.68,0.597,0.521,-36.176,36.321,2.101,24,177
39804,-0.663,0.625,0.406,-35.099,25.885,10.115,24,156
39863,-0.711,0.652,0.403,-41.931,44.511,23.434,0,159
39926,-0.653,0.685,0.285,-58.473,40.618,9.23,0,177
39979,-0.478,0.733,0.421,-54.16,55.916,77.322,100,157
40038,-0.758,0.748,0.431,-59.573,52.328,47.817,0,167
40097,-0.727,0.733,0.284,-72.427,53.84,77.267,0,171
40157,-0.894,0.613,0.133,-63.847,82.527,61.977,0,159
40216,-0.864,0.648,0.101,-101.641,87.763,35.733,0,173
40275,-0.68,0.498,-0.121,-127.412,68.321,44.137,5,50
40324,-0.988,0.242,0.085,-131.679,130.191,-6.694,21,156
40373,-1.171,0.304,0.354,-124.863,97.763,48.708,23,157
40424,-0.909,0.296,0.136,-107.802,57.832,55.355,23,150
40472,-0.905,0.254,0.157,-87.328,74.107,20.464,22,142
40518,-0.939,0.262,0.245,-74.145,54.557,2.044,22,126
40569,-0.889,0.207,0.284,-57.679,28.87,-0.687,93,125
40620,-0.813,0.275,0.358,-5.181,23.351,21.699,95,122
40677,-0.887,0.459,0.293,-2.373,4.523,16.643,97,125
40727,-1.115,0.498,0.285,-8.975,-5.08,-7.592,98,123
40776,-1.295,0.623,0.435,-4.29,-28.709,-14.519,99,125
40825,-1.13,0.415,0.477,10.362,19.612,56.549,99,107
40876,-1.106,0.133,0.814,-5.487,-60.656,54.817,98,77
40925,-1.598,-0.374,1.042,31.603,-84.275,58.718,104,103
40973,-1.611,-0.41,0.827,98.122,-130.603,65.908,122,73
41022,-1.159,0.082,0.098,137.87,-235.817,29.124,120,74
41075,-0.781,0.301,-0.452,135.0,-250.137,9.457,119,169
41126,-0.332,0.534,-0.922,106.794,-250.137,-59.458,115,118
41182,-0.041,1.316,-0.865,83.947,-206.687,-108.145,0,118
41226,0.02,1.479,-0.08,30.75,-98.267,-53.015,33,87
41273,0.003,1.269,0.116,-15.704,-61.031,0.648,26,85
41317,0.011,1.031,0.259,7.774,23.229,46.809,30,92
41363,-0.179,0.937,0.439,19.032,35.931,73.055,36,125
41410,-0.264,0.878,0.279,-38.771,24.229,-12.991,29,128
41456,-0.206,0.837,0.362,-38.55,22.382,40.038,32,139
41506,-0.222,0.941,0.242,-33.652,33.809,44.122,29,188
41556,-0.291,1.136,0.551,-16.15,80.985,12.111,28,184
41606,-0.625,1.04,0.857,-54.634,93.496,49.817,29,179
41656,-0.359,0.501,0.79,-75.855,21.305,90.191,33,200
41709,-0.149,0.417,0.54,-41.786,7.652,77.992,30,197
41758,-0.035,0.689,0.557,-41.16,69.557,50.527,30,177
41819,-0.761,0.728,0.771,-55.71,65.588,37.023,0,0
41879,-0.36,0.478,0.725,-65.099,22.756,53.008,0,0
41972,-0.0,0.263,0.551,-23.974,39.366,18.981,29,0
42023,-0.166,0.362,0.674,-48.535,56.511,-30.779,28,0
42074,-0.243,0.507,0.917,-9.441,36.695,-5.629,34,0
42112,-0.555,0.541,1.075,-7.989,-15.547,-1.272,32,0
42162,-0.333,0.492,1.042,20.519,-51.832,-13.917,28,0
42215,-0.049,0.737,0.936,14.985,35.214,-29.634,33,0
42265,-0.229,0.495,0.936,-41.985,29.557,17.808,32,0
42303,-0.272,0.204,0.828,-75.876,-60.073,-30.511,26,0
42353,-0.125,0.307,0.667,13.262,8.33,-34.496,34,0
42399,-0.13,0.438,0.66,-10.146,18.855,-38.122,30,124
42446,-0.27,0.451,0.78,-19.435,-12.985,-43.252,27,124
42497,-0.199,0.574,0.76,3.353,-12.426,-32.832,29,0
42543,-0.127,0.67,0.592,-11.483,29.321,-19.26,26,121
42590,-0.262,0.548,0.616,-14.036,32.305,-15.055,31,133
42647,-0.132,0.543,0.581,11.486,39.641,36.211,0,101
42698,-0.099,0.302,0.428,-38.031,84.038,-32.061,133,98
42743,-0.061,0.07,0.296,-22.456,118.252,-96.74,38,95
42788,-0.132,-0.676,0.058,-68.592,146.176,-209.847,34,89
42834,-0.73,-0.937,0.525,-35.022,171.458,-250.137,46,91
42889,-0.764,-0.709,0.675,-51.748,131.672,-250.137,0,97
42943,-1.294,-1.257,0.532,-55.786,88.076,-250.137,0,92
43000,-1.108,-1.729,0.428,-3.799,18.58,-250.137,0,133
43059,-0.46,-1.531,0.302,27.809,55.786,-250.137,103,0
43113,-0.678,-1.276,0.488,45.214,107.344,-244.244,100,0
43158,-0.817,-1.318,0.43,59.45,28.695,-239.496,160,0
43217,-0.407,-0.779,0.317,41.466,-0.427,-154.939,187,0
43264,-0.175,-0.863,0.243,25.557,-5.403,-71.656,188,0
43322,-0.003,-0.718,0.259,34.168,-0.479,-31.824,152,0
43379,0.087,-0.881,0.236,6.988,-3.601,-13.382,148,0
43425,0.359,-0.97,0.259,4.161,-13.714,10.02,180,0
43479,0.383,-1.595,0.493,-35.115,15.517,39.244,82,0
43538,-0.007,-0.579,1.078,-26.529,-1.939,-36.985,124,0
43595,0.379,-0.532,0.647,54.649,-60.58,35.16,144,0
43638,0.803,-0.852,0.085,19.26,-53.985,-44.272,127,0
43694,0.693,-0.738,0.143,-52.099,-59.716,-44.237,123,0
43750,0.361,-0.776,0.386,-16.402,17.366,-54.763,112,0
43805,0.213,-0.717,0.362,-19.096,6.125,-50.504,110,0
43862,0.207,-0.792,0.428,-27.778,17.824,-50.626,117,0
43916,0.07,-0.757,0.566,3.782,21.737,-28.313,114,187
43974,0.187,-0.837,0.475,-4.281,4.932,-24.527,101,191
44028,0.135,-0.855,0.544,-4.208,-45.634,11.231,95,0
44083,0.382,-1.01,0.255,-7.461,-62.008,0.877,87,198
44137,0.549,-1.192,0.2,-15.102,-12.255,35.824,80,0
44190,0.427,-0.832,0.418,6.885,-73.618,53.214,74,0
44243,0.673,-0.864,0.159,-15.334,-71.74,42.489,69,0
44297,0.643,-0.866,0.274,4.537,-82.786,36.855,72,0
44351,0.838,-0.87,-0.038,19.985,-45.74,23.637,75,0
44403,0.678,-0.825,-0.087,14.198,-32.382,3.133,61,0
