Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24361,-0.27,-0.848,-0.048,13.412,-23.917,-9.358,0,127
24418,-0.232,-0.78,0.085,-9.288,-40.985,40.541,0,134
24475,-0.055,-1.121,-0.228,-7.923,-47.374,35.206,0,141
24532,-0.297,-1.175,-0.436,-18.834,4.419,58.412,0,158
24591,-0.739,-1.284,-0.269,-64.588,66.893,186.947,0,166
24646,-0.994,-1.786,-0.462,-12.527,17.055,168.061,0,95
24700,-0.265,-0.033,0.966,-36.908,-70.145,113.977,0,102
24757,0.179,-0.882,-0.583,-20.427,-250.137,24.624,0,72
24812,0.118,-0.466,-0.473,51.985,-20.746,-31.366,0,58
24865,-0.902,-0.657,0.368,-17.774,92.969,53.359,0,71
24922,-1.083,-1.149,0.46,24.878,-77.076,-19.977,0,66
24974,-0.605,-0.91,0.004,44.359,-65.672,-39.435,0,66
25031,-0.725,-0.8,0.072,38.565,17.324,-30.672,0,75
25083,-0.45,-0.687,0.028,35.641,-43.718,9.647,0,61
25139,-0.207,-0.86,-0.054,17.427,-10.491,-2.159,0,60
25192,-0.335,-0.65,0.122,11.137,55.954,-8.994,0,65
25247,-0.752,-0.675,0.354,-1.118,52.809,-19.122,0,71
25304,-0.735,-0.554,0.291,14.115,3.208,-3.593,0,64
25357,-0.646,-0.562,0.164,-7.452,-6.149,-11.778,0,66
25413,-0.631,-0.606,0.155,-18.419,0.873,3.687,0,74
25466,-0.627,-0.75,0.265,-25.206,-22.891,2.894,0,71
25523,-0.454,-0.649,0.243,-23.523,-28.611,-7.515,0,70
25576,-0.541,-0.69,0.188,-14.104,11.827,-19.832,0,82
25629,-1.4,-0.327,0.387,-15.206,60.718,-12.613,0,73
25683,-2.0,-0.129,0.742,-12.967,56.962,15.048,0,75
25739,-1.17,-1.836,-0.346,97.534,-96.687,250.13,0,62
25795,-0.058,-1.861,-0.246,-17.229,-103.107,118.16,0,70
25845,0.21,-0.947,0.152,-34.87,-144.366,9.653,159,64
25896,0.158,-0.639,-0.05,-13.197,-89.435,-11.402,172,54
25949,-0.422,-0.463,0.221,-11.114,16.604,-22.137,0,56
26004,-0.838,-0.719,0.293,-5.975,10.804,-0.428,0,56
26056,-0.771,-0.508,0.569,-8.989,-31.832,32.567,0,54
26106,-0.526,-0.598,0.422,6.338,-20.793,3.732,156,55
26159,-0.535,-0.478,0.368,5.251,-2.952,-15.332,154,54
26209,-0.608,-0.547,0.416,-7.198,-12.602,-40.221,173,53
26261,-0.72,-0.342,0.582,0.12,-11.654,-59.664,0,52
26316,-0.628,-0.444,0.296,14.351,18.607,-33.901,0,54
26366,-0.77,-0.65,0.326,0.776,23.42,-34.618,157,54
26417,-0.676,-0.406,0.656,-8.926,8.464,-16.128,159,52
26466,-0.869,-0.675,0.858,5.149,6.102,-29.771,161,52
26518,-0.717,-0.736,0.592,24.618,4.929,-36.504,0,51
26573,-0.74,-0.816,0.274,14.893,14.032,-37.863,0,55
26630,-0.617,-0.518,0.334,-17.758,-28.468,-43.015,0,55
26685,-0.29,-0.755,0.079,8.221,-22.7,-24.145,0,53
26738,-0.189,-0.783,0.177,-6.504,42.504,-1.659,0,67
26795,-0.596,-0.793,0.518,-17.747,43.153,-39.924,0,64
26847,-0.67,-0.606,0.525,-8.764,-2.365,-39.939,0,60
26904,-0.605,-0.582,0.277,-3.993,-0.833,-21.069,0,75
26957,-0.689,-0.584,0.224,-22.351,33.702,2.615,0,62
27014,-0.731,-0.71,0.558,-42.756,-23.618,24.004,0,67
27110,-0.37,-0.726,0.477,-8.11,-27.183,8.293,0,70
27165,-0.721,-0.72,0.682,19.595,30.298,16.915,0,63
27223,-1.2,-0.865,0.98,50.26,85.679,50.405,0,76
27276,-1.264,-1.04,0.608,123.45,105.74,143.176,0,80
27327,-1.153,-1.117,0.504,102.931,61.771,146.412,137,79
27376,-0.54,-0.606,0.113,91.16,-46.695,107.588,117,83
27426,-0.235,-0.42,-0.364,36.519,-57.527,78.573,143,75
27476,-0.171,-0.526,-0.111,-21.507,-63.069,47.29,144,70
27525,-0.579,-0.252,0.141,-4.525,-8.327,8.013,107,77
27576,-0.884,-0.028,0.569,-12.844,-2.498,46.969,105,70
27626,-0.778,-0.442,0.489,-14.849,-74.756,11.898,137,73
27674,-0.48,-0.177,0.252,-8.577,-36.947,-2.962,109,73
27724,-0.63,-0.1,0.391,-20.144,25.511,-2.833,135,88
27774,-0.94,-0.229,0.688,-27.435,-15.697,-23.214,135,88
27826,-0.759,-0.168,0.588,-20.121,-56.122,-27.893,134,88
27877,-0.598,-0.115,0.427,-3.956,-1.624,-8.725,135,93
27928,-0.77,-0.216,0.465,0.411,32.084,-1.231,135,101
27977,-0.903,-0.278,0.657,-2.554,6.138,-7.61,114,97
28033,-0.879,-0.372,0.78,-8.111,-7.263,-23.275,138,103
28088,-0.903,-0.453,0.776,-2.537,1.707,-43.664,0,103
28139,-0.808,-0.43,0.557,12.427,-8.804,-25.412,129,106
28190,-0.603,-0.359,0.432,6.758,-24.825,10.05,127,108
28242,-0.406,-0.42,0.279,-2.096,-0.952,0.139,124,123
28294,-0.671,-0.362,0.449,-14.29,25.504,-12.406,122,114
28346,-0.838,-0.264,0.636,-27.863,-1.034,-5.467,121,117
28398,-0.758,-0.275,0.465,-21.112,-17.934,6.142,119,120
28453,-0.785,-0.317,0.371,-35.779,-6.441,23.725,119,138
28511,-0.906,-0.335,0.481,-47.557,-20.648,35.405,0,128
28567,-0.852,-0.353,0.451,-53.901,-28.931,45.908,0,135
28625,-0.899,-0.333,0.509,-49.595,-22.667,69.298,0,147
28683,-0.937,-0.323,0.615,-52.71,-30.588,95.504,0,147
28739,-1.046,-0.257,0.59,-34.038,-29.595,118.588,0,116
28795,-1.363,-0.065,0.418,-29.13,-11.477,177.275,0,117
28850,-1.556,0.071,0.375,-40.618,-7.065,250.13,133,152
28905,-1.581,-0.259,0.324,-31.282,46.672,250.13,128,163
28962,-1.293,0.296,0.397,-38.344,92.87,250.13,121,170
29012,-1.008,0.07,0.228,-95.908,40.366,250.13,25,184
29064,-0.628,-0.129,0.217,-133.351,38.806,250.13,18,0
29101,-0.088,-0.342,0.306,-113.542,44.84,195.351,17,0
29140,0.041,0.051,0.48,-73.359,77.015,133.29,17,19
29180,-0.023,0.287,0.526,-46.107,112.481,84.519,16,20
29220,-0.302,0.546,0.661,-25.588,121.252,57.13,16,20
29265,-0.459,0.699,0.774,-27.992,97.519,48.336,16,116
29315,-0.392,0.788,0.743,-30.084,59.611,36.87,17,114
29360,-0.335,0.662,0.744,-32.565,30.214,34.488,16,110
29405,-0.18,0.542,0.692,-32.382,18.772,15.317,16,108
29449,-0.132,0.411,0.653,-29.084,-0.872,-13.963,15,101
29494,-0.117,0.441,0.581,-7.418,23.47,-42.191,16,100
29539,-0.433,0.656,0.727,-5.815,35.244,-43.13,16,103
29583,-0.518,0.829,0.938,-14.337,-7.121,-36.275,16,99
29670,-0.338,0.761,0.817,-13.978,-28.656,-8.499,16,92
29714,-0.343,0.668,0.833,0.49,-25.449,-10.962,14,89
29761,-0.312,0.657,0.678,2.178,4.599,-14.417,13,84
29805,-0.542,0.43,0.63,-10.608,-13.123,-3.232,15,81
29848,-0.403,0.271,0.53,13.168,-31.382,-4.699,14,80
29891,-0.222,0.381,0.437,20.168,9.524,-13.117,13,79
29935,-0.398,0.625,0.631,0.478,42.473,-16.519,14,81
29978,-0.506,0.678,0.723,-14.366,18.577,-8.813,15,76
30021,-0.361,0.729,0.671,-18.392,15.798,4.111,16,76
30065,-0.366,0.709,0.607,-11.453,29.573,23.987,17,86
30112,-0.409,0.638,0.578,-11.113,30.366,36.967,20,129
30172,-0.382,0.581,0.591,-27.374,33.725,39.519,0,120
30218,-0.435,0.572,0.672,-34.458,39.069,41.893,16,131
30279,-0.396,0.483,0.725,-24.771,31.969,44.26,0,0
30329,-0.369,0.561,0.756,-19.438,32.069,40.802,16,0
30375,-0.285,0.654,0.596,-27.177,31.122,22.846,16,119
30422,-0.398,0.701,0.663,-28.756,43.458,36.504,17,119
30468,-0.452,0.698,0.981,-26.168,16.241,44.977,18,118
30513,-0.459,0.42,1.336,15.649,-12.024,39.573,14,117
30553,-0.431,0.232,1.358,77.748,-29.137,8.926,16,12
30600,-0.377,0.538,0.78,135.55,-19.363,-3.333,17,69
30644,-0.402,0.895,0.025,124.611,-33.038,25.431,16,87
30692,-0.314,0.944,-0.387,62.313,-20.722,58.13,17,167
30741,-0.199,1.038,-0.551,10.584,36.115,61.626,16,164
30789,-0.391,1.024,0.042,-57.336,86.962,59.74,17,163
30843,-0.478,0.658,0.9,-77.527,43.366,41.076,15,163
30891,-0.252,0.536,0.736,-52.58,10.598,28.481,14,162
30938,-0.219,0.791,0.252,-3.067,70.534,11.696,15,158
30985,-0.597,0.942,0.107,-13.298,82.084,12.391,16,157
31035,-0.401,0.778,0.163,-60.817,46.046,28.835,16,164
31080,-0.42,0.521,0.538,-60.29,77.511,24.831,16,123
31126,-0.453,0.55,0.897,-42.061,51.611,22.708,16,148
31171,-0.41,0.613,0.982,-2.997,27.437,13.476,16,119
31216,-0.459,0.735,0.992,-3.827,15.912,-13.614,18,126
31262,-0.552,0.788,1.018,-11.601,13.192,-25.107,17,126
31307,-0.49,0.641,0.848,-25.42,-6.123,-14.388,16,121
31351,-0.511,0.337,0.625,-12.539,-32.267,2.389,16,117
31399,-0.315,0.287,0.392,15.237,-36.977,-7.837,17,122
31444,-0.163,0.441,0.424,19.634,15.484,-20.466,16,118
31490,-0.282,0.596,0.61,9.237,30.221,-37.328,16,121
31534,-0.335,0.714,0.667,-8.953,0.626,-39.321,17,106
31578,-0.332,0.696,0.633,-11.463,-7.132,-29.275,16,100
31628,-0.311,0.665,0.521,1.213,3.316,-18.076,17,0
31664,-0.355,0.739,0.578,2.712,16.457,-8.336,17,0
31708,-0.394,0.692,0.62,-4.837,12.153,3.0,17,103
31752,-0.349,0.666,0.635,-13.269,8.683,14.262,16,103
31799,-0.457,0.647,0.724,-11.795,8.533,16.195,17,100
31843,-0.432,0.639,0.83,-6.224,0.737,25.389,16,99
31886,-0.472,0.654,1.042,-6.724,10.849,21.071,18,87
31930,-0.555,0.424,1.152,-18.365,10.798,-9.89,18,97
32017,-0.774,0.256,1.293,-10.775,-41.87,-6.491,21,100
32062,-0.879,0.245,1.035,12.939,-68.992,-1.017,22,116
32112,-1.01,0.142,0.763,36.809,-90.748,-3.527,23,0
32149,-1.014,0.359,0.22,71.26,-153.344,-70.527,24,0
32192,-0.818,0.735,-0.153,69.87,-174.603,-109.26,29,74
32245,-0.643,0.93,-0.305,50.16,-175.679,-113.534,26,0
32296,-0.082,1.15,-0.053,51.076,-138.817,-51.137,26,0
32347,0.187,1.121,0.356,39.863,-70.641,29.151,23,0
32397,-0.0,0.667,0.616,18.947,-9.544,21.615,25,0
32447,-0.286,0.403,0.875,12.099,6.726,-2.176,24,0
32497,-0.285,0.552,0.782,29.855,-27.26,-18.901,25,0
32548,-0.063,0.916,0.498,35.084,-31.45,-25.214,27,0
32599,-0.009,1.022,0.562,23.802,-5.89,-23.336,25,0
32649,-0.019,0.995,0.746,24.145,3.413,-19.573,27,0
32703,-0.108,0.874,0.747,34.466,0.972,7.397,29,0
32753,-0.157,0.65,0.61,27.626,-20.835,32.025,26,0
32803,0.008,0.655,0.544,0.854,-37.122,15.057,25,0
32854,0.124,0.715,0.615,-34.344,-28.26,1.645,23,0
32904,0.12,0.657,0.719,-36.305,-26.525,-7.206,26,0
32955,0.15,0.699,0.567,2.832,-18.175,-12.776,25,0
33005,0.059,0.811,0.456,18.87,-2.704,-14.72,25,0
33042,-0.024,0.911,0.41,3.578,5.275,-7.846,25,0
33092,-0.094,0.874,0.51,-14.335,-2.657,-0.823,25,0
33132,0.013,0.744,0.501,-17.891,-14.155,7.0,23,0
33182,0.042,0.686,0.541,-3.67,-5.808,4.943,23,0
33232,0.042,0.719,0.545,15.718,-2.689,9.452,23,0
33283,-0.006,0.75,0.516,14.947,-0.274,14.21,24,0
33333,0.051,0.858,0.677,4.859,12.284,-14.966,23,0
33383,0.122,1.021,0.83,-16.746,42.863,-45.916,23,0
33434,-0.167,0.849,0.72,-14.852,33.58,-28.244,24,0
33484,-0.263,0.849,0.446,-20.31,3.43,-3.881,25,0
33534,-0.128,0.778,0.453,-41.244,4.792,24.31,24,0
33589,0.03,0.635,0.532,-46.977,39.099,19.746,24,0
