Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21898,-0.143,-0.998,0.038,1.04,-4.189,-1.55,124,71
21951,0.05,-0.834,0.302,3.66,14.702,12.237,0,66
21998,-0.159,-1.046,0.157,-0.409,-15.665,-4.86,124,66
22046,-0.087,-1.023,0.064,1.963,-11.106,-9.562,122,67
22095,-0.309,-1.187,-0.066,-3.985,-9.191,-12.735,123,72
22144,-0.276,-1.155,0.022,-1.701,-9.832,-3.977,124,73
22192,-0.047,-0.943,0.222,2.75,-0.741,8.13,123,73
22243,-0.047,-0.946,0.238,0.83,-8.548,9.048,123,75
22291,-0.188,-1.1,0.058,-1.142,-23.237,0.553,125,73
22344,-0.035,-0.963,0.193,3.509,-7.775,2.553,0,74
22392,-0.136,-1.06,0.101,0.959,-5.924,-1.86,121,74
22440,-0.172,-1.083,0.083,0.856,-2.551,1.352,119,73
22489,0.09,-0.844,0.308,13.21,1.733,5.501,118,63
22536,-0.11,-1.0,0.139,3.232,-2.109,-0.001,118,65
22589,-0.162,-1.078,0.064,0.857,-0.922,-4.619,0,68
22641,-0.07,-0.976,0.162,1.286,3.65,-1.547,0,68
22696,-0.004,-0.942,0.202,3.004,5.195,-1.644,0,70
22750,-0.107,-0.989,0.145,0.028,5.099,-5.665,0,69
22798,0.184,-0.768,0.406,3.583,17.547,4.049,119,73
22846,0.078,-0.831,0.32,3.264,15.364,1.104,118,74
22894,-0.35,-1.214,-0.038,-2.717,-5.471,-8.079,118,75
22942,-0.028,-0.942,0.236,3.711,1.109,0.269,118,75
22991,-0.081,-0.977,0.164,1.061,0.577,-1.049,118,76
23040,-0.189,-1.098,0.057,0.011,-0.044,-2.65,118,75
23088,-0.052,-0.92,0.211,2.344,11.677,1.075,118,75
23139,-0.135,-1.018,0.165,0.925,0.961,0.759,118,75
23187,-0.334,-1.216,-0.071,-2.418,-9.312,-2.694,118,75
23235,-0.056,-0.955,0.196,1.151,4.588,0.209,118,77
23284,0.116,-0.797,0.364,5.198,7.277,1.428,118,82
23332,-0.242,-1.102,0.045,-1.424,-3.45,-2.584,118,71
23380,-0.307,-1.189,-0.043,-3.253,-10.178,-4.433,118,71
23436,-0.197,-1.065,0.057,0.084,3.247,-1.665,105,73
23483,0.021,-0.866,0.286,4.037,15.719,3.265,104,80
23536,-0.198,-1.055,0.099,-0.708,-2.235,0.069,0,74
23584,-0.0,-0.891,0.243,2.007,7.127,2.128,118,79
23635,-0.077,-0.96,0.168,-1.904,8.739,-0.163,116,76
23688,-0.185,-1.03,0.106,-5.571,5.08,-1.357,0,74
23736,-0.103,-0.942,0.201,-2.974,6.196,0.009,116,78
23789,-0.044,-0.897,0.238,-1.276,9.101,0.169,0,80
23838,-0.236,-1.077,0.028,-5.869,-3.033,-1.78,117,78
23894,-0.273,-1.103,0.009,-6.232,-6.572,-2.635,0,134
23946,0.07,-0.755,0.336,1.728,42.643,11.32,118,135
24002,-0.204,-1.037,0.062,-3.861,1.955,0.484,0,133
