Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30972,-0.095,-0.974,0.224,-6.146,-21.505,-5.951,0,130
31026,-0.13,-1.027,0.116,-2.954,-17.778,-4.934,0,80
31077,-0.1,-0.952,0.236,0.95,8.74,4.191,166,78
31128,-0.177,-1.041,0.087,1.606,-1.761,0.805,166,77
31178,-0.088,-0.912,0.27,2.814,11.55,10.254,155,76
31233,-0.094,-0.945,0.273,1.007,0.578,11.127,166,127
31287,-0.1,-0.961,0.188,0.285,1.733,7.225,166,127
31341,-0.179,-1.028,0.109,-3.759,-7.422,1.569,167,78
31394,-0.155,-1.014,0.093,-5.11,-10.655,1.118,0,76
31447,-0.185,-1.068,0.068,-8.46,-12.386,-0.569,0,76
31500,-0.018,-0.885,0.326,1.732,8.919,4.591,0,75
31553,-0.124,-0.954,0.247,-3.055,-3.555,-1.683,0,75
31606,-0.08,-0.963,0.24,-1.254,-6.518,-3.524,0,75
31659,-0.103,-0.965,0.219,-1.139,2.615,-3.17,0,75
31712,-0.089,-0.917,0.216,0.728,2.376,-0.106,0,75
31765,-0.04,-0.897,0.321,1.312,-3.119,1.439,0,75
31821,-0.055,-0.899,0.312,0.591,7.718,2.544,0,76
31875,-0.156,-0.968,0.216,-1.1,-2.749,0.784,0,77
31928,-0.128,-0.973,0.202,-1.219,-7.725,1.275,0,76
31981,-0.241,-1.099,-0.047,-4.004,-15.486,-2.632,5,23
32034,-0.137,-0.98,0.19,-1.287,-2.05,3.673,0,79
32090,-0.109,-0.96,0.25,-0.071,-4.391,4.729,0,125
32146,-0.271,-1.122,-0.067,-3.631,-20.507,-5.044,5,38
32202,-0.189,-1.037,0.094,-1.258,-11.691,-0.046,0,127
32259,-0.19,-1.024,0.097,-1.469,-12.931,-0.257,0,140
32319,-0.077,-0.926,0.285,0.441,-1.352,3.3,0,139
32375,-0.085,-0.945,0.246,0.317,-1.304,2.328,0,137
32433,-0.155,-0.988,0.171,-1.621,-4.652,0.761,0,139
32486,-0.204,-1.041,0.075,-3.42,-13.548,-1.093,0,76
32538,-0.178,-1.022,0.109,-2.994,-9.215,1.05,0,74
32591,-0.082,-0.934,0.282,0.123,0.575,4.552,0,75
32645,-0.131,-0.964,0.213,-0.905,-2.55,2.927,0,75
32698,-0.167,-1.013,0.137,-1.39,-8.566,1.416,0,75
32754,-0.113,-0.961,0.213,-0.082,-3.181,3.153,0,125
32811,-0.087,-0.927,0.213,0.523,1.932,4.965,0,125
32870,-0.119,-0.941,0.214,-0.497,-4.85,2.914,0,133
32926,-0.04,-0.878,0.371,0.952,2.379,5.067,0,127
32985,-0.083,-0.922,0.311,0.421,0.335,3.081,0,173
33038,-0.111,-0.917,0.228,-0.183,-0.43,3.927,0,76
33092,-0.113,-0.952,0.215,1.266,-5.152,3.837,0,95
33146,-0.181,-1.007,0.215,0.129,-4.552,1.043,0,94
33203,-0.113,-0.946,0.27,2.626,-1.004,4.729,0,121
33256,-0.056,-0.876,0.232,5.793,3.184,11.126,0,73
33311,-0.06,-0.882,0.375,6.395,2.393,11.036,0,120
33370,-0.164,-0.976,0.218,1.782,-5.494,4.145,0,97
33428,-0.094,-0.916,0.286,4.743,-0.457,9.347,0,166
33482,-0.02,-0.834,0.231,8.654,6.045,20.848,0,94
33538,-0.103,-0.927,0.279,4.821,-1.207,12.655,0,114
33593,-0.213,-1.023,0.213,-0.953,-11.839,-1.413,0,112
33648,-0.183,-1.018,0.122,0.126,-11.228,0.04,0,111
33746,0.023,-0.794,0.367,14.149,26.835,40.327,0,118
33801,-0.141,-0.835,0.319,2.774,41.153,31.992,0,89
33856,-0.378,-1.279,0.629,-11.546,-10.387,50.237,0,96
33913,0.071,-1.034,0.369,24.458,8.651,22.939,0,90
33968,-0.297,-0.03,0.314,25.969,85.099,-75.481,0,92
34028,-1.597,-1.232,0.287,-16.085,-41.201,-67.115,0,0
34081,-0.575,-1.693,-0.322,-54.718,-250.137,241.198,0,67
34135,1.692,-0.779,-1.369,-6.675,23.527,-28.786,0,69
34190,-0.153,-0.361,-0.528,52.611,250.13,-46.183,0,106
34244,-1.856,-0.501,0.98,-96.649,250.13,92.718,0,100
34299,-1.152,-1.77,0.19,-28.58,-209.977,35.214,0,101
34357,0.037,-0.217,0.206,-80.191,115.082,-93.351,0,88
34412,-0.361,-1.427,-0.014,-94.382,-87.863,4.334,0,99
34466,-0.031,-0.789,-0.414,117.832,202.58,-67.626,0,100
34522,-1.871,-0.583,1.437,-80.779,-72.893,-59.847,0,100
34577,0.036,-1.658,-0.635,63.507,-250.137,-36.565,0,104
34631,0.095,-0.251,-0.3,77.588,169.588,-56.924,174,103
34686,-1.404,-1.027,0.956,-70.977,-37.092,1.221,0,104
34742,0.336,-1.671,-0.829,70.427,-133.588,45.191,0,107
34797,-0.67,-0.556,0.661,-28.423,-3.009,-15.05,0,106
34852,-0.281,-1.345,-0.156,-38.687,-250.137,40.947,0,54
34906,0.531,-0.869,-0.448,23.015,51.25,-62.435,0,56
34956,-0.058,-0.617,0.621,-36.244,80.725,40.496,162,58
35008,0.188,-1.51,-0.248,2.898,90.985,9.649,161,94
35061,-0.176,-0.706,0.033,23.718,250.13,-11.637,161,109
35118,-0.94,-1.076,1.065,-55.496,-72.47,45.389,0,109
35173,0.187,-1.228,-0.223,36.45,-45.687,-52.321,0,110
35228,0.003,-0.766,0.38,20.478,34.115,16.64,0,110
35284,0.05,-1.251,-0.211,38.099,74.076,-29.206,0,111
35343,-0.595,-0.69,-0.061,32.863,212.359,-41.282,0,0
35390,-0.771,-0.822,0.474,-53.267,-154.534,-38.626,0,0
35449,0.63,-1.206,-0.72,16.235,-40.74,-67.267,183,0
35511,-0.565,-0.79,0.601,-10.571,175.031,-33.504,0,0
35571,0.001,-1.328,-0.102,15.72,-35.718,-38.13,0,0
35633,-0.5,-0.659,0.419,6.593,71.527,-31.466,0,0
35693,0.189,-1.22,-0.301,-7.056,-91.573,-14.321,0,0
35748,-0.417,-0.653,0.299,10.917,109.641,-6.812,102,0
35807,-0.251,-1.185,-0.073,-29.429,-123.588,-9.595,102,0
35862,0.23,-0.971,-0.412,1.533,100.557,-33.434,101,0
35917,-0.78,-0.688,0.542,-37.878,57.168,49.0,99,0
35973,0.059,-1.214,-0.067,12.917,-69.786,16.919,96,0
36027,0.112,-0.631,0.209,31.55,103.015,-34.412,94,0
36082,-1.09,-0.733,0.727,-70.832,-143.023,71.07,90,0
36124,0.095,-1.607,-0.366,8.158,-250.137,-57.191,117,0
36180,0.577,-0.947,-0.755,82.527,97.794,-159.344,112,0
36220,-0.543,-0.202,0.273,-29.497,112.214,-32.893,80,0
36275,-0.572,-0.618,0.876,-67.656,-217.702,46.748,106,127
36326,1.017,-1.331,-0.855,61.244,-95.26,-77.496,101,110
36376,0.169,-1.247,0.18,27.847,192.573,6.505,97,113
36427,-0.523,-1.346,1.298,-110.901,-106.412,221.809,92,136
36520,0.4,-0.777,-0.63,42.71,54.287,-62.267,87,119
36569,0.305,-0.62,0.22,-38.496,158.502,149.076,84,95
36618,0.664,-1.871,-0.307,3.008,19.151,-40.748,82,122
36669,0.857,-0.777,-1.119,192.672,250.13,-183.595,84,140
36721,-2.0,0.115,1.683,-159.611,234.229,-20.689,46,140
36771,-1.5,-2.0,-0.216,-245.893,-250.137,103.305,81,122
36818,2.0,-0.978,-1.261,176.534,-219.878,-119.977,77,91
36869,0.897,-0.438,-1.027,54.001,250.13,-42.374,77,126
36918,-0.765,-0.761,1.215,-179.786,250.13,62.687,78,126
36968,-0.35,-2.0,-0.493,-37.376,-99.687,61.282,77,126
37018,0.098,-0.51,0.335,105.344,-66.534,-24.354,76,126
37067,0.12,-0.412,0.376,-80.886,-124.282,38.786,75,130
37117,0.436,-1.987,-0.903,-70.347,-64.443,-7.694,74,128
37171,-0.565,-0.454,0.424,74.008,57.321,-18.138,74,128
37220,-0.615,-0.652,0.846,-75.427,-217.557,84.435,73,128
37264,0.773,-2.0,-1.071,4.125,-165.931,29.122,49,52
37313,0.644,-0.915,-0.834,124.351,193.16,-49.832,71,117
37362,-0.648,-0.144,0.35,-11.213,212.313,21.977,72,130
37412,0.021,-1.308,0.468,-90.053,-116.023,34.771,71,131
37463,1.078,-1.458,-1.464,134.29,198.977,-56.115,72,131
37512,-1.492,-0.158,0.787,20.577,244.198,5.892,75,128
37565,-0.928,-1.288,0.251,-110.046,-250.137,-12.542,74,132
37615,0.89,-1.291,-1.149,115.0,-89.237,-60.344,71,130
37665,0.034,-0.19,0.323,9.436,119.977,28.847,71,131
37714,-0.526,-1.474,0.346,-92.58,-80.022,-4.763,71,130
37771,0.213,-0.764,-0.395,165.626,157.435,7.58,73,131
37820,-0.916,-0.506,0.875,-47.351,43.397,17.244,73,133
37867,-0.476,-1.581,-0.13,-85.603,-215.267,7.066,69,109
37915,0.611,-1.222,-0.44,125.886,-42.616,-18.431,68,133
37967,-0.169,-0.5,0.368,-35.71,71.511,23.168,70,135
38017,0.386,-1.7,-0.351,-57.489,-25.017,34.725,69,134
38064,0.467,-0.989,-0.576,142.015,234.298,-11.834,50,135
38112,-1.176,-0.216,0.882,-31.794,151.473,-20.506,46,137
38160,-0.929,-0.936,0.678,-124.412,-250.137,-17.462,46,136
38208,0.772,-1.474,-1.039,95.908,-119.664,13.057,50,137
38255,-0.09,-0.259,0.39,32.504,176.092,-3.941,47,139
38303,-0.967,-0.765,1.17,-106.901,-60.352,-12.804,50,138
38351,0.036,-1.562,-0.412,-43.792,-146.45,26.275,48,139
38406,0.158,-0.461,0.077,75.664,77.405,12.834,100,140
38454,-0.509,-0.572,0.959,-73.214,93.388,38.439,57,140
38505,0.186,-1.611,-0.433,30.71,-62.845,-3.72,100,138
38561,-0.178,-0.326,0.394,36.634,129.573,-28.003,0,138
38619,-0.567,-0.958,0.567,-64.886,-31.55,26.637,0,137
38675,0.088,-1.105,-0.186,48.504,-19.365,-6.645,0,138
38723,-0.209,-0.65,0.375,23.854,63.099,-1.949,51,137
38772,-0.453,-1.175,0.243,-37.336,-35.312,-11.065,57,137
38823,-0.112,-0.952,0.013,10.18,-31.832,15.27,57,136
38880,-0.494,-0.69,0.356,-50.008,-101.107,53.832,0,137
38936,0.242,-1.219,-0.008,7.462,-111.702,65.58,0,138
38993,0.119,-0.666,-0.302,44.244,194.977,44.241,0,136
39093,-0.026,-1.298,-0.231,9.734,-215.786,29.053,0,135
39150,0.096,-0.751,-0.455,-49.761,31.618,-13.452,0,135
39206,-0.729,-0.836,0.544,-74.603,-116.565,25.178,0,133
39263,0.548,-1.226,-0.582,43.809,55.361,12.482,0,134
39319,-0.919,-0.469,0.644,-35.924,163.527,-2.099,0,130
39378,0.129,-1.296,0.276,39.419,-129.641,24.321,0,132
39435,0.235,-0.695,-0.467,41.221,144.374,3.961,0,129
39483,-1.596,-1.0,1.089,-85.527,-78.649,0.923,56,128
39538,-0.756,-1.155,-0.381,-34.626,-250.137,50.023,0,103
39592,0.985,-1.041,-0.864,57.802,60.107,5.565,0,102
39648,-0.644,-0.558,-0.303,25.046,250.13,-46.348,0,99
39694,-2.0,-0.882,0.933,-79.221,-250.137,36.465,57,102
39742,-0.027,-1.322,-0.506,-3.878,-250.137,46.237,89,89
39799,1.333,-1.231,-1.163,71.023,86.58,-47.595,0,96
39854,-0.717,-0.6,-0.696,52.313,250.13,-10.068,0,90
39900,-2.0,-1.132,1.335,-91.153,-105.947,64.061,53,88
39953,-0.176,-1.2,-0.154,8.696,-250.137,66.351,0,87
40006,0.781,-0.227,-0.761,79.809,159.794,-28.55,0,66
40061,-0.598,-0.234,-0.383,37.275,250.13,23.603,0,107
40109,-2.0,-0.743,0.497,110.638,223.046,36.481,56,107
40163,-2.0,-1.012,0.479,-77.092,-250.137,-43.779,0,106
40213,0.476,-2.0,-2.0,-4.058,-250.137,-73.626,130,76
40263,0.851,-0.511,-0.998,86.679,250.13,-72.336,108,74
40310,-1.484,-0.016,0.336,-114.901,250.13,22.885,53,103
40356,-1.743,-1.72,1.115,-206.931,-86.664,-31.809,52,99
40401,-0.057,-2.0,-1.053,73.756,-250.137,-44.557,54,73
40444,0.141,-0.446,-0.349,82.924,-110.928,-45.962,56,43
40488,-0.859,0.095,0.22,-97.817,146.638,24.687,55,62
40534,-0.983,-0.649,0.746,-182.214,-201.641,34.824,57,66
40583,0.341,-2.0,-1.32,13.12,-176.893,-28.267,144,62
40634,0.316,-0.62,-0.813,133.87,250.13,-102.908,121,50
40677,-1.481,-0.239,-0.249,-14.957,250.13,-41.26,57,47
40721,-1.254,-0.743,0.529,-149.519,-65.097,-29.523,57,48
40764,-0.832,-1.752,-0.402,-59.252,-190.328,5.909,57,37
40808,-0.01,-1.354,-0.712,166.374,-91.336,-1.665,62,47
40856,-0.174,-0.542,-0.305,75.237,65.679,-27.32,126,49
40899,-0.528,-0.49,-0.174,-53.763,44.87,26.489,58,50
40943,-0.477,-1.107,0.16,-104.328,-43.489,7.306,59,50
40987,-0.352,-1.726,-0.814,35.221,-59.191,-9.321,56,51
41030,-0.907,-0.31,0.394,22.519,-74.718,-27.043,57,74
41076,-1.01,-0.617,0.225,-127.046,-250.137,32.083,62,84
41129,0.287,-2.0,-1.28,64.538,-250.137,33.924,0,66
41182,0.532,-0.833,-0.718,132.305,116.802,-38.863,0,64
41235,-0.646,-0.215,0.08,-32.084,250.13,10.572,0,61
41288,-1.049,-1.223,0.705,-104.794,14.566,5.686,0,65
41340,0.032,-1.482,-0.555,131.321,-63.626,28.794,0,65
