Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47832,-0.216,-1.119,0.225,-10.848,-7.16,-9.913,111,112
47879,-0.02,-0.945,0.231,-1.669,-2.362,5.469,111,71
47927,0.054,-0.897,0.344,1.631,-1.351,11.86,111,73
47974,-0.093,-1.014,0.217,-1.666,-0.57,3.301,110,67
48021,-0.005,-0.925,0.228,0.527,5.223,11.74,110,71
48069,-0.156,-1.069,0.216,-1.35,-3.597,0.364,110,64
48116,0.041,-0.886,0.334,0.51,0.689,13.353,109,72
48166,-0.048,-0.988,0.203,-1.468,-4.95,3.747,110,67
48214,-0.055,-0.993,0.177,-1.729,1.29,1.155,109,67
48261,-0.129,-1.045,0.227,-4.753,-0.701,-0.689,108,67
48309,-0.143,-1.045,0.218,-4.366,-6.411,-1.439,108,70
48356,0.087,-0.855,0.379,2.385,1.207,1.601,108,64
48403,-0.14,-1.072,0.219,-5.995,-4.484,-3.099,108,68
48450,0.123,-0.818,0.423,4.152,5.749,2.827,109,73
48498,-0.082,-1.003,0.174,-3.875,1.155,-2.226,109,69
48545,-0.06,-0.98,0.212,-2.708,-0.793,-2.493,108,71
48598,-0.046,-0.961,0.21,-3.253,2.454,-2.043,108,112
48646,-0.163,-1.065,0.093,-7.136,-1.298,-2.512,108,69
48693,-0.066,-0.996,0.157,-3.21,1.348,0.2,108,64
48740,-0.082,-1.003,0.164,-4.123,5.093,0.923,108,64
48787,-0.033,-0.956,0.255,-0.867,3.588,3.119,108,71
48835,-0.094,-1.022,0.125,-4.382,-1.168,0.857,107,75
48882,-0.05,-0.989,0.188,-2.909,3.595,2.572,107,78
48930,-0.149,-1.083,0.061,-6.008,0.306,-1.933,107,74
48977,-0.186,-1.103,0.037,-7.914,-3.133,-4.548,107,67
49028,-0.095,-1.009,0.135,-4.409,3.287,-3.265,107,64
49075,0.024,-0.902,0.283,0.457,15.286,0.78,106,65
49122,-0.046,-0.986,0.181,-3.779,8.784,-4.449,105,63
49169,-0.209,-1.109,0.015,-15.528,-5.268,-16.071,106,63
49216,-0.018,-0.931,0.234,-2.568,14.576,-3.098,105,60
49262,-0.056,-0.958,0.202,-5.257,12.046,-4.362,104,60
49309,-0.114,-1.003,0.137,-11.338,3.638,-8.712,103,62
49356,-0.104,-0.999,0.125,-11.91,2.615,-8.484,103,67
49403,0.06,-0.856,0.29,5.258,43.963,1.232,102,64
49453,-0.069,-1.004,0.041,-14.238,25.969,-8.655,99,63
49500,-0.088,-0.993,0.054,-15.626,63.702,-1.053,99,69
49547,-0.212,-1.08,-0.013,-15.722,89.267,-4.416,95,67
49598,-0.317,-1.057,0.025,-22.306,110.626,-5.765,97,127
49646,-0.319,-1.069,0.087,-27.792,103.45,20.405,57,130
49693,-0.472,-1.14,0.324,-27.267,28.947,25.725,51,129
49744,-0.38,-1.071,0.305,-36.489,-60.427,25.252,98,132
49797,-0.134,-1.119,0.242,-16.875,-92.366,18.168,118,133
49848,0.552,-0.292,0.238,33.969,34.536,-19.618,94,84
49893,0.671,0.001,-0.251,61.473,182.588,-90.565,58,80
49941,-0.078,-0.065,-0.519,74.779,250.13,-91.053,31,163
49991,-1.074,-0.941,0.461,27.992,119.153,-28.859,30,190
50039,-0.724,-2.0,0.094,-63.038,-250.137,27.244,23,148
50087,0.026,-1.491,-0.134,-38.26,-250.137,-41.885,75,109
50135,1.334,-1.312,-0.848,55.496,-86.412,-136.656,79,82
50186,0.157,-0.822,0.286,4.421,79.0,-75.771,99,140
50273,0.908,-1.73,-0.874,21.0,-30.305,-35.256,43,79
50327,0.403,-0.954,-0.258,-28.336,188.489,-72.725,97,133
50378,0.19,-0.773,0.721,-85.931,81.153,25.595,101,131
50429,0.543,-1.432,-0.339,71.595,123.695,-31.534,96,141
50480,-0.32,-0.092,0.332,24.809,211.687,-41.206,75,152
50530,-0.726,-0.873,1.363,-82.389,-169.924,43.496,76,138
50580,0.924,-1.938,-0.833,107.603,-179.16,-60.032,75,137
50630,0.454,-0.384,-0.198,75.794,176.336,-58.603,77,137
50680,-0.767,-0.635,0.733,-70.611,89.603,23.244,76,135
50734,0.102,-1.553,0.254,21.115,-208.031,85.29,74,136
50785,0.357,-0.764,-0.149,77.397,-74.794,3.103,93,138
50834,0.193,-0.428,0.016,-36.282,29.934,63.26,74,137
50884,0.389,-1.339,-0.209,-71.191,32.954,65.389,74,138
50934,-0.002,-1.03,0.215,19.756,111.031,5.448,76,138
50984,-0.656,-0.963,0.818,-76.145,-103.313,34.0,75,138
51035,0.469,-2.0,-0.509,-103.857,-244.305,54.519,71,137
51085,0.753,-0.752,-0.339,74.267,57.511,-6.655,74,140
51133,-0.665,-0.704,0.68,-48.496,29.519,37.099,74,118
