Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47832,0.017,-0.888,0.225,-0.973,3.295,1.02,111,112
47879,-0.078,-1.001,0.231,-3.792,-4.657,2.199,111,70
47927,-0.184,-1.126,0.04,-5.329,-10.188,-1.879,111,64
47974,-0.087,-1.009,0.217,-1.447,-0.107,4.193,110,68
48021,0.041,-0.88,0.228,1.056,6.33,14.023,110,73
48069,0.193,-0.743,0.216,3.292,7.276,24.233,110,78
48116,-0.054,-0.973,0.217,-0.94,-2.894,6.874,109,68
48166,0.282,-0.682,0.595,4.458,5.072,18.511,110,67
48214,-0.28,-1.202,-0.091,-6.591,-6.854,-5.768,109,67
48261,-0.118,-1.036,0.227,-4.209,0.194,-0.245,108,67
48309,0.154,-0.77,0.218,3.988,3.284,3.443,108,74
48356,-0.381,-1.293,-0.194,-12.124,-13.361,-5.68,108,64
48403,-0.249,-1.176,0.219,-8.771,-7.127,-4.657,108,67
48450,0.007,-0.926,0.278,-0.472,2.446,-0.134,109,70
48498,0.335,-0.611,0.669,10.32,9.624,7.697,109,74
48545,-0.22,-1.133,0.02,-8.396,-4.283,-6.032,108,70
48598,-0.063,-0.978,0.188,-3.944,1.996,-2.44,108,112
48646,0.0,-0.912,0.286,-0.704,4.415,1.109,108,69
48693,-0.19,-1.115,0.012,-7.392,-2.687,-2.124,108,64
48740,-0.195,-1.111,0.035,-7.603,1.598,-1.156,108,64
48787,-0.25,-1.157,0.009,-7.712,-4.293,-2.033,108,69
48835,0.226,-0.723,0.486,5.581,13.493,8.494,107,79
48882,0.196,-0.758,0.463,4.362,15.115,8.028,107,87
48930,0.082,-0.872,0.314,1.541,14.053,3.584,107,83
48977,-0.008,-0.94,0.236,-1.278,10.288,0.195,107,67
49028,-0.272,-1.175,-0.057,-10.455,-9.257,-7.988,107,64
49075,-0.083,-1.003,0.162,-4.795,5.199,-3.959,106,65
49122,0.203,-0.749,0.459,8.717,29.794,8.091,105,63
49169,-0.272,-1.171,-0.051,-17.495,-8.185,-18.023,106,63
49216,-0.189,-1.098,0.039,-15.056,-2.366,-15.025,105,60
49262,-0.359,-1.258,-0.144,-29.606,-16.441,-25.737,104,60
49309,-0.457,-1.341,-0.247,-39.704,-27.577,-32.18,31,19
49356,-0.085,-0.982,0.145,-9.737,5.71,-6.868,103,67
49403,-0.291,-1.19,-0.078,-30.25,-40.374,-19.225,102,64
49453,-0.063,-0.998,0.048,-12.783,25.969,-7.786,99,63
49500,-0.141,-1.041,0.003,-19.269,63.702,-3.421,97,69
49547,-0.197,-1.072,-0.004,-12.778,89.267,-2.007,95,68
49598,0.149,-0.736,0.392,23.107,110.626,35.177,109,127
49646,-0.319,-1.001,0.174,-13.148,103.45,20.405,57,130
49693,-0.472,-0.969,0.324,-27.267,28.947,25.725,51,129
49744,-0.38,-0.914,0.305,-36.489,-60.427,25.252,98,132
49797,0.224,-1.119,0.242,21.64,-92.366,18.168,118,133
49848,0.552,-0.292,0.238,33.969,-16.991,-19.618,94,83
49893,0.671,0.001,-0.251,61.473,182.588,-90.565,58,90
49941,-0.026,-0.065,-0.519,74.779,250.13,-91.053,31,163
49991,-1.074,-0.942,0.461,27.992,119.153,-28.283,30,190
50039,-0.724,-2.0,0.015,-63.038,-250.137,27.244,23,148
50087,-0.129,-1.491,-0.134,-38.26,-250.137,-41.885,22,33
50135,1.334,-1.312,-0.848,55.496,-86.412,-136.656,79,83
50186,0.157,-1.028,0.004,-18.52,79.0,-75.771,98,140
50273,0.908,-1.73,-0.874,21.0,-30.305,-12.08,43,81
50327,0.403,-0.742,-0.258,-28.336,188.489,-72.725,99,133
50378,0.19,-0.758,0.721,-85.931,81.153,25.595,102,131
50429,0.543,-1.432,-0.339,71.595,123.695,-31.534,97,141
50480,-0.32,-0.092,0.332,24.809,211.687,-41.206,75,152
50530,-0.726,-0.873,1.363,-82.389,-169.924,43.496,76,138
50580,0.924,-1.938,-0.833,107.603,-179.16,-54.966,75,137
50630,0.454,-0.384,-0.198,75.794,176.336,-58.603,77,137
50680,-0.767,-0.635,0.733,-70.611,89.603,23.244,76,135
50734,-0.019,-1.553,0.17,21.115,-208.031,85.29,74,136
50785,0.357,-0.764,-0.149,77.397,-74.794,17.427,96,138
50834,0.193,-0.428,0.067,-36.282,57.533,63.26,74,137
50884,0.389,-1.339,-0.209,-71.191,32.954,65.389,74,138
50934,0.436,-0.871,0.642,19.756,111.031,86.749,76,138
50984,-0.656,-0.939,0.818,-76.145,-103.313,34.0,75,138
51035,0.469,-2.0,-0.509,20.43,-244.305,54.519,71,137
51085,0.753,-0.752,-0.339,74.267,57.511,-19.038,74,140
51133,-0.665,-0.704,0.68,-48.496,29.519,37.099,74,118
51186,0.175,-1.789,-0.156,13.439,-168.435,51.618,74,143
51233,0.671,-0.657,-0.507,121.656,135.893,35.565,75,84
51281,-0.874,-0.439,0.532,-19.626,125.626,-7.169,78,103
51329,-0.437,-1.302,0.263,-34.412,-143.305,28.008,78,83
51376,0.605,-1.392,-0.922,102.321,84.84,-48.389,79,94
51425,-0.729,-0.25,0.279,-12.838,204.939,-3.453,84,104
51472,-0.858,-1.086,0.726,-96.977,-109.298,45.908,61,107
51519,0.397,-1.656,-0.745,34.122,-96.244,34.694,79,86
51569,0.065,-0.489,0.592,36.666,134.878,55.401,82,94
51617,-0.399,-1.203,0.469,-36.336,57.794,66.328,78,107
51666,-0.069,-1.406,-0.135,49.206,38.168,-9.357,78,103
51715,-0.735,-0.767,0.749,21.74,-29.229,39.404,88,100
51763,-0.644,-1.201,0.444,-19.427,-250.137,29.832,76,102
51808,0.307,-1.141,-0.453,37.099,-157.481,-2.046,85,53
51854,-0.064,-0.667,0.424,-33.374,-49.481,4.767,85,54
51901,0.081,-1.251,0.219,-27.145,-33.053,19.405,109,54
51948,0.303,-0.78,-0.011,31.511,165.382,-20.435,94,56
51999,-0.717,-0.702,0.698,-30.58,179.901,17.432,90,100
52047,-0.702,-0.724,0.704,36.329,-35.176,24.527,95,83
52099,-0.498,-1.143,0.421,22.031,-117.023,30.008,114,106
52153,0.046,-0.763,0.226,17.135,-64.634,27.679,0,82
52206,0.174,-0.87,0.303,21.075,35.318,16.497,0,81
52260,0.138,-0.796,0.298,18.634,90.962,-28.947,0,83
52315,-0.529,-1.063,0.4,-26.105,33.221,-18.198,0,73
52368,0.024,-0.866,0.221,24.719,34.713,1.02,0,80
52425,-0.416,-0.834,0.433,-35.126,-78.111,-32.666,0,70
52476,-0.367,-1.276,0.253,-27.435,-113.519,-4.609,137,86
52526,-0.026,-0.983,0.416,-16.698,-77.802,11.783,123,67
52575,0.098,-0.727,0.491,31.786,-31.87,78.779,127,69
52623,0.112,-0.987,0.295,95.74,38.313,61.603,119,66
52676,-0.217,-0.655,0.246,120.74,132.214,1.444,0,65
52729,-1.355,-1.18,0.892,37.275,102.656,-100.115,0,62
52826,0.435,-0.512,-0.07,53.931,-207.267,-46.641,0,57
52882,0.244,-0.27,0.572,-68.015,250.13,-89.328,0,60
52934,-0.895,-0.789,0.55,-49.252,142.076,-24.252,132,60
52984,-0.238,-0.896,0.392,9.297,24.916,-54.809,144,66
53037,-0.361,-0.653,0.559,-35.641,108.427,-90.092,143,110
53086,-0.401,-0.645,0.634,-54.0,-174.947,-30.687,113,69
53134,0.669,-1.127,0.101,67.702,-122.038,-48.275,110,67
53190,0.765,-0.529,-0.441,88.794,143.26,-85.641,115,0
53232,-0.345,-0.563,0.241,-75.756,250.13,30.092,101,0
53280,-0.89,-0.605,1.398,-158.573,-31.916,83.695,61,124
53335,0.055,-1.557,0.402,23.383,-250.137,51.924,98,130
53380,0.948,-1.08,-0.336,84.641,-136.359,-40.046,67,46
53429,0.733,-0.397,-0.165,-22.427,131.252,-29.931,117,83
53480,-0.02,-0.961,0.325,-136.74,233.565,7.141,94,117
53529,-0.657,-1.64,0.986,-115.244,31.656,17.164,97,115
53578,-0.53,-1.173,0.449,-183.483,-132.954,-25.357,88,88
53626,0.331,-1.051,0.029,-56.038,-125.397,23.611,91,86
53673,0.376,-1.208,0.078,-57.038,-29.931,19.053,58,92
53719,0.179,-1.384,0.32,-27.412,36.191,26.642,58,65
53767,0.011,-0.722,0.403,-16.126,33.847,53.702,59,65
53813,0.108,-1.273,0.253,-26.099,-30.954,26.153,60,64
53859,0.367,-1.05,-0.069,39.321,58.344,-51.13,60,92
53908,0.116,-0.822,0.279,0.722,143.595,-31.954,95,90
53956,-0.504,-1.098,0.529,-44.748,17.081,17.031,96,91
54005,-0.459,-1.304,-0.519,-26.598,-115.534,39.763,83,77
54060,0.363,-1.201,-0.322,-16.257,-56.734,-15.048,88,81
