Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29732,-0.641,-0.036,0.719,-1.077,1.41,-1.036,0,110
29787,-0.657,-0.029,0.718,-0.413,0.506,-0.053,0,111
29842,-0.64,-0.036,0.727,-0.702,-1.327,-0.947,0,111
29897,-0.647,-0.033,0.727,-0.529,1.596,-1.209,0,109
29953,-0.66,-0.03,0.736,-0.271,-1.522,-0.444,0,111
30007,-0.646,-0.029,0.744,-0.466,-2.352,-0.737,0,110
30062,-0.63,-0.024,0.738,-0.585,-0.908,-0.992,0,110
30120,-0.641,-0.031,0.735,-0.611,0.659,-0.713,0,110
30175,-0.656,-0.031,0.751,-0.254,0.115,-0.265,0,110
30230,-0.646,-0.028,0.72,-0.634,-0.815,-0.911,0,110
30285,-0.641,-0.029,0.738,-0.693,0.483,-0.713,0,111
30341,-0.649,-0.03,0.725,-0.958,0.219,-0.955,0,111
30395,-0.653,-0.033,0.747,-0.217,-0.93,-0.46,0,110
30450,-0.649,-0.031,0.748,-0.451,-0.263,-0.381,0,110
30505,-0.647,-0.034,0.749,-0.244,-2.018,-0.72,0,110
30561,-0.645,-0.032,0.749,-0.346,1.097,-0.522,0,110
30618,-0.659,-0.029,0.723,-0.451,-0.685,-0.4,0,110
30673,-0.643,-0.028,0.737,-0.731,-1.066,-0.188,0,110
30729,-0.639,-0.024,0.734,-1.854,-1.639,-0.339,0,111
30784,-0.646,-0.032,0.747,-1.658,-4.122,0.257,0,110
30839,-0.642,-0.03,0.741,-2.751,-3.338,1.035,0,110
30895,-0.616,-0.039,0.718,-1.683,-3.07,0.695,0,111
30950,-0.631,-0.028,0.757,-0.744,0.598,-0.752,0,110
31004,-0.644,-0.032,0.724,-0.495,-1.025,-1.6,0,111
31059,-0.629,-0.033,0.747,0.507,-0.145,-1.07,0,111
31118,-0.629,-0.035,0.729,0.351,3.21,-2.371,0,112
31173,-0.648,-0.032,0.725,1.151,3.556,-3.052,0,112
31228,-0.66,-0.037,0.719,0.375,0.085,-2.275,0,110
31284,-0.641,-0.028,0.723,-0.343,-4.374,-0.43,0,111
31339,-0.624,-0.031,0.699,-1.325,-4.087,0.383,0,110
31394,-0.647,-0.024,0.728,-1.129,2.696,-0.302,0,111
31450,-0.673,-0.024,0.758,-1.414,1.245,0.125,0,111
31505,-0.703,-0.032,0.769,-3.942,-11.767,-1.272,0,112
31560,-0.718,-0.003,0.852,-1.488,-27.252,-3.364,0,111
31619,-0.962,0.021,1.412,-2.63,-85.58,-9.179,0,114
31679,-0.601,-0.459,0.884,56.397,-158.328,-26.436,0,0
31735,0.213,0.171,0.473,68.962,33.473,-13.143,0,119
31792,-0.679,0.208,0.741,28.023,151.427,11.967,0,142
31852,-0.947,0.265,0.937,27.176,-5.105,57.924,0,0
31911,-0.52,0.015,0.84,11.061,-160.16,74.473,182,0
31970,0.289,-0.22,0.242,51.405,-43.336,7.455,180,179
32029,-0.357,0.481,0.235,36.13,250.13,-55.168,182,0
32089,-1.51,0.443,1.068,-22.649,102.397,31.121,185,1
32151,-1.132,0.392,1.366,-37.176,-250.137,72.702,179,0
32209,0.46,-0.278,0.417,1.757,-250.137,-36.038,176,180
32261,0.665,0.101,0.112,45.87,202.206,-73.817,53,180
32328,-1.046,0.438,0.402,24.137,250.13,36.282,181,0
32387,-1.513,0.353,1.237,-22.74,12.267,93.458,181,191
32443,-0.527,0.222,0.764,-8.428,-250.137,45.45,144,0
32502,0.672,0.25,0.031,20.061,-28.606,-61.427,176,0
32604,-1.487,0.476,1.072,-48.153,119.695,55.13,179,195
32661,-1.021,0.446,1.595,-38.489,-250.137,42.55,142,0
32722,1.088,0.036,0.308,13.183,-174.137,-67.985,172,1
32781,0.032,0.267,0.281,34.084,250.13,-51.038,175,0
32839,-1.533,0.458,0.695,16.023,250.13,27.956,178,194
32899,-1.35,0.48,0.947,-45.74,-152.924,65.221,176,197
32955,-0.222,0.419,0.458,-49.649,-250.137,40.763,139,0
33006,0.855,0.026,0.363,0.453,-55.424,-57.466,38,0
33064,-0.29,0.469,0.541,12.786,247.084,-40.466,171,0
33122,-1.332,0.443,0.941,-37.847,164.229,29.069,141,0
33181,-0.893,0.423,1.399,-48.13,-215.252,40.115,138,0
33240,0.789,0.218,0.691,-16.229,-249.336,-2.727,166,0
33298,0.976,0.178,0.369,54.473,114.206,-31.061,167,0
33356,-0.82,0.424,0.401,22.817,250.13,-34.618,170,0
33415,-1.409,0.513,0.933,-16.556,57.939,-6.569,171,0
33458,-0.868,0.451,0.973,-48.504,-250.137,56.084,137,0
33514,-0.005,0.381,0.746,-49.359,-250.137,36.573,137,0
33572,1.1,0.049,0.369,1.695,-16.995,-38.519,164,0
33631,-0.175,0.264,0.62,-10.095,250.13,-38.58,166,0
33692,-1.126,0.328,0.971,-16.741,176.939,4.381,168,0
33750,-1.08,0.318,1.333,-36.618,-193.153,59.344,138,0
33808,-0.119,-0.022,0.725,-34.71,-250.137,10.061,163,0
33858,1.516,0.119,0.281,19.16,4.158,-42.611,19,0
33916,0.3,0.345,0.683,14.115,250.13,-3.454,164,0
33973,-1.056,0.257,0.713,31.672,250.13,19.262,138,0
34029,-1.039,0.526,1.062,-16.952,-55.954,8.555,136,0
34086,-0.489,0.383,0.929,-48.74,-248.939,-7.272,135,0
34143,0.559,0.041,0.625,-1.045,-205.878,-42.557,135,0
34204,0.599,0.339,0.698,15.466,92.817,-31.13,164,0
34263,-0.49,0.297,0.884,12.962,160.901,13.041,166,0
34321,-0.771,0.392,0.964,7.332,15.297,-0.262,166,0
34379,-0.417,0.375,1.056,-43.931,-161.763,31.26,165,0
34429,0.832,0.092,0.709,-17.725,-179.893,9.888,21,0
34490,1.092,0.202,0.467,16.031,116.45,-40.0,0,0
34548,-0.326,0.316,0.581,-8.799,250.13,-19.128,167,0
34608,-1.507,0.197,1.083,-5.212,209.611,32.885,169,0
34664,-1.171,0.459,1.588,-54.763,-212.13,43.947,138,0
34725,0.096,-0.394,0.347,8.414,-250.137,-31.13,163,0
34784,1.102,0.4,0.317,10.252,32.916,-36.366,163,0
34842,-0.369,0.228,0.65,-9.718,250.13,3.162,165,0
34900,-1.215,0.175,1.075,13.366,88.527,52.458,165,0
34958,-0.648,0.353,1.428,-37.015,-245.397,50.443,135,0
35016,0.717,-0.009,0.448,28.0,-205.252,-47.824,163,0
35073,0.606,0.468,0.576,7.58,136.794,-28.557,135,0
35130,-0.577,0.205,0.832,-4.646,187.771,2.658,135,0
35176,-0.854,0.32,1.1,-16.656,-90.55,10.815,135,0
35232,-0.388,0.312,0.906,-48.351,-248.519,28.185,135,0
35291,1.062,0.305,0.621,-46.656,-117.252,-24.048,48,5
35349,0.591,0.101,0.941,1.67,147.595,-37.527,161,0
35407,-0.454,0.114,1.136,25.26,155.366,3.799,163,0
35509,-0.413,0.275,1.003,-14.925,-181.137,26.313,162,0
35567,1.038,0.418,0.612,-21.618,-179.824,-8.13,163,0
35627,0.81,0.172,0.651,-6.826,178.794,-55.832,164,0
35685,-0.461,0.188,0.831,18.893,250.13,-9.136,164,0
