Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29732,-0.641,-0.036,0.741,-0.812,1.813,-0.785,0,110
29787,-0.657,-0.029,0.774,0.1,1.252,0.515,0,111
29842,-0.64,-0.036,0.664,-1.263,-2.231,-1.575,0,111
29897,-0.647,-0.033,0.458,-2.753,-2.597,-3.861,0,109
29953,-0.66,-0.03,0.907,1.234,1.438,1.573,0,111
30007,-0.646,-0.029,0.851,0.44,-0.734,0.431,0,110
30062,-0.63,-0.024,0.535,-2.357,-3.755,-3.129,0,110
30120,-0.641,-0.031,0.774,-0.259,1.142,-0.29,0,110
30175,-0.656,-0.031,0.875,0.828,1.201,0.953,0,110
30230,-0.646,-0.028,0.739,-0.424,-0.637,-0.681,0,110
30285,-0.641,-0.029,0.456,-3.294,-2.144,-3.597,0,111
30341,-0.649,-0.03,0.967,1.355,2.691,1.576,0,111
30395,-0.653,-0.033,0.662,-1.042,-2.098,-1.414,0,110
30450,-0.649,-0.031,0.729,-0.683,-0.649,-0.677,0,110
30505,-0.647,-0.034,1.025,2.065,1.435,1.958,0,110
30561,-0.645,-0.032,0.669,-1.168,-0.15,-1.344,0,110
30618,-0.659,-0.029,0.496,-3.039,-4.109,-2.413,0,110
30673,-0.643,-0.028,0.571,-3.066,-4.221,-1.469,0,110
30729,-0.639,-0.024,0.709,-2.352,-2.322,-0.551,0,111
30784,-0.646,-0.032,0.525,-5.88,-10.03,-1.732,0,110
30839,-0.642,-0.03,0.945,1.085,1.856,3.046,0,110
30895,-0.616,-0.039,0.461,-5.623,-8.758,-2.101,0,111
30950,-0.631,-0.028,0.812,-0.003,1.515,-0.03,0,110
31004,-0.644,-0.032,0.699,-0.667,-1.212,-1.781,0,111
31059,-0.629,-0.033,0.74,0.4,-0.445,-1.334,0,111
31118,-0.629,-0.035,0.804,1.077,4.849,-0.728,0,112
31173,-0.648,-0.032,0.731,1.237,3.914,-2.815,0,112
31228,-0.66,-0.037,0.67,-0.068,-1.038,-2.966,0,110
31284,-0.641,-0.028,0.825,0.772,-1.412,1.055,0,111
31339,-0.624,-0.031,1.076,3.37,5.463,4.356,0,110
