Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32596,0.227,-0.825,-0.141,-5.47,63.641,-67.13,37,82
32641,-0.004,-0.745,0.091,10.885,89.26,-117.725,36,74
32685,-0.553,-0.701,0.225,28.031,59.031,-80.053,49,70
32728,-1.648,-0.951,-0.063,92.962,54.099,-93.977,45,58
32771,-2.0,-0.857,-0.301,111.466,116.237,-150.702,39,63
32821,-2.0,0.001,-0.012,104.931,123.893,-100.527,152,58
32865,-1.524,0.311,-0.026,74.267,53.023,-67.763,51,73
32919,-0.712,0.738,0.029,56.023,17.567,-48.328,149,97
32965,-0.677,1.272,0.167,6.42,-35.189,-72.15,50,98
33009,-0.827,1.185,0.168,-74.412,-43.91,73.061,48,64
33053,-1.298,0.697,0.048,-149.458,-24.985,184.198,53,77
33099,-2.0,-0.033,-0.575,-183.702,-42.111,225.824,42,92
33150,-2.0,-0.877,-0.836,-151.321,-99.45,188.435,149,94
33196,-1.672,-0.759,-0.613,-99.237,-95.939,142.641,37,99
33242,-0.593,-0.477,-0.384,-79.458,-28.589,96.221,45,105
33291,-0.169,-0.73,-0.516,-55.626,-24.881,-43.195,41,110
33337,0.236,-0.765,-0.35,-87.911,20.611,-39.618,40,113
33383,0.553,-0.369,0.016,20.225,30.969,-71.855,40,109
33429,0.11,-0.349,-0.114,9.71,133.229,-75.733,43,105
33477,-1.836,-0.261,-0.026,66.168,133.16,-53.481,123,69
33526,-2.0,-0.179,-0.601,79.527,-86.296,-88.626,126,66
33574,-1.874,0.121,-0.494,15.832,-139.102,-79.188,126,60
33624,-0.976,0.09,0.047,-3.916,19.333,27.077,122,73
33670,-0.715,0.233,0.206,19.191,-53.435,-26.366,48,103
33720,-0.29,0.351,0.171,30.626,-70.74,-32.473,44,116
33766,-0.266,0.752,0.105,-29.265,-67.496,-26.328,47,104
33811,-0.582,0.944,-0.248,-100.626,-33.44,24.81,47,93
33857,-1.729,0.922,-0.803,-172.435,68.038,72.916,47,97
33907,-2.0,0.187,-0.999,-184.786,54.969,73.435,124,95
33955,-2.0,-0.286,-0.725,-163.282,-16.614,64.672,120,73
34004,-1.097,0.007,-0.303,-146.87,5.088,59.496,115,77
34054,-0.754,-0.52,-0.203,-128.817,-36.91,41.351,112,83
34112,0.192,-0.589,-0.046,-86.107,-67.977,16.513,109,0
34160,0.516,-0.751,-0.526,-49.698,-49.809,-24.099,37,157
34209,-0.195,-0.62,-0.271,43.084,-38.822,-67.466,42,154
34255,-1.975,-0.804,-0.553,76.893,29.786,-144.886,44,101
34306,-2.0,-0.219,-0.868,43.656,192.122,-95.45,117,100
34358,-2.0,0.117,0.307,-34.134,54.519,-42.111,51,0
34399,-1.055,0.227,-0.005,-27.471,-79.153,-32.519,107,0
34450,-0.535,0.298,-0.04,-5.061,-66.13,-22.16,104,135
34497,-0.301,0.537,0.131,0.085,-48.603,3.337,46,105
34546,-0.31,0.691,0.009,-66.015,-67.237,-31.152,39,104
34592,-0.81,0.909,-0.561,-153.802,-59.748,45.214,40,102
34642,-1.434,0.827,-1.49,-227.031,84.725,74.183,116,101
34690,-2.0,-0.296,-1.433,-250.137,33.359,60.435,51,110
34735,-2.0,-0.678,-1.177,-250.137,-69.511,84.519,47,94
34781,-1.085,-0.673,-0.812,-228.641,-79.036,47.183,37,97
34827,-0.391,-0.401,-0.22,-185.649,29.145,33.137,50,101
34882,-0.29,-0.372,0.102,-132.099,19.763,58.653,102,0
34923,0.159,-0.626,-0.053,-136.555,-69.327,-34.122,35,0
35016,-0.362,-0.231,-0.022,10.771,19.523,-82.847,113,101
35062,-1.924,-0.306,-0.782,35.74,51.878,-113.221,47,95
35115,-2.0,0.145,-0.571,-99.478,138.641,-92.509,48,0
35167,-2.0,0.333,-0.01,-85.595,-148.601,-135.925,15,5
35218,-1.319,0.355,-0.383,-98.053,-215.015,60.015,121,127
35265,-1.052,0.085,0.183,-67.489,-250.137,82.229,45,109
35309,0.065,0.012,-0.411,22.315,-250.137,44.374,31,82
35355,1.517,0.212,-1.465,12.42,178.702,18.381,34,45
35405,-0.675,1.187,-2.0,-87.542,250.13,158.45,113,101
35456,-2.0,-0.325,0.684,-200.153,68.16,52.527,118,97
35504,-1.667,0.456,-0.965,-171.427,-250.137,-32.481,116,74
35548,-0.303,-0.176,-0.798,-70.0,-234.603,-88.382,34,67
35593,0.546,-0.071,-1.032,-6.351,250.13,-83.053,44,67
35641,-2.0,-0.558,-0.52,-3.779,250.13,-5.768,117,73
35690,-2.0,-0.212,0.431,-80.435,-250.137,-20.799,113,84
35734,0.531,-0.182,-0.774,-62.855,-250.137,64.734,47,56
35782,1.406,0.009,-0.738,38.725,250.13,47.985,45,83
35832,-2.0,-0.279,-0.902,96.855,250.13,54.573,116,87
35877,-2.0,0.168,0.311,55.282,-250.137,-63.16,49,81
35921,-1.349,0.211,0.083,-1.977,-250.137,-49.26,35,74
35965,1.163,0.272,-0.655,-15.934,-124.931,-39.863,30,73
36009,0.635,0.751,-1.284,19.305,250.13,-4.835,31,79
36059,-1.464,1.081,-1.05,-47.65,250.13,82.458,115,88
36109,-2.0,0.201,1.228,-122.74,-102.107,8.402,117,92
36158,-1.649,0.436,-0.881,-156.092,-250.137,58.214,38,87
36202,0.364,-0.146,-1.487,-102.886,-123.725,80.641,31,85
36248,-0.429,0.12,-1.817,-85.336,250.13,79.435,46,90
36300,-2.0,-0.849,0.982,-4.733,250.13,-26.863,148,99
36353,-1.975,0.009,0.075,-2.603,-250.137,-76.985,143,101
36398,0.254,0.065,-1.055,-64.206,-250.137,-120.282,33,100
36443,1.697,-0.232,-1.188,-61.885,142.176,-95.504,37,77
36493,-0.071,-0.241,-1.048,-94.005,250.13,29.832,144,74
36545,-2.0,-1.554,0.288,63.527,250.13,43.29,148,94
36598,-2.0,-0.548,-0.169,69.389,-250.137,39.873,147,72
36649,-0.49,0.081,-0.306,43.084,-250.137,-78.145,146,74
36694,0.728,0.461,-1.089,27.954,250.13,-30.382,34,74
36741,-1.204,0.899,-1.146,36.603,250.13,51.061,44,100
