Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21489,-0.512,-0.523,0.838,5.21,18.102,-66.527,153,92
21539,0.02,-0.35,0.615,57.424,-79.672,35.986,152,74
21590,-0.53,-1.248,0.691,-46.649,-14.602,-65.725,153,72
21643,0.047,-0.529,0.35,48.802,-8.052,22.536,0,71
21693,-0.698,-0.556,1.107,-20.067,25.749,-46.985,157,73
21744,-0.191,-0.38,0.228,1.656,39.151,-0.786,156,74
21794,-0.765,-0.384,1.106,-48.214,-58.282,42.267,156,69
21850,-0.206,-0.47,0.176,-60.718,67.272,-0.887,0,75
21903,0.084,-0.269,0.551,6.05,-66.07,-15.647,0,71
21953,-0.695,-1.035,0.759,-70.405,136.351,-102.191,152,71
22003,-0.015,-0.657,0.51,14.031,-51.763,92.954,152,69
22053,-0.956,-1.101,0.734,-10.349,49.573,-33.74,153,73
22107,-0.344,-0.622,0.65,-2.252,-32.611,13.816,0,72
22160,-0.504,-0.825,0.797,-3.51,-213.595,76.939,0,77
22210,0.368,-0.69,0.067,-31.258,-6.306,-128.282,152,73
22260,0.022,-0.519,0.958,-31.863,78.809,8.548,152,73
22313,-0.826,-1.403,0.264,-4.92,155.015,5.207,150,82
22365,-0.814,-0.149,1.686,26.282,-111.672,64.466,149,83
22415,-0.41,-0.572,0.29,-60.725,73.588,-137.473,151,78
22466,0.028,-0.551,0.712,1.598,-93.206,91.756,151,73
22516,-0.542,-1.089,0.244,28.688,94.084,-38.267,151,76
22566,-0.151,-0.281,0.935,-3.582,-54.893,52.542,150,73
22617,-0.646,-0.808,0.716,-68.282,51.16,-89.496,151,75
22670,0.494,-0.598,0.587,39.702,-98.931,72.924,0,73
22723,-0.547,-0.868,0.191,1.024,250.13,-144.641,146,77
22773,-0.553,-0.341,0.636,-10.657,-57.511,141.427,150,77
22823,-0.91,-1.48,0.137,-30.603,-115.702,-56.202,145,76
22874,0.318,-0.581,0.776,1.877,-91.969,-55.008,142,78
22924,0.272,-1.122,0.143,3.585,-29.0,-37.038,143,77
22976,-0.1,-0.778,0.51,-47.26,183.679,-46.603,143,102
23026,0.154,-0.88,0.492,-25.836,-113.798,143.298,143,77
23076,-1.406,-1.47,0.152,25.16,179.321,-85.969,146,80
23127,-0.176,-0.047,1.562,-12.963,-190.496,49.305,145,75
23181,-0.532,-1.462,-0.379,-1.279,37.067,-92.359,145,80
23231,0.092,-0.303,1.036,0.513,-108.198,27.351,144,75
23281,0.146,-1.493,-0.157,30.565,-110.252,-17.26,145,75
23324,-0.484,-0.323,1.001,-82.122,95.763,-64.198,16,70
23375,-0.369,-1.077,0.666,-31.313,-224.893,146.198,145,100
23418,0.745,-1.013,-0.145,99.71,-57.84,-168.588,16,77
23469,0.004,-0.148,0.924,117.721,187.305,-31.885,147,74
23512,-0.262,-1.191,0.865,-45.29,-93.878,111.351,16,76
23558,0.417,-1.494,0.363,115.534,-35.606,-117.565,18,71
23600,0.275,0.552,0.942,69.603,169.748,-48.374,20,69
23650,-0.759,-0.716,1.415,-52.13,42.74,98.87,148,66
23700,0.403,-2.0,-0.168,71.092,5.656,-42.282,151,68
23744,-0.4,-0.048,-0.487,211.565,250.13,-142.16,53,64
23789,-1.6,-0.093,1.235,-115.626,139.008,81.458,55,63
23833,-0.934,-0.839,1.107,-151.565,-250.137,109.496,57,63
23878,0.424,-1.379,-0.319,150.695,19.156,-250.137,56,63
23925,-0.039,1.034,1.432,47.595,236.244,-30.885,57,63
24012,-0.893,-2.0,-0.183,-73.878,-221.733,110.916,58,63
24057,0.545,-1.064,-0.08,201.817,-170.853,-205.275,58,60
24103,0.031,0.899,0.873,-159.13,247.725,-152.348,57,88
24147,-1.214,-0.259,2.0,-165.511,55.939,48.863,61,62
24195,-0.647,-2.0,-0.647,64.098,-174.282,44.603,61,97
24239,-0.421,0.017,-0.135,212.053,120.45,-129.092,62,60
24284,-0.943,0.093,0.47,-54.55,125.153,26.618,62,60
24329,-0.863,-0.293,1.926,-142.603,-123.557,89.603,61,64
24376,-0.014,-2.0,-0.633,77.412,-86.015,-102.458,60,59
