Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40940,-0.174,-0.101,1.058,-10.942,177.366,-16.573,0,0
40986,-0.39,-0.092,1.152,-3.4,-19.655,-17.58,0,0
41033,0.03,-0.09,1.025,-4.087,-70.191,8.534,1,0
41079,0.231,-0.101,0.913,-0.466,-25.702,8.613,0,0
41125,0.143,-0.105,0.975,0.965,12.451,3.376,0,0
41171,0.058,-0.075,1.038,0.286,12.519,0.885,0,0
41218,0.047,-0.05,0.999,2.62,3.947,-2.302,0,0
41265,0.017,-0.084,0.93,-2.308,3.61,-3.985,0,0
41314,-0.008,-0.094,0.979,-2.926,-2.527,0.165,0,0
41360,0.061,-0.075,0.985,-0.185,-5.034,1.157,0,0
41406,0.068,-0.095,0.986,-2.756,0.278,1.071,0,0
41452,0.032,-0.063,1.018,-0.797,1.062,1.885,0,0
41499,0.064,-0.09,1.038,-0.121,-3.35,1.659,1,0
41545,0.05,-0.093,1.026,-1.574,-6.761,3.044,0,0
41591,0.259,-0.147,0.993,8.336,12.819,-4.821,0,0
41637,0.582,-0.144,0.624,27.71,111.725,-40.947,0,0
41684,0.164,0.059,0.593,7.931,250.13,-50.214,0,0
41734,-0.922,-0.099,1.019,-7.437,226.695,-29.191,0,0
41781,-1.536,-0.134,1.23,-0.015,-29.015,1.338,1,0
41827,-1.205,-0.096,0.97,-1.195,-250.137,30.534,1,0
41874,-0.104,-0.134,0.582,4.659,-250.137,65.702,0,0
41920,0.797,-0.065,0.503,16.901,-183.954,62.595,1,0
41967,1.046,-0.081,0.602,-10.994,-206.022,-11.882,5,5
42013,0.692,-0.067,0.696,-3.484,172.634,-52.489,0,0
42059,0.181,-0.093,0.734,-22.679,250.13,-52.55,0,0
42106,-0.985,-0.123,1.211,4.877,154.244,-20.336,1,0
42173,-1.294,-0.073,1.362,-1.68,-140.481,23.611,1,0
42220,-0.054,-0.23,0.692,3.963,-250.137,62.916,0,0
42267,1.249,-0.097,0.283,23.626,-144.351,15.182,0,0
42313,1.145,0.008,0.445,-11.652,148.092,-28.16,1,0
42360,0.007,-0.097,0.708,-26.763,250.13,-39.221,0,0
42406,-0.75,-0.174,1.193,-13.374,152.977,-0.911,0,0
42454,-0.818,-0.273,1.301,-5.526,-95.282,-5.702,0,0
42501,0.065,-0.099,0.888,3.601,-184.695,9.832,0,0
42547,0.684,-0.074,0.648,1.055,-41.527,8.042,0,0
42597,0.149,-0.093,0.979,-10.79,73.87,6.453,0,0
42643,-0.107,-0.153,1.147,-0.746,19.4,-4.285,0,0
42690,0.073,-0.067,0.96,1.837,-6.068,-16.555,0,0
42736,0.001,-0.135,1.005,-4.245,14.874,1.823,0,0
42783,-0.051,-0.151,1.039,3.087,-9.406,3.597,0,0
42829,0.037,-0.095,0.939,3.161,-18.453,5.357,0,0
42876,0.115,-0.086,0.953,0.401,3.107,4.55,0,0
42923,0.027,-0.116,1.022,-0.89,7.005,0.675,0,0
42970,0.02,-0.102,0.931,-2.415,-27.788,-3.904,0,0
