Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36432,0.6,-0.004,0.641,4.237,-61.221,24.901,0,0
36480,0.172,-0.04,0.994,-3.282,49.794,10.794,0,0
36526,-0.027,-0.087,1.096,1.459,14.179,3.345,0,0
36572,0.144,-0.007,0.985,2.809,0.151,4.015,0,0
36618,0.056,-0.02,1.003,0.349,7.094,0.388,0,0
36664,0.003,-0.064,1.023,-0.856,4.383,2.75,0,0
36711,0.086,-0.021,1.0,0.33,-11.687,7.069,0,0
36757,0.148,-0.041,0.925,-0.273,1.293,2.456,0,0
36806,0.017,-0.015,1.012,-3.503,6.777,-1.92,0,0
36852,0.059,-0.054,1.016,-1.556,-0.901,2.413,0,0
36898,0.1,-0.043,0.987,-0.588,-4.282,3.411,0,0
36945,0.158,-0.028,0.988,-0.714,5.493,2.078,0,0
36992,0.049,-0.065,0.987,-1.222,4.993,-0.29,0,0
37038,0.097,-0.016,0.937,-5.597,-0.718,-0.156,0,0
37085,0.015,-0.035,1.01,-8.115,0.947,-2.172,0,0
37131,-0.35,0.057,1.147,-20.122,-56.244,1.426,0,0
37177,-0.431,-0.033,1.064,-44.595,-209.466,33.26,0,0
37222,0.33,-0.31,0.645,-25.084,-250.137,25.145,111,0
37282,1.431,-0.051,0.371,-1.375,-138.855,1.6,0,0
37328,1.167,-0.221,0.48,-12.779,189.237,-23.496,0,0
37376,0.349,-0.135,0.733,-16.328,250.13,-25.115,0,0
37422,-0.283,-0.184,1.191,5.049,185.473,-19.763,1,0
37469,-0.073,-0.107,1.044,9.71,101.038,-27.191,2,0
37515,-0.441,-0.086,1.059,-2.273,60.909,-11.145,0,0
37562,-0.622,-0.208,1.201,-9.519,-125.672,38.962,0,0
37609,-0.102,-0.256,0.876,15.527,-221.282,39.908,0,0
37676,0.984,-0.104,0.57,27.282,-104.137,17.611,0,0
37723,0.641,-0.022,0.761,0.731,150.763,-18.947,0,0
37769,-0.098,-0.083,0.998,-12.069,176.901,-14.962,0,0
