Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39714,0.741,-0.067,0.658,0.66,123.58,-19.786,1,0
39760,0.268,-0.057,0.952,-9.282,191.015,-25.023,2,0
39806,-0.289,-0.066,1.054,0.807,113.71,-27.427,1,0
39854,-0.459,-0.044,1.119,-8.41,-95.025,-12.649,0,0
39900,-0.361,-0.148,1.078,-0.356,-84.771,6.659,1,0
39946,-0.19,-0.225,0.842,13.481,-115.366,25.038,0,0
39993,0.359,-0.055,0.914,17.954,-92.397,22.992,0,0
40042,0.728,0.014,0.73,10.466,33.466,-10.427,2,0
40088,0.685,0.059,0.457,-12.832,248.405,-28.053,5,0
40134,-0.626,-0.066,0.942,-17.137,250.13,-7.137,0,0
40181,-1.322,-0.184,1.367,5.602,50.214,10.504,3,0
40227,-0.833,-0.051,1.04,9.954,-227.328,-3.458,0,0
40273,0.171,-0.017,0.642,6.053,-233.847,11.576,2,0
40321,0.553,-0.061,0.705,1.49,-73.519,17.794,1,0
40367,0.318,-0.028,0.754,-5.969,48.092,-8.072,0,0
40413,-0.077,-0.054,1.084,-4.226,39.565,-4.238,0,0
40460,-0.212,-0.05,0.848,-4.763,-37.977,-8.115,0,0
40509,-0.013,-0.066,0.972,-5.573,0.616,-1.978,0,0
40555,-0.057,-0.167,0.906,-4.623,-0.19,-1.64,0,0
40602,0.119,-0.087,1.021,-3.969,4.078,6.973,3,0
40648,0.106,-0.079,1.043,3.333,0.126,5.533,2,0
40694,0.047,-0.039,0.964,-2.842,7.503,0.904,0,0
40741,-0.041,-0.078,0.957,-3.083,8.259,-2.646,0,0
40787,-0.238,-0.091,1.029,-2.629,-23.423,-2.67,0,0
40834,0.016,-0.049,0.923,-0.213,-6.153,1.014,0,0
40881,0.081,-0.074,1.002,1.611,14.132,1.599,1,0
40947,0.075,-0.066,1.004,1.052,28.787,3.002,1,0
40993,0.182,-0.035,0.992,-8.664,54.557,5.195,2,0
41040,-0.112,-0.089,0.918,-12.061,73.962,-13.183,0,0
41086,-0.255,-0.153,1.09,-9.695,74.42,-27.282,0,0
41134,-0.751,-0.089,1.279,15.023,-8.433,-5.351,0,0
41180,-0.762,-0.186,1.172,20.626,-165.45,47.649,1,0
41227,0.585,-0.178,0.785,40.122,-228.733,49.412,5,0
41274,0.654,0.025,0.641,34.519,-127.985,48.137,0,0
41320,0.832,0.014,0.689,13.008,31.977,14.145,2,0
41370,0.819,0.033,0.53,-10.145,167.389,-30.26,4,0
41416,-0.092,-0.002,0.699,-29.229,250.13,-20.122,0,0
41463,-0.777,-0.151,1.12,-21.496,204.183,-10.45,0,0
41509,-1.17,-0.038,1.4,7.902,-84.931,-11.382,3,0
41556,-0.503,-0.077,0.928,6.519,-250.137,-6.023,0,0
41604,0.553,-0.043,0.537,8.557,-242.244,-5.84,2,0
41650,1.008,0.064,0.597,-5.672,27.621,1.104,0,0
41697,0.308,-0.079,0.848,-19.092,179.901,-14.237,4,0
41744,-0.369,-0.068,1.181,-9.809,128.061,-6.397,3,0
41810,-0.656,-0.157,1.299,2.512,-76.985,7.496,0,0
41858,0.282,-0.085,0.778,14.443,-178.924,21.855,0,0
41905,0.809,-0.01,0.659,12.344,-100.351,13.763,0,0
41951,0.421,0.021,0.857,-9.084,125.893,-3.313,0,0
41998,-0.06,-0.089,1.066,-12.13,109.344,-9.504,1,0
42045,-0.304,-0.077,1.21,-15.801,-146.332,-15.717,0,0
42147,0.406,-0.064,0.856,5.348,60.167,8.833,4,0
42194,0.284,0.015,1.154,1.617,72.092,-11.916,3,0
42242,-0.146,-0.063,1.106,-1.582,14.793,-8.275,0,0
42292,-0.06,-0.148,0.927,1.893,-37.112,-8.885,0,0
42338,-0.061,-0.089,0.859,-0.637,-30.114,-7.646,0,0
42385,-0.014,-0.08,0.882,-0.537,-8.615,-0.533,0,0
42432,-0.036,-0.057,1.019,1.336,-13.421,10.779,0,0
42478,-0.084,-0.073,1.023,-1.446,-33.473,9.427,0,0
42525,0.097,-0.035,0.881,-1.087,-45.735,-3.901,0,0
42572,0.27,-0.071,0.807,-5.432,-45.435,-15.706,0,0
42619,0.261,-0.083,0.988,2.324,47.924,-9.863,1,0
42665,-0.148,-0.075,1.071,-1.637,62.145,-15.076,0,0
42713,-0.217,-0.083,1.021,6.947,36.832,-15.557,0,0
42763,-0.124,-0.057,1.067,7.639,28.687,-10.412,2,0
42810,-0.211,-0.081,0.855,-4.222,-62.184,1.359,0,0
42856,-0.388,-0.065,1.116,-2.116,-70.183,19.244,0,0
42903,-0.101,-0.139,0.926,7.046,-150.565,17.55,0,0
42950,0.571,-0.021,0.768,11.076,-88.901,6.694,1,0
42997,0.699,-0.004,0.696,-3.931,65.947,-10.0,2,0
43044,0.27,0.029,0.857,-23.397,188.229,-16.038,0,0
43091,-0.422,-0.163,1.105,-13.947,148.489,-5.634,3,0
43139,-0.719,-0.155,1.259,-3.725,-32.137,-0.373,0,0
43206,-0.353,-0.106,1.025,7.466,-183.527,11.756,1,0
43253,0.589,-0.08,0.719,11.573,-119.275,11.473,0,0
43300,0.76,0.036,0.695,-1.721,69.962,3.582,2,0
43347,0.236,-0.037,0.836,-20.985,191.695,-9.824,0,0
43395,-0.534,-0.156,1.245,-10.359,112.321,-0.2,0,0
43442,-0.598,-0.157,1.254,8.416,-103.313,2.625,1,0
43489,0.059,-0.072,0.847,9.771,-166.595,10.763,0,0
43536,0.677,-0.054,0.697,8.198,-36.305,7.664,3,0
43582,0.315,-0.037,0.849,-5.824,100.756,1.785,0,0
43633,-0.137,-0.38,1.126,-4.687,60.947,-15.798,5,5
43680,-0.107,-0.071,1.062,5.441,6.085,-7.527,1,0
43727,0.074,-0.075,0.905,1.965,-28.756,-1.185,0,0
43774,0.085,-0.133,0.895,-3.854,1.392,6.702,0,0
43821,0.095,-0.087,1.071,4.266,26.049,7.695,2,0
43868,0.103,-0.085,1.017,1.2,5.053,5.344,1,0
43915,-0.017,-0.063,0.854,-4.746,-2.509,-1.696,0,0
43962,0.049,-0.091,1.005,-3.969,16.244,0.084,0,0
44009,-0.151,-0.266,0.873,-4.777,-8.715,-3.295,0,0
44056,0.055,-0.089,1.015,-0.346,-2.02,5.163,1,0
44101,-0.03,-0.166,0.922,-0.888,-8.09,-0.835,0,0
44148,-0.056,-0.092,0.907,-2.242,2.9,-2.108,0,0
44195,-0.044,-0.147,1.024,0.49,-7.087,2.517,0,0
44242,0.272,0.073,1.141,6.975,21.311,14.979,5,0
44290,0.276,-0.069,1.2,6.452,69.232,6.794,5,0
44337,-0.221,-0.151,1.073,5.113,-33.206,11.595,1,0
44384,-0.08,-0.084,1.018,4.96,-91.015,26.412,0,0
44431,0.27,-0.237,0.851,12.191,-96.893,33.191,0,0
44478,0.613,-0.077,0.858,19.565,-36.885,8.366,0,0
44585,0.392,-0.047,0.807,0.04,153.366,-35.573,0,0
44633,-0.418,0.137,0.92,-10.595,203.924,-10.45,6,0
44681,-1.076,-0.084,1.39,-8.198,-31.936,19.458,0,0
44728,-0.457,-0.176,0.97,5.679,-250.137,9.382,2,0
44775,0.614,-0.032,0.587,9.794,-199.45,7.237,2,0
44822,0.919,-0.022,0.665,-5.13,19.996,-2.171,0,0
44870,0.463,-0.04,0.765,-18.832,179.084,-28.275,0,0
44917,-0.248,-0.142,0.968,-24.863,201.588,-21.282,0,0
44964,-0.829,-0.183,1.329,-10.015,146.468,9.81,2,0
45016,-0.44,-0.176,1.044,6.908,-173.168,-11.87,0,0
45063,0.3,-0.065,0.796,7.435,-176.122,12.008,4,0
45110,0.734,-0.086,0.734,-5.62,-29.794,-10.292,0,0
45158,0.636,-0.08,0.735,-6.603,133.443,-23.527,0,0
45205,-0.148,-0.052,1.143,-14.702,196.893,-15.313,3,0
45252,-0.755,-0.198,1.296,-5.511,33.076,6.519,1,0
45300,-0.442,-0.149,1.056,-3.789,-155.466,12.305,0,0
45347,0.398,-0.094,0.718,6.916,-133.366,11.969,4,0
45394,0.597,-0.022,0.751,9.993,39.473,20.669,4,0
45463,-0.061,-0.141,1.098,-10.756,93.886,-1.115,0,0
45510,-0.096,-0.155,1.079,5.748,-80.706,-8.641,0,0
45558,0.116,-0.101,0.952,2.64,-9.102,2.213,0,0
45605,0.107,-0.081,1.032,5.896,24.403,8.443,1,0
45652,0.157,0.044,1.04,7.183,25.191,8.031,5,0
45701,0.126,-0.091,1.015,7.328,2.447,8.261,2,0
45748,0.146,-0.074,0.981,3.669,17.968,3.205,1,0
45802,0.2,0.077,1.21,6.027,45.174,6.841,6,0
45848,-0.06,0.011,1.027,2.806,11.621,6.002,3,0
45894,0.003,-0.149,0.89,-0.167,-6.581,-1.525,0,0
45943,0.027,-0.097,0.998,-1.016,9.515,3.312,1,0
45989,-0.024,-0.099,1.018,-0.8,4.079,2.804,1,0
46035,-0.02,-0.144,0.936,-0.76,-8.259,1.12,0,0
46082,0.09,-0.046,1.08,-1.021,14.057,8.225,2,0
46129,0.005,-0.079,1.023,-0.915,-3.078,3.582,0,0
46175,-0.136,-0.023,1.145,4.34,-59.527,8.115,3,0
46221,0.211,-0.035,1.104,5.305,-97.252,11.581,3,0
46267,0.247,-0.086,1.079,10.031,-103.534,9.437,1,0
46314,0.363,-0.229,0.784,16.542,-100.099,-4.595,0,0
46363,0.675,-0.227,0.706,8.168,-116.426,-21.702,0,0
46409,0.456,-0.077,0.718,5.721,101.473,-22.519,1,0
46456,-0.202,-0.02,0.686,-8.275,168.344,-22.527,0,0
46502,-0.432,0.091,1.069,-15.748,106.519,10.153,5,0
46548,-0.467,-0.092,1.162,-14.076,-35.336,13.985,1,0
46596,-0.109,-0.176,1.039,-13.284,-164.015,25.153,0,0
46642,0.615,-0.356,0.813,18.168,-138.214,11.275,5,5
46689,0.958,-0.006,0.661,9.359,42.13,-18.84,1,0
46732,0.555,-0.022,0.596,-17.344,226.954,-32.542,140,0
46794,-0.328,-0.083,0.834,-37.206,250.13,-7.092,0,0
46841,-1.21,-0.221,1.457,-13.458,-52.595,12.336,0,0
46888,-0.497,-0.183,0.973,-2.272,-250.137,8.42,0,0
46935,0.671,-0.156,0.571,10.58,-211.924,5.591,3,0
47038,0.369,-0.067,0.839,-14.008,202.237,-8.0,4,0
47085,-0.623,-0.229,1.246,8.07,96.527,11.116,2,0
47131,-0.63,-0.129,1.22,8.519,-110.672,11.084,1,0
47177,0.458,-0.195,0.822,14.534,-188.908,21.038,4,0
47224,0.775,-0.102,0.667,21.74,-67.779,13.817,1,0
47273,0.569,-0.003,0.77,0.602,112.87,-8.557,0,0
47321,-0.094,-0.083,1.054,-15.916,131.13,-11.115,3,0
47367,-0.387,-0.2,1.204,-6.344,-55.77,-7.534,0,0
47414,-0.035,-0.134,0.989,3.629,-83.863,-9.359,0,0
47460,0.33,-0.252,0.832,-3.185,-29.427,-8.251,0,0
47507,0.26,-0.04,1.053,1.56,28.985,10.839,2,0
47553,-0.041,-0.167,1.056,-0.228,2.485,0.526,0,0
47600,0.194,-0.02,1.102,4.641,14.92,-3.519,3,0
47646,0.133,-0.066,0.979,0.507,16.638,3.088,0,0
47714,0.089,-0.085,1.012,1.257,12.565,2.851,2,0
47760,0.102,-0.119,0.969,2.493,-4.018,0.392,0,0
47807,0.248,0.061,1.118,3.467,22.58,4.527,5,0
47853,0.158,-0.032,1.057,1.798,15.887,-0.057,2,0
47900,-0.049,-0.206,0.896,-2.965,-1.266,-4.204,0,0
47946,0.115,-0.063,1.034,0.674,9.338,0.123,2,0
47993,-0.017,-0.23,0.884,-2.354,-10.094,-7.6,0,0
48039,0.25,0.044,1.156,6.256,72.695,10.281,4,0
48087,0.212,-0.103,1.003,6.42,36.916,-12.702,1,0
48133,0.066,-0.048,1.004,0.932,68.947,-14.221,0,0
48200,-0.292,-0.152,1.114,1.988,28.053,-11.802,0,0
48247,-0.552,0.051,1.139,7.771,-131.626,6.656,4,0
48293,-0.099,-0.164,1.06,12.718,-180.023,32.878,3,0
48340,0.408,-0.228,0.808,32.817,-175.42,24.687,0,0
48388,0.972,0.022,0.601,18.443,-78.519,-4.817,0,0
48435,0.969,0.008,0.556,-13.489,119.389,-32.107,0,0
48481,0.24,-0.111,0.744,-23.527,242.87,-34.366,1,0
48528,-0.621,-0.058,1.167,-10.634,129.031,-5.382,6,0
48575,-0.649,-0.168,1.209,-7.328,-82.817,19.71,2,0
48625,0.472,-0.193,0.851,10.519,-161.573,23.939,1,0
48672,0.793,-0.038,0.724,20.282,-56.115,13.336,0,0
48715,0.667,0.054,0.791,-4.634,107.031,-12.672,141,0
48776,0.264,-0.082,0.773,-21.901,206.313,-23.344,0,0
48823,-0.757,-0.172,1.237,-13.389,115.267,-6.333,0,0
48870,-0.886,-0.19,1.309,24.592,-169.878,16.695,3,0
48917,0.036,-0.149,0.756,18.153,-250.137,17.672,0,0
48964,0.973,-0.021,0.544,16.504,-101.305,17.687,0,0
