Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36023,-0.05,-0.024,0.944,-0.521,-0.183,0.103,0,0
36069,0.057,-0.026,1.039,5.954,-1.287,1.55,1,1
36115,-0.005,-0.026,0.966,1.271,0.226,1.533,0,0
36162,-0.134,-0.015,0.858,-3.237,-4.741,-2.633,0,0
36208,0.063,-0.025,1.042,3.996,0.234,1.926,1,1
36254,0.019,-0.012,1.02,3.725,0.745,0.598,0,0
36300,-0.078,-0.027,0.928,0.464,-0.452,-0.6,0,0
36346,0.082,-0.015,1.093,7.452,0.039,5.038,3,3
36396,-0.038,-0.002,0.916,-0.905,-4.013,-0.683,0,0
36443,-0.007,-0.032,0.993,1.997,-0.4,0.475,0,0
36489,0.124,-0.011,1.108,8.565,3.41,4.536,3,3
36535,0.039,-0.012,1.048,4.346,-1.123,1.296,1,1
36581,-0.021,-0.01,0.959,1.486,-5.877,0.247,0,0
36627,0.022,-0.002,1.078,3.176,2.544,2.251,1,1
36674,-0.035,0.021,1.134,5.092,-44.626,11.237,4,4
36720,-0.094,-0.058,1.103,1.84,-114.29,1.011,0,0
36766,0.217,0.081,0.914,2.379,-148.023,0.854,0,0
36816,0.828,-0.083,0.641,1.001,-42.198,-12.137,1,1
36884,0.691,0.009,0.58,-10.55,171.931,-18.847,0,0
36931,-0.397,-0.05,1.011,-3.954,227.817,3.145,0,0
36977,-0.782,-0.172,1.299,12.565,50.634,-5.095,0,0
37023,-0.343,0.03,1.02,16.763,-106.481,-13.328,0,0
37069,0.193,-0.002,0.821,6.252,-87.366,9.11,4,4
37116,0.206,-0.022,0.861,-2.855,-33.542,7.931,0,0
37163,0.059,-0.013,1.026,3.386,18.926,7.144,0,0
37209,-0.167,-0.015,0.89,-0.635,-20.817,-4.14,0,0
37255,0.112,0.006,0.998,0.704,4.574,1.795,1,1
37304,0.1,-0.023,1.102,6.004,15.101,3.591,3,3
37350,-0.259,-0.054,0.839,-4.314,-18.353,-5.14,5,5
37397,-0.037,-0.006,0.899,0.17,-13.124,1.714,0,0
37443,0.02,-0.024,0.971,2.706,2.5,3.244,0,0
37489,0.057,-0.021,1.083,6.654,8.556,5.792,2,2
37535,0.014,-0.026,0.997,4.392,-2.417,2.683,0,0
37581,0.083,-0.025,1.048,6.027,5.41,4.046,2,2
37628,0.149,-0.021,1.069,7.684,11.072,2.818,3,3
37675,-0.07,-0.019,0.947,-0.239,6.588,0.111,0,0
37724,-0.047,0.003,0.938,-1.166,-4.606,-2.16,0,0
37770,-0.438,0.015,0.719,-5.618,-87.704,-7.879,5,5
37817,-0.313,-0.048,1.185,-6.214,-48.069,2.122,0,0
37863,-0.42,-0.078,1.191,3.693,-172.58,-2.237,0,0
37909,0.265,-0.017,0.752,6.527,-200.13,15.298,0,0
37956,0.464,-0.011,0.798,7.855,-131.344,27.489,1,1
38002,0.719,-0.163,0.683,-1.862,-84.015,15.779,0,0
38049,1.047,0.087,0.547,8.588,54.656,8.616,5,5
38095,0.829,-0.005,0.403,-7.244,250.13,-6.87,1,1
38141,-0.293,-0.071,0.98,-14.29,250.13,-4.705,0,0
38209,-0.642,-0.123,1.328,4.026,62.588,-13.595,2,2
38255,-0.039,-0.004,0.911,0.859,-119.214,-23.977,0,0
38302,0.324,-0.072,0.818,0.591,-31.511,2.015,2,2
38348,0.011,-0.133,0.893,-2.763,37.183,2.959,0,0
38452,0.093,-0.034,1.095,6.987,14.627,2.583,2,2
38499,-0.023,-0.06,0.932,-1.905,-7.826,-1.734,0,0
38545,0.017,-0.06,0.939,-0.045,16.12,-0.29,0,0
38591,-0.052,-0.106,0.989,2.104,19.26,2.017,0,0
38638,-0.119,-0.072,0.965,1.827,-0.247,-0.024,0,0
38687,0.047,-0.064,1.073,7.575,0.976,0.054,2,2
38734,-0.15,-0.061,0.868,-4.01,-21.745,-0.752,0,0
38780,0.28,-0.06,1.206,12.115,18.442,4.665,6,6
38828,-0.12,-0.201,0.915,-0.237,-13.349,-1.105,0,0
38874,0.081,-0.057,1.006,4.751,-3.945,-0.041,1,1
38921,-0.079,-0.071,0.936,-1.11,-8.957,0.132,0,0
38967,-0.084,-0.08,0.909,-1.421,-15.593,-1.477,0,0
39014,-0.089,-0.066,0.965,7.29,-27.638,-0.411,0,0
39060,0.026,-0.042,0.843,-1.549,-12.622,-0.077,0,0
39107,-0.005,-0.065,0.991,2.332,4.081,3.124,0,0
39156,0.008,-0.066,0.992,4.997,-0.675,2.611,0,0
39203,0.117,-0.051,1.112,14.499,10.563,11.254,4,4
39249,-0.027,-0.062,0.86,-10.409,-45.965,-5.848,0,0
39297,0.256,-0.05,0.939,1.774,15.47,-1.122,0,0
39343,0.774,-0.123,0.687,22.557,161.779,-28.969,0,0
39390,0.031,0.037,0.65,22.267,250.13,-47.962,5,5
39437,-1.0,-0.064,0.934,8.489,250.13,-43.618,0,0
39484,-1.369,-0.172,1.047,13.603,27.092,-25.496,1,1
39530,-1.035,-0.061,0.743,2.185,-146.435,-14.16,0,0
39598,-0.818,-0.073,0.798,-4.679,-211.718,26.634,0,0
39645,-0.389,-0.029,0.752,28.458,-250.137,26.969,0,0
39692,0.469,-0.018,0.511,25.947,-250.137,49.183,1,1
39739,0.763,0.072,0.643,-6.885,-89.847,29.618,5,5
39785,0.52,-0.043,1.004,5.413,63.064,23.076,2,2
39832,0.338,-0.066,1.078,8.71,50.752,15.774,2,2
39879,0.379,-0.022,0.793,-2.41,-25.4,-8.279,0,0
39925,0.304,0.015,0.906,-0.818,48.351,0.207,0,0
39972,0.222,-0.059,1.034,9.413,41.275,0.012,2,2
40023,-0.192,-0.025,0.842,-7.954,-45.074,-6.035,5,5
40070,0.197,-0.018,1.035,9.257,19.446,3.125,1,1
40116,0.202,0.011,1.134,14.123,54.816,6.618,5,5
40163,0.366,-0.007,1.12,5.549,42.62,6.782,4,4
40210,0.007,-0.016,0.94,-1.116,-5.091,0.604,0,0
40256,-0.068,-0.021,0.892,-0.785,-19.561,-1.379,0,0
40303,0.201,-0.005,0.934,0.931,-0.458,-0.529,0,0
40350,0.1,-0.019,0.988,-1.089,17.935,1.023,0,0
40397,0.016,0.015,0.911,-5.459,26.038,-3.072,0,0
40444,0.016,-0.015,0.972,-2.038,34.435,-2.834,0,0
40495,-0.101,-0.008,1.111,-8.595,29.977,-2.701,0,0
40541,-0.404,0.028,1.323,-3.374,-63.336,-9.476,0,0
40588,-0.333,-0.02,1.213,-3.321,-229.473,19.527,0,0
40635,0.12,-0.209,0.789,18.42,-250.137,33.679,0,0
40679,0.788,-0.07,0.433,25.328,-223.87,38.275,133,3
40735,1.084,-0.071,0.389,15.542,-90.237,17.29,131,0
40779,1.153,-0.069,0.375,11.328,109.565,-9.427,141,5
40884,-0.107,0.02,0.904,-5.328,250.13,-6.344,0,0
40931,-0.015,-0.015,1.011,-9.824,87.344,-22.924,0,0
40998,-0.048,-0.077,1.046,-9.115,-15.937,-24.076,0,0
41046,0.245,-0.02,1.085,-11.71,9.515,-8.489,4,2
41093,0.167,-0.017,1.042,-4.267,15.894,1.493,3,2
41140,0.067,-0.134,0.953,1.22,27.756,-5.108,0,0
41187,0.019,-0.112,0.998,3.943,18.967,1.695,0,0
41234,0.048,-0.093,1.043,5.684,7.876,3.007,0,0
41281,0.083,-0.038,0.965,7.221,-7.309,1.527,0,0
41328,0.039,-0.043,0.935,7.374,1.775,1.919,0,0
41375,0.207,-0.06,1.105,14.366,3.774,9.907,3,3
41425,-0.057,-0.038,0.873,-2.522,-6.132,-2.179,0,0
41473,0.237,-0.075,1.048,8.218,2.397,4.932,3,3
41520,0.196,-0.061,1.074,5.456,11.795,2.584,2,2
41567,-0.058,-0.043,0.848,-2.66,-4.086,-3.126,0,0
41614,-0.127,-0.064,0.9,-1.859,-2.295,-1.993,0,0
41661,-0.0,-0.041,0.922,0.324,-10.513,-2.04,0,0
41708,0.021,-0.068,0.941,-0.68,-2.237,1.5,0,0
41755,0.085,-0.043,1.0,2.253,-2.939,1.973,0,0
41802,0.085,-0.056,1.008,2.485,-1.732,3.851,0,0
41849,0.125,-0.078,1.013,5.031,-0.162,3.304,1,1
41900,0.082,-0.071,1.068,10.623,0.575,7.02,1,1
41947,0.176,-0.077,1.03,11.183,-40.427,4.702,1,1
41994,0.445,-0.033,0.58,10.672,-44.667,-16.432,0,0
42041,0.662,-0.032,0.649,-3.758,170.565,-12.969,0,0
42089,-0.005,-0.026,0.609,-3.29,250.13,-20.84,0,0
42136,-0.894,-0.043,1.098,-2.412,250.13,-21.015,2,2
42183,-1.242,-0.147,1.062,-2.398,67.58,-11.466,0,0
42231,-1.311,-0.062,1.099,-4.336,-192.496,-4.158,0,0
42278,-0.666,-0.212,0.733,12.466,-250.137,15.519,0,0
42346,0.352,-0.015,0.587,31.107,-227.718,11.595,3,3
42394,0.547,0.049,0.717,-1.54,35.87,9.351,0,0
42441,-0.075,-0.072,0.754,-16.198,99.565,-9.616,0,0
42488,-0.328,-0.07,1.111,-13.443,76.527,-5.905,0,0
42536,-0.509,-0.198,1.207,-7.382,-64.29,8.824,3,3
42584,0.553,-0.005,1.039,8.649,-148.473,12.565,6,6
42631,0.705,-0.099,0.676,20.168,-37.153,-8.962,0,0
42679,0.515,0.057,0.628,-4.26,181.412,-13.282,0,0
42726,-0.547,-0.063,1.079,-18.0,202.198,2.956,0,0
42777,-1.089,-0.206,1.429,-0.55,-87.702,14.237,0,0
42824,-0.061,-0.135,0.806,12.527,-219.908,-8.519,0,0
42871,0.773,0.019,0.547,13.901,-43.061,-8.099,0,0
42919,0.084,-0.046,0.934,-8.855,122.718,5.378,0,0
42967,-0.373,-0.258,1.22,-6.863,33.496,-4.142,0,0
43015,-0.17,-0.062,1.069,4.804,-60.336,-9.87,0,0
43068,0.211,-0.057,0.787,-1.737,-19.426,-7.856,0,0
43114,-0.106,-0.155,0.952,-2.184,38.031,4.036,0,0
43161,-0.219,-0.168,1.063,2.682,-2.174,0.232,0,0
43207,-0.026,-0.082,0.989,5.892,-12.101,1.497,0,0
43256,0.181,-0.055,1.087,6.647,23.409,6.78,4,4
43359,-0.214,-0.202,0.946,-2.223,2.192,-1.097,0,0
43406,-0.201,-0.074,0.85,0.754,-29.578,-0.648,0,0
43452,-0.113,-0.076,0.827,-1.678,-9.284,-2.341,0,0
43498,0.115,0.077,1.189,7.096,33.477,5.093,5,5
