Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36023,0.151,-0.024,1.157,8.465,5.121,5.329,4,4
36069,-0.06,-0.026,0.917,0.745,-4.367,-0.951,0,0
36115,0.053,-0.026,1.026,3.722,1.648,2.763,1,1
36162,-0.05,-0.015,0.947,1.018,-2.682,-0.994,0,0
36208,0.033,-0.025,1.01,2.534,-0.406,1.309,1,1
36254,0.017,-0.012,1.018,3.598,0.687,0.543,0,0
36300,0.082,-0.027,1.092,7.376,3.279,3.156,3,3
36346,0.068,-0.015,1.078,6.438,-0.418,4.553,2,2
36396,-0.024,-0.002,0.93,0.058,-3.58,-0.136,0,0
36443,0.141,-0.032,1.147,8.308,3.371,4.195,4,4
36489,0.118,-0.011,1.101,7.81,3.015,4.196,3,3
36535,-0.093,-0.012,0.909,-0.811,-7.143,-1.247,0,0
36581,-0.175,-0.01,0.803,-2.819,-23.864,-3.523,0,0
36627,0.158,-0.002,1.236,7.028,36.266,6.379,5,5
36674,-0.244,0.021,1.134,-2.93,-44.626,0.786,0,0
36720,-0.12,-0.058,1.103,1.127,-114.29,-0.583,0,0
36766,0.217,0.081,1.033,6.05,-148.023,8.97,2,2
36816,0.828,-0.087,0.641,0.809,-42.198,-12.137,0,0
36884,0.691,0.009,0.58,-10.55,171.931,-18.847,0,0
36931,-0.397,-0.05,1.016,-3.954,227.817,3.555,0,0
36977,-0.782,-0.172,1.299,12.565,50.634,0.069,4,4
37023,-0.343,0.03,1.016,16.763,-106.481,-13.328,0,0
37069,-0.048,-0.002,0.821,2.964,-87.366,-19.378,0,0
37116,0.206,-0.022,0.743,-2.855,-104.419,7.931,0,0
37163,-0.095,-0.013,0.879,-0.154,-22.401,-0.377,0,0
37209,-0.014,-0.015,1.029,3.559,-4.443,2.498,0,0
37255,0.184,0.006,1.068,3.047,9.983,4.097,3,3
37304,0.028,-0.023,1.034,3.034,9.865,1.055,1,1
37350,-0.141,-0.054,0.946,0.843,-9.817,-0.241,0,0
37397,0.119,-0.006,1.055,7.715,-1.656,8.453,2,2
37443,0.149,-0.024,1.099,9.408,9.824,9.343,3,3
37489,0.082,-0.021,1.107,7.546,9.462,6.62,3,3
37535,0.151,-0.026,1.134,10.94,3.693,7.361,4,4
37581,0.106,-0.025,1.071,6.755,6.43,4.522,3,3
37628,-0.084,-0.021,0.837,-2.131,-3.938,-3.147,0,0
37675,-0.141,-0.019,0.878,-2.877,1.401,-1.34,0,0
37724,0.06,0.003,1.034,3.117,10.57,-0.232,1,1
37770,-0.157,0.015,0.946,-5.618,-12.855,-3.66,0,0
37817,-0.313,-0.048,1.185,-6.214,-48.069,-2.079,0,0
37863,-0.42,-0.078,1.191,-3.379,-172.58,-6.17,0,0
37909,0.265,-0.017,0.752,4.13,-200.13,15.298,0,0
37956,0.464,-0.011,0.798,6.923,-131.344,27.489,1,1
38002,0.719,-0.163,0.683,-1.597,-84.015,15.779,0,0
38049,1.047,0.015,0.547,8.588,54.656,4.923,3,3
38095,0.829,-0.005,0.403,-7.244,250.13,-6.87,5,5
38141,-0.293,-0.071,1.025,-14.29,250.13,4.551,5,5
38209,-0.642,-0.119,1.328,4.311,62.588,-13.595,3,3
38255,0.012,-0.004,0.946,7.629,-119.214,-23.977,3,3
38302,0.324,-0.072,0.818,-1.906,-31.511,1.143,0,0
38348,0.013,-0.132,0.894,-2.763,37.183,3.349,0,0
38452,0.027,-0.034,1.04,5.012,-1.055,1.392,0,0
38499,0.162,-0.06,1.1,4.18,32.563,3.405,3,3
38545,-0.153,-0.06,0.776,-5.909,-9.508,-3.373,0,0
38591,0.014,-0.041,1.049,4.403,30.385,3.32,1,1
38638,0.147,-0.072,1.208,11.741,43.472,6.048,6,6
38687,-0.028,-0.064,1.004,4.476,-9.535,-1.764,0,0
38734,-0.202,-0.061,0.818,-5.524,-25.009,-1.513,0,0
38780,-0.09,-0.06,0.859,-3.216,-14.544,-1.876,0,0
38828,-0.115,-0.194,0.919,0.34,-12.241,-0.904,0,0
38874,0.015,-0.057,0.942,1.886,-8.238,-0.873,0,0
38921,-0.184,-0.071,0.833,-6.316,-18.62,-1.288,0,0
38967,-0.065,-0.08,0.927,0.049,-12.923,-1.012,0,0
39014,0.052,-0.066,1.103,7.29,-14.316,3.269,2,2
39060,-0.004,-0.042,0.812,-2.774,-14.493,-0.734,0,0
39107,-0.059,-0.065,0.939,-0.766,-0.182,1.059,0,0
39156,-0.054,-0.066,0.926,1.253,-3.358,-0.519,0,0
39203,-0.025,-0.051,0.945,1.916,-6.184,3.235,0,0
39249,-0.059,-0.062,0.814,-15.207,-59.042,-8.86,0,0
39297,0.256,-0.05,0.942,3.111,18.776,-0.465,0,0
39343,0.774,0.097,0.687,22.557,161.779,-28.969,6,6
39390,-0.081,0.037,0.65,22.267,250.13,-47.962,0,0
39437,-1.0,-0.064,0.942,8.489,250.13,-43.618,0,0
39484,-1.369,-0.172,1.047,13.603,27.092,-25.496,0,0
39530,-1.035,-0.061,0.743,1.338,-146.435,-14.16,0,0
39598,-0.818,-0.073,0.798,-4.679,-211.718,26.634,1,1
39645,-0.389,-0.029,0.752,28.458,-250.137,26.969,1,1
39692,0.469,-0.018,0.511,25.947,-250.137,49.183,2,2
39739,0.763,0.072,0.643,11.462,-89.847,29.618,4,4
39785,0.52,-0.043,0.868,-0.457,11.14,23.076,0,0
39832,0.338,-0.066,1.013,6.079,28.19,9.72,1,1
39879,0.379,-0.022,0.88,2.633,6.686,0.547,0,0
39925,0.304,0.015,0.797,-7.393,48.351,-4.634,0,0
39972,0.222,-0.059,0.949,3.116,41.275,-3.319,0,0
40023,0.031,-0.025,0.969,1.978,4.816,-1.895,0,0
40070,0.062,-0.018,0.947,3.775,-5.256,0.882,0,0
40116,0.202,0.011,0.821,-2.083,-4.999,-1.525,0,0
40163,0.007,-0.007,0.869,-5.016,8.228,-0.882,0,0
40210,0.247,-0.016,1.104,3.546,14.858,4.708,3,3
40256,0.292,-0.021,1.146,4.495,14.089,4.906,4,4
40303,0.201,-0.005,1.003,2.409,9.347,1.028,1,1
40350,0.199,-0.019,1.05,0.579,32.768,2.414,2,2
40397,-0.001,0.015,0.901,-5.661,26.038,-3.208,0,0
40444,0.426,-0.015,1.091,-2.038,34.435,3.852,6,6
40495,0.051,-0.008,1.111,-8.595,29.977,2.717,2,2
40541,-0.404,0.028,1.323,-1.416,-63.336,-6.024,0,0
40588,-0.333,-0.02,1.213,-3.321,-229.473,19.527,0,0
40635,0.643,-0.209,0.789,18.42,-250.137,33.679,5,7
40679,0.788,-0.07,0.433,25.328,-223.87,38.275,133,6
40735,1.084,-0.071,0.389,15.542,-90.237,17.29,131,0
40779,1.153,-0.069,0.375,11.328,109.565,-9.427,141,1
40884,-0.116,0.02,0.897,-5.328,250.13,-6.344,0,0
40931,0.034,-0.015,1.048,-9.824,87.344,-22.924,1,2
40998,0.079,-0.077,1.046,-9.115,28.159,-24.076,5,4
41046,0.234,-0.028,1.077,-11.71,6.085,-8.489,3,2
41093,0.167,0.045,1.042,-4.267,24.575,3.478,6,4
41140,0.293,-0.023,1.142,5.747,27.756,0.533,3,3
41187,0.038,-0.107,1.014,4.677,21.792,2.246,0,0
41234,0.04,-0.093,1.036,5.172,6.559,2.671,0,0
41281,0.204,-0.038,1.072,7.221,3.326,6.364,2,2
41328,-0.025,-0.043,0.88,7.374,-0.456,-0.326,0,0
41375,0.083,-0.06,1.012,6.55,-0.393,5.11,0,0
41425,0.289,-0.038,1.143,14.566,5.96,9.274,5,5
41473,0.009,-0.075,0.872,-1.005,-6.846,-0.876,0,0
41520,0.111,-0.061,1.005,2.305,6.89,0.946,0,0
41567,0.138,-0.043,1.007,3.459,9.033,-0.371,1,1
41614,0.116,-0.064,1.101,4.634,12.987,2.121,2,2
41661,0.188,-0.041,1.08,5.397,0.011,1.559,3,3
41708,0.201,-0.068,1.099,4.097,6.068,6.084,3,3
41755,-0.012,-0.043,0.921,-0.231,-6.681,-0.559,0,0
41802,0.193,-0.056,1.103,6.284,2.804,7.743,3,3
41849,0.138,-0.078,1.025,5.553,0.948,3.647,1,1
41900,0.148,-0.071,1.119,14.173,7.568,8.99,3,3
41947,-0.024,-0.077,0.891,11.183,-40.427,-1.849,0,0
41994,0.445,-0.033,0.942,10.672,47.923,0.724,2,2
42041,0.662,-0.032,0.649,5.937,170.565,-12.969,3,3
42089,-0.233,-0.026,0.609,-3.29,250.13,-20.84,0,0
42136,-0.894,-0.217,0.711,-2.412,250.13,-21.015,0,0
42183,-1.242,-0.147,1.062,9.452,67.58,-11.466,3,3
42231,-1.311,-0.062,1.099,-4.336,-192.496,-4.754,0,0
