Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30149,-0.053,-0.937,-0.054,1.986,-8.628,13.955,0,184
30210,-0.375,-1.099,-0.202,-3.184,-50.908,-7.053,0,190
30261,-0.2,-0.958,-0.111,0.973,-15.769,26.313,0,47
30318,0.055,-0.745,0.168,12.092,19.603,61.386,0,93
30369,-0.275,-0.952,-0.11,20.374,25.336,4.542,0,31
30424,-0.159,-0.84,0.081,19.336,35.573,15.148,0,32
30475,-0.335,-1.057,-0.024,15.313,15.481,-29.221,0,40
30528,-0.162,-1.03,0.064,19.16,11.687,-50.763,0,38
30582,-0.349,-1.118,-0.049,12.756,13.229,-55.855,0,40
30635,-0.41,-1.42,0.035,16.153,18.557,-54.733,0,48
30690,0.026,-0.608,0.171,28.885,29.603,7.191,0,51
30742,-0.084,-0.577,-0.09,-19.589,64.115,65.176,0,52
30797,-0.22,-1.14,0.066,-3.079,74.954,70.244,0,52
30850,-0.192,-0.999,0.17,13.0,48.122,27.994,0,56
30906,-0.485,-0.753,-0.178,-23.403,38.733,-9.911,0,78
30958,-0.364,-0.771,0.167,-17.556,6.084,1.357,0,49
31012,-0.259,-0.718,0.16,3.984,-59.763,10.852,0,59
31068,-0.507,-1.144,-0.179,-34.18,-86.374,-42.313,0,53
31121,-0.252,-0.928,0.079,-10.003,-65.634,-40.405,0,56
31176,0.033,-0.818,0.426,7.955,160.564,35.794,0,62
31229,-0.038,-0.686,0.234,15.49,218.498,56.505,0,64
31285,-0.792,-0.83,0.443,15.175,-216.412,40.762,0,62
31336,0.172,-1.468,-0.383,-18.947,-178.313,-84.432,0,27
31390,0.544,-0.894,-0.538,25.214,154.786,-37.305,0,24
31440,-0.537,-0.415,0.333,-8.73,250.13,38.672,0,28
31495,-0.177,-1.438,0.379,14.145,28.885,72.435,0,36
31549,0.375,-1.298,-0.669,83.962,250.13,33.603,0,37
31601,-1.667,-0.569,1.111,-7.362,57.153,28.235,0,43
31656,-0.581,-0.804,-0.122,-37.122,-250.137,10.917,0,47
31708,0.775,-0.939,-0.812,50.229,-94.137,-7.413,0,43
31763,-0.627,-0.821,0.493,1.796,-12.099,6.482,0,52
31814,0.288,-1.225,-0.25,11.664,-32.714,-4.534,0,35
31869,0.017,-0.749,-0.369,82.084,250.13,-11.576,0,42
31921,-1.828,-1.04,1.406,-70.717,-101.397,-52.183,0,45
