Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32191,-0.234,-0.708,0.056,33.695,-102.901,-119.427,0,81
32244,0.036,-0.548,0.055,22.737,-54.916,71.114,1,84
32299,-0.149,-1.191,-0.109,13.885,14.481,68.244,0,82
32352,-0.306,-1.125,0.004,27.519,20.489,84.58,0,90
32405,-0.265,-1.021,0.096,16.832,-14.514,85.145,0,80
32459,-0.202,-1.003,0.091,15.985,-41.072,96.916,0,92
32517,-0.152,-0.977,0.061,18.282,-37.261,96.901,0,138
32577,-0.198,-0.969,0.055,5.79,-45.657,73.244,0,161
32636,-0.179,-0.933,0.064,2.955,-45.294,40.275,0,167
32687,-0.1,-0.934,0.091,4.307,-22.717,19.214,0,28
32741,-0.102,-1.046,0.083,-4.488,-9.954,-12.558,0,30
32791,-0.193,-1.218,0.152,-24.253,-5.758,-41.26,0,33
32856,-0.295,-1.263,0.27,-43.055,-27.666,-58.237,0,0
32902,-0.086,-1.07,0.322,6.936,-18.155,-77.267,2,0
32943,-0.012,-0.477,0.148,14.71,-42.853,-42.137,0,90
32995,0.065,-0.689,0.028,19.336,-29.687,-7.503,0,65
33048,-0.062,-1.087,0.094,19.855,56.466,0.755,0,24
33101,-0.181,-1.203,-0.028,25.397,78.588,-24.626,0,23
33155,-0.026,-0.779,0.038,21.267,130.832,-6.913,1,71
33213,-0.27,-0.698,0.13,-21.809,146.153,-2.937,0,99
33270,-0.448,-0.879,0.316,-19.191,55.573,-5.066,0,146
33321,-0.42,-0.864,0.336,-11.935,-62.405,-47.817,1,35
33377,-0.215,-0.874,0.295,-29.29,-101.305,-57.55,1,43
33428,-0.247,-1.169,0.175,-30.782,-100.725,-45.229,0,39
33483,-0.106,-1.159,0.21,-10.063,-81.939,-23.562,0,57
33538,0.001,-1.221,0.118,-17.436,-57.255,-16.796,0,28
33592,-0.067,-1.272,0.256,26.405,16.603,27.947,0,27
33644,-0.163,-0.762,0.106,46.779,22.954,45.252,0,56
33699,-0.162,-0.883,0.202,29.267,18.969,57.382,1,58
33753,-0.23,-1.029,0.122,35.969,8.27,46.313,1,76
33805,-0.168,-0.794,0.015,30.802,-63.29,37.832,0,45
33860,-0.139,-0.935,-0.079,8.107,-53.122,37.489,0,60
33910,-0.055,-1.125,-0.011,16.847,-3.132,29.489,1,7
33965,0.313,-1.04,-0.438,24.267,105.763,8.849,0,27
34020,-0.192,-0.501,-0.326,-33.351,250.13,48.786,1,65
34077,-1.443,-1.066,0.586,-114.931,107.389,63.664,0,75
34130,-0.184,-1.206,-0.127,-18.993,5.928,47.504,0,69
34185,-1.127,-1.202,0.566,23.962,93.441,24.47,2,32
34236,-1.298,-1.056,0.411,-8.445,-250.137,-102.198,1,23
34290,-0.002,-1.346,-0.69,8.747,-250.137,-118.176,0,28
34340,1.076,-0.264,-0.374,51.885,65.397,-55.901,1,27
34396,-0.348,-0.66,0.403,6.895,210.26,44.695,0,38
34449,-1.375,-1.373,0.779,1.534,-105.374,60.328,0,25
34503,0.169,-1.109,-0.248,0.636,-250.137,-10.859,0,23
34545,1.049,-0.246,-0.847,33.725,250.13,-25.595,46,27
34596,-0.725,-0.454,-0.015,-40.13,250.13,-14.872,0,29
34651,-2.0,-1.064,1.221,-42.168,-20.87,-21.89,0,30
34701,-0.868,-0.888,0.001,-47.916,-250.137,-41.733,0,21
34755,0.823,-1.022,-0.7,13.645,-197.198,-75.977,1,18
34806,0.668,-0.781,-0.599,-21.45,250.13,-25.519,0,25
34900,-2.0,-1.157,1.491,-45.284,-104.565,18.611,0,41
34954,-0.789,-1.192,-0.223,-52.405,-250.137,3.983,1,25
35008,0.893,-1.25,-0.846,-40.321,-201.802,-76.977,1,24
35059,0.238,-0.566,-0.029,7.894,220.87,5.316,1,22
35113,-1.005,-0.85,0.833,-4.092,32.069,71.84,0,27
35165,0.073,-1.473,-0.377,33.267,-106.908,18.687,0,29
35219,0.474,-0.687,-0.56,49.046,225.947,-13.089,0,31
35270,-2.0,-0.775,1.489,-30.926,-29.492,26.992,0,34
35324,-0.898,-1.129,-0.349,-11.727,-250.137,57.313,0,27
35376,1.552,-1.225,-1.298,70.115,-171.679,-16.484,0,27
35430,0.444,-0.512,-0.952,47.305,250.13,0.709,0,29
35485,-1.375,-0.582,0.684,-40.878,250.13,40.099,0,46
35537,-0.727,-1.194,0.256,-20.439,-126.985,-30.496,0,46
35594,0.696,-0.912,-0.769,33.511,86.137,-73.878,2,51
35646,-1.786,-1.235,1.503,-77.496,43.794,-108.366,0,53
35701,-0.869,-1.35,-0.066,-31.954,-250.137,-98.664,0,34
35752,1.383,-0.308,-0.881,85.336,-56.458,-95.206,1,33
35804,-0.901,-0.644,1.086,14.038,-190.527,31.954,0,34
35858,-0.238,-1.514,0.002,51.359,-250.137,76.183,0,33
35913,1.61,-0.96,-1.52,118.038,250.13,-33.0,1,39
