Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32191,-0.266,-0.708,0.035,33.695,-102.901,-119.427,0,80
32244,0.036,-0.548,0.03,13.668,-54.916,41.988,1,83
32299,-0.116,-1.144,-0.084,13.885,14.481,68.244,0,83
32352,-0.145,-1.125,0.133,27.519,20.489,84.58,2,90
32405,-0.365,-1.118,0.006,16.832,-43.004,85.145,0,78
32459,-0.223,-1.022,0.073,15.985,-48.133,96.916,0,92
32517,-0.203,-1.016,0.019,18.282,-57.321,96.901,0,138
32577,-0.221,-0.985,0.038,3.248,-54.251,73.244,0,161
32636,-0.187,-0.938,0.058,2.38,-47.423,40.275,0,167
32687,-0.18,-0.982,0.03,-3.435,-44.498,-11.131,0,28
32741,-0.139,-1.06,0.048,-9.497,-17.703,-21.801,0,30
32791,-0.181,-1.218,0.166,-21.882,-2.699,-41.26,0,33
32856,-0.141,-1.263,0.27,-15.058,2.98,-58.237,1,0
32902,-0.202,-1.086,0.211,-15.513,-37.002,-77.267,0,0
32943,-0.012,-0.477,0.047,14.71,-71.597,-42.137,0,90
32995,0.065,-0.689,0.014,19.336,-34.593,-8.733,0,65
33048,-0.07,-1.09,0.09,19.855,56.466,-0.07,0,24
33101,-0.111,-1.203,0.016,25.397,78.588,-24.626,0,23
33155,-0.026,-0.779,-0.105,21.267,130.832,-26.037,0,69
33213,-0.174,-0.698,0.223,-1.761,146.153,15.888,1,99
33270,-0.528,-0.959,0.316,-38.099,55.573,-27.766,0,146
33321,-0.508,-0.967,0.336,-36.896,-62.405,-47.817,0,35
33377,-0.291,-0.948,0.193,-29.29,-101.305,-57.55,0,43
33428,-0.27,-1.169,0.149,-34.393,-100.725,-45.229,0,39
33483,-0.036,-1.159,0.292,3.766,-81.939,1.128,1,57
33538,0.001,-1.221,0.321,25.221,6.692,42.421,2,28
33592,-0.094,-1.272,0.23,26.405,16.603,27.947,0,27
33644,0.003,-0.762,0.262,46.779,22.954,45.252,2,56
33699,-0.212,-0.947,0.152,29.267,18.969,57.382,0,58
33753,-0.339,-1.148,0.02,35.969,-40.751,46.313,0,75
