Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21898,-0.063,-0.918,0.115,2.31,1.044,1.497,124,71
21951,-0.106,-0.981,0.156,0.79,4.561,5.204,0,66
21998,-0.125,-1.016,0.187,0.19,-12.862,-3.311,124,66
22046,-0.044,-0.982,0.105,2.547,-8.022,-7.652,122,67
22095,-0.062,-0.955,0.168,0.03,10.02,-0.909,123,72
22144,-0.104,-1.0,0.182,1.033,3.006,4.988,124,73
22192,-0.102,-0.993,0.172,1.907,-5.931,5.211,123,73
22243,-0.098,-0.992,0.192,-0.178,-13.12,6.45,123,75
22291,-0.068,-0.992,0.165,1.782,-13.128,5.407,125,73
22344,-0.065,-0.989,0.167,2.605,-10.045,1.468,0,74
22392,-0.058,-0.992,0.168,3.86,-1.989,0.187,121,74
22440,-0.073,-0.995,0.17,4.836,0.307,3.151,119,73
22489,-0.078,-0.99,0.166,5.221,-1.076,2.049,118,63
22536,-0.074,-0.968,0.17,4.697,-1.437,0.808,118,65
22589,-0.06,-0.989,0.15,4.352,1.353,-2.284,0,68
22641,-0.076,-0.982,0.156,1.252,3.618,-1.581,0,68
22696,-0.061,-0.992,0.154,1.895,3.055,-3.894,0,70
22750,-0.082,-0.967,0.167,0.367,6.381,-4.517,0,69
22798,-0.084,-1.006,0.165,-0.156,3.816,-7.347,119,73
22846,-0.074,-0.97,0.177,1.022,8.409,-4.338,118,74
22894,-0.098,-0.983,0.196,1.413,3.975,-0.142,118,75
22942,-0.088,-0.995,0.181,2.358,-1.399,-1.03,118,75
22991,-0.086,-0.982,0.159,0.974,0.42,-1.103,118,76
23040,-0.07,-0.989,0.167,2.778,4.862,-0.909,118,75
23088,-0.093,-0.956,0.174,1.327,9.833,0.508,118,75
23139,-0.107,-0.992,0.191,1.544,2.277,1.08,118,75
23187,-0.08,-0.983,0.168,2.519,1.281,0.194,118,75
23235,-0.09,-0.986,0.164,0.411,3.509,-0.238,118,76
23284,-0.088,-0.981,0.177,1.392,2.202,-1.03,118,76
23332,-0.098,-0.973,0.178,1.293,2.362,-0.869,118,76
23380,-0.084,-0.989,0.165,1.379,0.882,-1.286,118,78
23436,-0.085,-0.965,0.163,2.47,9.456,0.034,105,77
23483,-0.096,-0.97,0.177,1.858,9.599,1.529,104,76
23536,-0.105,-0.973,0.186,1.134,3.739,1.284,0,77
23584,-0.089,-0.97,0.159,-0.098,0.777,0.782,118,76
23635,-0.089,-0.971,0.157,-2.165,8.168,-0.292,116,76
23688,-0.116,-0.966,0.173,-3.584,8.887,-0.603,0,77
23736,-0.119,-0.958,0.185,-3.392,5.324,-0.156,116,77
23789,-0.105,-0.955,0.177,-3.098,4.671,-0.677,0,78
23838,-0.105,-0.949,0.157,-1.839,8.995,0.914,117,80
23894,-0.113,-0.948,0.161,-1.694,13.886,2.378,0,134
23946,-0.115,-0.938,0.159,-2.084,14.025,3.492,118,135
24002,-0.105,-0.939,0.158,-1.408,20.874,5.297,0,133
24055,-0.122,-0.985,0.162,-0.206,19.296,6.716,0,82
24115,-0.105,-0.973,0.167,-3.433,17.926,1.923,0,132
24162,-0.12,-0.973,0.16,-4.277,19.917,-0.474,91,84
24210,-0.132,-0.932,0.151,-8.005,14.377,-5.433,83,101
24257,-0.13,-0.912,0.138,-10.877,12.341,-5.733,82,104
24305,-0.142,-0.902,0.132,-11.094,6.484,-4.61,82,101
24353,-0.118,-0.897,0.101,-9.548,6.658,-3.4,82,104
24444,-0.136,-0.805,0.099,-2.153,38.038,11.242,85,107
24492,-0.142,-0.768,0.088,1.915,25.382,17.297,62,106
24543,-0.053,-0.759,0.044,6.555,38.061,23.595,25,32
24592,0.029,-0.898,-0.06,28.824,99.901,29.176,84,125
24638,-0.094,-1.14,-0.099,52.687,168.886,9.836,36,125
24684,-0.19,-0.983,-0.179,77.099,211.206,-30.206,35,123
24731,-0.37,-0.97,-0.157,66.053,236.153,-54.282,35,129
24778,-1.042,-1.257,0.107,23.748,147.618,-67.74,36,130
24825,-1.057,-1.315,0.408,-48.084,-112.366,-5.753,34,129
24871,-0.665,-1.284,0.142,-37.618,-250.137,151.328,33,123
24916,-0.012,-2.0,-0.25,17.725,-250.137,168.534,51,90
24967,1.06,-1.805,-0.163,67.809,-216.382,-75.939,86,77
25015,1.037,-1.665,-0.271,2.295,117.183,-250.137,105,79
25062,-0.49,-2.0,-0.701,-10.376,250.13,-250.137,40,128
25109,-2.0,0.154,0.126,54.305,250.13,142.87,43,118
25155,-1.94,-0.775,0.202,-79.618,-250.137,154.29,44,121
25203,1.005,0.167,-0.537,-5.5,-250.137,-1.319,51,126
25252,0.76,-0.234,-0.575,83.328,60.153,-217.321,84,129
25299,-0.19,-0.041,-0.169,35.763,250.13,-34.511,45,120
25350,-1.208,-0.849,0.307,-121.595,210.489,151.427,44,121
25397,-1.146,-1.488,0.898,-104.351,-107.504,96.908,43,120
25444,-0.164,-1.193,0.458,-1.824,-250.137,10.747,44,124
25492,1.098,-0.98,-0.391,72.718,-19.596,-62.679,51,144
25540,-0.356,-1.345,0.23,-11.671,250.13,-49.321,50,120
25586,-1.76,-1.383,1.382,-143.313,-4.574,1.583,44,115
25636,-0.959,-1.5,0.892,-56.061,-250.137,66.237,44,165
25686,1.102,-0.823,0.045,85.947,-250.137,-70.969,52,152
25738,1.035,-0.877,-0.529,60.962,175.84,-76.573,74,134
25787,-0.385,-0.75,-0.449,30.855,250.13,-47.603,74,125
25834,-2.0,-0.528,1.47,-74.29,139.282,48.595,46,116
25882,-1.355,-1.057,0.714,-55.992,-250.137,79.656,75,122
25932,1.088,-1.162,-0.852,53.527,-250.137,-81.42,51,160
25980,1.161,-0.624,-0.654,28.687,215.344,-91.733,51,132
26030,-0.842,-0.745,-0.093,-20.12,250.13,-47.496,78,118
26078,-2.0,-0.987,1.781,-89.42,-177.0,13.592,77,115
26131,-0.07,-1.385,-0.297,-7.259,-250.137,17.916,75,0
26186,1.237,-0.583,-0.272,14.206,2.579,-55.267,45,0
26234,0.035,-0.688,0.09,-28.298,241.618,-8.732,48,130
26284,-0.929,-0.711,1.472,-85.313,51.473,28.137,76,131
26336,0.153,-1.541,0.025,29.481,-196.282,42.191,46,0
26385,0.717,-0.455,-0.112,42.405,35.756,-58.015,46,162
26434,-0.445,-0.493,0.581,-79.038,89.015,-16.28,51,144
26485,-0.55,-1.302,0.6,-59.389,-194.229,18.493,49,0
26535,0.519,-0.895,-0.201,79.924,-102.588,12.269,46,163
26591,0.114,-0.62,0.117,-25.237,82.351,48.588,47,0
26640,-0.383,-1.372,0.743,-96.992,0.581,56.099,49,161
26690,0.408,-1.462,-0.121,48.45,24.969,20.159,46,160
26737,-0.299,-0.263,0.581,-1.215,155.191,3.71,49,121
