Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24377,-0.182,-1.131,0.1,-9.965,-38.314,-8.982,158,80
24427,0.046,-0.924,0.255,0.011,7.935,6.379,158,80
24478,0.048,-0.869,0.373,3.053,28.065,16.925,158,86
24529,0.025,-0.865,0.392,2.748,15.225,15.344,158,92
24581,-0.102,-0.991,0.217,0.732,-1.02,1.503,158,85
24632,-0.212,-1.096,0.065,-2.406,-1.381,-11.666,158,82
24684,-0.091,-0.956,0.253,-1.006,5.999,-4.678,160,89
24738,-0.116,-0.974,0.214,-2.394,0.109,-9.728,160,89
24790,-0.175,-1.037,0.146,-5.28,-2.813,-13.803,158,91
24843,-0.184,-1.042,0.131,-5.463,-3.531,-11.035,158,107
24893,-0.214,-1.067,0.096,-7.042,-7.561,-6.386,158,79
24944,-0.019,-0.874,0.335,0.207,1.549,5.828,158,78
24994,0.04,-0.813,0.399,2.267,3.64,11.278,147,74
25044,0.045,-0.838,0.381,2.085,3.551,15.954,142,74
25094,-0.07,-0.964,0.245,-0.314,-7.823,11.107,143,77
25144,0.034,-0.874,0.356,4.883,3.35,26.818,145,80
25198,-0.242,-1.133,0.06,-1.854,-22.566,-4.954,155,79
25248,0.089,-0.829,0.387,8.826,4.307,37.106,155,79
25299,0.042,-0.865,0.336,6.608,1.092,27.479,155,81
25351,0.299,-0.646,0.583,12.187,13.0,44.043,156,81
25402,-0.095,-0.988,0.171,0.725,-1.705,4.513,156,83
25452,0.077,-0.825,0.379,3.473,7.61,11.392,155,81
25503,-0.05,-0.928,0.258,-0.813,3.671,0.433,155,82
25554,0.029,-0.87,0.337,0.576,9.447,1.672,154,77
25605,0.001,-0.892,0.314,-0.033,12.4,-1.034,155,76
25659,-0.167,-1.035,0.15,-9.726,3.109,-18.105,153,77
25709,-0.283,-1.155,0.022,-20.382,-7.438,-37.036,154,81
25760,-0.377,-1.238,-0.071,-30.649,-14.052,-54.148,155,81
25811,-0.066,-0.918,0.267,-5.207,9.52,-10.273,154,83
25863,-0.015,-0.864,0.344,1.234,11.834,1.014,154,82
25914,-0.072,-0.918,0.257,-6.227,4.003,-10.142,155,79
25964,-0.061,-0.898,0.262,-5.939,5.256,-6.142,145,81
26018,-0.187,-1.015,0.134,-22.954,-1.118,-17.333,0,79
26068,-0.246,-1.089,0.034,-34.973,-10.69,-19.529,152,75
26122,0.191,-0.721,0.389,19.221,50.802,15.005,152,71
26173,0.09,-0.867,0.288,2.261,30.298,13.434,151,72
26223,-0.169,-1.15,0.146,-20.784,32.916,0.469,150,75
26271,-0.075,-0.975,0.003,-15.613,49.679,-9.348,107,73
26322,0.095,-0.623,-0.235,-31.024,108.901,28.542,149,89
26370,-0.268,-0.555,-0.217,-28.145,141.985,42.511,87,91
26419,-0.255,-0.096,-0.166,-24.066,143.695,65.878,56,142
26467,0.012,-0.348,0.402,24.496,96.733,57.931,79,97
26515,0.159,-1.141,-0.261,88.511,64.855,32.407,30,107
26564,-0.715,-2.0,-0.573,114.634,140.679,-118.496,64,139
26611,-0.436,-1.476,-0.39,26.481,201.153,-171.481,19,139
26660,-0.812,-1.305,0.628,-150.863,53.71,-26.265,62,141
26710,-0.541,-1.75,-0.121,-88.389,-250.137,102.664,57,143
26756,0.974,-1.844,-0.324,65.45,-238.779,35.328,62,97
26803,1.171,-0.885,-0.896,41.183,174.466,-142.084,61,99
26852,-0.644,-1.301,-0.489,-28.298,250.13,-76.573,54,146
26941,-0.369,-1.385,0.521,-16.947,-250.137,133.45,58,97
26991,1.24,-1.131,-0.876,83.084,120.59,-122.359,66,107
27040,0.409,-0.802,-0.609,59.221,250.13,-134.824,58,144
27090,-0.835,-0.824,-0.11,-15.076,250.13,-68.931,65,140
27140,-2.0,-1.121,1.373,-79.962,-234.435,-32.514,64,138
27189,-1.058,-1.144,-0.365,-63.733,-250.137,50.313,64,144
27239,1.372,-1.56,-1.606,69.221,-250.137,-70.229,57,149
27290,1.365,-0.47,-0.995,60.763,250.13,-152.168,96,148
27343,-0.585,-0.506,-0.508,-53.641,250.13,-27.389,67,0
27386,-1.259,-1.241,1.405,-102.672,91.0,54.183,69,0
27436,-0.474,-1.773,0.225,55.756,-200.985,76.969,67,145
27489,0.172,-0.523,0.153,66.916,-144.137,-6.218,65,0
27539,-0.417,-0.365,0.332,-90.0,-158.886,39.107,64,145
27588,-0.527,-1.376,0.669,-97.13,-250.137,73.008,62,128
27637,0.757,-1.496,-0.742,122.542,-203.985,50.664,61,149
27687,0.772,-0.451,-0.532,61.573,147.809,-58.443,57,148
27737,-0.983,-0.421,-0.877,-60.71,250.13,-85.89,61,146
27790,-0.936,-1.269,1.063,-142.496,0.106,51.29,66,145
27840,0.209,-1.964,-0.745,60.824,-199.962,63.351,63,147
27890,0.809,-0.788,-0.569,84.313,84.733,82.344,75,146
27940,0.061,-0.571,-0.302,-49.435,250.13,5.066,63,143
27990,-0.757,-0.903,1.015,-144.878,204.336,39.62,68,141
28040,-0.129,-1.825,-0.095,36.351,-57.634,24.797,65,140
28089,-0.066,-0.751,-0.074,121.191,0.33,-38.885,64,138
28138,-0.49,-0.609,0.309,-44.779,-18.11,-60.115,69,137
28188,-0.243,-1.584,-0.244,-80.557,-140.412,-16.813,68,135
28240,0.552,-1.117,-0.678,106.901,113.718,-9.721,70,135
28288,-0.429,-0.436,-0.1,17.74,250.13,-16.451,30,134
28335,-0.667,-0.793,0.399,-101.908,47.168,18.434,29,134
28383,-0.124,-1.758,-0.345,-26.206,-75.359,14.944,30,134
28432,0.074,-0.703,0.093,73.382,23.977,9.994,71,134
28482,-0.449,-0.666,0.346,-39.481,25.954,-5.263,37,177
28532,-0.497,-1.189,0.099,-58.84,-126.511,-4.749,70,135
28579,-0.28,-1.276,-0.254,47.756,-122.008,-29.889,32,136
28633,-0.089,-0.807,0.415,15.779,-71.718,52.79,83,136
28683,-0.127,-0.801,-0.167,-42.489,-138.26,34.557,68,137
28732,0.365,-1.178,-0.693,-54.845,31.58,40.153,54,137
28780,-0.092,-0.781,-0.281,26.053,203.641,25.992,30,138
28827,-0.891,-0.592,0.526,-31.015,61.908,8.817,31,138
28875,-0.31,-1.185,-0.208,-0.432,-139.557,-38.696,32,139
28923,0.244,-1.162,-0.462,104.153,27.206,-54.595,31,139
28971,-0.378,-0.507,-0.079,1.477,181.924,-42.969,30,140
29019,-0.87,-1.114,0.894,-68.206,-113.628,-35.128,31,140
29064,-0.724,-1.514,-0.382,52.809,-131.282,-42.584,31,141
29112,-0.644,-0.413,0.373,24.305,-122.092,-27.466,31,143
29160,-0.837,-0.893,0.239,-72.679,-250.137,28.176,67,115
29206,0.612,-1.666,-0.946,30.092,-250.137,44.832,60,77
29254,0.752,-0.856,-0.584,72.855,127.802,-36.107,95,83
29303,-0.351,-0.717,-0.149,-31.839,250.13,-74.929,95,96
29362,-0.806,-0.768,0.517,-28.977,115.824,81.533,0,146
29455,-0.342,-0.828,0.233,-20.061,-190.977,25.008,100,120
29507,-0.453,-1.089,-0.028,-40.26,-205.076,-36.441,85,89
29561,0.408,-1.283,-0.186,20.057,-153.901,-35.718,0,82
29611,0.437,-0.842,-0.132,49.191,149.519,-33.962,102,93
29659,-0.55,-0.839,0.514,-9.765,158.947,7.656,84,93
29707,-0.539,-0.987,0.62,5.609,-87.603,48.229,84,95
29755,0.575,-1.299,-0.536,47.786,-34.405,-22.43,83,86
29803,-0.639,-0.621,0.643,11.416,135.305,-83.481,84,95
29851,-0.716,-0.742,0.458,7.816,-231.916,27.26,84,98
29908,0.872,-1.184,-0.657,15.336,-62.496,-6.405,0,80
29957,-0.399,-0.812,0.366,13.632,250.13,-7.817,81,96
30006,-0.878,-0.853,1.084,-10.075,-37.855,33.237,81,100
30054,0.391,-1.242,-0.098,18.394,-92.405,60.395,89,98
30103,-0.411,-1.022,0.451,0.335,71.427,-38.212,89,100
30158,-0.64,-0.84,0.69,30.578,-135.229,47.267,0,97
30206,0.616,-1.234,-0.378,-10.418,-94.458,25.832,82,96
30256,0.117,-0.718,0.324,27.42,123.886,-28.313,83,103
30304,-0.649,-0.737,0.966,-37.791,-79.107,-40.244,83,95
30355,0.514,-1.189,-0.212,-14.331,-73.71,-33.854,81,85
30410,-0.171,-0.851,0.565,22.275,61.183,-12.308,0,89
30456,-0.405,-0.916,0.581,-5.889,-153.038,19.957,83,67
