Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47832,-0.064,-0.968,0.225,-3.242,0.905,-1.469,111,112
47879,-0.062,-0.985,0.231,-3.061,-3.864,3.342,111,70
47927,-0.01,-0.96,0.272,0.558,-2.651,9.97,111,71
47974,-0.036,-0.961,0.217,-0.288,2.156,8.403,110,70
48021,-0.046,-0.964,0.228,0.049,4.21,9.641,110,70
48069,-0.046,-0.969,0.216,0.372,0.786,10.297,110,69
48116,-0.069,-0.986,0.197,-1.2,-3.572,5.628,109,68
48166,-0.086,-1.02,0.146,-2.817,-7.496,-0.185,110,67
48214,-0.026,-0.967,0.214,-0.899,2.748,2.379,109,67
48261,-0.042,-0.968,0.227,-2.038,3.606,1.578,108,67
48309,-0.083,-0.989,0.218,-2.712,-4.493,-0.468,108,71
48356,-0.086,-1.013,0.153,-4.534,-5.742,-1.658,108,64
48403,-0.034,-0.975,0.219,-1.899,-0.61,-1.025,108,69
48450,-0.06,-0.988,0.196,-2.842,0.736,-1.672,109,68
48498,-0.032,-0.958,0.241,-1.073,2.72,-0.346,109,69
48545,-0.059,-0.979,0.215,-2.407,-0.632,-2.328,108,71
48598,-0.039,-0.956,0.222,-2.369,2.998,-1.588,108,112
48646,-0.063,-0.973,0.214,-2.579,2.735,-0.004,108,69
48693,-0.022,-0.956,0.214,-0.643,3.816,1.506,108,64
48740,-0.058,-0.981,0.193,-3.226,5.995,1.442,108,64
48787,-0.092,-1.008,0.184,-3.417,0.625,1.246,108,71
48835,-0.072,-1.001,0.145,-4.49,-1.425,0.823,107,76
48882,-0.072,-1.007,0.16,-4.347,1.182,1.551,107,78
48930,-0.039,-0.984,0.183,-2.006,7.681,0.963,107,78
48977,-0.088,-1.011,0.143,-5.155,2.251,-2.522,107,67
49028,-0.062,-0.979,0.171,-3.073,6.115,-2.232,107,64
49075,-0.049,-0.971,0.202,-2.838,8.995,-2.198,106,65
49122,-0.063,-1.002,0.16,-5.47,5.852,-6.146,105,63
49169,-0.074,-0.98,0.171,-5.928,9.659,-6.551,106,63
49216,-0.057,-0.969,0.191,-4.988,11.307,-5.411,105,60
49262,-0.08,-0.982,0.174,-7.71,9.168,-6.509,104,60
49309,-0.062,-0.953,0.2,-3.904,11.846,-2.61,103,62
49356,-0.041,-0.941,0.196,-2.067,16.689,-1.203,103,67
49403,-0.029,-0.941,0.199,-1.383,28.411,-2.661,102,64
49453,-0.053,-0.986,0.057,-15.419,25.969,-9.299,99,63
49500,-0.058,-0.965,0.083,-13.254,63.702,0.477,100,70
49547,-0.067,-0.97,0.103,-0.698,89.267,7.965,100,72
49598,-0.227,-0.99,0.099,-14.635,110.626,1.159,99,127
49646,-0.319,-1.013,0.159,-15.584,103.45,20.405,57,130
49693,-0.472,-1.01,0.324,-27.267,28.947,25.725,51,129
49744,-0.38,-0.932,0.305,-36.489,-60.427,25.252,98,132
49797,-0.088,-1.119,0.242,-11.435,-92.366,18.168,118,133
49848,0.552,-0.292,0.238,33.969,7.094,-19.618,94,83
49893,0.671,0.001,-0.251,61.473,182.588,-90.565,58,85
49941,-0.043,-0.065,-0.519,74.779,250.13,-91.053,31,163
49991,-1.074,-0.921,0.461,27.992,119.153,-23.69,30,190
50039,-0.724,-2.0,0.077,-63.038,-250.137,27.244,23,148
50087,-0.015,-1.491,-0.134,-38.26,-250.137,-41.885,75,109
50135,1.334,-1.312,-0.848,55.496,-86.412,-136.656,79,82
50186,0.157,-1.116,-0.13,-32.282,79.0,-75.771,98,140
50273,0.908,-1.73,-0.874,21.0,-30.305,-5.56,43,82
50327,0.403,-0.962,-0.258,-28.336,188.489,-72.725,97,133
50378,0.19,-1.061,0.721,-85.931,81.153,25.595,97,131
50429,0.543,-1.432,-0.339,71.595,123.695,-31.534,95,141
50480,-0.32,-0.092,0.332,24.809,211.687,-41.206,75,152
50530,-0.726,-0.873,1.363,-82.389,-169.924,43.496,76,138
50580,0.924,-1.938,-0.833,107.603,-179.16,-1.373,75,137
50630,0.454,-0.384,-0.198,75.794,176.336,-58.603,23,41
50680,-0.767,-0.635,0.733,-70.611,89.603,23.244,23,40
50734,-0.225,-1.553,0.017,21.115,-208.031,85.29,74,136
50785,0.357,-0.764,-0.149,77.397,-74.794,7.271,94,138
50834,0.193,-0.428,-0.023,-36.282,-0.873,63.26,74,137
50884,0.389,-1.339,-0.209,-71.191,32.954,65.389,74,138
50934,0.082,-0.999,0.296,19.756,111.031,31.968,76,138
50984,-0.656,-0.94,0.818,-76.145,-103.313,34.0,75,138
51035,0.469,-2.0,-0.509,5.376,-244.305,54.519,71,137
51085,0.753,-0.752,-0.339,74.267,57.511,11.001,74,140
51133,-0.665,-0.704,0.68,-48.496,29.519,37.099,74,118
51186,0.175,-1.789,-0.156,9.983,-168.435,51.618,74,143
51233,0.671,-0.657,-0.507,121.656,135.893,-10.914,75,84
51281,-0.874,-0.439,0.532,-19.626,125.626,17.885,78,103
51329,-0.437,-1.302,0.263,-34.412,-143.305,28.008,78,82
51376,0.605,-1.392,-0.922,102.321,84.84,-48.389,79,85
51425,-0.729,-0.25,0.279,-21.953,204.939,-7.753,84,104
51472,-0.858,-1.086,0.726,-96.977,-109.298,45.908,61,107
51519,0.397,-1.656,-0.745,34.122,-96.244,6.586,79,84
51569,0.026,-0.489,0.19,6.0,134.878,5.806,80,86
51617,-0.296,-0.914,0.469,-36.336,57.794,66.328,81,107
51666,0.028,-1.406,-0.009,49.206,38.168,6.633,81,103
51715,-0.735,-0.767,0.749,21.74,-29.229,9.785,82,100
51763,-0.644,-1.073,0.444,-19.427,-250.137,29.832,79,102
51808,0.307,-1.141,-0.453,37.099,-157.481,-12.358,81,53
51854,-0.185,-0.667,0.424,-33.374,-49.481,-3.477,83,54
51901,0.081,-1.251,0.175,-27.145,-33.053,-0.282,109,54
51948,0.303,-0.78,0.021,31.511,165.382,-20.435,94,56
51999,-0.717,-0.702,0.698,-30.58,179.901,8.646,89,100
52047,-0.702,-1.057,0.704,-17.49,-35.176,24.527,95,83
52099,-0.257,-0.974,0.421,22.031,-117.023,30.008,114,106
52153,0.025,-0.763,0.226,13.702,-64.634,27.679,0,82
52206,0.174,-0.961,0.194,9.153,-10.709,10.362,0,80
52260,-0.01,-0.796,0.298,18.634,90.962,-28.947,0,81
52315,-0.284,-0.862,0.4,-4.768,33.221,-18.198,0,78
52368,-0.095,-0.981,0.221,14.089,-0.254,-10.727,0,76
52425,-0.416,-0.834,0.433,-16.815,-17.418,-14.746,0,75
52476,-0.269,-1.276,0.253,-27.435,-113.519,14.516,137,87
52526,0.029,-0.93,0.416,-3.44,-77.802,29.476,123,67
52575,0.098,-0.727,0.491,31.786,-31.87,78.779,127,69
52623,0.112,-0.887,0.295,95.74,38.313,61.603,119,66
52676,-0.281,-0.655,0.246,120.74,132.214,-13.816,0,65
52729,-1.355,-1.18,0.892,37.275,52.274,-100.115,0,62
52826,0.435,-0.512,-0.07,53.931,-207.267,-46.641,0,57
52882,0.007,-0.27,0.038,-68.015,250.13,-89.328,0,60
52934,-0.895,-0.789,0.55,-49.252,142.076,12.464,132,60
52984,-0.312,-0.928,0.392,-17.711,-49.421,-54.809,144,66
53037,-0.361,-0.653,0.559,-35.641,-22.773,-90.092,143,110
53086,0.045,-0.645,0.634,-54.0,-174.947,-30.687,113,70
53134,0.669,-1.127,0.106,67.702,-122.038,-48.275,110,67
53190,0.765,-0.529,-0.441,88.794,143.26,-85.641,115,0
53232,-0.345,-0.563,0.241,-75.756,250.13,30.092,100,0
53280,-0.89,-0.779,1.398,-158.573,-31.916,83.695,61,124
53335,-0.027,-1.557,0.402,3.232,-250.137,51.924,95,130
53380,0.948,-1.08,-0.336,84.641,-136.359,-40.046,67,46
53429,0.733,-0.397,-0.165,-22.427,131.252,-29.931,117,83
53480,-0.09,-0.976,0.163,-136.74,233.565,-4.31,93,117
53529,-0.657,-1.64,0.986,-115.244,31.656,-0.864,94,115
53578,-0.046,-1.173,0.449,26.865,-132.954,5.882,92,91
53626,0.331,-0.98,0.209,-56.038,-125.397,23.611,91,89
53673,0.376,-1.208,0.196,-57.038,-29.931,19.053,58,92
53719,0.179,-1.384,0.186,-27.412,36.191,16.28,58,65
53767,-0.089,-0.722,0.403,-25.161,33.847,53.702,59,65
53813,0.108,-1.273,0.149,-26.099,-30.954,26.153,60,64
53859,0.367,-1.012,-0.069,39.321,58.344,-51.13,60,92
53908,-0.076,-0.822,0.104,-1.468,143.595,-31.954,93,88
53956,-0.504,-1.098,0.529,-44.748,-2.508,17.031,94,89
54005,0.02,-1.304,-0.018,13.802,-115.534,39.763,94,87
54060,0.363,-1.008,-0.322,4.469,-7.646,1.68,93,86
54107,-0.161,-0.925,0.021,-26.672,80.366,5.708,93,87
54155,-0.023,-1.345,0.124,1.744,60.83,18.936,96,88
54205,0.124,-1.117,-0.098,32.588,85.069,-19.222,28,26
54252,-0.251,-0.845,0.117,-23.588,101.122,18.527,96,84
54300,-0.225,-1.167,0.227,-34.237,34.396,19.74,98,85
54347,0.189,-1.114,-0.203,23.046,36.107,5.21,96,86
54394,0.089,-0.84,-0.271,19.069,163.252,2.842,61,114
54441,-0.521,-0.794,0.179,-23.588,125.305,19.771,60,111
54489,-0.456,-1.056,0.248,-32.855,-31.443,19.412,61,111
54536,-0.005,-0.843,0.085,24.495,-67.824,31.038,62,113
54585,0.153,-0.588,-0.041,32.443,13.905,35.023,63,89
54632,0.198,-0.402,-0.095,38.084,111.672,28.74,61,111
54679,0.026,-0.118,-0.029,48.168,185.855,22.931,62,109
54726,-0.138,-0.189,0.026,47.641,196.504,22.137,64,106
54772,-0.868,-0.476,0.279,31.847,74.176,22.583,60,102
54818,-1.185,-0.815,0.103,-50.336,-250.137,-99.305,60,97
54865,-0.732,-1.389,-0.143,-83.321,-250.137,-76.656,60,96
54908,0.623,-2.0,-0.809,146.206,-196.359,20.863,62,45
54952,0.407,-1.589,-0.529,139.595,101.29,51.863,60,46
55001,0.209,-0.793,-0.696,13.548,250.13,111.679,59,94
55048,-0.547,-1.147,-0.27,-139.733,250.13,90.71,61,94
55094,-1.169,-1.461,1.094,-190.618,135.618,-73.397,63,96
55140,-1.149,-1.602,0.763,-34.435,-237.046,-129.618,64,92
55187,0.099,-1.436,-0.417,38.885,-250.137,-127.328,67,89
55276,0.033,-0.756,-0.448,0.132,250.13,1.57,70,85
55322,-0.868,-1.018,-0.069,-26.727,250.13,36.87,72,85
55373,-0.907,-0.846,0.055,-13.906,-81.803,65.229,73,169
55424,-0.377,-0.932,-0.18,-26.87,-199.947,16.74,74,83
55470,0.576,-1.411,-1.259,60.565,8.651,-29.756,75,80
55521,-0.683,-0.639,0.069,19.321,181.229,-67.542,75,166
55571,-0.869,-1.159,0.722,-99.031,-120.023,-41.975,76,141
55617,0.017,-1.552,-0.428,43.435,-218.244,-4.16,76,79
55663,-0.141,-0.667,-0.115,24.458,-118.557,-38.389,77,78
55710,0.0,-0.951,0.053,-50.26,-122.527,-2.14,78,79
55756,0.571,-1.468,-0.722,46.275,57.863,16.26,79,78
55802,-0.409,-0.569,-0.018,47.947,169.87,27.458,79,77
55846,-0.797,-0.752,0.51,-47.183,-42.847,42.076,81,78
55894,-0.075,-1.392,-0.191,-25.662,-168.015,30.443,80,76
55940,0.271,-0.761,-0.379,57.122,46.397,-15.61,82,77
55987,-0.544,-0.458,0.3,-9.299,30.763,30.405,83,76
56033,-0.401,-1.216,-0.004,-20.133,-117.221,34.542,84,73
56080,0.315,-1.388,-0.928,94.817,161.824,-55.473,84,73
56126,-1.097,-0.199,0.469,-30.786,150.489,3.28,85,73
56173,-0.856,-0.988,0.578,-98.458,-136.748,52.542,86,73
56222,-0.088,-1.249,-0.654,74.229,-32.809,-8.535,87,72
56269,-1.195,0.001,0.627,-60.389,-150.702,19.809,87,73
56318,-0.16,-1.395,-0.353,-110.595,-250.137,28.649,154,53
56367,1.106,-0.874,-1.051,88.664,195.985,-59.908,132,53
56414,-1.316,0.042,0.741,-49.382,242.221,63.031,88,72
56464,-1.287,-1.686,0.646,-65.817,-250.137,75.412,163,52
56510,0.647,-1.528,-1.033,86.351,-179.962,-25.298,132,24
56558,-0.212,-0.276,0.013,20.511,69.878,-24.084,158,24
56602,-0.387,-1.058,0.1,-82.008,-55.41,-5.24,33,24
56652,0.129,-1.985,-0.848,44.721,96.748,-77.664,164,46
56696,-1.097,-0.268,0.624,-40.902,117.527,-25.809,11,21
56744,-0.94,-0.98,0.066,-60.939,-146.366,65.305,147,47
56787,0.081,-1.331,-0.194,0.564,-147.214,27.084,37,49
56830,0.181,-1.141,-0.471,40.191,45.916,-44.031,36,54
56881,-0.418,-0.594,-0.107,13.517,171.427,-28.55,167,51
56932,-0.697,-0.98,0.477,-49.954,3.385,31.229,168,77
56984,-0.072,-1.181,-0.512,50.87,27.42,-48.031,167,80
57038,-1.033,-0.281,0.587,-65.504,-25.122,6.594,167,63
57089,-0.691,-1.514,-0.006,-45.267,-250.137,14.852,166,63
57140,0.614,-1.08,-0.623,108.069,-90.832,-39.321,163,61
57189,-0.171,-0.419,-0.079,31.076,144.084,-23.618,132,61
57240,-0.643,-1.019,0.299,-57.13,17.936,-4.571,160,79
57290,-0.264,-1.453,-0.114,34.076,-101.55,-20.374,148,65
57338,-0.074,-0.646,-0.057,50.244,-11.153,-18.786,141,32
57390,-0.317,-0.836,0.396,-43.443,-40.466,32.465,0,34
57444,0.258,-1.472,-0.243,44.29,-9.576,9.584,0,36
57495,0.213,-0.666,-0.053,57.176,179.13,-9.261,138,99
57547,-0.463,-0.727,0.447,-20.107,179.702,14.513,147,102
57603,-0.593,-1.098,0.528,-12.052,-35.873,8.387,0,100
57658,-0.465,-0.872,0.406,-0.721,-158.176,-0.181,0,105
57751,0.429,-0.847,-0.146,22.374,5.761,-12.554,133,76
57806,-0.202,-0.639,0.298,-20.328,180.595,-9.676,156,140
57861,-0.735,-1.146,0.525,-35.296,58.008,-6.593,158,126
57914,-0.464,-1.053,0.275,8.207,-127.351,9.647,157,116
57969,-0.024,-0.974,-0.065,14.693,-83.901,8.482,156,84
58020,-0.156,-0.81,0.235,11.273,33.238,2.676,156,89
58073,-0.174,-0.989,0.232,16.695,-28.519,4.478,157,83
58126,-0.13,-0.98,0.051,12.421,-29.019,-1.74,157,118
58178,-0.429,-0.813,0.407,-16.335,-12.054,2.867,158,87
58230,-0.097,-1.033,0.212,5.703,-106.176,17.527,159,88
58283,0.215,-1.011,-0.113,38.939,36.168,-14.32,158,95
58337,-0.332,-0.839,0.341,-15.014,108.382,-10.499,158,111
58391,-0.349,-1.092,0.38,1.278,-31.269,0.61,159,81
58443,0.074,-0.857,0.174,21.405,33.763,4.951,160,86
58497,-0.504,-0.852,0.452,-28.656,26.405,-13.218,160,110
58549,-0.271,-1.103,0.057,7.94,-52.099,-4.142,160,81
58601,-0.425,-0.617,0.227,-16.306,4.291,-16.633,160,80
58653,-0.767,-0.967,0.397,-66.794,-194.061,24.511,5,16
58707,0.335,-1.228,-0.282,6.186,-128.191,21.397,0,73
58758,0.17,-0.764,-0.165,24.861,149.122,-2.407,159,54
58810,-0.814,-0.949,0.736,-58.649,25.901,-13.958,159,94
58868,0.034,-1.27,0.112,25.687,-112.733,7.682,0,100
58921,0.062,-0.751,0.273,12.892,32.389,-8.359,0,60
58976,-0.204,-1.106,0.307,-24.672,-49.717,7.27,0,75
59027,0.065,-0.877,0.105,23.842,26.333,-3.529,156,75
59078,-0.243,-0.854,0.298,-14.186,4.106,-1.63,155,75
59131,-0.076,-1.045,0.221,-0.775,-48.458,-21.107,0,63
59185,0.182,-0.913,-0.114,24.543,47.611,-24.069,0,65
59238,-0.509,-0.721,0.511,-25.687,-32.283,-6.393,0,63
59290,-0.083,-0.928,0.296,-19.672,-134.153,27.695,0,42
59345,0.655,-1.299,-0.429,38.626,67.321,-35.702,0,42
59399,-0.534,-0.982,0.06,23.481,250.13,-93.015,155,107
59448,-1.503,-0.965,0.972,-35.115,-190.0,-14.716,133,61
59500,0.172,-0.92,-0.351,12.598,-250.137,36.237,0,44
59552,1.046,-0.817,-0.745,35.298,129.504,-37.962,0,43
59603,0.03,-0.275,-0.48,24.947,250.13,-46.588,128,113
59657,-1.587,-0.42,0.772,-16.327,250.13,-49.783,138,112
59707,-1.094,-0.597,0.658,-27.802,-250.137,52.3,127,83
59755,0.741,-1.066,-0.845,-3.02,-250.137,-59.42,58,49
59801,0.693,-0.611,-0.481,28.374,75.206,-95.824,58,82
59847,-0.394,-1.524,0.267,-9.688,161.382,-23.763,69,81
59892,-0.351,-1.186,0.132,22.718,31.16,57.985,66,54
59937,-0.162,-1.267,0.162,-31.412,-61.345,138.305,61,58
59982,0.24,-1.639,0.227,-71.183,-38.847,99.832,59,60
60027,-0.015,-1.885,0.073,-54.542,-40.755,-99.603,58,61
60072,-0.094,-1.366,0.235,-48.954,-26.641,-143.298,57,64
60118,-0.056,-1.085,0.424,-73.313,-95.298,-41.176,57,66
60167,0.459,-1.543,0.062,-6.781,-166.252,57.198,58,69
60213,0.7,-1.216,-0.31,43.687,87.875,-39.771,63,70
