Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47832,-0.081,-0.985,0.225,-4.695,-0.641,-3.092,111.0,112.0
47879,-0.068,-0.991,0.231,-3.466,-4.305,2.695,111.0,70.0
47927,-0.049,-0.996,0.209,-1.664,-5.557,5.275,111.0,69.0
47974,-0.050,-0.974,0.217,-0.779,1.130,6.435,110.0,69.0
48021,-0.063,-0.979,0.228,-0.351,3.069,6.992,110.0,69.0
48069,-0.065,-0.985,0.216,-0.046,-0.412,7.473,110.0,68.0
48116,-0.063,-0.981,0.206,-1.061,-3.176,6.374,109.0,68.0
48166,-0.043,-0.984,0.209,-1.374,-4.786,3.992,110.0,67.0
48214,-0.033,-0.973,0.204,-1.183,2.229,1.947,109.0,67.0
48261,-0.057,-0.980,0.227,-2.733,2.466,1.008,108.0,67.0
48309,-0.072,-0.980,0.218,-2.122,-3.794,-0.160,108.0,71.0
48356,-0.051,-0.983,0.205,-2.420,-3.618,-0.740,108.0,64.0
48403,-0.049,-0.988,0.219,-2.824,-1.481,-1.458,108.0,69.0
48450,-0.052,-0.981,0.208,-2.305,1.107,-1.344,109.0,68.0
48498,-0.057,-0.980,0.205,-2.870,1.740,-1.534,109.0,69.0
48545,-0.066,-0.986,0.204,-2.977,-0.954,-2.656,108.0,71.0
48598,-0.056,-0.971,0.197,-3.687,2.168,-2.290,108.0,112.0
48646,-0.073,-0.981,0.201,-3.321,2.084,-0.389,108.0,69.0
48693,-0.045,-0.976,0.182,-2.344,2.183,0.664,108.0,64.0
48740,-0.057,-0.980,0.194,-3.168,6.053,1.473,108.0,64.0
48787,-0.076,-0.995,0.205,-2.412,1.802,1.969,108.0,71.0
48835,-0.040,-0.973,0.187,-2.473,1.672,2.305,107.0,76.0
48882,-0.045,-0.984,0.194,-2.733,3.878,2.702,107.0,78.0
48930,-0.043,-0.987,0.178,-2.237,7.237,0.802,107.0,78.0
48977,-0.053,-0.982,0.186,-2.771,7.313,-0.885,107.0,67.0
49028,-0.061,-0.978,0.173,-2.977,6.328,-2.160,107.0,64.0
49075,-0.058,-0.979,0.190,-3.718,7.244,-2.985,106.0,65.0
49122,-0.051,-0.991,0.176,-4.069,8.290,-4.740,105.0,63.0
49169,-0.072,-0.978,0.174,-5.626,10.137,-6.252,106.0,63.0
49216,-0.067,-0.979,0.177,-6.664,9.000,-7.008,105.0,60.0
49262,-0.078,-0.980,0.176,-7.405,9.527,-6.244,104.0,60.0
49309,-0.082,-0.972,0.174,-8.038,7.275,-5.992,103.0,62.0
49356,-0.073,-0.970,0.158,-8.679,7.206,-6.076,103.0,67.0
49403,-0.062,-0.971,0.162,-8.664,10.740,-6.740,102.0,64.0
49453,-0.021,-0.958,0.091,-9.183,25.969,-5.565,101.0,63.0
49500,-0.051,-0.960,0.089,-12.069,63.702,1.221,100.0,70.0
49547,-0.088,-0.983,0.088,-3.885,89.267,5.351,99.0,72.0
49598,-0.185,-0.970,0.126,-8.137,110.626,7.000,100.0,127.0
49646,-0.319,-1.012,0.160,-15.198,103.450,20.405,57.0,130.0
49693,-0.472,-1.009,0.324,-27.267,28.947,25.725,51.0,129.0
49744,-0.380,-0.992,0.305,-36.489,-60.427,25.252,98.0,132.0
49797,-0.095,-1.119,0.242,-12.382,-92.366,18.168,118.0,133.0
49848,0.552,-0.292,0.238,33.969,-2.076,-19.618,94.0,83.0
49893,0.671,0.001,-0.251,61.473,182.588,-90.565,58.0,84.0
49941,-0.045,-0.065,-0.519,74.779,250.130,-91.053,31.0,163.0
49991,-1.074,-0.890,0.461,27.992,119.153,-12.344,30.0,190.0
50039,-0.724,-2.000,0.055,-63.038,-250.137,27.244,23.0,148.0
50087,-0.008,-1.491,-0.134,-38.260,-250.137,-41.885,75.0,109.0
50135,1.334,-1.312,-0.848,55.496,-86.412,-136.656,79.0,82.0
50186,0.157,-1.002,0.039,-15.863,79.000,-75.771,98.0,140.0
50273,0.908,-1.730,-0.874,21.000,-30.305,-2.863,43.0,82.0
50327,0.403,-0.959,-0.258,-28.336,188.489,-72.725,97.0,133.0
50378,0.190,-0.983,0.721,-85.931,81.153,25.595,98.0,131.0
50429,0.543,-1.432,-0.339,71.595,123.695,-31.534,95.0,141.0
50480,-0.320,-0.092,0.332,24.809,211.687,-41.206,75.0,152.0
50530,-0.726,-0.873,1.363,-82.389,-169.924,43.496,76.0,138.0
50580,0.924,-1.938,-0.833,107.603,-179.160,-1.282,75.0,137.0
50630,0.454,-0.384,-0.198,75.794,176.336,-58.603,77.0,137.0
50680,-0.767,-0.635,0.733,-70.611,89.603,23.244,76.0,135.0
50734,-0.249,-1.553,-0.000,21.115,-208.031,85.290,74.0,136.0
50785,0.357,-0.764,-0.149,77.397,-74.794,9.763,94.0,138.0
50834,0.193,-0.428,-0.005,-36.282,16.260,63.260,74.0,137.0
50884,0.389,-1.339,-0.209,-71.191,32.954,65.389,74.0,138.0
50934,-0.092,-1.063,0.128,19.756,111.031,-13.176,76.0,138.0
50984,-0.656,-0.941,0.818,-76.145,-103.313,34.000,75.0,138.0
51035,0.469,-2.000,-0.509,-9.885,-244.305,54.519,71.0,137.0
51085,0.753,-0.752,-0.339,74.267,57.511,-4.267,74.0,140.0
51133,-0.665,-0.704,0.680,-48.496,29.519,37.099,74.0,118.0
51186,0.175,-1.789,-0.156,14.481,-168.435,51.618,74.0,143.0
51233,0.671,-0.657,-0.507,121.656,135.893,-16.595,75.0,84.0
51281,-0.874,-0.439,0.532,-19.626,125.626,9.618,78.0,103.0
51329,-0.437,-1.302,0.263,-34.412,-143.305,28.008,78.0,82.0
51376,0.605,-1.392,-0.922,102.321,84.840,-48.389,79.0,83.0
51425,-0.729,-0.250,0.279,-18.527,204.939,-6.145,84.0,104.0
51472,-0.858,-1.086,0.726,-96.977,-109.298,45.908,61.0,107.0
51519,0.397,-1.656,-0.745,34.122,-96.244,5.344,79.0,84.0
51569,0.028,-0.489,0.210,8.000,134.878,9.023,80.0,86.0
51617,-0.314,-0.965,0.469,-36.336,57.794,66.328,81.0,107.0
51666,0.045,-1.406,0.013,49.206,38.168,10.969,81.0,103.0
51715,-0.735,-0.767,0.749,21.740,-29.229,-3.519,81.0,100.0
51763,-0.644,-0.959,0.444,-19.427,-250.137,29.832,81.0,102.0
51808,0.307,-1.141,-0.453,37.099,-157.481,-12.885,81.0,53.0
