Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30972,-0.107,-0.986,0.224,-6.129,-21.09,-5.889,0,130
31026,-0.088,-0.988,0.188,-0.671,-9.166,-1.561,0,80
31077,-0.119,-0.97,0.206,0.156,5.798,2.855,166,78
31128,-0.12,-0.985,0.188,3.231,4.935,5.84,166,77
31178,-0.135,-0.957,0.186,1.635,7.632,5.287,155,76
31233,-0.138,-0.989,0.196,-0.39,-2.752,6.33,166,127
31287,-0.102,-0.963,0.19,0.431,2.24,7.838,166,127
31341,-0.138,-0.988,0.171,-2.368,-4.595,4.783,167,78
31394,-0.108,-0.971,0.167,-2.761,-7.192,4.334,0,76
31447,-0.114,-0.999,0.185,-3.942,-6.278,3.373,0,76
31500,-0.114,-0.975,0.167,-4.675,-0.836,-0.878,0,75
31553,-0.146,-0.976,0.212,-4.294,-5.106,-2.831,0,75
31606,-0.115,-0.996,0.173,-3.545,-9.309,-6.119,0,75
31659,-0.124,-0.986,0.177,-2.317,0.21,-4.946,0,75
31712,-0.156,-0.982,0.216,-1.513,-2.669,-3.851,0,75
31765,-0.128,-0.983,0.169,-1.297,-8.529,-2.274,0,75
31821,-0.126,-0.969,0.189,-1.379,1.732,0.321,0,76
31875,-0.161,-0.974,0.212,-1.076,-2.525,0.814,0,77
31928,-0.132,-0.977,0.201,-1.175,-7.522,1.349,0,76
31981,-0.118,-0.978,0.16,-1.22,-5.608,2.45,0,77
32034,-0.129,-0.972,0.205,-1.082,-1.14,4.159,0,79
32090,-0.131,-0.982,0.221,-0.337,-5.279,4.129,0,125
32146,-0.123,-0.973,0.202,-0.853,-5.877,3.196,0,127
32202,-0.137,-0.985,0.179,-0.525,-6.896,2.006,0,127
32259,-0.132,-0.968,0.202,-0.575,-6.571,2.172,0,140
32319,-0.123,-0.971,0.211,-0.212,-4.876,1.964,0,139
32375,-0.117,-0.976,0.197,-0.197,-3.615,1.554,0,137
32433,-0.137,-0.972,0.209,-1.064,-2.239,1.638,0,139
32486,-0.13,-0.969,0.213,-1.364,-6.563,1.967,0,76
32538,-0.129,-0.974,0.196,-1.67,-5.435,3.044,0,74
32591,-0.124,-0.975,0.213,-0.798,-2.421,2.91,0,75
32645,-0.139,-0.971,0.213,-1.103,-3.303,2.425,0,75
32698,-0.131,-0.978,0.205,-0.746,-5.955,3.34,0,75
32754,-0.122,-0.97,0.213,-0.285,-4.265,2.492,0,125
32811,-0.133,-0.972,0.213,-0.021,-0.603,3.579,0,125
32870,-0.144,-0.966,0.214,-0.97,-7.953,1.538,0,133
32926,-0.133,-0.971,0.185,-0.832,-6.695,1.273,0,127
32985,-0.138,-0.977,0.208,-0.622,-5.354,1.044,0,173
33038,-0.155,-0.961,0.228,-1.038,-4.196,2.22,0,76
33092,-0.14,-0.98,0.215,0.656,-7.256,2.676,0,95
33146,-0.151,-0.977,0.215,0.599,-3.537,1.861,5,28
33203,-0.142,-0.975,0.219,1.788,-2.638,3.168,0,121
33256,-0.152,-0.972,0.232,2.15,-2.239,4.427,0,73
33311,-0.148,-0.969,0.207,2.503,-3.121,4.094,0,120
33370,-0.152,-0.964,0.218,2.566,-4.297,5.712,0,97
33428,-0.137,-0.959,0.198,2.476,-4.024,4.589,0,166
33482,-0.155,-0.967,0.231,1.308,-6.383,3.984,0,92
33538,-0.143,-0.967,0.2,2.511,-4.276,7.012,0,114
33593,-0.143,-0.953,0.213,4.325,-4.263,11.205,0,112
33648,-0.132,-0.959,0.225,4.659,0.99,13.958,0,111
33746,-0.075,-0.898,0.18,5.635,8.427,9.125,0,118
33801,-0.104,-0.835,0.319,8.355,41.153,31.992,0,89
33856,-0.368,-1.279,0.629,-9.902,-7.103,50.237,0,96
33913,0.004,-1.04,0.369,24.458,-3.654,22.939,0,90
33968,-0.357,-0.03,0.314,25.969,85.099,-75.481,0,92
34028,-1.597,-1.232,0.287,-4.162,-16.201,-67.115,0,0
34081,-0.575,-1.693,-0.322,-54.718,-250.137,241.198,0,67
34135,1.692,-0.779,-1.369,18.825,23.527,-28.786,0,69
34190,-0.214,-0.361,-0.528,52.611,250.13,-46.183,0,105
34244,-1.856,-0.501,0.98,-96.649,250.13,92.718,0,100
34299,-1.152,-1.77,0.139,-28.58,-209.977,35.214,0,100
34357,-0.153,-0.217,0.086,-80.191,7.329,-93.351,0,87
34412,-0.321,-1.427,0.015,-94.382,-87.863,6.602,0,99
34466,-0.04,-0.789,-0.414,117.832,202.58,-67.626,0,99
34522,-1.871,-0.583,1.437,-80.779,-72.893,-59.847,0,100
34577,-0.017,-1.658,-0.635,14.863,-250.137,-36.565,0,100
34631,0.095,-0.251,-0.3,77.588,169.588,-56.924,174,103
34686,-1.404,-0.947,0.956,-70.977,-37.092,13.449,0,104
34742,0.336,-1.671,-0.829,70.427,-133.588,45.191,0,107
34797,-0.67,-0.556,0.661,-32.062,-9.246,-17.779,0,106
34852,-0.227,-1.345,-0.081,-38.687,-250.137,40.947,0,54
34906,0.531,-0.955,-0.448,23.015,6.338,-62.435,0,56
34956,-0.117,-0.617,0.621,-36.244,80.725,40.496,162,58
35008,0.188,-1.51,-0.248,9.284,90.985,17.708,161,94
35061,-0.222,-0.706,-0.027,23.718,250.13,-22.043,161,109
35118,-0.94,-0.985,1.065,-55.496,-16.223,45.389,0,109
35173,0.187,-1.228,-0.223,36.45,-45.687,-52.321,0,110
35228,-0.154,-0.766,0.38,2.286,34.115,-15.487,0,110
35284,0.05,-1.251,-0.211,38.099,74.076,-29.206,0,111
35343,-0.595,-0.69,-0.044,32.863,212.359,-41.282,0,0
35390,-0.771,-0.822,0.474,-53.267,-154.534,-10.89,0,0
35449,0.63,-1.206,-0.72,20.016,-40.74,-23.734,183,0
35511,-0.565,-0.79,0.601,-7.001,175.031,-33.504,0,0
35571,0.029,-1.328,-0.073,17.027,-35.718,-38.13,0,0
35633,-0.5,-0.659,0.419,1.095,71.527,-31.466,0,0
35693,0.189,-1.22,-0.301,-10.412,-91.573,-21.401,0,0
35748,-0.417,-0.653,0.299,-0.49,109.641,-26.512,102,0
35807,-0.221,-1.185,-0.044,-25.751,-123.588,-5.017,102,0
35862,0.23,-0.914,-0.412,11.931,100.557,-21.715,101,0
35917,-0.78,-0.688,0.542,-37.878,57.168,49.0,99,0
35973,0.059,-1.214,-0.164,-6.121,-69.786,4.364,96,0
36027,-0.226,-0.631,0.009,31.55,103.015,-34.412,94,0
36082,-1.09,-0.936,0.727,-70.832,-143.023,0.766,90,0
36124,0.095,-1.607,-0.366,-6.122,-250.137,-57.191,117,0
36180,0.577,-1.079,-0.755,82.527,-4.135,-159.344,112,0
36220,-0.543,-0.202,0.273,-3.251,112.214,-32.893,80,0
36275,-0.572,-0.618,0.876,-67.656,-217.702,46.748,106,127
36326,1.017,-1.331,-0.855,61.244,-95.26,-77.496,101,110
36376,0.169,-1.247,0.192,27.847,192.573,6.85,97,113
36427,-0.523,-1.346,1.298,-110.901,-106.412,221.809,92,136
36520,0.4,-0.891,-0.63,42.71,7.701,-62.267,87,119
36569,-0.063,-0.62,0.22,-38.496,-10.358,149.076,84,94
36618,0.664,-1.871,-0.307,-3.209,-32.492,-40.748,82,122
36669,0.857,-0.777,-1.119,192.672,250.13,-183.595,25,42
36721,-2.0,0.115,1.683,-159.611,234.229,-28.254,45,140
36771,-1.5,-2.0,-0.216,-245.893,-250.137,103.305,81,122
36818,2.0,-0.955,-1.261,176.534,-219.878,-119.977,77,91
36869,0.897,-0.438,-1.027,20.817,250.13,-42.374,77,126
36918,-0.765,-0.761,1.215,-179.786,250.13,62.687,78,126
36968,-0.251,-2.0,-0.493,14.553,-99.687,61.282,77,126
37018,0.098,-0.51,0.335,105.344,-66.534,-21.727,76,126
37067,0.12,-0.412,0.376,-80.886,-124.282,38.786,75,130
37117,0.436,-1.987,-0.903,-23.515,-3.358,13.422,74,128
37171,-0.401,-0.454,0.424,74.008,57.321,7.318,74,128
37220,-0.615,-0.652,0.846,-75.427,-217.557,84.435,73,128
37264,0.773,-2.0,-1.071,33.129,-165.931,29.122,49,52
37313,0.644,-0.953,-0.834,124.351,193.16,-49.832,71,117
37362,-0.648,-0.144,0.35,-22.91,212.313,21.977,72,130
37412,-0.27,-1.308,0.468,-90.053,-116.023,34.771,71,131
37463,1.078,-1.458,-1.464,134.29,198.977,-56.115,72,131
37512,-1.492,-0.158,0.787,11.731,244.198,2.508,75,128
37565,-0.928,-1.288,0.251,-110.046,-250.137,-19.849,74,132
37615,0.89,-1.291,-1.149,115.0,-89.237,-60.344,71,130
37665,-0.104,-0.19,0.323,-12.38,119.977,28.847,71,131
37714,-0.288,-1.474,0.346,-92.58,13.683,23.612,71,130
37771,0.213,-0.764,-0.395,165.626,157.435,-13.94,73,131
37820,-0.916,-0.506,0.875,-47.351,43.397,-1.204,73,133
37867,-0.33,-1.581,0.015,-85.603,-215.267,16.837,70,109
37915,0.611,-1.222,-0.44,125.886,-7.065,-5.476,69,133
37967,-0.224,-0.5,0.368,-35.71,71.511,23.168,69,135
38017,0.386,-1.7,-0.351,-57.489,-23.09,34.725,69,134
38064,0.467,-0.99,-0.576,142.015,234.298,-12.788,50,135
38112,-1.176,-0.216,0.882,-31.794,151.473,-26.326,46,137
38160,-0.929,-0.931,0.678,-124.412,-250.137,-14.199,47,136
38208,0.772,-1.474,-1.039,95.908,-119.664,0.345,49,137
38255,-0.081,-0.259,0.39,32.504,176.092,0.371,48,139
38303,-0.967,-0.765,1.17,-106.901,-17.468,-7.185,51,138
38351,0.036,-1.562,-0.412,5.681,-146.45,26.275,50,139
38406,0.158,-0.461,0.037,75.664,77.405,6.724,100,140
38454,-0.509,-0.572,0.959,-73.214,-1.05,17.724,57,140
38505,0.186,-1.611,-0.433,30.71,-20.282,8.248,100,138
38561,-0.166,-0.326,0.394,36.634,129.573,-27.571,0,138
38619,-0.567,-0.986,0.567,-64.886,-31.55,20.66,0,137
38675,0.088,-1.105,-0.166,48.504,-12.017,-4.68,0,138
38723,-0.325,-0.65,0.375,-1.912,63.099,-10.866,51,137
38772,-0.453,-1.175,0.243,-37.336,-28.781,-8.467,57,137
38823,-0.118,-0.959,0.006,9.732,-31.832,14.739,57,136
38880,-0.494,-0.69,0.356,-50.008,-101.107,53.832,0,137
38936,0.242,-1.219,-0.161,-27.003,-111.702,65.58,0,138
38993,0.119,-0.854,-0.302,44.244,194.977,1.327,0,136
39093,-0.159,-1.298,-0.231,-19.98,-215.786,29.053,0,135
39150,0.096,-0.751,-0.17,9.084,31.618,6.701,0,135
39206,-0.729,-0.921,0.544,-74.603,-116.565,16.735,0,133
39263,0.548,-1.226,-0.582,43.809,4.442,6.308,0,134
39319,-0.919,-0.469,0.644,-35.924,163.527,-8.608,0,130
39378,-0.213,-1.296,-0.025,-14.813,-129.641,14.018,0,132
39435,0.235,-0.695,-0.467,41.221,144.374,1.371,0,129
39483,-1.596,-0.897,1.089,-85.527,-78.649,15.495,57,128
39538,-0.295,-1.155,0.001,-34.626,-250.137,50.023,0,104
39592,0.985,-1.072,-0.864,57.802,60.107,-0.753,0,102
39648,-0.644,-0.558,-0.303,25.046,250.13,-31.188,0,100
39694,-2.0,-1.006,0.933,-79.221,-250.137,12.612,57,100
39742,-0.087,-1.322,-0.506,-12.034,-250.137,46.237,89,88
39799,1.333,-1.231,-1.163,71.023,86.58,-47.595,0,97
39854,-0.717,-0.6,-0.696,52.313,250.13,-2.783,0,90
39900,-2.0,-0.998,1.335,-91.153,-105.947,64.061,53,89
39953,-0.293,-1.2,-0.169,-11.422,-250.137,66.351,0,87
40006,0.781,-0.227,-0.761,79.809,159.794,-28.55,0,66
40061,-0.598,-0.234,-0.383,37.275,250.13,23.603,0,107
40109,-2.0,-0.906,0.497,18.507,223.046,36.481,53,107
40163,-2.0,-1.014,0.479,-77.092,-250.137,-43.779,0,106
40213,0.476,-2.0,-2.0,7.056,-250.137,-73.626,130,76
40263,0.851,-0.511,-0.998,86.679,250.13,-72.336,108,74
40310,-1.484,-0.016,0.023,-114.901,250.13,22.885,51,101
40356,-1.743,-1.72,1.115,-206.931,-86.664,-31.809,51,99
40401,-0.278,-2.0,-1.053,73.756,-250.137,-44.557,53,73
40444,0.141,-0.446,-0.093,82.924,-8.539,-45.962,57,43
40488,-0.859,0.095,-0.023,-97.817,37.765,24.687,55,62
40534,-0.983,-0.649,0.746,-182.214,-201.641,34.824,57,66
40583,0.341,-2.0,-1.32,18.931,-176.893,-28.267,144,62
40634,0.316,-0.62,-0.813,133.87,250.13,-102.908,121,50
40677,-1.481,-0.239,-0.249,15.044,250.13,-41.26,57,47
40721,-1.254,-0.743,0.529,-149.519,-15.33,-25.628,58,48
40764,-0.832,-1.752,-0.402,-59.252,-190.328,7.198,58,37
40808,-0.007,-1.354,-0.712,166.374,-91.336,-1.398,62,47
40856,-0.015,-0.542,-0.305,75.237,65.679,-15.751,126,49
40899,-0.528,-0.49,-0.089,-53.763,44.87,26.489,58,50
40943,-0.477,-1.107,0.149,-104.328,-43.489,7.357,58,50
40987,-0.247,-1.726,-0.814,35.221,-59.191,-3.497,58,51
41030,-0.907,-0.31,0.394,22.519,-74.718,-19.545,59,74
41076,-1.01,-0.617,0.225,-127.046,-250.137,17.435,60,84
41129,0.287,-2.0,-1.28,-15.456,-250.137,33.924,0,66
41182,0.532,-0.833,-0.718,132.305,116.802,-38.863,0,64
41235,-0.646,-0.215,0.047,-32.084,250.13,-21.459,5,18
41288,-1.049,-1.223,0.705,-104.794,16.498,9.453,0,65
41340,0.032,-1.482,-0.555,131.321,-63.626,28.794,5,20
41394,-0.116,-0.432,-0.003,59.145,81.046,-7.933,0,64
41442,-0.443,-0.591,0.264,-63.58,52.847,-8.52,63,63
41487,-0.333,-1.551,-0.412,-2.16,8.752,-20.083,64,64
