Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47832,-0.265,-1.168,0.225,-11.586,-7.928,-10.704,111,112
47879,-0.261,-1.179,0.231,-9.48,-10.785,-6.443,111,68
47927,0.056,-0.894,0.34,1.145,-2.011,10.745,111,73
47974,-0.002,-0.928,0.217,0.074,2.706,9.286,110,71
48021,-0.115,-1.028,0.228,-1.046,1.467,3.545,110,67
48069,-0.23,-1.14,0.216,-2.159,-5.252,-3.055,110,62
48116,0.038,-0.886,0.327,0.302,-0.021,11.961,109,72
48166,0.186,-0.772,0.48,2.681,2.049,14.046,110,67
48214,0.078,-0.87,0.336,1.214,6.246,5.361,109,67
48261,-0.027,-0.952,0.227,-2.015,3.57,1.618,108,67
48309,-0.149,-1.052,0.218,-4.175,-6.171,-1.375,108,70
48356,-0.02,-0.953,0.243,-1.506,-2.701,-0.273,108,64
48403,0.165,-0.786,0.219,3.449,4.476,1.928,108,71
48450,0.33,-0.621,0.659,9.433,9.691,6.42,109,77
48498,-0.128,-1.047,0.121,-5.241,0.319,-3.196,109,68
48545,-0.168,-1.083,0.083,-6.508,-3.128,-4.861,108,71
48598,0.126,-0.799,0.409,2.588,6.388,1.389,108,112
48646,-0.263,-1.161,-0.019,-9.98,-3.848,-4.21,108,69
48693,0.032,-0.902,0.272,0.284,4.718,2.12,108,64
48740,-0.014,-0.939,0.243,-1.813,7.414,2.278,108,64
48787,-0.114,-1.031,0.162,-3.565,0.477,1.098,108,71
48835,0.123,-0.82,0.37,2.385,8.793,6.043,107,78
48882,0.153,-0.799,0.414,3.005,12.952,7.016,107,85
48930,-0.122,-1.059,0.093,-4.579,3.02,-0.925,107,75
48977,0.149,-0.794,0.408,3.768,20.315,3.85,107,67
49028,-0.12,-1.033,0.108,-5.043,2.03,-3.772,107,64
49075,0.09,-0.839,0.354,2.469,18.973,2.613,106,65
49122,0.017,-0.926,0.252,-0.678,13.986,-1.338,105,63
49169,-0.204,-1.106,0.025,-13.346,-1.771,-13.909,106,63
49216,-0.292,-1.2,-0.078,-21.886,-11.606,-21.552,105,60
49262,-0.141,-1.042,0.105,-12.27,3.838,-10.517,104,60
49309,-0.404,-1.289,-0.187,-34.782,-22.156,-28.117,103,62
49356,-0.08,-0.977,0.151,-9.262,6.382,-6.513,103,67
49403,-0.113,-1.02,0.108,-13.429,-0.534,-9.499,102,64
49453,0.197,-0.75,0.315,9.228,25.969,5.803,110,63
49500,0.067,-0.854,0.202,-2.752,63.702,7.232,105,72
49547,-0.214,-1.085,-0.018,-13.947,89.267,-2.977,95,67
49598,-0.068,-0.888,0.219,2.651,110.626,16.73,103,127
49646,-0.319,-1.097,0.056,-30.227,103.45,20.405,57,130
49693,-0.472,-1.1,0.324,-27.267,28.947,25.725,51,129
49744,-0.38,-1.256,0.305,-36.489,-60.427,25.252,98,132
49797,-0.028,-1.119,0.242,-5.285,-92.366,18.168,118,133
49848,0.552,-0.292,0.238,33.969,36.966,-19.618,94,84
49893,0.671,0.001,-0.251,61.473,182.588,-90.565,58,86
49941,-0.056,-0.065,-0.519,74.779,250.13,-91.053,31,163
49991,-1.074,-1.151,0.461,27.992,119.153,-91.133,30,190
50039,-0.724,-2.0,-0.138,-63.038,-250.137,27.244,23,148
50087,0.095,-1.491,-0.134,-38.26,-250.137,-41.885,75,109
50135,1.334,-1.312,-0.848,55.496,-86.412,-136.656,79,83
50186,0.157,-0.84,0.255,0.547,79.0,-75.771,99,140
50273,0.908,-1.73,-0.874,21.0,-30.305,3.916,43,83
50327,0.403,-0.785,-0.258,-28.336,188.489,-72.725,98,133
50378,0.19,-1.301,0.721,-85.931,81.153,25.595,92,131
50429,0.543,-1.432,-0.339,71.595,123.695,-31.534,91,141
50480,-0.32,-0.092,0.332,24.809,211.687,-41.206,75,152
50530,-0.726,-0.873,1.363,-82.389,-169.924,43.496,76,138
50580,0.924,-1.938,-0.833,107.603,-179.16,-6.158,75,137
50630,0.454,-0.384,-0.198,75.794,176.336,-58.603,77,137
50680,-0.767,-0.635,0.733,-70.611,89.603,23.244,76,135
50734,-0.067,-1.553,0.135,21.115,-208.031,85.29,74,136
50785,0.357,-0.764,-0.149,77.397,-74.794,10.427,94,138
50834,0.193,-0.428,-0.187,-36.282,-86.881,63.26,74,137
50884,0.389,-1.339,-0.209,-71.191,32.954,65.389,74,138
50934,-0.112,-1.07,0.109,19.756,111.031,-16.834,76,138
50984,-0.656,-0.95,0.818,-76.145,-103.313,34.0,75,138
51035,0.469,-2.0,-0.509,-8.429,-244.305,54.519,71,137
51085,0.753,-0.752,-0.339,74.267,57.511,71.9,74,140
51133,-0.665,-0.704,0.68,-48.496,29.519,37.099,74,118
51186,0.175,-1.789,-0.156,18.1,-168.435,51.618,74,143
51233,0.671,-0.657,-0.507,121.656,135.893,-58.599,75,84
51281,-0.874,-0.439,0.532,-19.626,125.626,16.383,78,103
51329,-0.437,-1.302,0.263,-34.412,-143.305,28.008,78,81
51376,0.605,-1.392,-0.922,102.321,84.84,-48.389,79,85
51425,-0.729,-0.25,0.279,-10.598,204.939,-2.392,84,104
51472,-0.858,-1.086,0.726,-96.977,-109.298,45.908,61,107
51519,0.397,-1.656,-0.745,34.122,-96.244,19.628,79,85
51569,-0.001,-0.489,-0.089,-14.217,134.878,-26.927,78,80
51617,-0.246,-0.774,0.469,-36.336,57.794,66.328,83,107
51666,-0.152,-1.406,-0.242,49.206,38.168,-23.863,76,103
51715,-0.735,-0.767,0.749,21.74,-29.229,10.558,83,100
51763,-0.644,-0.638,0.444,-19.427,-250.137,29.832,88,102
51808,0.307,-1.141,-0.453,37.099,-157.481,-28.494,76,53
51854,0.238,-0.667,0.424,-33.374,-49.481,25.55,91,54
51901,0.081,-1.251,0.176,-27.145,-33.053,-0.011,109,54
51948,0.303,-0.78,0.173,31.511,165.382,-20.435,96,56
51999,-0.717,-0.702,0.698,-30.58,179.901,-0.705,88,100
52047,-0.702,-0.779,0.704,26.986,-35.176,24.527,95,83
52099,0.218,-0.672,0.421,22.031,-117.023,30.008,114,106
52153,-0.01,-0.763,0.226,11.454,-64.634,27.679,0,82
52206,0.174,-0.753,0.442,34.655,87.472,23.468,0,82
52260,-0.11,-0.796,0.298,18.634,90.962,-28.947,0,79
52315,-0.438,-0.988,0.4,-18.448,33.221,-18.198,0,75
52368,-0.022,-0.91,0.221,19.783,18.319,-4.441,0,78
52425,-0.416,-0.834,0.433,-10.224,4.603,-8.297,0,76
52476,-0.321,-1.276,0.253,-27.435,-113.519,3.721,137,87
52526,0.07,-0.886,0.416,-0.918,-77.802,32.849,123,67
52575,0.098,-0.727,0.491,31.786,-31.87,78.779,127,74
52623,0.112,-1.0,0.295,95.74,38.313,61.603,119,66
52676,-0.284,-0.655,0.246,120.74,132.214,-14.506,0,65
52729,-1.355,-1.18,0.892,37.275,239.341,-100.115,0,62
