Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29732,-0.641,-0.036,0.732,-0.903,1.685,-0.872,0,110
29787,-0.657,-0.029,0.717,-0.428,0.483,-0.07,0,111
29842,-0.64,-0.036,0.728,-0.701,-1.326,-0.946,0,111
29897,-0.647,-0.033,0.725,-0.545,1.557,-1.23,0,109
29953,-0.66,-0.03,0.741,-0.204,-1.347,-0.339,0,111
30007,-0.646,-0.029,0.738,-0.53,-2.512,-0.837,0,110
30062,-0.63,-0.024,0.73,-0.681,-1.101,-1.121,0,110
30120,-0.641,-0.031,0.734,-0.632,0.623,-0.742,0,110
30175,-0.656,-0.031,0.727,-0.566,-0.199,-0.658,0,110
30230,-0.646,-0.028,0.726,-0.547,-0.745,-0.813,0,110
30285,-0.641,-0.029,0.738,-0.692,0.484,-0.711,0,111
30341,-0.649,-0.03,0.74,-0.778,0.419,-0.748,0,111
30395,-0.653,-0.033,0.735,-0.371,-1.179,-0.65,0,110
30450,-0.649,-0.031,0.729,-0.681,-0.65,-0.676,0,110
30505,-0.647,-0.034,0.736,-0.374,-2.265,-0.888,0,110
30561,-0.645,-0.032,0.724,-0.663,0.561,-0.839,0,110
30618,-0.659,-0.029,0.726,-0.402,-0.609,-0.369,0,110
30673,-0.643,-0.028,0.728,-0.953,-1.395,-0.273,0,110
30729,-0.639,-0.024,0.727,-2.085,-1.971,-0.413,0,111
30784,-0.646,-0.032,0.74,-1.889,-4.466,0.177,0,110
30839,-0.642,-0.03,0.742,-2.731,-3.31,1.045,0,110
30895,-0.616,-0.039,0.727,-1.416,-2.642,0.857,0,111
30950,-0.631,-0.028,0.757,-0.751,0.588,-0.758,0,110
31004,-0.644,-0.032,0.74,-0.263,-0.51,-1.196,0,111
31059,-0.629,-0.033,0.738,0.38,-0.488,-1.372,0,111
31118,-0.629,-0.035,0.741,0.504,3.65,-1.93,0,112
31173,-0.648,-0.032,0.733,1.249,3.942,-2.794,0,112
31228,-0.66,-0.037,0.73,0.523,0.695,-1.957,0,110
31284,-0.641,-0.028,0.729,-0.252,-4.06,-0.294,0,111
31339,-0.624,-0.031,0.722,-0.883,-3.012,0.73,0,110
31394,-0.647,-0.024,0.732,-1.002,3.092,-0.248,0,111
31450,-0.673,-0.024,0.743,-2.202,-1.987,-0.446,0,111
31505,-0.703,-0.032,0.758,-4.309,-15.793,-1.768,0,112
31560,-0.718,-0.003,0.835,-3.658,-27.252,-5.381,0,111
31619,-0.962,0.021,1.412,-1.571,-85.58,-7.851,0,114
31679,-0.601,-0.459,0.89,56.397,-158.328,-25.556,0,0
