Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29732,-0.641,-0.036,0.721,-1.058,1.439,-1.018,0,110
29787,-0.657,-0.029,0.696,-0.699,-0.01,-0.392,0,111
29842,-0.64,-0.036,0.734,-0.625,-1.167,-0.854,0,111
29897,-0.647,-0.033,0.707,-0.733,1.057,-1.486,0,109
29953,-0.66,-0.03,0.735,-0.284,-1.558,-0.465,0,111
30007,-0.646,-0.029,0.734,-0.578,-2.632,-0.911,0,110
30062,-0.63,-0.024,0.733,-0.639,-1.016,-1.064,0,110
30120,-0.641,-0.031,0.728,-0.698,0.514,-0.831,0,110
30175,-0.656,-0.031,0.716,-0.709,-0.343,-0.837,0,110
30230,-0.646,-0.028,0.712,-0.737,-0.896,-1.027,0,110
30285,-0.641,-0.029,0.736,-0.727,0.449,-0.753,0,111
30341,-0.649,-0.03,0.736,-0.823,0.369,-0.8,0,111
30395,-0.653,-0.033,0.734,-0.386,-1.205,-0.669,0,110
30450,-0.649,-0.031,0.725,-0.728,-0.73,-0.737,0,110
30505,-0.647,-0.034,0.742,-0.314,-2.152,-0.811,0,110
30561,-0.645,-0.032,0.725,-0.638,0.604,-0.814,0,110
30618,-0.659,-0.029,0.725,-0.429,-0.652,-0.386,0,110
30673,-0.643,-0.028,0.714,-1.254,-1.837,-0.392,0,110
30729,-0.639,-0.024,0.742,-1.587,-1.255,-0.253,0,111
30784,-0.646,-0.032,0.741,-1.847,-4.404,0.192,0,110
30839,-0.642,-0.03,0.746,-2.59,-3.106,1.1,0,110
30895,-0.616,-0.039,0.731,-1.312,-2.476,0.92,0,111
30950,-0.631,-0.028,0.765,-0.551,0.855,-0.566,0,110
31004,-0.644,-0.032,0.742,-0.235,-0.449,-1.148,0,111
31059,-0.629,-0.033,0.731,0.284,-0.746,-1.599,0,111
31118,-0.629,-0.035,0.743,0.523,3.705,-1.874,0,112
31173,-0.648,-0.032,0.734,1.271,4.028,-2.737,0,112
31228,-0.66,-0.037,0.735,0.591,0.973,-1.813,0,110
31284,-0.641,-0.028,0.721,-0.375,-4.489,-0.479,0,111
31339,-0.624,-0.031,0.728,-0.769,-2.727,0.819,0,110
31394,-0.647,-0.024,0.73,-1.08,2.846,-0.281,0,111
31450,-0.673,-0.024,0.742,-2.272,-2.271,-0.497,0,111
31505,-0.703,-0.032,0.748,-4.618,-19.206,-2.186,0,112
31560,-0.718,-0.003,0.854,-1.202,-27.252,-3.1,0,111
31619,-0.962,0.021,1.412,-2.781,-85.58,-9.368,0,114
31679,-0.601,-0.459,0.901,56.397,-158.328,-24.056,0,0
31735,0.172,0.169,0.473,68.962,33.473,-17.508,0,119
31792,-0.679,0.201,0.726,28.023,151.427,2.799,0,142
31852,-0.947,0.272,0.951,27.176,1.969,57.924,0,0
31911,-0.52,0.015,0.84,11.061,-160.16,74.473,182,0
31970,0.289,-0.22,0.242,51.405,-43.336,8.539,180,179
32029,-0.357,0.481,0.235,36.13,250.13,-55.168,182,0
32089,-1.51,0.443,0.986,-22.649,102.397,18.898,185,0
32151,-1.132,0.365,1.366,-37.176,-250.137,72.702,179,0
32209,0.46,-0.278,0.417,-7.471,-250.137,-36.038,176,180
