Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
42612,-0.633,-0.073,0.757,-2.536,-5.693,-2.38,5,10
42665,-0.637,-0.07,0.76,-1.092,-2.291,-1.624,0,28
42716,-0.615,-0.074,0.756,-0.33,-2.56,-0.744,0,27
42770,-0.607,-0.083,0.762,-1.804,-2.087,-0.439,0,27
42820,-0.601,-0.065,0.752,1.344,11.297,0.199,0,27
42873,-0.667,-0.058,0.763,-0.894,-0.371,-0.802,0,27
42924,-0.63,-0.072,0.737,-1.392,-6.551,-0.448,0,27
42978,-0.616,-0.068,0.746,2.034,6.959,0.83,0,27
43031,-0.609,-0.068,0.745,-0.845,-2.439,-2.567,0,27
43084,-0.632,-0.068,0.739,-2.484,-3.879,-3.835,5,10
43134,-0.628,-0.07,0.738,2.73,10.986,0.663,0,28
43189,-0.664,-0.069,0.747,-0.341,-0.172,0.935,0,28
43239,-0.626,-0.068,0.734,-2.773,-9.229,-0.387,0,27
43293,-0.609,-0.074,0.736,-3.434,-5.297,-2.024,0,28
43343,-0.642,-0.044,0.737,2.274,8.102,4.777,0,27
43406,-0.635,-0.073,0.739,-5.915,-6.419,-3.969,0,183
43462,-0.639,-0.07,0.738,-5.289,-7.779,-2.957,0,127
43521,-0.594,-0.063,0.742,-9.167,7.4,-4.765,0,127
43577,-0.559,-0.079,0.709,4.595,53.336,3.269,0,127
43633,-0.8,-0.036,0.518,-4.076,67.412,-3.724,5,37
43683,-0.932,-0.117,0.689,-3.03,10.634,-3.159,0,21
43737,-1.0,-0.106,0.754,16.022,-59.527,0.165,0,20
43787,-0.815,-0.049,0.746,13.511,-108.145,-12.025,0,18
43840,-0.602,-0.203,0.61,25.198,-130.557,-8.866,0,21
43890,0.002,-0.14,0.406,30.931,-59.126,-28.076,0,23
43945,0.045,0.208,0.293,29.763,245.13,-13.26,0,39
43998,-1.269,-0.014,0.862,19.46,201.649,36.153,0,12
44051,-1.576,0.042,1.036,10.519,-65.267,13.481,0,18
44101,-0.923,0.021,0.639,-18.031,-250.137,-21.728,0,24
44156,-0.102,-0.139,0.297,5.655,-163.618,2.805,0,31
44207,-0.173,0.135,0.548,-7.875,39.42,12.145,0,30
44261,-0.681,0.039,0.969,-9.819,40.962,28.061,0,24
44311,-0.825,-0.008,0.993,-15.298,-56.351,4.175,0,34
44365,-0.843,-0.072,1.009,-27.26,-229.458,-7.328,0,23
44417,0.237,-0.105,0.559,-13.589,-152.756,-16.038,0,38
44470,0.159,-0.017,0.555,16.656,170.45,-12.865,0,22
44525,-0.68,0.026,0.704,20.359,229.29,31.832,0,37
44576,-1.123,-0.001,0.978,13.436,115.069,33.122,0,39
44627,-1.292,0.086,1.146,-22.809,-97.221,34.328,0,39
44679,-0.72,-0.016,0.818,-29.618,-219.802,41.107,0,39
44734,-0.08,-0.149,1.011,-23.542,-250.137,24.809,0,39
44779,0.856,-0.166,0.154,61.321,88.084,-42.29,91,42
44824,-0.447,0.237,0.521,54.901,250.13,-1.946,91,40
44872,-1.319,0.346,0.726,31.687,240.069,89.855,92,44
44917,-1.216,0.165,1.12,-23.191,13.818,97.313,92,46
44963,-0.661,0.3,0.771,-13.863,-129.84,93.412,90,52
45008,-0.525,0.236,1.009,-19.038,-244.939,47.435,86,47
45053,0.394,0.032,0.352,-7.157,-192.328,-18.321,83,45
45095,0.366,0.231,0.506,14.053,68.443,-48.84,37,50
45137,-0.704,0.292,1.12,17.313,94.328,-17.964,36,45
45225,-0.05,0.2,0.625,-11.843,-230.275,27.26,82,50
45271,0.805,0.297,0.408,-1.369,-89.925,12.0,81,51
45319,0.35,0.288,0.514,-1.888,203.412,-17.607,81,47
45364,-0.76,0.251,0.986,12.342,237.008,3.3,83,51
45409,-1.199,0.298,1.325,18.248,280.043,6.704,83,54
45454,-0.801,0.315,0.815,-33.885,-199.863,-4.254,82,48
45499,0.116,0.282,0.394,-36.313,-178.481,12.766,82,51
45544,0.289,0.396,0.718,-40.168,33.679,35.725,76,52
45589,0.089,0.222,1.014,-27.824,87.756,36.092,76,51
45634,-0.096,-0.013,1.079,-5.395,129.13,-10.803,78,50
45679,-0.487,0.032,1.125,0.81,75.435,-17.928,78,51
45727,-0.512,0.04,1.27,-15.756,-83.907,-19.931,79,49
45772,-0.031,0.23,1.115,9.793,-60.84,-24.137,79,54
45817,-0.1,0.037,1.01,8.221,-8.863,-51.137,81,51
45863,-0.443,-0.036,0.721,25.893,79.855,-64.496,83,47
45908,-1.017,0.262,0.885,30.977,68.71,-34.695,84,46
45954,-0.698,0.291,1.087,-7.305,-52.786,20.359,84,45
45999,-0.008,0.405,0.968,3.204,-134.725,11.931,83,57
46041,0.42,-0.008,0.374,40.954,33.107,1.797,26,51
46086,-0.296,0.306,0.754,32.168,120.153,47.084,83,52
46135,-0.656,0.337,1.084,-7.491,-7.659,58.977,82,51
46180,-0.072,0.236,0.724,-22.298,-55.061,8.121,81,47
46225,0.021,0.253,0.541,3.807,97.092,2.484,82,50
46270,-0.921,0.315,1.257,-10.127,57.908,-7.932,83,49
46315,-0.779,0.216,1.179,-24.198,-156.344,-29.374,82,54
46358,0.207,0.139,0.643,-17.977,-187.397,-28.817,29,49
46400,0.486,0.019,0.564,-16.371,42.076,-37.031,29,48
46445,-0.566,0.043,1.279,-12.078,67.435,-33.771,83,47
46490,-0.516,0.178,1.192,-17.267,-114.061,-58.916,83,51
46539,0.389,0.113,0.583,-15.023,-31.573,-55.115,83,46
46584,-0.221,0.107,0.989,-4.378,81.229,-16.053,84,46
46629,-0.515,0.155,1.342,-9.732,-56.114,-18.456,85,45
46671,0.366,0.109,0.609,-0.777,-98.305,-18.475,30,43
46717,0.31,-0.042,0.44,22.076,205.84,23.855,87,42
46763,-0.982,0.002,0.75,27.145,250.13,26.771,90,45
46808,-1.547,0.396,1.456,11.344,52.397,25.351,92,43
46854,-0.948,0.217,1.123,-28.725,-188.244,19.656,90,44
46899,-0.1,0.052,0.612,2.101,-157.298,-9.573,89,43
46948,0.158,0.193,0.597,30.336,64.29,-1.98,88,42
46993,-0.494,0.249,0.862,40.237,156.405,23.603,89,44
47038,-1.045,0.363,1.011,24.382,54.832,47.962,90,45
47084,-0.911,0.254,1.057,-19.122,-201.389,33.298,88,42
47126,0.205,0.218,0.368,-15.069,-250.137,-18.316,33,41
47169,0.824,0.214,0.22,-8.075,1.064,-17.046,35,45
47211,0.162,0.247,0.306,-10.911,250.13,-22.031,36,42
47257,-1.189,0.258,1.002,1.894,243.244,13.847,89,43
47305,-1.442,0.353,1.281,-33.809,-76.076,34.29,89,41
47351,-0.624,-0.083,0.609,-53.687,-247.626,45.687,86,41
47396,0.487,0.215,0.608,-18.588,-198.443,28.603,83,48
47441,0.728,0.226,0.655,16.939,63.458,-15.031,83,48
47531,-1.137,0.215,1.177,32.0,179.901,3.075,88,44
47576,-1.269,0.281,1.237,-8.143,-68.229,7.649,88,45
47622,-0.451,0.023,0.754,-6.784,-205.542,15.336,86,45
47667,0.587,-0.112,0.316,31.55,-56.153,24.985,84,43
47713,0.103,0.408,0.513,32.145,178.786,21.733,86,46
47762,-0.82,0.436,1.082,-18.402,155.29,13.229,88,45
47807,-0.887,0.191,1.277,-20.931,-75.901,-11.977,88,46
47853,-0.008,0.084,0.515,17.748,-120.084,-40.015,88,43
47899,0.038,0.368,0.407,36.906,95.84,-23.855,90,47
47944,-1.083,0.462,1.254,-44.557,45.931,12.626,91,48
47987,-1.001,0.081,1.181,-51.321,-226.687,11.16,38,44
48030,0.181,0.024,0.562,-0.098,-250.137,-14.542,35,46
48075,0.818,0.276,0.474,-2.8,-37.772,-17.176,87,45
48118,0.289,0.172,0.553,7.346,211.855,-23.985,35,45
48164,-0.561,0.253,0.681,17.878,250.13,-20.756,36,44
48217,-1.266,0.094,1.192,-18.745,96.763,-13.504,0,41
48272,-0.672,0.184,0.682,-25.893,-128.031,-13.366,0,45
48318,-0.003,0.123,0.468,-24.183,-79.374,-7.234,91,43
48364,0.04,0.209,0.672,-33.412,28.267,30.095,92,47
48416,-0.492,0.14,1.048,-45.931,44.397,-24.847,0,42
48472,-0.614,0.129,1.156,-32.092,4.541,-34.427,0,42
48524,-0.592,-0.066,1.006,-28.802,-29.191,-38.374,0,45
48579,-0.545,-0.113,1.013,-25.298,-42.924,-15.29,0,38
48635,-0.261,-0.034,0.728,-18.656,-35.443,-16.527,0,41
48691,-0.274,-0.016,0.865,-33.412,4.413,-13.634,0,42
48748,0.004,-0.097,1.174,37.194,63.183,16.816,0,41
48803,-0.894,-0.18,1.366,-3.096,85.733,3.633,0,40
48854,-0.569,-0.131,0.755,-6.152,-70.927,-3.99,0,36
48909,-0.239,-0.003,0.703,12.562,29.595,-6.257,0,41
48959,-0.685,0.046,1.15,4.628,85.489,16.518,0,43
49010,-1.168,0.039,1.607,-18.273,29.779,-24.4,0,36
49061,-1.208,-0.212,1.312,41.855,-113.672,-39.023,0,40
49116,-0.622,0.175,0.742,132.969,-95.511,-36.168,0,41
49170,-0.625,0.012,0.639,46.824,-117.206,40.565,0,38
49215,-0.221,-0.114,0.479,41.13,-158.969,80.626,91,41
49257,0.482,-0.092,0.274,61.168,-114.282,99.412,48,42
49299,0.44,0.237,0.433,40.115,49.649,73.511,43,46
49341,0.117,0.27,0.636,32.486,126.611,12.053,45,45
49384,-0.03,0.304,0.99,12.631,147.992,-18.885,45,45
49428,-0.68,0.006,1.077,-17.771,49.496,-25.618,92,39
49473,-0.781,0.215,1.056,-28.878,-118.389,-33.817,92,39
49521,-0.498,0.182,0.739,-50.656,-220.031,-47.855,93,37
49572,0.289,0.183,0.605,-45.725,-102.046,-38.351,0,42
49627,0.184,0.131,0.968,-50.847,31.939,-16.053,0,40
49678,-0.035,-0.042,1.02,-25.092,125.191,-24.267,0,40
49733,-0.286,0.005,1.232,8.623,114.221,-10.863,0,40
49783,-0.698,-0.068,1.376,-16.046,-38.82,-7.604,0,36
