Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29732,-0.641,-0.036,0.899,0.662,3.784,0.64,0,110
29787,-0.657,-0.029,0.558,-1.897,-1.661,-1.695,0,111
29842,-0.64,-0.036,1.176,3.155,4.73,3.337,0,111
29897,-0.647,-0.033,0.966,1.402,5.072,1.059,0,109
29953,-0.66,-0.03,0.612,-1.302,-3.379,-1.765,0,111
30007,-0.646,-0.029,0.793,-0.064,-1.687,-0.238,0,110
30062,-0.63,-0.024,0.308,-4.236,-6.562,-5.322,0,110
30120,-0.641,-0.031,0.48,-2.881,-2.426,-3.423,0,110
30175,-0.656,-0.031,0.792,0.032,0.401,0.027,0,110
30230,-0.646,-0.028,0.882,0.895,0.532,0.728,0,110
30285,-0.641,-0.029,0.669,-1.319,-0.149,-1.403,0,111
30341,-0.649,-0.03,1.003,1.621,2.963,1.85,0,111
30395,-0.653,-0.033,0.729,-0.429,-1.261,-0.717,0,110
30450,-0.649,-0.031,0.696,-0.967,-1.038,-1.004,0,110
30505,-0.647,-0.034,0.795,0.103,-1.58,-0.344,0,110
30561,-0.645,-0.032,0.542,-2.291,-1.688,-2.467,0,110
30618,-0.659,-0.029,0.419,-3.767,-5.007,-3.023,0,110
30673,-0.643,-0.028,0.756,-0.56,-0.863,-0.058,0,110
30729,-0.639,-0.024,0.59,-4.233,-4.805,-1.5,0,111
30784,-0.646,-0.032,0.605,-4.242,-7.711,-0.995,0,110
30839,-0.642,-0.03,0.598,-5.179,-6.576,-0.305,0,110
30895,-0.616,-0.039,0.859,0.552,0.177,2.269,0,111
30950,-0.631,-0.028,0.87,0.696,2.362,0.653,0,110
31004,-0.644,-0.032,0.494,-2.613,-4.479,-4.53,0,111
31059,-0.629,-0.033,0.516,-1.692,-4.496,-5.006,0,111
31118,-0.629,-0.035,0.67,-0.133,2.368,-3.215,0,112
31173,-0.648,-0.032,0.588,-0.034,0.631,-5.199,0,112
31228,-0.66,-0.037,0.517,-1.493,-4.907,-5.286,0,110
31284,-0.641,-0.028,0.95,2.004,1.538,2.632,0,111
31339,-0.624,-0.031,0.439,-4.124,-9.27,-2.063,0,110
31394,-0.647,-0.024,0.609,-3.11,-2.41,-1.446,0,111
31450,-0.673,-0.024,0.833,-0.07,5.556,1.205,0,111
31505,-0.703,-0.032,0.845,-2.707,-1.009,0.327,0,112
31560,-0.718,-0.003,0.411,-29.448,-27.252,-29.954,0,111
31619,-0.962,0.021,1.412,7.122,-85.58,3.367,0,114
31679,-0.601,-0.459,0.719,56.397,-158.328,-38.455,0,0
31735,0.787,0.202,0.473,68.962,33.473,30.029,0,119
31792,-0.679,0.372,1.136,28.023,151.427,108.526,0,142
31852,-0.947,0.227,0.874,27.176,-15.799,57.924,0,0
31911,-0.52,0.015,1.172,11.061,-160.16,74.473,182,1
31970,0.289,-0.22,0.242,51.405,-43.336,-8.629,180,179
32029,-0.357,0.481,0.235,36.13,250.13,-55.168,182,0
32089,-1.51,0.443,1.796,-22.649,102.397,100.734,185,8
32151,-1.132,0.271,1.366,-37.176,-250.137,72.702,179,0
32209,0.46,-0.278,0.417,-13.924,-250.137,-36.038,176,180
32261,0.665,0.672,0.112,45.87,202.206,-73.817,53,180
32328,-1.046,0.438,0.402,24.137,250.13,36.282,181,0
32387,-1.513,0.513,1.237,-22.74,171.714,93.458,181,191
32443,-0.527,-0.114,0.709,-71.829,-250.137,45.45,144,0
32502,0.672,-0.046,0.031,20.061,-123.778,-61.427,176,0
32604,-1.487,0.476,1.072,-48.153,119.695,55.13,179,195
32661,-1.021,0.446,1.595,-38.489,-250.137,42.55,142,7
32722,1.088,0.036,0.308,13.183,-174.137,-67.985,172,2
32781,0.061,0.381,0.281,34.084,250.13,-51.038,175,2
32839,-1.533,0.458,0.197,16.023,250.13,-150.959,53,58
32899,-1.35,0.48,0.91,-45.74,-152.924,65.221,176,197
32955,-0.222,0.564,0.458,-49.649,-250.137,40.763,139,0
33006,0.855,0.026,0.363,5.478,236.072,-57.466,38,3
33064,-0.29,0.469,0.541,12.786,247.084,-40.466,171,0
33122,-1.332,0.443,0.808,-37.847,164.229,29.069,141,0
33181,-0.893,0.423,1.399,-48.13,-215.252,40.115,138,5
33240,0.789,0.097,0.5,-16.229,-249.336,-30.243,166,0
33298,0.976,0.069,0.369,54.473,114.206,-31.061,167,0
33356,-0.82,0.424,0.401,22.817,250.13,-34.618,170,2
33415,-1.409,0.513,0.538,-43.879,57.939,-73.88,171,0
33458,-0.868,0.451,0.35,-48.504,-250.137,56.084,137,0
33514,0.252,0.485,0.86,-49.359,-250.137,36.573,137,2
33572,1.1,0.049,0.369,-50.317,-366.565,-38.519,164,0
33631,-0.244,0.226,0.62,-14.663,250.13,-38.58,166,0
33692,-1.126,0.299,0.931,-20.358,176.939,3.851,168,0
33750,-1.08,0.462,1.333,-36.618,-193.153,59.344,138,4
33808,-0.22,-0.022,0.161,-34.71,-250.137,3.158,163,0
33858,1.516,0.119,0.281,19.16,0.857,-42.611,19,0
33916,0.3,0.489,0.853,14.115,250.13,7.008,164,3
33973,-1.056,0.116,0.54,31.672,250.13,5.42,138,0
34029,-1.039,0.526,1.062,-24.833,-55.954,2.447,136,0
34086,-0.489,0.31,0.854,-48.74,-248.939,-15.206,135,0
34143,0.559,0.041,0.625,37.844,-205.878,-42.557,135,6
34204,0.599,0.5,0.86,15.466,92.817,-31.13,164,4
34263,-0.49,0.071,0.642,12.962,160.901,-28.018,166,0
34321,-0.771,0.136,0.69,-32.164,-212.406,-36.478,166,0
34379,-0.417,0.142,1.056,-43.931,-161.763,31.26,165,0
34429,0.832,0.092,1.041,-17.725,-179.893,51.371,21,7
34490,1.092,-0.058,0.467,16.031,116.45,-40.0,0,0
34548,-0.326,0.311,0.581,-9.499,250.13,-21.914,167,0
34608,-1.507,0.328,1.083,-1.139,209.611,32.885,169,7
34664,-1.171,0.459,1.588,-54.763,-212.13,43.947,138,0
34725,0.406,-0.394,0.347,12.34,-250.137,-31.13,163,8
34784,1.102,0.375,0.317,10.252,32.916,-36.366,163,0
34842,-0.369,0.251,0.65,-3.988,250.13,5.091,165,1
34900,-1.215,0.226,1.075,13.366,88.527,52.458,165,2
34958,-0.648,0.708,1.428,-37.015,-245.397,50.443,135,9
35016,0.717,-0.009,0.448,28.0,-205.252,-47.824,163,4
35073,0.606,0.468,0.576,4.807,136.794,-28.557,135,0
35130,-0.577,0.355,1.01,4.104,187.771,29.19,135,3
35176,-0.854,0.472,1.1,-16.656,-90.55,34.016,135,4
35232,-0.388,0.281,0.868,-48.351,-248.519,19.384,135,0
35291,1.062,0.177,0.621,-46.656,-117.252,-36.791,161,0
35349,0.591,0.101,0.793,-30.228,147.595,-37.527,161,0
35407,-0.454,0.114,1.136,25.26,155.366,-10.186,163,0
35509,-0.413,0.609,1.401,20.296,-181.137,26.313,162,8
35567,1.038,0.418,0.612,-21.618,-179.824,-4.683,163,5
35627,0.81,0.228,0.651,2.177,178.794,-55.832,164,1
