Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
42612,-0.633,-0.073,0.757,-0.212,-0.58,0.288,0,28
42665,-0.637,-0.07,0.76,0.959,1.577,0.293,0,28
42716,-0.615,-0.074,0.756,-0.893,-4.528,-1.238,0,27
42770,-0.607,-0.083,0.762,-2.889,-7.052,-1.408,5,10
42820,-0.601,-0.065,0.752,0.975,9.853,-0.124,0,27
42873,-0.667,-0.058,0.763,0.583,5.275,0.59,0,27
42924,-0.63,-0.072,0.737,-0.242,-1.441,0.694,0,27
42978,-0.616,-0.068,0.746,0.181,-0.318,-1.168,0,27
43031,-0.609,-0.068,0.745,0.304,1.43,-1.365,0,27
43084,-0.632,-0.068,0.739,0.997,7.277,0.093,0,29
43134,-0.628,-0.07,0.738,1.743,7.614,-0.426,0,28
43189,-0.664,-0.069,0.747,-0.536,-0.8,0.703,0,28
43239,-0.626,-0.068,0.734,0.157,-2.092,2.968,0,27
43293,-0.609,-0.074,0.736,-1.638,-2.519,-0.1,0,28
43343,-0.642,-0.044,0.737,-0.32,4.264,2.422,0,27
43406,-0.635,-0.073,0.739,-0.891,2.321,-0.677,0,183
43462,-0.639,-0.07,0.738,-2.246,3.376,-0.934,0,127
43521,-0.594,-0.063,0.742,-4.731,19.148,-1.917,0,127
43577,-0.559,-0.079,0.709,0.749,53.336,0.998,0,127
43633,-0.8,-0.036,0.751,3.782,67.412,2.353,0,124
43683,-0.932,-0.117,0.689,0.19,13.93,-0.855,0,21
43737,-1.0,-0.106,0.754,10.261,-59.527,-2.573,0,20
43787,-0.815,-0.049,0.746,13.511,-108.145,-4.022,0,18
43840,-0.602,-0.203,0.61,25.198,-130.557,-12.864,0,21
43890,0.002,-0.14,0.406,30.931,-121.607,-28.076,0,23
43945,-0.248,0.208,0.293,29.763,245.13,-13.26,0,39
43998,-1.269,-0.014,0.866,20.689,201.649,36.153,0,12
44051,-1.576,0.042,1.036,18.757,-65.267,21.299,0,18
44101,-0.923,0.021,0.639,-18.031,-250.137,-7.698,0,24
44156,-0.102,-0.139,0.297,-1.8,-163.618,-6.272,0,31
44207,-0.367,-0.027,0.548,-21.306,39.42,12.145,0,30
44261,-0.681,0.039,0.812,-15.324,40.962,28.061,0,24
44311,-0.825,-0.008,0.993,-15.298,-56.351,7.049,0,34
44365,-0.843,-0.072,1.009,-27.26,-229.458,-17.16,0,23
44417,0.237,-0.105,0.559,-12.573,-152.756,-16.038,0,38
44470,0.159,-0.017,0.555,16.656,170.45,11.111,0,22
44525,-0.68,0.026,0.872,20.359,229.29,31.832,0,38
44576,-1.123,-0.001,1.073,32.636,115.069,33.122,0,42
44627,-1.292,0.053,1.146,-22.809,-97.221,34.328,0,38
44679,-0.72,-0.016,0.866,-29.618,-219.802,41.107,0,41
44734,-0.08,-0.149,1.011,-23.542,-250.137,24.809,0,40
44779,0.856,-0.166,0.154,61.321,88.084,-42.29,91,42
44824,-0.447,0.237,0.521,54.901,250.13,-0.781,91,40
44872,-1.319,0.346,0.822,31.687,240.069,89.855,92,46
44917,-1.216,0.104,1.12,-23.191,-24.058,97.313,92,44
44963,-0.661,0.122,0.771,-13.863,-129.84,93.412,90,47
45008,-0.525,0.236,1.009,-19.038,-244.939,47.435,86,48
45053,0.394,0.032,0.352,1.457,-192.328,-18.321,83,47
45095,0.366,0.098,0.506,14.053,68.443,-48.84,37,47
45137,-0.704,0.292,1.12,17.313,94.328,-32.615,36,44
45225,-0.05,0.2,0.772,-4.184,-230.275,27.26,82,51
45271,0.805,0.297,0.408,1.938,-10.701,12.0,81,52
45319,0.35,0.288,0.514,4.253,203.412,0.971,81,50
45364,-0.76,0.097,0.986,0.13,237.008,-2.532,83,48
45409,-1.199,0.298,1.325,-0.308,-11.876,0.256,83,49
45454,-0.801,0.315,0.815,-33.885,-199.863,-5.125,82,48
45499,0.116,0.282,0.394,-36.313,-178.481,-21.753,25,15
45544,0.289,0.396,0.718,-40.168,33.679,35.725,76,49
45589,0.089,0.222,1.014,-27.824,87.756,36.092,76,52
45634,-0.096,-0.013,1.079,9.074,129.13,39.317,78,55
45679,-0.573,0.032,1.125,-4.669,75.435,-32.223,78,49
45727,-0.33,0.163,1.27,-15.756,16.856,-19.931,79,53
45772,-0.054,0.209,1.115,9.156,-60.84,-24.137,79,53
45817,-0.085,0.037,1.01,10.544,-2.147,-51.137,81,51
45863,-0.255,0.089,0.721,25.893,79.855,-64.496,83,50
45908,-1.017,0.262,0.814,30.977,68.71,-34.695,25,14
45954,-0.698,0.291,1.087,6.689,-52.786,20.359,84,50
45999,-0.008,0.106,0.935,-2.441,-134.725,11.931,83,51
46041,0.42,-0.008,0.374,40.954,33.107,6.158,26,52
46086,-0.304,0.306,0.754,32.168,120.153,47.084,83,50
46135,-0.656,0.337,1.084,-3.841,-4.677,58.977,82,52
46180,-0.072,0.236,0.724,-22.298,-55.061,9.47,81,49
46225,0.021,0.253,0.541,15.221,97.092,9.526,82,51
46270,-0.921,0.315,1.257,-21.947,57.908,-15.792,83,47
46315,-0.779,0.216,1.179,-24.198,-156.344,-29.374,82,48
46358,0.207,0.169,0.643,-17.977,-187.397,-28.817,29,50
46400,0.486,0.06,0.564,-8.46,42.076,-37.031,29,49
46445,-0.566,-0.027,1.279,-27.855,67.435,-33.771,83,45
46490,-0.516,0.123,1.192,-17.267,-114.061,-58.916,83,49
46539,0.389,0.164,0.583,-15.023,-31.573,-55.115,83,47
46584,-0.342,0.08,0.989,-11.545,81.229,-16.053,84,45
46629,-0.515,0.191,1.342,6.048,44.133,13.118,85,48
46671,0.366,0.115,0.609,9.072,-16.067,-8.56,30,45
46717,0.31,-0.042,0.44,22.076,205.84,23.855,87,46
46763,-0.982,0.002,0.75,27.145,250.13,5.22,90,42
46808,-1.547,0.396,1.456,12.494,52.397,25.351,92,43
46854,-0.948,0.226,1.123,-28.725,-188.244,19.656,90,44
46899,-0.1,0.115,0.612,7.915,-157.298,-9.573,89,44
46948,0.158,0.193,0.597,30.336,64.29,-1.434,88,43
46993,-0.494,0.249,0.726,40.237,156.405,23.603,89,41
47038,-1.045,0.363,1.011,24.382,54.832,47.962,90,45
47084,-0.911,0.254,1.057,-19.122,-201.389,33.298,88,44
47126,0.205,0.218,0.368,-15.069,-250.137,-6.222,33,45
47169,0.824,0.214,0.22,-5.77,5.94,-17.046,35,46
47211,0.162,0.247,0.306,-7.791,250.13,-22.031,36,44
47257,-1.189,0.258,1.002,0.932,243.244,13.847,89,43
47305,-1.442,0.353,1.281,-33.809,-76.076,34.29,89,45
47351,-0.624,0.103,0.829,-53.687,-247.626,45.687,86,46
47396,0.487,0.16,0.608,-18.588,-198.443,28.603,83,47
47441,0.728,0.154,0.655,16.939,63.458,-15.031,83,46
47531,-1.137,0.215,1.177,32.0,179.901,9.385,88,44
47576,-1.269,0.281,1.237,-4.928,-68.229,10.106,88,45
47622,-0.451,0.023,0.754,-40.95,-205.542,15.336,86,42
47667,0.587,0.11,0.316,31.55,-56.153,24.985,84,47
47713,0.103,0.408,0.513,32.145,178.786,21.733,86,44
47762,-0.82,0.436,1.082,-18.715,155.29,13.229,88,45
47807,-0.887,0.191,1.277,-20.931,-75.901,-11.977,88,49
47853,-0.008,0.127,0.515,17.748,-120.084,-40.015,88,45
47899,0.038,0.368,0.407,39.57,95.84,-23.855,90,47
47944,-1.083,0.462,1.254,-44.557,45.931,12.626,91,44
47987,-1.001,0.084,1.181,-51.321,-226.687,11.16,38,44
48030,0.181,0.024,0.562,17.693,-250.137,-14.542,35,47
48075,0.818,0.276,0.474,10.949,11.415,-17.176,87,46
48118,0.289,0.097,0.553,-1.521,211.855,-23.985,35,44
48164,-0.561,0.253,0.681,17.878,250.13,-20.756,36,44
48217,-1.266,0.159,1.192,-7.708,96.763,-13.504,0,43
48272,-0.672,0.027,0.682,-25.893,-128.031,-13.366,0,41
48318,-0.003,0.187,0.468,-24.183,-79.374,3.877,91,45
48364,-0.04,0.209,0.672,-33.412,28.267,19.068,92,45
48416,-0.492,0.239,1.048,-45.931,44.397,-24.847,0,45
48472,-0.614,0.149,1.156,-32.092,10.88,-34.427,0,43
48524,-0.592,-0.066,1.006,-28.802,-29.191,-38.374,0,42
48579,-0.545,0.053,1.013,-25.298,-42.924,-15.29,0,42
48635,-0.069,-0.034,0.728,-18.656,-35.443,-16.527,0,44
48691,-0.156,-0.016,0.971,-33.412,48.932,-13.634,0,44
48748,-0.271,-0.097,0.931,5.623,63.183,0.087,0,40
48803,-0.894,-0.18,1.366,-18.873,85.733,-3.681,0,38
48854,-0.569,-0.131,0.755,10.144,35.339,5.277,0,41
48909,-0.314,-0.003,0.703,10.456,29.595,-7.978,0,40
48959,-0.685,0.046,1.15,5.656,85.489,17.889,0,42
49010,-1.168,0.067,1.607,19.675,29.779,28.072,0,43
49061,-1.208,-0.212,1.312,41.855,-113.672,-39.023,0,38
49116,-0.622,0.175,0.742,132.969,-95.511,-36.168,0,42
49170,-0.625,0.012,0.639,46.824,-117.206,40.565,0,38
49215,-0.217,-0.114,0.479,41.13,-158.969,80.626,91,41
49257,0.482,-0.092,0.274,61.168,-114.282,99.412,48,42
49299,0.44,0.237,0.433,40.115,49.649,73.511,43,42
49341,0.117,0.27,0.636,-6.94,126.611,12.053,45,41
49384,-0.216,0.304,0.797,-15.403,147.992,-18.885,45,42
49428,-0.68,0.138,1.077,-17.771,49.496,-25.618,92,42
49473,-0.781,0.215,1.056,-28.878,-118.389,-33.817,92,40
49521,-0.357,0.182,0.739,-50.656,-220.031,-47.855,93,39
49572,0.289,0.183,0.605,-45.725,-102.046,-38.351,0,38
49627,0.184,0.083,0.9,-50.847,31.939,-16.053,0,39
49678,-0.035,-0.042,0.942,-25.092,125.191,-24.267,0,39
49733,-0.259,0.005,1.232,15.752,114.221,-10.863,0,40
49783,-0.698,-0.068,1.376,18.741,56.474,6.057,0,39
49839,-0.537,-0.112,1.009,32.756,-53.756,-12.753,5,11
49889,0.189,-0.038,0.51,56.13,42.267,13.756,0,38
