Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36722,-0.812,-0.447,0.286,-11.191,90.244,8.221,43,76
36766,-0.868,-0.406,0.327,-15.468,71.321,20.244,51,79
36811,-0.8,-0.323,0.36,0.433,43.229,32.969,46,82
36858,-1.246,-0.267,0.114,-63.997,79.168,79.344,45,122
36917,-1.705,-0.335,0.061,-68.98,122.763,152.466,0,168
36970,-2.0,-0.396,-0.097,-112.71,51.702,233.489,0,84
37016,-1.929,-0.732,-0.362,-133.519,-48.149,242.756,50,86
37063,-0.648,-0.84,-0.419,-87.931,-87.061,172.916,34,91
37106,-0.412,-0.596,-0.313,-68.902,-69.809,107.832,31,57
37149,-0.008,-0.589,-0.313,-25.902,-4.126,35.275,38,60
37192,0.225,-0.637,-0.22,-24.12,32.13,-47.297,36,60
37237,0.206,-0.543,-0.052,-4.351,51.771,-103.13,45,100
37283,0.065,-0.422,0.031,15.855,32.824,-139.969,40,97
37328,-0.653,-0.692,-0.682,52.023,97.305,-178.13,51,92
37376,-2.0,-0.597,-0.879,73.763,217.275,-103.542,78,89
37426,-2.0,-0.544,-0.479,35.198,120.679,11.901,84,90
37473,-1.508,-0.297,-0.322,32.901,-70.305,-15.161,74,92
37520,-0.711,-0.012,-0.371,40.244,-88.26,-3.863,75,95
37568,-0.445,0.209,-0.192,37.359,-21.897,-31.511,80,96
37615,-0.475,0.385,-0.018,10.0,-6.663,-48.977,75,94
37661,-0.556,0.628,0.075,39.418,28.313,37.291,70,92
37708,-0.811,0.421,-0.278,-118.435,-8.363,28.824,84,90
37756,-2.0,-0.618,-0.997,-120.573,-81.519,37.55,86,87
37808,-2.0,-1.26,-1.169,-59.379,-210.71,50.183,157,90
37856,-1.465,-0.832,-0.545,-58.769,-250.137,103.71,52,71
37898,-0.739,-0.588,-0.28,-82.344,-217.695,80.58,37,44
37941,0.001,-0.346,-0.204,-101.595,-140.282,76.809,35,56
37984,0.665,-0.348,-0.469,-92.542,-143.165,87.229,34,60
38027,0.893,-0.385,-0.623,-24.469,125.702,73.206,32,61
38072,0.232,-0.46,-0.264,33.718,245.855,45.206,34,101
38121,-1.369,-0.382,-0.775,118.45,250.13,27.145,124,68
38169,-2.0,0.052,-0.553,76.229,250.13,-37.261,129,67
38221,-2.0,-0.122,-0.156,-4.733,-172.565,68.458,129,67
38273,-1.339,0.148,-0.052,-31.612,-250.137,30.16,124,102
38318,-0.349,0.146,0.01,14.351,-250.137,17.241,44,85
38361,0.471,0.314,-0.346,11.718,-250.137,-35.682,33,67
38405,1.563,0.648,-1.835,2.725,209.282,-59.145,32,81
38455,-0.336,1.112,-1.817,-86.58,250.13,129.382,116,103
38508,-2.0,-0.23,0.068,-151.794,250.13,53.382,63,0
38547,-2.0,0.593,-1.695,-149.527,-250.137,-82.209,72,0
38598,-1.471,0.766,-1.528,-168.038,-250.137,-39.223,118,105
38647,0.075,-0.239,-0.685,-105.611,-194.511,-18.485,30,112
38693,0.683,-0.258,-0.637,-2.733,250.13,-9.395,33,109
38739,-0.544,-0.311,-1.01,-12.092,250.13,-3.995,51,105
38791,-2.0,-0.41,0.267,12.275,250.13,24.221,117,107
38841,-2.0,-0.223,0.105,-36.345,-250.137,24.405,117,103
38887,-1.629,-0.099,-1.357,-47.084,-250.137,22.412,36,105
38935,-0.145,-0.195,-1.063,-53.972,-250.137,-55.812,10,44
38980,-0.084,-0.027,-1.133,-11.595,250.13,-17.205,33,104
39040,-1.894,0.124,-1.274,-19.947,250.13,19.893,108,0
