Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
42075,-0.542,-0.978,-0.009,29.443,92.733,-42.366,0,67
42131,-0.298,-0.931,0.22,39.069,79.939,25.012,0,66
42183,-0.715,-0.997,-0.186,42.176,95.29,37.328,0,67
42242,-1.055,-0.928,0.152,25.29,117.611,61.664,0,107
42300,-1.398,-0.461,0.177,67.185,55.321,78.74,0,154
42355,-1.051,-0.275,-0.221,-59.41,-115.402,110.313,0,117
42412,-0.51,0.105,-0.493,-90.555,176.053,150.718,0,123
42463,-1.458,-0.196,-0.047,-85.115,151.557,130.282,106,85
42516,-1.083,-0.249,-0.011,-103.763,-52.313,89.351,0,83
42568,-1.017,-0.455,-0.365,-118.092,-203.099,63.122,161,84
42617,-1.019,-1.04,-0.601,-86.107,-232.305,-79.622,160,48
42667,-0.457,-1.156,-0.404,10.473,-141.634,-33.931,161,45
42716,0.316,-0.835,-0.581,28.573,98.939,-75.832,160,46
42768,-0.888,-1.176,-0.61,47.13,250.13,-93.779,163,83
42821,-1.632,-0.837,-0.423,78.504,163.969,-67.924,0,77
42875,-2.0,0.054,0.389,-13.298,-250.137,86.809,164,85
42929,-1.023,-0.573,-0.453,-67.336,-250.137,46.153,0,75
42981,1.168,-1.084,-1.018,96.855,54.176,-58.817,0,46
43038,-1.25,0.398,-1.126,147.183,250.13,27.405,0,88
43090,-2.0,-0.242,0.82,10.655,-121.351,16.255,158,92
43140,-0.865,-0.146,-0.312,1.939,-250.137,-32.176,157,59
43192,0.034,0.486,-0.331,95.634,-111.802,38.916,0,55
43247,-0.982,0.351,0.473,-70.183,-181.328,73.023,0,49
43299,0.673,-1.967,-1.453,-111.824,224.756,-51.871,0,56
43354,-2.0,-1.121,-0.22,96.473,250.13,73.893,160,85
43406,-2.0,-0.666,0.32,-72.458,-250.137,-69.038,158,86
43457,1.341,-0.757,-1.895,-22.403,-229.634,-139.771,0,42
43512,-0.845,0.558,0.522,-35.805,238.427,17.939,0,53
43565,-1.267,-0.698,0.865,-38.263,-250.137,61.702,0,47
43620,0.818,-1.429,-1.712,156.26,126.893,-31.26,0,55
43670,-2.0,-0.454,0.879,-76.656,250.13,44.878,154,64
43721,-1.512,-0.472,0.732,-16.196,-227.504,-50.229,139,89
43773,0.177,0.271,-0.638,134.656,73.901,-69.687,141,59
43824,-1.743,0.636,0.809,-97.863,118.105,-54.183,140,88
43877,-1.135,-0.064,0.543,-124.42,-250.137,-133.431,5,19
43931,0.801,-0.448,-1.664,139.794,186.58,41.356,0,44
43982,-2.0,-0.743,0.425,-108.107,250.13,37.0,143,79
44034,-2.0,-1.606,-0.366,-144.504,-250.137,-41.595,177,60
44085,0.909,-1.663,-1.244,41.473,-172.603,-38.275,171,63
44136,-0.978,0.557,0.84,-43.272,205.008,-52.954,170,73
44187,-1.733,0.155,0.472,-135.427,-250.137,-59.092,166,67
44243,1.804,-1.013,-2.0,112.73,-250.137,-86.832,0,74
44297,-0.264,-0.033,-0.431,40.092,250.13,107.588,0,71
44349,-2.0,-1.544,0.957,-112.527,153.0,121.695,163,79
44400,-1.039,-1.2,0.194,-71.176,-189.031,32.435,157,93
44452,-0.215,-0.075,0.381,31.672,-100.0,44.787,154,98
44509,-1.263,0.11,0.266,-194.153,-182.664,-55.843,0,124
44565,0.606,0.325,-1.024,-117.482,170.511,-7.942,0,121
44621,-2.0,0.37,0.833,-163.962,137.802,130.962,0,124
44682,-2.0,-1.819,-0.509,-178.099,-250.137,-7.381,0,130
44782,-0.115,-0.02,-0.794,1.595,250.13,61.025,0,146
44840,-1.725,0.099,1.165,93.817,291.626,6.145,192,154
44899,-0.084,0.04,-0.598,-88.328,-250.137,-36.099,0,156
44958,0.214,-0.289,-0.441,-78.931,-250.137,-103.124,0,176
45016,0.364,-2.0,-1.369,-1.802,250.13,28.618,0,145
45072,-2.0,-1.28,0.205,-104.417,250.13,169.275,0,125
45127,-1.614,-0.594,0.228,-96.779,-250.137,65.634,0,103
45175,1.05,-0.117,-1.214,-121.908,-250.137,-155.664,55,112
45235,0.308,0.567,-0.64,29.249,209.076,-27.756,0,126
45290,-2.0,-0.212,0.403,-177.672,-107.679,54.344,0,102
45338,-1.954,-1.075,-1.073,-199.313,-250.137,42.641,59,112
45393,0.008,-1.496,-1.813,-155.702,188.855,64.473,187,107
45445,-2.0,-1.757,0.244,-70.924,250.13,72.361,154,91
45497,-2.0,-0.14,0.215,-95.305,-250.137,-54.237,146,93
45549,0.237,0.048,-1.877,-112.595,-250.137,-112.028,164,81
45605,1.581,0.091,-1.509,-82.466,140.008,32.221,0,112
45663,-1.949,-0.959,0.893,-80.985,146.038,98.893,159,118
45720,-1.528,-1.014,-0.411,-64.527,-227.611,53.29,0,143
45774,-0.62,-1.365,-1.294,-83.434,250.13,170.916,0,86
45830,-2.0,-0.875,1.013,4.97,96.672,66.191,0,92
45879,-0.628,-0.522,0.066,48.344,-250.137,-39.962,146,57
45932,0.57,0.381,-0.769,59.626,-53.969,-130.412,0,58
45990,-1.531,0.513,-0.078,-86.427,164.985,-41.351,0,95
46045,-2.0,0.072,-0.608,-148.687,-67.733,153.053,0,85
46092,0.232,0.322,-0.366,-167.863,-84.473,235.053,42,51
46137,0.085,-1.042,-1.084,-67.878,146.427,83.786,29,88
46183,-1.813,-1.141,0.321,60.405,142.374,-115.42,58,86
46233,-2.0,-0.274,0.462,39.893,-250.137,-182.412,131,95
46284,0.364,-0.918,-1.161,-85.355,-250.137,-88.107,177,52
46337,0.666,0.086,-1.267,26.053,250.13,-17.391,179,56
46387,-2.0,-0.091,1.632,-100.311,184.046,102.84,138,74
46432,-1.856,-1.309,-0.012,-32.527,-250.137,25.233,50,77
46486,0.799,-0.892,-1.417,71.046,-123.496,-39.687,194,80
46534,-2.0,-1.576,0.87,-144.794,130.656,37.466,43,84
46580,0.103,-0.586,-0.521,51.573,134.649,-49.29,57,82
46631,-1.275,0.945,-0.394,177.977,250.13,52.715,156,78
46684,-2.0,0.464,1.126,-54.324,-250.137,-63.107,157,85
46737,0.736,-0.258,-1.231,-65.211,-250.137,7.185,187,80
46789,-0.378,0.584,-0.862,39.534,250.13,147.908,160,77
46840,-2.0,0.164,1.236,-106.58,-151.397,148.509,160,87
46892,-1.144,-1.223,-0.551,-105.076,-250.137,-41.656,159,59
46946,0.858,-0.209,-1.458,78.397,250.13,-56.092,156,62
46998,-2.0,-0.85,1.736,-119.385,250.13,-117.466,155,91
47051,-1.826,0.32,-0.184,-84.374,-250.137,-153.374,188,67
47106,2.0,-0.429,-2.0,122.58,-250.137,-110.634,0,81
47159,-0.758,0.356,0.73,37.931,250.13,85.618,0,59
47215,-1.54,-2.0,0.734,25.696,104.603,66.511,0,51
47266,-1.087,-0.491,-0.782,166.153,250.13,72.344,160,65
47319,-2.0,-0.024,1.651,-72.168,-120.008,-5.225,160,87
47375,0.491,-0.326,-1.163,7.725,-250.137,-37.305,0,54
47473,-2.0,0.125,1.925,-250.137,38.275,28.17,164,138
47529,-2.0,-1.104,-1.202,-240.763,-250.137,-41.216,0,100
47584,1.334,-1.249,-1.086,108.519,94.374,-97.954,0,71
47636,-1.527,-0.14,-1.541,74.084,250.13,11.77,161,89
47689,-2.0,-0.37,1.439,-222.718,-250.137,-102.42,156,92
47747,-1.322,0.074,-1.369,-221.847,-250.137,-2.658,0,140
47803,2.0,0.158,-1.447,63.969,-91.412,-55.537,0,109
47860,-0.08,-0.114,-1.18,89.176,250.13,26.883,0,135
47917,-2.0,-0.888,0.884,-122.802,111.672,60.45,158,86
47963,-1.592,-0.855,-0.42,-179.832,-250.137,33.985,41,92
48010,0.915,-0.704,-0.591,-70.725,-204.351,42.847,42,106
48062,0.814,-0.075,0.058,38.573,250.13,38.702,154,99
48115,-1.035,0.761,-0.847,75.29,250.13,31.344,155,99
48163,-2.0,0.368,0.755,-149.779,-188.84,66.029,159,11
48212,-2.0,0.185,-2.0,-250.137,-250.137,33.611,158,22
48264,-1.414,-1.283,-0.839,-250.137,-250.137,59.198,0,21
48322,-0.127,-1.043,-0.539,-136.403,250.13,-64.013,0,85
48374,-1.077,-0.041,-0.44,32.191,250.13,104.707,151,96
48427,-2.0,0.185,0.936,-85.45,-237.672,-41.359,149,95
48481,-0.715,0.281,-1.192,-142.443,-250.137,-44.802,152,112
48535,1.217,-0.306,-1.371,-102.221,-223.656,3.5,0,75
48591,-0.071,-0.027,-2.0,29.534,250.13,129.527,0,112
48640,-2.0,-0.308,0.873,-141.0,133.092,49.588,160,12
48690,-2.0,-0.212,-1.086,-216.695,-250.137,-13.42,49,138
48741,0.93,-0.844,-1.247,-83.16,-154.214,47.954,38,136
48796,-0.161,-0.289,-0.635,41.069,250.13,43.321,46,149
48851,-2.0,-0.068,1.183,3.298,212.389,-48.847,153,149
48904,-2.0,0.264,-0.7,-114.779,-250.137,-63.496,160,100
48957,-0.241,-0.088,-0.795,-138.611,-250.137,39.954,0,87
49009,-0.164,-0.054,-1.368,-80.168,250.13,45.191,162,84
49060,-2.0,-1.019,0.248,3.51,250.13,-91.855,164,82
49112,-2.0,-0.237,-0.506,-133.649,-250.137,-95.153,161,83
49167,1.133,-0.932,-1.924,-34.886,-250.137,-62.771,0,55
49224,1.111,0.24,-1.081,110.282,250.13,-33.733,0,90
49275,-2.0,0.358,0.63,-38.425,250.13,99.794,159,84
49328,-2.0,-1.075,0.31,-116.55,-250.137,-23.74,162,85
49370,-0.055,-1.388,-0.97,-4.099,-250.137,-43.244,41,46
49413,1.072,0.087,-0.741,89.603,250.13,-67.145,39,46
49464,-1.377,0.203,-1.584,48.641,250.13,-30.12,162,84
49515,-2.0,0.072,1.468,-87.123,-202.496,-57.519,167,80
49569,-0.79,0.233,-0.877,-41.311,-250.137,-36.45,0,88
49624,0.796,0.69,-1.434,69.992,250.13,62.084,0,48
49681,-2.0,-1.33,1.274,-206.756,177.656,52.908,0,85
49726,-1.975,-1.266,-0.653,-102.137,-250.137,46.26,58,61
49778,1.187,-1.24,-1.461,80.74,-54.595,58.726,0,66
49837,-0.042,0.187,-1.241,35.733,250.13,35.939,0,92
49883,-2.0,-0.869,2.0,-91.927,21.031,-102.962,71,89
49934,-1.636,0.118,-0.499,-80.107,-250.137,-114.573,149,76
49987,1.774,-0.878,-2.0,66.725,-250.137,-63.344,0,70
50041,0.629,0.265,-1.333,145.023,250.13,87.618,173,73
50136,-2.0,-1.28,0.646,-77.786,-250.137,-30.992,158,87
50189,1.235,-0.972,-1.182,122.42,-164.206,-49.878,177,94
50241,-0.767,1.094,-0.694,73.435,250.13,-26.298,157,88
50292,-2.0,0.288,1.354,-140.29,-99.962,-90.679,159,84
50345,-1.62,0.086,0.16,-95.092,-250.137,-12.937,0,62
50401,1.458,-0.344,-1.555,181.183,100.565,-48.756,0,60
50452,-2.0,-0.115,-2.0,-252.321,250.13,100.366,142,81
50502,-2.0,-1.072,0.672,-210.588,-220.718,-77.405,143,82
50556,-0.488,-0.687,-0.551,-135.947,-250.137,-74.756,138,91
50607,1.377,-0.168,-0.877,68.145,127.313,-120.771,136,85
50658,-0.688,-0.079,-0.901,22.603,250.13,-44.595,136,89
50709,-2.0,-0.353,1.462,-190.557,-250.137,-62.527,147,92
50760,-1.511,-0.291,-0.504,-155.176,-250.137,42.573,152,87
50812,1.766,-1.484,-1.663,228.053,-116.412,-40.728,153,93
50863,-0.398,-0.146,-2.0,173.237,250.13,-28.244,136,89
50914,-2.0,-0.592,1.708,-99.771,250.13,-30.053,136,91
50969,-1.647,0.006,-0.469,-139.168,-250.137,-9.059,146,119
51022,1.273,-0.288,-0.762,3.305,-250.137,30.373,145,126
51076,0.851,1.092,-0.54,39.603,250.13,15.478,134,125
51126,-2.0,0.785,-1.538,-48.07,250.13,36.183,135,88
51176,-2.0,-0.308,-1.609,-250.137,-250.137,2.357,133,87
51222,-1.326,-1.143,-1.8,-250.137,-250.137,99.26,56,90
51277,0.203,-1.39,-0.081,-223.886,-180.206,76.672,0,98
51324,1.167,-0.237,-0.337,89.771,122.779,-39.947,57,101
51378,0.316,0.657,-0.787,90.527,250.13,-42.162,109,100
51434,-2.0,-0.527,1.216,-90.519,68.191,-48.649,128,0
51490,-1.51,-0.143,-0.577,-148.031,-250.137,-53.718,0,127
51549,0.708,-1.504,-1.59,-126.213,-250.137,-55.985,186,169
51600,-1.147,-0.233,-2.0,80.985,250.13,101.053,138,88
51651,-2.0,-0.091,1.368,-76.542,250.13,50.606,150,89
51700,-1.784,-0.116,-0.724,-123.832,-250.137,-12.489,114,88
51756,0.282,-0.136,-0.842,-81.031,-250.137,-16.364,195,107
51812,1.07,0.294,-0.864,58.527,250.13,27.389,158,106
51862,-2.0,1.34,-1.731,-225.456,250.13,117.427,114,84
51911,-2.0,-0.406,0.77,-250.137,-167.893,-97.183,118,94
51957,-2.0,-0.188,-1.426,-250.137,-250.137,-101.656,51,89
52012,0.115,-1.035,-1.479,-134.313,-250.137,-81.733,155,125
52064,0.583,-0.05,-0.911,19.947,250.13,-57.504,152,104
52115,-1.561,0.398,-0.598,-70.679,250.13,-15.356,132,93
52167,-2.0,-0.222,0.61,-174.382,-238.336,-41.458,136,110
52222,-0.864,-0.411,-0.39,-112.298,-250.137,12.836,147,109
52276,0.843,-0.79,-1.308,72.58,9.153,-27.282,176,83
52326,-2.0,-1.034,-1.1,-40.759,250.13,65.344,137,75
52377,-2.0,-1.258,0.752,-130.275,53.608,37.742,136,87
52427,-1.201,-0.903,-0.71,-64.718,-250.137,-68.27,134,88
52482,0.351,-0.038,-0.743,55.176,-250.137,-73.611,161,120
52536,0.2,1.079,-0.714,6.403,195.595,-72.053,158,115
52590,-2.0,0.0,0.412,-205.176,66.557,44.425,0,90
52644,-1.699,-1.515,-0.197,-96.931,-250.137,48.771,0,84
52701,-0.095,-1.217,-1.135,47.443,-67.679,-110.969,0,54
52799,-1.654,-2.0,0.411,-213.87,-151.057,-115.534,0,96
52856,0.713,-1.134,-1.496,58.244,-142.496,-163.779,0,145
52909,-1.276,0.752,1.055,-34.454,-10.872,-134.824,0,42
52965,-0.809,-1.387,-0.828,-3.229,-250.137,150.756,0,44
53017,0.948,-1.473,-1.384,138.939,30.412,106.679,0,49
53073,-1.03,-0.535,0.399,-36.714,250.13,80.611,0,59
