Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21489,-0.512,-0.75,0.696,-31.553,-22.813,-66.527,153,92
21539,0.02,-0.35,0.197,-36.288,-79.672,-73.087,152,71
21590,-0.53,-1.248,0.936,-46.649,22.42,-65.725,153,77
21643,0.047,-0.382,0.35,48.802,13.04,30.636,0,75
21693,-0.698,-0.584,1.107,-21.035,19.399,-46.985,157,72
21744,-0.211,-0.506,0.228,1.656,12.936,-0.786,156,71
21794,-0.765,-0.384,1.106,-48.214,-58.282,42.267,156,74
21850,-0.208,-0.487,0.176,-60.718,49.763,-5.636,0,76
21903,0.084,-0.269,1.167,21.256,129.668,53.832,0,82
21953,-0.695,-1.035,0.921,-70.405,136.351,-102.191,152,77
22003,-0.015,-0.624,0.513,14.882,-51.763,92.954,152,69
22053,-0.956,-1.101,0.523,-35.801,49.573,-33.74,153,64
22107,-0.733,-0.905,0.56,-21.37,-32.611,-27.7,0,66
22160,-0.504,-0.825,0.799,-3.292,-213.595,76.939,0,78
22210,0.368,-0.516,0.067,-4.502,7.552,-128.282,152,74
22260,0.022,-0.563,0.958,-31.863,78.809,-27.647,152,70
22313,-0.826,-1.403,0.264,-13.229,155.015,-12.753,150,82
22365,-0.814,-0.149,1.686,26.282,-111.672,64.466,149,81
22415,-0.668,-0.598,0.29,-60.725,73.588,-137.473,151,73
22466,0.028,-0.653,0.579,-36.818,-93.206,91.756,151,71
22516,-0.542,-1.089,0.244,-50.631,94.084,-38.267,151,69
22566,-0.114,-0.281,0.935,1.939,-54.893,52.542,150,73
22617,-0.646,-0.808,0.468,-68.282,51.16,-89.496,151,70
22670,0.494,-0.43,0.822,39.702,-98.931,72.924,0,78
22723,-0.547,-0.868,0.191,15.347,250.13,-144.641,146,79
22773,-0.265,-0.341,0.822,16.039,-57.511,141.427,150,79
22823,-0.91,-1.48,0.137,-21.058,-115.702,-36.158,145,75
22874,0.318,-0.583,0.769,-2.15,-91.969,-55.008,142,79
22924,0.272,-1.122,0.143,19.685,-29.0,-37.038,143,77
22976,-0.464,-1.272,-0.115,-47.26,183.679,-46.603,43,31
23026,0.154,-0.987,0.378,-32.957,-153.78,143.298,143,77
23076,-1.406,-1.47,0.152,25.16,179.321,-85.969,146,78
23127,-0.191,-0.047,1.562,-21.564,-190.496,49.305,145,75
