Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35198,-0.266,-0.22,0.971,-0.765,-157.977,32.061,0,0
35245,0.533,-0.152,0.668,12.397,-144.863,5.686,0,0
35292,1.024,-0.039,0.606,-2.012,-65.703,-22.916,0,0
35338,0.892,-0.05,0.594,-2.482,158.954,-29.168,2,0
35384,0.052,-0.077,1.019,-6.365,202.977,-28.534,1,0
35431,-0.341,-0.118,1.139,8.176,104.328,-29.641,1,0
35477,-0.503,-0.111,1.12,-0.735,-25.605,-9.818,0,0
35526,-0.216,-0.199,0.993,8.251,-129.046,30.412,0,0
35572,0.472,-0.08,0.797,25.771,-108.374,21.076,1,0
35619,0.631,0.06,0.715,6.565,9.163,6.753,0,0
35665,0.309,-0.032,0.872,-18.26,78.267,-14.382,0,0
35712,-0.008,-0.102,1.065,-14.418,56.74,-17.758,0,0
35759,-0.142,-0.128,1.092,-15.445,-16.279,-14.417,0,0
35805,-0.046,-0.208,1.044,-11.237,-28.366,-8.687,0,0
35851,0.298,-0.087,0.89,-1.311,5.708,-3.773,0,0
35897,0.013,-0.178,1.019,-0.785,38.473,-1.433,0,0
35944,-0.157,-0.257,1.039,-1.382,-9.511,-4.504,5,5
35993,0.063,-0.039,0.974,3.413,4.46,-2.125,0,0
36039,-0.053,-0.207,0.997,-5.717,-4.017,-0.978,0,0
36085,0.03,-0.127,0.99,-0.304,-4.4,-0.391,0,0
36132,0.061,-0.052,0.901,-4.399,-6.432,-2.855,0,0
36178,0.138,-0.03,0.962,-0.818,37.119,-1.708,1,0
36225,-0.002,-0.115,0.99,-4.356,34.878,-8.978,0,0
36272,0.031,-0.032,1.017,0.502,42.69,-5.447,1,0
36318,-0.255,-0.142,1.036,-8.288,-28.957,-13.237,0,0
36365,-0.302,-0.038,1.045,2.135,-38.298,24.512,2,0
36431,-0.448,-0.153,1.205,-19.824,-162.931,42.29,1,0
36478,0.849,-0.13,0.682,19.336,-171.992,5.541,0,0
36525,1.174,-0.009,0.652,0.712,35.511,-20.511,0,0
36572,0.512,-0.053,0.958,-7.194,172.832,-40.542,1,0
36618,-0.159,-0.25,0.966,-2.461,170.183,-49.481,0,0
36665,-0.569,-0.173,1.081,-5.574,89.863,-19.939,0,0
36711,-0.77,-0.137,1.117,-8.305,-86.023,27.191,1,0
36758,-0.11,-0.257,0.827,7.259,-233.145,44.45,2,0
36805,0.979,-0.094,0.501,26.885,-156.87,33.809,1,0
36854,1.052,0.1,0.601,-14.252,112.198,-22.374,2,0
36901,0.276,-0.079,0.963,-31.466,206.397,-31.076,1,0
36947,-0.496,-0.144,1.164,-1.486,84.87,-6.92,2,0
36995,-0.65,-0.05,1.147,-13.85,-93.412,18.527,0,0
37042,0.272,-0.187,1.032,6.307,-224.412,45.786,2,0
37088,0.94,-0.105,0.563,19.26,-147.26,14.351,0,0
37135,1.152,0.052,0.618,-18.13,100.321,-16.176,0,0
37181,0.256,-0.125,1.026,-21.893,192.847,-22.344,1,0
37228,-0.432,-0.348,1.109,-9.356,118.344,-28.634,0,0
37296,-0.369,-0.119,1.146,-1.311,-11.394,-16.493,0,0
37343,0.053,-0.17,1.008,9.504,-94.947,26.664,1,0
37389,0.378,-0.119,0.818,11.771,-72.481,19.015,0,0
37436,0.612,-0.11,0.821,1.972,-18.52,-7.43,0,0
37482,0.391,-0.156,0.874,-7.497,87.763,-23.779,0,0
37529,0.064,-0.113,1.057,-3.822,90.527,-23.794,0,0
37633,-0.258,-0.195,1.017,-0.181,-42.91,-8.432,0,0
37680,0.07,-0.104,0.915,2.678,-43.221,13.399,0,0
37726,0.233,-0.11,0.894,0.113,-24.237,6.5,0,0
37776,0.265,-0.058,0.967,-2.695,30.796,-1.643,1,0
37823,-0.046,-0.245,1.048,-10.885,36.221,-32.241,0,0
37870,0.144,-0.093,1.029,5.533,38.435,-9.947,1,0
37916,0.005,-0.044,1.052,12.981,30.733,-2.546,2,0
37963,-0.156,-0.218,0.992,-2.617,-38.276,-20.188,0,0
38010,0.028,-0.058,0.968,6.974,33.0,0.49,0,0
38057,-0.195,-0.204,0.987,-1.961,50.473,-6.051,0,0
38104,-0.252,-0.117,1.003,3.911,38.916,-7.226,0,0
38151,-0.47,-0.15,1.028,12.824,-33.977,6.787,0,0
38218,-0.504,-0.033,0.997,11.65,-130.947,36.641,2,0
38265,-0.14,-0.196,0.824,11.649,-224.321,63.115,0,0
38312,0.752,-0.11,0.664,18.191,-199.893,34.328,0,0
38360,1.301,0.019,0.607,-7.08,-29.649,-13.652,0,0
38406,1.109,0.103,0.587,-20.84,201.733,-48.641,3,0
38453,0.054,-0.134,0.616,-24.733,250.13,-53.366,0,0
38500,-1.006,-0.167,1.185,-15.7,228.534,-7.908,0,0
38547,-1.347,-0.203,1.411,-8.508,-99.214,24.305,0,0
38594,-0.566,-0.284,0.813,5.908,-250.137,41.198,0,0
38644,0.997,-0.185,0.243,40.153,-250.137,23.55,0,0
38691,1.54,0.205,0.361,5.726,73.886,6.883,1,0
38738,0.413,0.012,0.735,-38.649,250.13,-30.504,1,0
38786,-0.593,-0.157,1.183,-22.053,191.786,-3.447,1,0
38833,-0.907,-0.231,1.366,-14.599,-68.886,-11.837,0,0
38880,-0.577,-0.245,0.73,-15.487,-231.84,22.557,0,0
38927,0.906,-0.255,0.525,20.58,-151.046,0.043,0,0
38974,0.996,0.12,0.613,-19.206,108.069,-27.383,0,0
39021,0.023,-0.117,0.9,-33.947,203.855,-20.056,0,0
39089,-0.499,-0.338,1.28,-16.861,60.038,-24.916,0,0
39136,0.12,-0.035,0.975,15.622,-101.183,16.019,2,0
39183,0.371,-0.183,0.805,3.747,-54.366,8.817,0,0
39230,0.327,-0.027,0.946,2.741,29.206,5.402,1,0
39277,0.174,-0.057,1.025,-2.122,30.947,4.865,1,0
39324,0.111,-0.15,1.003,-3.547,0.078,-15.473,0,0
39371,0.12,-0.086,0.984,-4.499,25.518,-7.192,0,0
39418,0.038,-0.151,1.033,0.76,8.613,3.824,1,0
39465,0.066,-0.153,0.994,3.656,-9.125,-0.829,0,0
39513,0.213,-0.045,0.964,6.598,7.193,4.529,2,0
39580,0.111,-0.089,0.975,2.737,18.977,-0.091,0,0
39627,0.073,-0.106,0.998,-0.249,16.511,-2.031,0,0
39674,0.097,-0.112,0.994,-1.101,15.868,-1.95,0,0
39721,0.096,-0.131,0.965,-1.667,20.91,-6.722,0,0
39769,0.079,-0.07,1.068,2.764,33.025,-3.137,1,0
39816,0.012,-0.112,1.108,6.694,16.904,-12.924,0,0
39863,-0.398,-0.284,1.11,13.733,-78.331,-20.115,0,0
39910,-0.408,-0.044,1.063,12.985,-46.031,-11.528,0,0
39957,-0.397,-0.109,0.968,12.405,-147.573,47.305,1,0
40008,0.304,-0.221,0.63,25.069,-228.214,45.053,0,0
40112,1.347,0.091,0.454,-34.966,139.344,-46.061,0,0
40160,0.02,-0.182,0.63,-32.771,250.13,-56.924,0,0
40207,-0.974,-0.095,1.157,-16.112,210.504,-17.939,0,0
40254,-1.272,-0.212,1.363,-22.023,-101.214,6.371,0,0
40301,-0.596,-0.259,0.848,-21.519,-250.137,43.191,0,0
40349,0.832,-0.4,0.296,32.275,-250.137,24.374,0,0
40396,1.847,0.29,0.309,11.664,41.45,-23.878,1,0
40443,0.557,-0.017,0.626,-48.557,250.13,-44.267,0,0
40511,-0.781,-0.327,1.172,-17.515,220.458,-21.145,2,0
40559,-0.884,-0.15,1.182,-6.283,-173.122,27.115,0,0
40606,-0.153,-0.323,0.709,6.007,-250.137,51.336,0,0
40653,1.337,-0.194,0.362,50.107,-132.58,5.921,0,0
40700,1.154,0.206,0.567,-5.101,163.115,-23.58,2,0
40749,-0.109,-0.145,0.751,-41.267,250.13,-32.916,0,0
40796,-0.699,-0.296,1.234,-16.833,110.893,-19.673,0,0
40843,-0.674,-0.077,1.261,13.519,-133.878,31.52,2,0
40890,0.274,-0.313,0.711,12.0,-204.069,3.931,0,0
40941,1.086,0.114,0.532,21.679,-38.03,-20.928,0,0
40988,0.45,-0.018,0.744,-33.992,197.397,-13.195,0,0
41036,-0.477,-0.251,1.206,-11.792,141.031,-2.561,1,0
41083,-0.511,-0.233,1.221,2.543,-50.992,-13.05,0,0
41131,-0.225,-0.235,0.767,-12.768,-113.405,-4.112,0,0
41179,0.462,-0.23,0.688,10.092,-41.954,-1.161,0,0
41226,0.237,-0.034,0.978,-6.112,52.656,8.992,1,0
41273,-0.038,-0.242,1.054,-13.176,37.748,-2.293,0,0
41327,0.029,-0.17,0.985,-1.068,-6.65,-14.709,0,0
41376,0.074,-0.12,0.977,-3.907,15.92,-0.495,0,0
41422,0.024,-0.179,1.022,-0.41,7.723,4.274,0,0
41468,0.041,-0.157,1.014,4.393,-3.778,0.784,0,0
41515,0.065,-0.197,0.878,0.83,-10.628,-4.651,0,0
41561,0.073,-0.167,0.988,-0.732,16.374,-4.561,0,0
41607,0.033,-0.151,0.994,-0.237,31.824,-6.477,0,0
41654,0.09,-0.198,1.01,-0.135,30.626,-8.882,0,0
41700,-0.002,-0.2,1.028,13.221,50.313,-19.619,0,0
41746,-0.344,-0.243,1.046,10.595,44.176,-29.441,5,5
41795,-0.767,-0.049,1.137,-22.526,-94.489,28.427,0,0
41841,-0.571,-0.355,0.967,-9.464,-250.137,63.565,0,0
41888,0.771,-0.11,0.356,41.786,-250.137,18.176,2,0
41934,1.676,0.015,0.245,18.038,-13.57,-13.495,0,0
41980,0.862,0.021,0.615,-30.382,250.13,-31.779,2,0
42028,-0.169,-0.2,0.983,-26.29,250.13,-40.939,0,0
42074,-0.708,-0.167,1.16,1.192,139.321,-25.099,1,0
42120,-1.054,-0.231,1.316,-33.543,-108.0,21.214,0,0
42167,-0.295,-0.405,0.836,10.183,-250.137,50.344,0,0
42233,0.956,-0.164,0.489,40.832,-205.023,23.634,0,0
