Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
38906,1.163,0.132,0.549,14.229,-76.763,-42.687,165,0
38952,-0.203,0.057,0.737,-24.239,223.092,-36.092,0,0
39000,-0.79,0.06,1.309,-17.725,83.191,23.564,0,0
39046,-0.609,-0.034,1.285,-26.206,-159.756,39.046,0,0
39092,0.599,-0.334,0.704,11.275,-211.55,-13.115,0,0
39139,1.23,0.062,0.456,21.16,50.55,-42.305,0,0
39185,0.016,0.12,0.722,-7.945,236.198,-46.191,0,0
39234,-0.781,0.12,1.223,-35.101,130.221,-38.752,0,0
39280,-0.85,-0.004,1.181,-26.771,-115.832,31.069,0,0
39327,0.283,-0.176,1.085,2.977,-228.756,27.947,0,0
39373,1.22,-0.016,0.434,32.748,-39.443,-47.519,0,0
39418,0.298,0.282,0.656,-10.712,226.809,-21.063,162,0
39478,-0.933,0.133,1.403,-50.786,126.794,63.74,0,0
39523,-0.337,-0.416,1.068,-6.371,-250.137,11.224,172,0
39583,1.369,0.018,0.289,39.359,-151.42,-49.519,0,0
39627,0.333,0.125,0.616,-13.197,250.13,-28.924,150,0
39687,-0.858,0.096,1.362,-35.42,159.687,31.321,138,0
39731,-0.534,-0.096,1.23,7.065,-238.748,18.901,137,0
39791,1.121,-0.1,0.421,35.092,-179.634,-54.802,0,0
39837,0.467,0.159,0.592,-0.775,233.634,-31.13,0,0
39884,-0.789,0.068,1.25,-39.84,174.076,23.206,0,0
39930,-0.879,-0.098,1.443,-32.977,-159.931,31.763,0,0
39977,0.653,-0.084,0.61,22.008,-231.809,-45.023,0,0
40022,1.042,0.166,0.4,8.005,94.672,-36.015,164,0
40079,-0.142,0.089,0.873,-39.183,228.321,29.947,138,0
40125,-0.946,-0.322,1.604,-30.115,-96.611,37.382,139,0
40182,0.298,-0.17,0.842,21.71,-221.16,-33.412,138,0
40225,0.881,0.084,0.521,-6.577,101.557,-26.916,143,0
40286,-0.31,0.001,0.869,-24.756,199.405,-12.843,0,0
40330,-0.567,-0.131,1.313,10.71,-55.443,23.587,141,0
40387,-0.006,-0.115,0.783,-0.413,-117.687,-20.637,143,0
40430,0.5,-0.102,0.738,-0.752,51.275,-12.561,143,0
40491,0.129,0.03,1.082,2.812,109.878,10.752,0,0
40535,-0.508,-0.181,1.246,-21.903,-96.249,26.84,140,0
40595,0.056,-0.267,0.937,0.42,-106.244,-0.015,142,0
40641,0.502,-0.007,0.721,7.696,36.015,-18.186,0,0
40688,-0.048,-0.029,0.991,-17.481,108.115,1.801,0,0
40735,-0.454,-0.235,1.234,-21.121,-20.131,9.389,0,0
40781,0.004,-0.242,1.067,8.598,-83.275,-8.273,0,0
40825,0.569,-0.065,0.709,27.832,26.435,-45.321,145,0
40886,0.108,0.108,0.962,0.649,146.977,-11.562,0,0
40933,-0.831,-0.159,1.336,-28.053,-31.954,36.328,0,0
40979,-0.251,-0.356,0.761,-7.512,-169.374,-33.0,0,0
41029,0.702,0.021,0.565,27.229,10.044,-34.786,0,0
41076,0.044,0.081,0.92,-20.458,151.931,33.518,0,0
41119,-0.79,-0.178,1.322,-32.153,6.796,40.198,141,0
41177,-0.39,-0.38,1.041,-14.725,-154.969,-33.852,143,0
41221,0.765,0.063,0.549,24.267,43.992,-41.595,144,0
41281,-0.052,0.042,0.745,-15.797,207.099,-9.529,0,0
41328,-1.13,-0.254,1.468,-38.611,-33.435,49.267,0,0
41432,1.053,-0.059,0.453,46.58,-102.74,-49.137,0,0
41479,0.131,0.053,0.701,-2.747,239.298,-6.5,0,0
41546,-1.033,-0.151,1.271,-25.336,121.733,30.389,0,0
41593,-0.587,-0.401,1.03,-18.87,-250.137,29.046,0,0
41640,1.091,-0.346,0.38,43.214,-164.412,-44.275,0,0
41687,0.761,0.118,0.532,-49.86,178.42,-29.275,5,5
41734,-0.527,-0.006,1.054,-28.87,229.511,47.302,0,0
41781,-1.102,-0.241,1.464,-28.328,-44.229,29.214,0,0
41828,-0.195,-0.288,0.963,9.688,-232.16,10.544,0,0
41875,1.203,-0.189,0.405,42.794,-50.924,-60.939,0,0
41922,0.406,0.063,0.552,53.657,250.13,-53.229,0,0
41972,-1.156,0.153,1.169,-33.718,215.321,33.786,0,0
42018,-1.503,-0.42,1.37,-45.092,-189.443,55.069,0,0
42065,-0.214,-0.395,0.721,0.439,-250.137,49.878,0,0
42113,1.748,0.072,0.137,54.679,-89.664,-57.588,0,0
42158,0.556,0.112,0.392,-12.223,250.13,-32.863,167,0
42219,-0.968,0.009,1.017,-35.756,250.13,27.687,0,0
42266,-1.211,-0.405,1.357,-36.771,-245.55,46.115,0,0
42313,0.52,-0.351,0.601,16.794,-250.137,-38.214,0,0
42360,1.783,0.061,0.126,31.29,74.046,-73.595,0,0
42428,-0.071,0.053,0.487,-36.931,250.13,-36.87,0,0
42475,-1.764,-0.256,1.785,-46.313,4.661,49.763,0,0
42522,-0.93,-0.353,1.0,5.688,-250.137,39.99,0,0
42568,1.383,-0.336,-0.172,45.802,-250.137,-69.519,175,0
42626,1.201,0.046,0.292,-9.239,233.687,-48.382,144,0
42673,-1.052,0.008,0.889,-48.679,250.13,31.802,0,0
42720,-1.763,-0.415,1.77,-62.053,-171.244,86.191,0,0
