Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35597,1.025,-0.108,0.421,17.221,-145.252,-5.322,0,0
35644,1.035,-0.061,0.438,-0.991,110.16,-44.45,0,0
35690,0.379,-0.045,0.646,-11.282,215.153,-70.198,0,0
35737,-0.252,-0.04,0.851,1.176,224.817,-66.718,0,0
35783,-0.529,0.087,1.139,7.247,147.038,-35.023,0,1
35829,-0.846,0.144,1.222,-10.44,-12.968,-0.313,0,0
35875,-0.653,0.063,1.117,-25.634,-162.336,50.557,0,0
35926,-0.048,-0.173,0.95,-17.305,-250.137,87.74,0,0
35972,1.151,-0.306,0.197,18.58,-224.519,33.802,0,0
36018,1.635,-0.008,0.2,11.58,76.084,-20.908,0,0
36065,0.653,-0.003,0.494,-21.878,250.13,-59.076,0,0
36111,-0.538,-0.058,1.127,-3.884,250.13,-30.412,0,1
36157,-0.844,-0.082,1.435,-0.931,29.957,2.206,0,1
36204,-0.04,0.002,1.015,-0.788,-127.198,0.693,0,0
36250,0.418,-0.061,0.832,-3.691,-61.481,12.107,0,0
36297,0.318,-0.056,0.959,-3.67,20.963,11.137,0,0
36364,0.167,-0.062,1.025,2.353,21.817,-6.884,0,0
36410,0.218,-0.019,0.959,1.605,41.13,-17.679,0,0
36456,0.269,-0.042,0.926,0.311,76.45,-22.076,0,0
36503,0.267,-0.059,1.004,4.056,126.908,-37.679,0,0
36549,-0.271,0.009,1.151,17.374,165.305,-55.031,0,0
36596,-1.177,0.095,1.345,20.702,37.931,-22.305,0,0
36642,-1.755,-0.017,1.328,-19.695,-250.137,50.153,0,0
36689,-0.853,-0.351,0.336,-13.73,-250.137,90.321,0,0
36736,1.091,-0.456,-0.523,54.382,-250.137,65.45,0,1
36786,2.0,0.168,-0.505,16.435,103.824,-17.916,0,0
36832,1.013,-0.033,0.057,-51.954,250.13,-85.45,0,0
36879,-0.355,-0.289,0.321,-37.061,250.13,-103.886,0,0
36925,-1.685,0.081,1.091,0.895,250.13,-24.931,0,0
36972,-2.0,-0.058,1.712,-63.679,-184.221,26.252,0,0
37019,-1.206,-0.507,0.624,-7.848,-250.137,80.588,0,0
37065,1.579,-0.762,-1.07,101.061,-250.137,8.157,0,0
37112,2.0,0.461,-0.487,1.804,178.008,-26.557,0,0
37158,0.452,-0.097,0.334,-78.931,250.13,-69.901,0,0
37226,-1.145,-0.445,0.981,-1.524,250.13,-49.511,0,1
37273,-1.552,-0.055,1.421,-25.344,-163.496,32.802,0,0
37319,-0.78,-0.423,0.871,6.248,-250.137,99.053,0,0
37366,1.107,-0.753,-0.294,89.603,-250.137,47.779,0,0
37412,2.0,0.442,-0.35,39.153,-132.183,-20.145,0,0
37459,1.125,0.083,0.244,-64.824,250.13,-81.168,0,0
37507,-0.308,-0.253,0.543,-47.641,250.13,-91.496,0,0
37553,-1.528,-0.168,1.242,-15.168,226.756,-24.885,0,0
37600,-1.702,-0.19,1.41,-35.687,-218.87,50.977,0,0
37650,-0.281,-0.509,0.416,21.427,-250.137,90.878,0,0
37697,2.0,-0.079,-0.302,87.794,-250.137,25.649,0,0
37743,2.0,0.288,0.001,-23.168,180.305,-29.534,0,0
37790,0.631,-0.08,0.779,-60.42,250.13,-84.443,0,1
37837,-0.507,-0.361,0.784,-13.77,250.13,-90.038,0,0
37883,-1.35,0.165,1.415,12.681,147.969,-6.968,0,0
37931,-1.351,-0.233,1.341,-26.962,-203.0,72.023,0,0
38034,1.661,-0.105,-0.042,91.038,-250.137,20.588,0,0
38081,1.559,0.183,0.188,-32.664,201.84,-46.183,0,0
38149,0.204,-0.181,0.734,-52.481,250.13,-73.038,0,0
38196,-0.979,-0.201,1.355,4.862,91.046,-19.198,0,0
38242,-0.504,-0.064,1.099,12.918,-120.595,3.826,0,1
38289,0.268,-0.11,0.768,4.475,-122.282,15.336,0,0
38336,0.462,-0.015,0.872,5.815,14.63,18.718,0,0
38383,0.269,-0.031,0.978,-7.027,44.58,5.513,0,0
38429,0.096,-0.064,1.073,-3.59,29.601,-11.236,0,0
38476,0.088,-0.063,1.025,-5.003,5.787,-12.785,0,0
38523,0.072,-0.091,1.023,-5.672,2.695,-5.772,0,0
38574,0.039,-0.141,1.028,-0.157,-12.277,1.233,0,0
38620,0.156,-0.057,1.002,3.414,-7.215,3.489,0,0
38667,0.123,-0.065,0.958,1.247,-1.34,0.262,0,0
38714,0.1,-0.084,1.006,0.685,0.487,-0.596,0,0
38760,0.115,-0.087,1.003,2.632,0.603,2.315,0,0
38807,0.108,-0.074,1.0,4.128,0.321,5.715,0,0
38854,0.148,-0.105,0.966,4.549,2.158,6.115,0,0
38901,0.172,-0.111,0.997,12.046,44.137,13.847,0,0
38947,0.318,-0.108,0.946,25.122,84.702,17.145,0,0
38994,0.291,-0.037,0.777,33.252,177.198,7.649,0,0
39045,-0.044,0.117,0.704,23.26,244.779,10.916,0,0
39092,-0.519,0.054,0.69,7.582,222.824,13.985,0,0
39139,-0.865,-0.003,0.779,3.778,154.282,2.818,0,0
39186,-1.14,-0.036,0.973,3.175,64.765,-21.137,0,1
39233,-0.667,0.036,0.691,-11.423,-44.779,-28.832,0,0
39280,-0.572,-0.003,0.732,-5.83,-18.975,-14.847,0,0
39327,-0.594,-0.025,0.683,-4.697,-13.558,-15.514,0,0
39374,-0.62,-0.009,0.787,0.018,10.5,-8.472,0,0
39421,-0.648,-0.017,0.755,2.587,0.876,-8.251,0,0
39489,-0.574,-0.031,0.722,0.905,0.738,-4.371,0,0
39536,-0.619,-0.046,0.809,0.118,3.109,-2.925,0,0
39583,-0.612,-0.019,0.765,2.768,-9.958,-7.091,0,0
39630,-0.597,-0.028,0.718,-2.652,-14.229,-6.69,0,0
39677,-0.604,-0.049,0.789,-2.141,-16.043,-3.312,0,0
39725,-0.572,-0.034,0.749,-0.14,-19.007,-7.185,0,0
39772,-0.57,-0.05,0.817,-1.176,-6.973,-0.897,0,0
39819,-0.555,-0.037,0.856,-1.328,0.869,-0.751,0,1
39866,-0.565,-0.042,0.834,1.353,-6.51,-0.611,0,0
39916,-0.559,-0.008,0.816,-0.887,-22.244,-3.579,0,0
39963,-0.724,-0.025,0.973,1.463,-45.252,-3.671,0,0
40010,-1.03,-0.05,1.097,7.041,-156.275,-3.924,0,0
40057,-0.931,-0.008,0.902,2.846,-250.137,-10.939,0,0
40104,-0.055,0.05,0.376,-17.779,-250.137,-6.421,0,0
40153,0.502,-0.012,0.534,-32.786,-202.359,6.275,0,0
40200,0.592,-0.033,0.749,-34.405,-92.489,17.649,0,1
40247,0.456,-0.244,0.828,-21.733,-23.634,14.214,0,0
40294,0.462,-0.245,0.894,-14.193,-28.835,12.282,0,0
40361,0.543,-0.161,0.919,-2.925,18.789,5.663,0,0
40410,0.397,-0.157,0.995,0.619,33.534,2.74,0,0
40513,0.342,-0.185,0.95,8.553,5.232,0.454,0,0
40560,0.318,-0.149,0.966,13.193,19.527,3.441,0,1
40607,0.247,-0.141,0.98,13.087,9.055,7.177,0,0
40654,0.328,-0.174,0.905,7.681,-8.238,2.377,0,0
40701,0.312,-0.137,0.909,3.464,3.915,2.668,0,0
40750,0.333,-0.186,0.876,-1.929,3.624,-0.995,5,5
40797,0.282,-0.174,0.956,2.567,6.079,-1.273,0,0
40844,0.287,-0.152,0.931,2.835,7.21,0.246,0,0
40911,0.313,-0.171,0.902,2.036,9.364,-1.842,0,0
40958,0.24,-0.169,0.984,4.466,6.162,-0.171,0,0
41007,0.254,-0.141,0.962,2.845,-1.094,1.204,0,0
41054,0.29,-0.108,0.954,5.835,4.668,-0.173,0,0
41101,0.236,-0.168,0.961,1.186,-7.938,-0.557,0,0
41148,0.388,-0.138,0.866,4.411,12.621,4.12,0,0
41195,0.61,-0.163,0.97,11.336,43.481,7.958,0,0
41242,1.242,-0.24,0.224,35.802,195.611,-40.336,0,0
41290,-0.027,0.013,0.539,12.54,250.13,-68.74,0,1
41340,-1.37,-0.02,0.786,14.352,250.13,-17.725,0,0
41389,-2.0,-0.004,1.556,-27.305,-64.534,-17.245,0,0
41436,-1.583,-0.318,0.766,-34.527,-250.137,39.473,0,0
41484,0.04,-0.488,0.179,25.45,-250.137,27.779,0,0
41531,1.934,0.33,-0.227,72.084,-250.137,-67.74,0,0
41578,1.656,0.115,0.072,-24.405,192.931,-73.221,0,0
41626,-0.277,-0.069,0.196,-50.229,250.13,-66.061,0,0
41673,-1.859,0.077,1.569,-49.725,231.038,73.061,0,0
