Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33961,0.006,-0.036,0.968,-2.82,1.783,-0.286,0,0
34008,-0.17,-0.037,0.999,-9.054,-1.409,-2.99,0,0
34054,0.104,-0.054,1.094,1.132,4.141,-0.016,3,0
34101,-0.004,-0.051,0.994,-3.094,0.629,0.018,0,0
34147,-0.029,-0.038,0.965,-2.37,0.807,-0.68,0,0
34193,0.05,-0.053,1.017,0.6,4.795,-0.255,1,0
34239,-0.035,-0.034,0.95,-2.222,3.828,-1.197,0,0
34285,-0.054,-0.035,1.013,-2.983,-0.321,-1.329,0,0
34334,-0.081,-0.037,0.914,-3.27,-1.634,-2.034,0,0
34381,0.143,-0.036,1.11,2.188,5.101,1.692,4,0
34427,0.096,-0.04,1.002,0.198,3.543,0.826,3,0
34473,-0.051,-0.039,1.003,-3.119,-7.501,-1.033,0,0
34520,-0.048,-0.011,1.038,-3.041,-12.592,-0.71,0,0
34567,-0.272,0.013,1.263,1.265,-54.809,12.687,3,0
34613,-0.036,-0.06,1.174,5.802,-138.153,20.206,1,0
34660,0.02,-0.032,1.056,15.038,-155.878,38.618,0,0
34706,0.614,-0.09,0.747,26.282,-145.496,4.992,1,0
34755,1.207,0.09,0.424,15.588,31.069,-34.351,2,0
34802,0.687,-0.003,0.416,-12.956,249.145,-54.763,0,0
34848,-0.277,-0.003,0.926,-7.259,250.13,-35.313,0,0
34895,-0.608,-0.216,1.14,7.954,94.603,-31.489,0,0
34941,-0.604,0.06,1.126,5.557,-57.481,-10.084,0,0
34988,-0.171,0.03,0.781,-12.352,-122.725,23.763,0,0
35035,0.382,-0.071,0.802,6.565,-76.214,15.809,0,0
35081,0.422,0.098,0.905,7.924,53.564,4.32,1,0
35128,0.128,0.108,1.001,-10.076,62.389,5.427,2,0
35194,-0.23,0.001,1.086,-7.29,-31.68,-3.695,0,0
35241,0.268,0.046,1.079,2.808,31.851,6.031,3,0
35288,-0.15,-0.011,1.02,-11.137,9.364,5.26,0,0
35334,0.125,0.007,1.04,5.788,14.015,5.183,4,0
35381,0.176,0.054,1.021,1.267,0.751,2.928,1,0
35427,0.201,0.056,1.077,-1.821,25.314,1.337,3,0
35474,0.166,-0.011,1.035,3.105,22.458,2.165,5,0
35520,-0.075,0.02,1.001,-7.526,-19.926,-0.699,0,0
35567,0.02,0.028,0.891,-7.008,-0.712,-1.134,0,0
35613,0.093,0.019,1.018,-1.525,22.768,-0.928,1,0
35680,-0.007,0.0,1.03,-2.908,7.856,-0.191,1,0
35727,0.12,0.01,1.064,0.081,6.138,1.07,2,0
35774,0.152,0.03,1.079,1.347,17.1,1.852,3,0
35820,0.051,0.004,0.999,-2.706,7.371,-2.717,0,0
35867,-0.036,0.058,1.006,-14.344,-12.131,-6.782,0,0
35913,-0.018,0.1,1.115,-13.679,27.745,-1.09,1,0
35960,-0.445,0.067,1.337,-19.45,-98.58,-21.837,0,0
36006,-0.278,-0.075,1.018,-17.145,-216.229,24.603,2,0
36054,0.362,-0.196,0.689,-2.576,-250.137,32.809,0,0
36104,1.201,-0.034,0.4,14.527,-103.603,-0.65,0,0
36150,1.239,0.032,0.345,-2.757,150.863,-33.473,2,0
36197,0.492,0.013,0.54,-25.321,250.13,-38.237,6,0
36244,-0.372,-0.056,1.001,-21.282,250.13,-33.397,2,0
36291,-0.771,-0.1,1.301,-6.534,61.298,-23.481,0,0
36395,-0.695,-0.222,0.545,-6.519,-250.137,38.168,0,0
36442,1.005,-0.034,0.588,27.008,-137.794,25.008,0,0
36488,1.074,0.069,0.597,5.366,58.183,-8.641,1,0
36535,0.659,-0.019,0.687,-16.618,186.573,-35.191,0,0
36602,-0.055,-0.073,0.837,-22.221,245.107,-21.947,0,0
36649,-0.823,-0.089,1.364,5.375,91.7,5.122,2,0
36697,-0.226,-0.127,0.975,12.55,-197.55,10.908,0,0
36743,0.677,0.016,0.617,12.664,-120.573,13.427,0,0
36790,0.686,0.031,0.737,-9.496,52.069,6.947,0,0
36837,0.199,-0.029,1.042,-16.099,100.313,8.163,2,0
36884,-0.109,-0.083,1.146,-6.588,42.29,-8.588,0,0
36931,-0.039,-0.046,1.012,-13.274,-51.666,-11.244,0,0
36977,0.159,-0.075,0.993,-3.947,22.121,0.81,1,0
37027,0.05,-0.085,1.005,-1.707,14.185,-1.031,0,0
37074,-0.023,-0.178,0.999,-2.19,-6.536,-0.925,0,0
37122,0.001,-0.024,0.868,-3.861,-5.698,0.234,0,0
37168,0.028,-0.06,0.905,-5.387,14.175,-1.296,0,0
37215,-0.08,-0.064,1.024,-8.923,0.034,-0.222,0,0
37262,0.304,-0.059,1.183,8.076,21.722,2.742,6,0
37309,-0.023,-0.073,0.864,-12.711,-3.343,-2.087,0,0
37356,0.111,-0.077,1.008,-2.297,14.837,1.374,1,0
37402,-0.078,-0.077,1.018,-9.409,-6.171,-0.536,0,0
37449,0.165,-0.07,1.004,2.382,3.693,0.977,3,0
37499,0.129,-0.065,0.967,-3.554,3.5,-0.1,0,0
37547,0.012,-0.073,1.023,-4.91,10.304,-0.136,0,0
37594,0.332,-0.076,1.012,8.105,22.686,2.898,7,0
37641,0.08,-0.062,1.003,-1.033,1.891,-0.486,0,0
37688,-0.211,-0.061,1.021,-14.881,-53.304,-2.197,0,0
37735,-0.042,-0.08,1.069,-5.608,-58.367,-5.683,0,0
37782,-0.417,-0.057,1.307,17.466,-100.107,10.22,6,0
37829,0.073,0.033,1.094,5.573,-197.779,27.0,4,0
37876,0.342,-0.11,0.892,7.603,-207.099,51.221,0,0
37944,1.243,0.02,0.323,20.29,-79.634,-9.626,0,0
37987,0.86,-0.042,0.394,-9.893,245.061,-26.756,123,0
38047,0.055,-0.075,0.708,-18.557,250.13,-22.489,0,0
38094,-0.56,-0.062,1.208,4.405,94.519,-25.817,0,0
38141,-0.531,0.03,1.124,-7.237,-79.244,-17.534,1,0
38190,-0.138,-0.08,1.024,-18.588,-147.336,36.42,1,0
38237,0.245,-0.19,0.939,9.534,-170.931,43.435,0,0
38284,0.917,-0.044,0.719,22.786,-98.84,15.443,0,0
38331,1.078,0.024,0.604,4.076,104.832,-24.901,0,0
38381,0.318,-0.078,0.788,-3.679,247.046,-41.939,0,0
38428,-0.439,-0.06,1.059,12.878,196.74,-28.153,2,0
38476,-0.843,0.051,1.255,-3.221,-9.317,-9.45,0,0
38523,-0.658,-0.087,1.085,-8.115,-200.321,34.092,0,0
38571,0.202,-0.152,0.748,4.947,-250.137,45.969,0,0
38618,0.986,0.015,0.559,13.969,-115.786,28.427,0,0
38665,0.91,0.022,0.714,8.354,66.832,-6.84,3,0
38712,0.501,-0.001,0.776,-14.282,176.466,-37.076,0,0
38759,-0.177,0.001,1.008,-15.267,162.275,-27.847,0,0
38866,0.079,-0.077,1.004,-9.802,-105.069,8.781,2,0
38915,0.439,-0.021,0.717,-14.042,-96.506,8.099,0,0
38962,0.216,-0.039,1.031,-7.031,37.939,7.473,1,0
39009,0.124,-0.049,1.076,2.413,10.529,2.388,1,0
39056,0.208,-0.023,1.087,4.706,18.606,2.205,3,0
39103,0.077,-0.048,0.873,-9.145,12.822,-3.236,0,0
39151,0.143,-0.023,1.038,-7.275,9.672,2.597,2,0
39198,-0.242,-0.068,0.999,-23.029,-56.946,-8.521,5,5
39245,0.248,-0.052,0.813,-10.645,-6.357,-5.66,0,0
39292,0.168,-0.072,1.011,-7.435,21.945,-0.846,2,0
39337,0.284,-0.059,1.01,3.833,13.587,2.729,4,0
39385,0.157,-0.075,0.99,-2.642,-5.867,-0.532,0,0
39432,0.346,-0.072,1.087,2.189,11.051,2.392,4,0
39480,0.15,-0.056,1.0,-3.285,9.828,0.188,0,0
39527,0.129,-0.083,1.003,-2.009,0.993,-0.482,0,0
39574,0.089,-0.07,0.943,-4.379,-3.654,0.159,0,0
39621,-0.206,-0.066,0.725,-7.732,-4.62,-4.239,5,5
39669,0.116,-0.085,0.978,-0.704,1.387,0.864,0,0
39716,-0.002,-0.077,0.885,-1.226,-2.28,-1.089,0,0
39767,0.349,0.088,1.132,3.398,8.299,6.498,5,0
39815,0.139,-0.061,0.987,0.268,4.941,3.178,0,0
39862,0.214,-0.084,1.028,1.716,2.464,2.608,2,0
39909,0.155,-0.065,0.929,0.318,-0.627,0.202,0,0
39956,0.155,-0.067,0.967,-3.003,7.453,1.148,0,0
40004,0.371,-0.062,1.109,1.292,54.016,9.948,4,0
40057,0.304,0.039,1.101,5.673,32.931,-9.206,4,0
40103,0.425,-0.04,0.758,-13.85,115.878,-23.916,0,0
40150,0.192,-0.027,0.684,-25.023,230.313,-35.931,3,0
40197,-0.476,-0.121,0.871,-31.672,250.13,-27.443,0,0
40253,-0.827,-0.214,1.0,-1.957,134.71,20.3,3,0
40300,-1.162,-0.155,1.128,12.176,-76.638,7.969,0,0
40346,-1.077,-0.067,1.078,4.412,-153.351,21.481,4,0
40392,-0.814,-0.103,1.049,9.504,-250.137,45.84,1,0
40439,-0.015,-0.186,0.684,28.137,-250.137,47.916,1,0
40485,0.584,-0.016,0.541,29.58,-199.099,52.046,3,0
40532,0.607,-0.066,0.684,15.87,-91.443,43.252,1,0
40579,0.745,-0.112,0.686,10.16,-27.611,5.641,0,0
40625,1.06,0.026,0.358,3.641,155.878,-39.214,0,0
40674,0.261,0.024,0.491,-27.702,250.13,-31.519,0,0
40721,-0.673,-0.048,1.002,-20.435,250.13,-20.252,5,0
40767,-1.067,-0.068,1.346,8.641,73.565,-15.634,2,0
40813,-0.632,-0.011,1.042,3.153,-68.634,-19.649,0,0
40860,-0.254,-0.04,0.873,-4.238,-85.588,-3.189,0,0
40906,-0.251,-0.052,0.864,-2.117,-54.031,6.13,0,0
40952,-0.195,-0.016,0.897,-1.448,-46.374,2.196,0,0
40999,-0.236,-0.01,0.836,-5.495,-32.29,-3.746,0,0
41046,-0.3,-0.013,0.71,-15.414,-43.88,-4.019,0,0
41095,-0.071,-0.078,1.006,-3.569,16.487,-1.916,1,0
41141,-0.037,-0.016,1.032,-2.811,19.008,1.883,1,0
41188,-0.204,-0.072,1.029,-7.927,-8.362,-0.492,0,0
41291,-0.254,-0.057,0.907,-6.505,-0.924,-0.29,0,0
41337,-0.489,-0.042,0.773,-11.299,-3.939,-6.774,0,0
41384,0.25,-0.058,1.209,5.897,13.358,4.735,7,0
41431,-0.168,-0.062,0.951,-3.95,-0.065,-3.936,0,0
41477,0.076,-0.059,1.08,2.484,7.915,1.982,4,0
41524,-0.44,-0.076,0.789,-13.775,-4.882,-8.498,0,0
41590,-0.323,-0.056,0.849,-9.36,-0.966,-6.383,0,0
41637,-0.206,-0.077,0.919,-6.674,0.371,-3.624,0,0
41683,-0.149,-0.063,1.016,-4.119,2.504,-0.79,1,0
41731,0.116,-0.062,1.139,2.458,8.641,2.554,4,0
41777,-0.17,-0.064,1.089,-2.695,-0.332,-1.22,0,0
41824,-0.281,-0.055,1.188,2.417,-10.417,-7.092,0,0
41870,-0.572,-0.187,1.267,18.954,-107.168,-10.248,0,0
41917,-0.431,-0.131,1.017,25.031,-212.878,31.092,0,0
41964,0.192,-0.172,0.687,30.198,-250.137,39.863,0,0
42013,1.085,0.001,0.338,34.198,-128.886,9.298,0,0
42060,1.112,0.035,0.419,6.954,90.901,-6.632,0,0
42106,0.66,0.076,0.567,-14.267,242.649,-15.313,0,0
42153,-0.069,0.05,0.833,-26.374,250.13,-19.557,0,0
42200,-0.62,-0.108,1.172,-11.511,175.618,-34.45,0,0
42247,-0.903,-0.045,1.351,12.125,190.04,-37.069,3,0
42294,-0.767,-0.007,1.153,-6.779,-225.74,10.702,0,0
42340,0.617,-0.201,0.694,6.809,-250.137,43.595,4,0
42387,0.739,-0.008,0.599,25.275,-152.855,39.847,1,0
42455,1.101,0.042,0.515,0.331,18.451,2.709,1,0
42501,0.799,0.051,0.375,-41.55,250.13,-33.55,0,0
42548,-0.361,-0.135,0.738,-46.298,250.13,-23.817,0,0
42595,-1.134,-0.225,1.213,-6.756,211.206,10.727,1,0
42641,-1.55,-0.104,1.479,12.641,-113.618,-7.282,4,0
42688,-1.006,-0.147,0.925,7.527,-250.137,0.387,0,0
42735,0.04,-0.076,0.452,14.74,-250.137,19.0,3,0
42782,1.365,0.073,0.311,34.374,-209.115,11.924,0,0
42828,1.184,0.083,0.463,-4.049,97.496,-28.314,5,5
42878,0.333,-0.013,0.823,-22.107,216.817,-10.695,2,0
42926,-0.281,-0.094,1.212,-9.573,106.115,-9.45,1,0
42972,-0.173,-0.086,1.113,-14.198,-33.252,-11.359,0,0
43019,0.266,-0.042,1.02,-6.878,-55.878,2.98,3,0
43066,0.339,-0.151,0.837,-7.573,-12.567,0.418,0,0
43113,0.207,-0.05,0.931,-7.214,29.809,5.031,0,0
43159,0.605,0.193,1.0,15.082,82.039,12.107,7,0
43206,0.2,-0.117,0.941,-5.337,12.797,-6.785,0,0
43253,0.353,-0.066,1.107,-7.863,30.427,1.073,4,0
43300,-0.043,-0.213,1.012,-8.573,30.519,-3.777,0,0
43344,0.143,-0.024,1.04,1.984,16.028,0.563,2,0
43392,0.176,-0.075,1.013,0.317,1.963,-1.329,1,0
43439,0.111,-0.107,0.966,-3.856,6.772,-0.034,0,0
43485,-0.093,-0.078,1.005,-7.398,0.742,-0.712,0,0
43532,-0.111,-0.282,1.001,-8.707,-10.887,-2.122,0,0
43579,0.089,-0.085,0.921,-3.097,-1.363,-0.269,0,0
43625,0.159,-0.083,1.012,-3.388,10.066,1.012,1,0
43729,0.083,-0.135,0.953,-4.548,-3.825,-1.293,0,0
43777,0.237,-0.017,1.07,1.73,24.038,2.739,2,0
43843,0.113,-0.063,0.965,-4.698,8.781,-3.225,0,0
43891,0.349,-0.189,0.776,-16.266,50.351,-11.046,0,0
43937,0.24,-0.057,0.794,-13.198,115.336,-28.504,0,0
43984,-0.168,-0.073,0.965,-32.824,162.832,-34.504,2,0
44032,-1.119,-0.174,1.355,-18.603,7.623,-6.974,0,0
44079,-1.083,-0.272,1.19,-10.565,-250.137,20.863,0,0
44127,0.308,-0.337,0.417,25.809,-250.137,11.084,0,0
44174,1.431,-0.003,0.291,34.718,-101.595,25.71,0,0
44221,1.061,0.009,0.521,-12.344,171.13,10.823,2,0
44271,0.229,-0.156,0.832,-27.313,250.13,-23.817,0,0
44318,-0.471,-0.204,1.146,-12.397,181.298,-18.038,0,0
44365,-0.856,-0.21,1.297,-4.953,-24.305,-4.793,0,0
44412,-0.443,-0.234,1.032,-1.193,-192.824,33.496,1,0
44460,0.285,-0.308,0.759,21.733,-212.832,39.206,0,0
44507,1.083,-0.157,0.572,37.977,-87.656,11.885,1,0
44554,1.151,0.107,0.506,2.634,166.015,-27.786,0,0
44601,0.277,-0.12,0.549,-32.954,250.13,-38.038,5,5
44648,-0.737,-0.219,1.04,-17.099,250.13,-10.366,0,0
44717,-1.5,-0.259,1.419,8.855,198.309,16.412,3,0
44764,-0.53,-0.211,0.756,8.18,-250.137,8.58,4,0
44811,0.559,-0.195,0.423,14.389,-250.137,9.977,0,0
44858,1.178,0.034,0.48,9.405,-198.455,-8.992,0,0
44905,0.492,-0.054,0.737,-20.901,169.924,-12.099,5,0
44952,-0.092,-0.155,1.034,-24.985,163.916,-14.412,0,0
44999,-0.536,-0.228,1.271,5.681,23.972,2.334,2,0
45047,-0.04,-0.156,1.01,-1.203,-99.87,0.837,1,0
45094,0.448,-0.096,0.769,1.056,-42.366,5.896,1,0
45145,0.218,-0.086,1.012,-2.398,55.29,9.206,1,0
45192,-0.019,-0.144,1.076,-3.846,48.954,4.939,0,0
45239,-0.143,-0.156,1.038,-3.752,-21.001,-8.757,0,0
45286,0.086,-0.137,0.955,-2.649,0.989,-2.052,0,0
45333,-0.079,-0.19,0.802,-6.18,0.045,-2.782,0,0
45381,0.052,-0.168,1.013,-0.32,12.609,5.736,1,0
45428,0.094,-0.114,1.026,1.021,6.215,2.141,1,0
45475,0.053,-0.166,0.974,-2.116,3.045,-0.676,0,0
45522,-0.139,-0.152,0.769,-9.074,-7.432,-5.643,0,0
45590,-0.036,-0.154,0.897,-4.16,6.16,-3.371,0,0
45638,-0.132,-0.173,0.848,-6.49,-5.991,-5.31,0,0
45685,0.042,-0.151,1.014,-1.925,2.496,-0.358,1,0
45732,-0.053,-0.234,0.904,-4.892,-2.954,-4.036,0,0
45779,0.136,-0.18,1.075,1.257,7.742,1.458,3,0
45827,0.017,-0.128,0.999,-0.464,4.413,0.918,0,0
45875,0.06,-0.171,1.0,-1.202,4.705,0.31,1,0
45922,0.284,0.074,1.165,5.505,52.75,5.93,6,0
45969,0.113,-0.114,0.992,-2.379,36.309,0.387,1,0
46016,0.002,-0.168,0.795,-14.904,44.42,-6.527,0,0
46085,0.278,-0.167,0.818,6.038,100.763,-23.366,0,0
46132,-0.46,-0.155,0.834,-15.977,159.206,-33.779,0,0
46236,-1.091,-0.233,1.196,2.924,-247.031,17.595,1,0
46284,0.277,-0.189,0.546,27.595,-250.137,24.542,0,0
46331,0.955,-0.127,0.485,27.458,-113.504,29.969,0,0
46379,1.01,-0.013,0.512,-0.336,101.092,-10.084,1,0
46427,0.414,-0.106,0.592,-33.649,250.13,-25.641,0,0
46474,-0.625,-0.225,1.125,-20.962,216.962,-5.015,0,0
46541,-0.919,-0.254,1.279,-7.229,-62.941,-9.161,0,0
46590,-0.3,-0.219,1.224,13.803,-231.71,22.397,5,0
46637,0.45,-0.18,0.74,13.015,-207.908,19.824,0,0
46684,0.879,-0.119,0.738,10.244,-71.481,6.26,0,0
46730,0.877,-0.124,0.669,-8.466,105.282,-28.321,0,0
46776,0.279,-0.212,0.708,-15.504,243.519,-32.74,0,0
46822,-0.556,-0.206,1.016,-13.359,203.908,-7.481,2,0
46869,-0.953,-0.235,1.303,-0.497,-24.756,7.931,1,0
46915,-0.49,-0.192,0.967,-12.9,-209.313,18.802,0,0
46961,0.319,-0.224,0.708,6.443,-218.084,25.351,2,0
47010,0.936,-0.039,0.601,12.366,-60.031,9.282,2,0
47057,0.803,-0.039,0.647,-17.16,138.916,-12.267,3,0
47104,0.544,-0.126,1.145,-29.832,228.183,-12.908,4,0
47150,-0.532,-0.294,1.203,-13.145,125.771,-3.517,3,0
47197,-0.528,-0.237,1.205,-14.104,-38.626,-12.137,0,0
47243,0.275,-0.181,1.13,5.003,-87.191,1.548,5,0
47289,0.212,-0.217,0.897,0.485,-30.855,8.481,1,0
47336,0.173,-0.202,0.975,1.988,29.643,5.931,1,0
47382,0.104,-0.191,1.023,0.234,33.145,4.981,2,0
47431,0.028,-0.182,1.021,-0.046,23.329,-1.69,2,0
47478,-0.017,-0.173,0.916,-2.771,-1.949,-5.479,0,0
47524,-0.076,-0.202,0.86,-6.242,9.919,-3.478,0,0
47570,-0.17,-0.218,1.013,-1.862,6.367,0.946,0,0
47618,-0.061,-0.177,0.972,0.908,-4.278,0.602,0,0
47664,0.041,-0.163,1.018,-0.896,1.85,3.738,2,0
47710,0.019,-0.194,1.003,-1.589,-3.117,2.142,1,0
47757,0.014,-0.196,0.992,1.595,5.645,2.634,0,0
47803,0.069,-0.18,1.072,2.907,10.122,6.959,3,0
47869,-0.018,-0.171,1.0,1.043,2.725,3.397,0,0
47917,0.065,-0.17,0.995,1.769,7.273,4.922,1,0
47963,0.037,-0.182,0.992,-0.492,12.618,0.274,0,0
48009,-0.088,-0.27,0.83,-3.529,-4.821,-10.436,0,0
48056,-0.168,-0.152,1.028,-9.05,35.519,-6.206,0,0
48102,-0.367,-0.23,1.23,4.023,-25.412,-7.74,0,0
48149,-0.405,-0.158,1.151,12.008,-146.229,-9.779,0,0
48195,-0.145,-0.176,0.846,5.267,-221.603,9.336,0,0
48242,0.617,-0.226,0.598,11.786,-187.107,13.456,0,0
48284,1.244,-0.167,0.38,14.985,7.93,-21.84,111,0
48348,0.781,-0.023,0.376,-6.969,250.13,-19.649,0,0
48394,-0.599,-0.216,1.042,-16.031,250.13,6.74,0,0
48441,-1.084,-0.216,1.398,3.229,38.221,-3.652,0,0
48488,-0.718,-0.1,1.078,-0.392,-188.038,7.983,5,0
48534,0.069,-0.252,0.811,0.761,-246.221,35.0,3,0
48581,0.651,-0.177,0.683,22.275,-150.634,36.672,1,0
48685,0.736,0.021,0.698,-0.767,164.305,-13.916,2,0
48732,-0.195,-0.131,1.014,-12.557,216.84,-21.046,0,0
48778,-0.726,-0.208,1.258,-3.73,57.198,-13.366,0,0
48828,-0.614,-0.219,1.093,-8.841,-155.359,-19.982,0,0
48875,0.3,-0.188,0.784,1.113,-197.481,20.695,2,0
48922,0.727,-0.143,0.688,15.649,-78.45,9.336,0,0
48968,0.725,0.005,0.687,-1.346,85.763,-9.931,0,0
49015,0.214,-0.049,1.17,-26.282,172.656,-24.443,5,0
49061,-0.269,-0.219,1.107,-22.473,116.435,-24.344,2,0
49108,-0.597,-0.246,1.219,7.948,290.104,-15.481,7,0
49156,-0.26,-0.161,1.021,-9.327,-127.153,-9.85,0,0
49203,0.207,-0.181,0.891,6.153,-118.71,16.786,1,0
49269,0.523,-0.109,0.769,5.695,-30.591,9.969,0,0
49316,0.226,-0.074,1.027,-9.519,71.244,5.085,1,0
49363,-0.274,-0.167,1.065,-8.237,36.595,-7.076,0,0
49411,0.033,-0.162,1.007,-5.332,1.649,-10.313,0,0
49458,0.172,-0.204,1.057,2.406,18.282,5.915,3,0
49504,-0.118,-0.179,0.806,-5.49,-11.295,4.924,0,0
49551,-0.036,-0.249,0.889,-1.947,3.143,6.191,0,0
49598,-0.075,-0.262,0.848,-2.65,0.647,-3.291,0,0
49644,0.268,-0.153,1.203,3.099,29.281,11.605,7,0
49694,0.142,-0.062,1.06,0.778,8.704,4.809,2,0
49741,0.121,-0.156,0.998,-1.905,11.496,3.48,1,0
49787,0.061,-0.163,1.004,-2.379,13.035,2.791,1,0
49835,-0.059,-0.162,0.898,-4.221,-2.816,-0.374,0,0
49882,0.066,-0.132,1.007,-0.423,7.482,2.817,1,0
49929,0.078,-0.163,1.004,0.563,10.823,5.099,1,0
49975,-0.1,-0.29,0.846,-7.66,-7.74,-2.929,0,0
50022,0.152,-0.178,1.081,1.493,23.936,2.328,3,0
50069,0.215,-0.155,1.173,6.669,34.86,2.615,6,0
50116,0.057,-0.152,0.996,-1.999,15.596,-0.357,1,0
50166,0.067,-0.173,1.069,-2.626,14.776,1.904,2,0
50212,-0.05,-0.159,1.035,-5.688,-2.661,-2.415,0,0
50259,0.042,-0.156,1.002,-1.365,-0.035,-3.83,0,0
50307,0.207,-0.157,1.021,4.134,41.98,-6.29,3,0
50354,-0.254,-0.214,1.036,-4.715,44.687,-11.924,0,0
50401,-0.345,-0.17,1.074,5.489,31.687,19.792,6,0
50448,-0.722,-0.2,1.242,10.71,-92.863,41.885,1,0
50495,-0.356,-0.313,1.07,28.42,-250.137,46.023,4,0
50542,0.744,-0.07,0.441,41.466,-246.809,24.359,0,0
50610,1.41,0.002,0.272,13.832,-24.266,-12.595,0,0
50657,0.455,-0.041,0.57,-28.382,250.13,-19.786,4,0
50704,-0.488,-0.155,1.078,-18.435,250.13,-10.092,2,0
50751,-0.894,-0.203,1.309,-4.946,60.893,-13.626,0,0
50798,-0.678,-0.162,1.08,-10.275,-153.824,-8.71,0,0
50846,0.246,-0.232,0.922,-12.687,-224.435,18.443,2,0
50893,0.764,-0.379,0.683,18.336,-126.313,-22.245,0,0
50940,0.958,0.025,0.57,1.994,81.992,-37.145,1,0
50988,0.363,0.109,0.776,-31.229,225.305,-48.908,6,0
51038,-0.435,-0.245,1.279,-21.282,234.962,-31.359,5,0
51142,-1.091,-0.257,1.213,4.702,-250.137,21.939,0,0
51189,0.612,-0.165,0.357,25.809,-250.137,15.473,0,0
51236,1.183,0.037,0.513,15.687,-46.053,12.824,0,0
51284,0.777,-0.066,0.636,-13.794,163.519,-24.305,2,0
51332,-0.073,-0.118,0.87,-18.115,214.046,-16.763,0,0
51379,-0.575,-0.199,1.279,-8.809,55.55,5.061,0,0
51426,-0.221,-0.166,1.062,-0.199,-98.122,-1.426,1,0
51473,0.371,-0.174,0.784,-3.547,-79.168,5.458,0,0
51542,0.415,-0.037,0.938,-3.649,33.344,11.756,2,0
51589,-0.214,-0.169,1.109,-7.824,30.763,1.805,0,0
51636,0.17,-0.059,1.017,1.922,11.168,-6.191,1,0
51683,0.026,-0.228,0.892,-7.168,1.49,-1.492,0,0
51730,0.197,-0.175,1.005,1.996,20.333,7.996,3,0
51777,0.039,-0.166,1.002,-1.084,-8.582,2.478,0,0
51824,0.213,-0.071,0.987,1.242,7.961,3.389,2,0
51872,0.231,-0.025,1.091,-2.032,24.305,2.091,3,0
51919,0.085,-0.164,1.03,-2.313,4.859,0.489,1,0
51970,0.052,-0.195,0.924,-3.636,-4.794,-0.019,0,0
52017,0.056,-0.189,0.945,-2.402,2.862,0.532,0,0
52064,-0.118,-0.311,0.828,-5.133,-10.405,-4.696,0,0
52111,0.105,-0.167,0.999,2.994,0.357,5.046,1,0
52159,0.007,-0.189,1.008,1.183,-25.388,1.955,0,0
52206,0.198,0.007,1.069,4.421,24.177,12.879,3,0
52253,0.241,-0.207,0.902,-1.863,-33.431,-7.748,0,0
52300,0.457,-0.16,0.83,7.298,70.45,-15.87,0,0
52347,0.342,-0.057,0.726,-4.343,195.374,-26.458,0,0
52396,-0.361,0.009,0.83,-18.397,247.733,-22.817,3,0
52447,-1.107,-0.239,1.197,0.711,62.87,10.841,2,0
52494,-1.084,-0.165,1.156,1.425,-176.824,4.926,2,0
52541,-0.504,-0.174,0.76,-7.488,-250.137,12.656,0,0
52589,0.535,-0.192,0.464,5.053,-250.137,21.168,1,0
52636,1.181,-0.152,0.523,9.771,-25.489,-2.939,0,0
52684,0.782,-0.052,0.64,-7.626,218.023,-31.344,0,0
52737,-0.195,-0.077,0.837,-28.565,250.13,-19.153,0,0
52784,-1.068,-0.301,1.317,-12.42,142.237,9.183,4,0
52830,-1.187,-0.21,1.371,1.63,-182.137,8.756,2,0
52879,-0.172,-0.243,0.678,2.916,-250.137,18.58,2,0
52925,0.95,-0.209,0.424,20.412,-178.443,9.023,0,0
52972,1.129,-0.019,0.533,11.382,110.969,-7.099,2,0
53018,0.232,-0.057,0.733,-8.427,250.13,-17.649,0,0
53064,-0.622,-0.162,1.11,-8.031,218.725,2.575,0,0
53110,-0.971,-0.23,1.322,2.786,-109.246,-3.23,0,0
53157,-0.747,-0.17,1.078,9.145,-250.137,13.802,0,0
