Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39315,-0.62,0.059,1.102,6.412,-51.29,-22.29,0,1
39362,0.044,-0.062,1.003,-11.496,-120.527,31.802,0,2
39408,0.303,-0.203,0.744,-5.019,-97.489,32.977,0,0
39454,0.474,-0.033,0.826,6.519,-16.551,-5.724,0,0
39500,-0.01,0.077,0.87,-1.617,68.351,-1.697,0,0
39547,-0.105,-0.02,1.112,-4.603,24.13,0.824,0,1
39593,-0.034,-0.004,1.023,-0.932,-23.731,-3.894,0,0
39640,0.117,-0.002,0.921,-2.082,1.258,0.235,0,0
39689,0.008,-0.04,1.036,-1.148,12.87,3.847,0,1
39735,-0.04,-0.001,1.027,4.26,-13.451,4.389,0,0
39781,0.084,0.019,0.942,2.295,-3.337,0.564,0,0
39828,0.018,0.031,1.028,1.482,13.485,0.883,0,0
39874,0.055,0.007,1.001,3.36,3.373,0.774,0,1
39920,0.043,-0.005,0.987,-1.351,0.025,-0.933,0,0
39966,0.037,-0.013,0.947,-2.681,-1.789,-2.188,0,0
40013,0.042,0.018,0.986,-3.316,6.446,-4.124,0,0
40059,0.074,0.032,0.952,-8.387,1.993,-15.692,0,0
40109,0.143,0.1,1.017,-9.763,26.221,-18.344,0,0
40155,-0.174,0.069,1.156,-16.13,26.351,-34.58,0,0
40202,-0.65,0.006,1.284,-23.023,-93.847,-17.038,0,0
40248,-0.322,-0.117,1.054,-26.359,-249.008,20.305,0,0
40295,0.444,-0.194,0.645,4.169,-219.405,26.588,0,2
40341,0.867,-0.202,0.626,16.015,-109.641,18.458,0,2
40388,1.188,-0.114,0.443,13.26,80.542,-27.443,0,0
40434,0.603,-0.04,0.465,-2.125,250.13,-42.29,0,0
40481,-0.302,-0.104,0.95,-4.832,250.13,-36.328,0,0
40548,-0.633,-0.027,1.12,-2.945,108.679,-32.847,0,0
40595,-0.533,-0.071,1.121,-30.305,-138.168,18.748,0,0
40641,-0.027,-0.212,0.788,-0.031,-180.603,30.634,0,0
40688,0.758,-0.129,0.751,14.885,-80.855,21.382,0,0
40734,0.729,-0.013,0.778,8.489,87.107,-9.779,0,2
40781,-0.028,0.019,1.066,-8.061,133.275,-12.573,0,0
40827,-0.402,-0.126,1.285,-0.418,-37.563,-8.67,0,0
40875,0.118,-0.035,0.944,2.623,-66.008,-4.966,0,0
40921,0.293,-0.119,0.836,-1.658,-3.303,-0.049,0,0
40971,0.051,-0.038,1.05,4.115,30.954,7.038,0,1
41017,0.067,-0.031,1.01,7.13,-4.102,1.609,0,0
41064,0.03,-0.019,0.852,-4.509,-15.987,-8.409,0,0
41110,0.09,-0.028,0.993,-1.688,16.666,-3.881,0,0
41157,-0.002,-0.06,1.023,-1.573,3.715,-3.519,0,0
41203,0.036,-0.045,0.995,-1.327,-6.364,0.267,0,0
41250,0.147,-0.051,1.031,1.296,5.864,2.367,0,2
41296,0.115,-0.02,1.007,-0.674,14.534,0.447,0,1
41344,0.04,-0.047,1.009,-3.925,6.264,-2.181,0,0
41390,0.151,-0.061,0.999,1.029,10.629,-4.355,0,1
41440,0.175,-0.018,1.048,-0.41,36.838,-11.84,0,1
41487,-0.127,-0.011,1.114,-7.351,-12.203,-12.397,0,0
41533,-0.349,-0.024,1.229,4.866,-63.527,-9.656,0,1
41580,-0.303,-0.138,1.105,11.176,-156.534,13.672,0,0
41627,-0.071,0.015,0.882,15.893,-222.962,55.573,0,0
41731,1.35,-0.021,0.418,10.435,-2.945,1.333,0,1
41778,0.796,-0.031,0.571,-13.481,237.183,-41.115,0,0
41825,0.062,-0.054,0.908,-14.206,250.13,-44.023,0,0
41871,-0.278,-0.051,1.031,-8.359,196.542,-37.733,0,1
41938,-0.77,-0.046,1.306,3.84,44.594,-29.336,0,1
41986,-0.347,-0.121,0.996,-5.595,-164.87,32.611,0,0
42033,0.002,-0.201,0.909,15.023,-185.168,53.847,0,0
42080,0.756,-0.095,0.788,31.252,-146.489,37.267,0,0
42127,1.062,0.064,0.665,19.969,-82.263,-17.794,0,0
42173,0.637,0.025,0.687,-5.324,172.191,-47.931,0,0
42220,-0.193,-0.033,0.924,-5.298,197.954,-40.626,0,0
42267,-0.807,-0.013,1.234,2.709,32.504,-11.099,0,1
42314,-0.465,-0.046,1.028,-14.672,-176.656,32.427,0,1
42364,0.527,-0.143,0.681,5.863,-175.397,32.45,0,0
42412,0.983,0.014,0.585,9.122,82.983,5.97,0,1
42459,0.363,0.043,0.851,-13.344,150.634,-16.435,0,1
