Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36023,0.005,-0.024,1.002,1.626,1.108,1.375,0,0
36069,0.013,-0.026,0.991,2.991,-2.967,0.218,0,0
36115,0.023,-0.026,0.995,2.743,1.059,2.246,0,0
36162,0.006,-0.015,1.007,4.206,-1.167,0.202,0,0
36208,0.012,-0.025,0.988,1.223,-0.954,0.783,0,0
36254,0.012,-0.012,1.012,3.602,0.668,0.523,0,0
36300,-0.008,-0.027,1.0,3.749,1.299,1.163,0,0
36346,-0.015,-0.015,0.993,1.849,-2.559,2.29,0,0
36396,0.027,-0.002,0.982,1.662,-2.746,0.862,0,0
36443,0.0,-0.032,1.001,1.98,-0.386,0.49,0,0
36489,0.018,-0.011,0.997,3.745,0.667,2.109,0,0
36535,0.001,-0.012,1.008,2.611,-3.158,0.468,0,0
36581,0.012,-0.01,0.993,2.398,-2.075,1.046,0,0
36627,-0.03,-0.002,1.017,1.383,-14.046,0.322,0,0
36674,-0.154,0.021,1.134,0.612,-44.626,5.41,0,0
36720,-0.059,-0.058,1.103,2.848,-114.29,3.289,0,0
36766,0.217,0.081,0.985,4.583,-148.023,5.735,0,0
36816,0.828,-0.086,0.641,0.816,-42.198,-12.137,0,0
36884,0.691,0.009,0.58,-10.55,171.931,-18.847,0,0
36931,-0.397,-0.05,1.028,-3.954,227.817,4.367,0,0
36977,-0.782,-0.172,1.299,12.565,50.634,-4.73,0,0
37023,-0.343,0.03,1.032,16.763,-106.481,-13.328,0,0
37069,0.105,-0.002,0.821,5.092,-87.366,-0.953,0,0
37116,0.206,-0.022,0.891,-2.855,-8.041,7.931,0,0
37163,0.037,-0.013,1.005,2.751,11.155,5.774,0,0
37209,-0.022,-0.015,1.023,3.317,-5.415,2.111,0,0
37255,0.086,0.006,0.973,-0.399,1.949,0.712,0,0
37304,0.029,-0.023,1.033,4.39,12.447,2.175,0,0
37350,-0.05,-0.054,1.031,4.112,-4.492,2.87,0,0
37397,0.044,-0.006,0.98,4.321,-6.794,5.417,0,0
37443,0.026,-0.024,0.978,2.049,1.768,2.659,0,0
37489,-0.001,-0.021,1.025,3.45,5.299,2.837,0,0
37535,0.008,-0.026,0.991,3.282,-3.444,1.929,0,0
37581,0.022,-0.025,0.986,2.849,0.83,2.088,0,0
37628,0.052,-0.021,0.972,3.541,4.733,0.302,0,0
37675,-0.005,-0.019,1.009,3.055,13.251,1.838,0,0
37724,0.023,0.003,0.999,2.312,8.056,-0.666,0,0
37770,-0.007,0.015,1.064,-5.618,32.211,-1.231,0,0
37817,-0.313,-0.048,1.185,-6.214,-48.069,1.063,0,0
37863,-0.42,-0.078,1.191,2.761,-172.58,-2.795,0,0
37909,0.265,-0.017,0.752,6.317,-200.13,15.298,0,0
37956,0.464,-0.011,0.798,6.286,-131.344,27.489,0,0
38002,0.719,-0.163,0.683,1.218,-84.015,15.779,0,0
38049,1.047,-0.081,0.547,8.588,54.656,1.153,0,0
38095,0.829,-0.005,0.403,-7.244,250.13,-6.87,0,0
38141,-0.293,-0.071,0.999,-14.29,250.13,-0.361,0,0
38209,-0.642,-0.129,1.328,3.634,62.588,-13.595,0,0
38255,-0.005,-0.004,0.934,5.477,-119.214,-23.977,0,0
38302,0.324,-0.072,0.818,-1.751,-31.511,1.197,0,0
38348,0.12,-0.082,0.987,-2.763,37.183,7.205,0,0
38452,0.003,-0.034,1.021,4.108,-8.682,0.85,0,0
38499,0.047,-0.06,0.996,0.24,6.173,0.08,0,0
38545,0.034,-0.06,0.956,-0.394,13.839,-0.367,0,0
38591,-0.04,-0.094,1.001,2.091,18.8,2.055,0,0
38638,-0.056,-0.072,1.021,4.643,12.526,1.66,0,0
38687,-0.025,-0.064,1.006,4.852,-8.138,-1.564,0,0
38734,-0.003,-0.061,1.004,3.081,-5.5,2.398,0,0
38780,0.027,-0.06,0.97,1.05,-5.496,0.008,0,0
38828,-0.018,-0.092,1.012,3.921,-5.771,0.639,0,0
38874,0.046,-0.057,0.972,2.883,-6.775,-0.54,0,0
38921,-0.003,-0.071,1.009,4.078,0.862,1.384,0,0
38967,0.006,-0.08,0.995,3.42,-6.964,0.191,0,0
39014,-0.032,-0.066,1.021,7.29,-21.618,1.217,0,0
39060,0.119,-0.042,0.935,5.272,-1.881,3.294,0,0
39107,-0.0,-0.065,0.996,1.791,3.296,2.799,0,0
39156,0.011,-0.066,0.996,5.135,-0.573,2.728,0,0
39203,0.006,-0.051,0.982,4.197,-3.173,4.704,0,0
39249,0.046,-0.062,0.956,2.528,-10.084,2.264,0,0
39297,0.256,-0.05,0.954,7.244,28.937,1.561,0,0
39343,0.774,-0.128,0.687,22.557,161.779,-28.969,0,0
39390,-0.035,0.037,0.65,22.267,250.13,-47.962,0,0
39437,-1.0,-0.064,0.947,8.489,250.13,-43.618,0,0
39484,-1.369,-0.172,1.047,13.603,27.092,-25.496,0,0
39530,-1.035,-0.061,0.743,7.428,-146.435,-14.16,0,0
39598,-0.818,-0.073,0.798,-4.679,-211.718,26.634,0,0
39645,-0.389,-0.029,0.752,28.458,-250.137,26.969,0,0
39692,0.469,-0.018,0.511,25.947,-250.137,49.183,0,0
39739,0.763,0.072,0.643,4.773,-89.847,29.618,0,0
39785,0.52,-0.043,0.824,-3.252,-14.374,23.076,0,0
39832,0.338,-0.066,0.96,3.654,6.985,4.056,0,0
39879,0.379,-0.022,0.939,5.807,26.693,6.073,0,0
39925,0.304,0.015,0.974,4.316,48.351,3.953,0,0
39972,0.222,-0.059,0.987,6.71,41.275,-1.453,0,0
40023,0.158,-0.025,1.04,7.851,34.454,0.534,0,0
40070,0.143,-0.018,1.0,7.018,9.331,2.213,0,0
40116,0.202,0.011,0.945,3.603,15.704,1.384,0,0
40163,0.17,-0.007,0.98,0.022,24.793,2.753,0,0
40210,0.112,-0.016,1.01,1.054,4.387,2.507,0,0
40256,0.117,-0.021,1.018,2.049,-0.974,2.013,0,0
40303,0.201,-0.005,0.961,1.51,3.419,0.081,0,0
40350,0.159,-0.019,1.014,0.322,32.612,2.155,0,0
40397,0.169,0.015,0.984,-0.438,26.038,-0.933,0,0
40444,0.056,-0.015,0.985,-2.038,34.435,-2.514,5,5
40495,-0.081,-0.008,1.111,-8.595,29.977,-2.491,0,0
40541,-0.404,0.028,1.323,0.276,-63.336,-3.052,0,0
40588,-0.333,-0.02,1.213,-3.321,-229.473,19.527,0,0
40635,0.157,-0.209,0.789,18.42,-250.137,33.679,0,0
40679,0.788,-0.07,0.433,25.328,-223.87,38.275,133,0
40735,1.084,-0.071,0.389,15.542,-90.237,17.29,131,0
40779,1.153,-0.069,0.375,11.328,109.565,-9.427,141,0
40884,-0.098,0.02,0.909,-5.328,250.13,-6.344,0,0
40931,-0.005,-0.015,1.019,-9.824,87.344,-22.924,0,0
40998,-0.015,-0.077,1.046,-9.115,-1.454,-24.076,0,0
41046,0.138,-0.113,0.997,-11.71,-13.56,-8.489,0,0
41093,0.167,-0.086,1.042,-4.267,3.836,-1.247,0,0
41140,0.114,-0.105,0.998,1.565,27.756,-4.628,5,5
41187,0.058,-0.101,1.03,5.205,23.762,2.658,0,0
41234,0.039,-0.094,1.034,5.55,7.599,2.899,0,0
41281,0.102,-0.038,0.983,7.221,-6.37,1.987,0,0
41328,0.121,-0.043,0.999,7.374,5.928,6.097,0,0
41375,0.063,-0.06,0.996,5.414,-1.006,4.407,0,0
41425,0.082,-0.038,0.981,4.424,-1.22,2.473,0,0
41473,0.093,-0.075,0.945,1.184,-4.653,0.591,0,0
41520,0.101,-0.061,0.997,2.055,6.515,0.805,0,0
41567,0.111,-0.043,0.985,2.727,7.496,-0.716,0,0
41614,0.034,-0.064,1.029,2.951,9.25,0.994,0,0
41661,0.084,-0.041,0.99,2.862,-5.15,-0.265,0,0
41708,0.093,-0.068,1.001,1.784,2.185,3.856,0,0
41755,0.083,-0.043,0.997,2.313,-2.829,2.035,0,0
41802,0.075,-0.056,1.0,2.034,-2.275,3.389,0,0
41849,0.084,-0.078,0.98,2.484,-5.802,1.698,0,0
41900,0.014,-0.071,1.019,6.093,-8.482,4.563,0,0
41947,0.14,-0.077,1.003,11.183,-40.427,3.777,0,0
41994,0.445,-0.033,0.864,10.672,34.651,-1.838,0,0
42041,0.662,-0.032,0.649,-1.265,170.565,-12.969,0,0
42089,0.02,-0.026,0.609,-3.29,250.13,-20.84,0,0
42136,-0.894,-0.093,0.985,-2.412,250.13,-21.015,0,0
42183,-1.242,-0.147,1.062,4.115,67.58,-11.466,0,0
42231,-1.311,-0.062,1.099,-4.336,-192.496,-3.201,0,0
42278,-0.666,-0.212,0.733,12.466,-250.137,15.519,0,0
42346,0.352,-0.015,0.587,31.107,-227.718,11.595,0,0
42394,0.547,0.049,0.717,-1.102,35.87,9.351,0,0
42441,0.12,-0.072,0.913,-16.198,99.565,-4.257,0,0
42488,-0.328,-0.07,1.111,-13.443,76.527,2.477,0,0
42536,-0.509,-0.198,1.207,-7.382,-64.29,8.824,0,0
42584,-0.043,-0.095,1.039,8.649,-148.473,12.565,0,0
42631,0.705,-0.098,0.676,20.168,-37.153,-8.962,0,0
42679,0.515,0.057,0.628,-4.26,181.412,-13.282,0,0
42726,-0.547,-0.063,1.079,-18.0,202.198,11.349,0,0
42777,-1.089,-0.206,1.429,-1.026,-87.702,14.237,0,0
42824,-0.05,-0.135,0.806,12.527,-219.908,-8.519,0,0
42871,0.773,0.019,0.547,13.901,-43.061,-8.099,0,0
42919,0.082,-0.046,0.933,-8.855,122.718,4.26,0,0
42967,-0.373,-0.12,1.22,-6.863,33.496,6.477,0,0
43015,-0.133,-0.062,1.069,7.535,-60.336,-9.87,0,0
43068,0.211,-0.057,0.853,1.33,2.355,-2.827,0,0
43114,-0.037,-0.107,1.008,0.455,38.031,7.81,0,0
43161,-0.123,-0.096,1.063,5.749,13.378,4.668,0,0
43207,-0.047,-0.082,0.973,4.922,-17.919,0.314,0,0
43256,0.022,-0.055,0.958,0.283,4.383,2.381,0,0
43359,-0.111,-0.109,1.035,2.173,16.719,1.489,0,0
43406,-0.037,-0.074,0.989,4.743,-10.934,3.026,0,0
43452,0.02,-0.076,0.936,2.296,5.419,0.123,0,0
43498,-0.105,-0.114,0.998,-0.445,8.404,1.007,0,0
43544,-0.106,-0.079,1.012,3.942,-11.636,1.556,0,0
43590,0.005,-0.079,0.963,1.942,-7.337,0.181,0,0
43637,-0.022,-0.083,0.986,2.263,5.889,1.326,0,0
43683,-0.06,-0.092,1.002,2.388,4.675,-0.507,0,0
43732,-0.066,-0.088,1.009,3.916,-7.52,1.295,0,0
43779,-0.011,-0.082,0.943,4.038,-4.855,-1.057,0,0
43825,-0.066,-0.111,0.973,0.739,3.877,0.679,0,0
43872,-0.041,-0.065,0.99,4.368,3.15,0.853,0,0
43918,-0.048,-0.065,0.976,1.114,4.734,-0.308,0,0
43964,-0.179,-0.01,1.093,-2.08,-11.727,-0.978,0,0
44011,-0.487,-0.016,1.256,-11.153,-71.924,3.742,0,0
44057,-0.748,-0.259,1.266,-7.634,-250.137,18.298,0,0
44103,0.539,-0.346,0.403,38.458,-250.137,9.794,0,0
44153,1.364,0.074,0.311,23.542,-32.16,2.263,0,0
44199,0.972,-0.02,0.389,-10.969,217.702,-15.267,0,0
44247,0.011,-0.07,0.841,-22.954,250.13,-10.176,0,0
44293,-0.485,-0.14,1.145,-15.489,138.649,-1.062,0,0
44340,-0.619,-0.18,1.257,-7.71,-84.55,5.007,0,0
44386,0.155,-0.223,0.929,9.663,-177.824,7.771,0,0
44433,0.841,-0.114,0.659,21.344,-63.664,3.802,0,0
44479,0.622,0.044,0.742,-5.314,138.977,-7.197,0,0
44525,-0.169,-0.136,1.089,-14.458,158.122,2.684,0,0
44572,-0.604,-0.211,1.347,7.115,7.499,4.73,0,0
44616,-0.096,-0.127,1.016,18.473,-148.13,-11.443,0,0
44663,0.637,-0.03,0.653,17.076,-49.809,-4.709,0,0
44709,0.305,-0.052,0.867,-2.916,95.664,8.817,0,0
44756,-0.154,-0.11,1.08,-2.992,87.771,2.03,5,5
44803,-0.182,-0.139,1.1,5.632,-17.321,-8.359,0,0
44850,0.069,-0.055,0.902,1.453,-24.359,-7.692,0,0
44896,0.123,-0.095,0.907,-4.153,13.647,2.497,0,0
44943,0.025,-0.129,1.016,-4.374,23.078,0.879,0,0
44989,-0.028,-0.098,1.024,1.319,-2.265,-5.468,0,0
45057,0.066,-0.1,0.948,-2.567,1.276,-4.276,0,0
45103,0.011,-0.104,1.046,1.012,11.555,0.525,0,0
45150,-0.045,-0.101,1.041,3.218,0.379,1.689,0,0
45196,0.048,-0.101,0.995,4.766,-2.764,2.258,0,0
45243,0.015,-0.097,0.96,1.695,6.744,2.307,0,0
45290,-0.022,-0.127,1.004,1.62,6.429,3.02,0,0
45336,-0.009,-0.118,0.998,2.873,-4.919,2.331,0,0
45383,0.01,-0.105,0.981,1.21,-0.491,1.502,0,0
