Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36023,0.175,-0.024,1.182,9.505,5.738,5.937,5,5
36069,0.001,-0.026,0.98,3.362,-2.813,0.314,0,0
36115,0.03,-0.026,1.002,2.81,1.115,2.301,0,0
36162,-0.027,-0.015,0.971,2.012,-2.187,-0.594,0,0
36208,0.141,-0.025,1.121,6.922,1.585,3.234,4,4
36254,0.042,-0.012,1.043,4.667,1.207,1.04,1,1
36300,0.078,-0.027,1.088,7.215,3.191,3.067,3,3
36346,0.001,-0.015,1.01,3.61,-1.8,3.099,0,0
36396,-0.082,-0.002,0.872,-2.448,-4.792,-1.625,0,0
36443,-0.262,-0.032,0.731,-8.669,-6.784,-5.822,5,5
36489,0.012,-0.011,0.99,3.484,0.516,1.976,0,0
36535,-0.138,-0.012,0.863,-2.505,-9.119,-2.088,0,0
36581,0.072,-0.01,1.053,4.217,5.687,2.633,2,2
36627,0.021,-0.002,1.076,3.006,0.716,2.066,1,1
36674,-0.205,0.021,1.134,-1.498,-44.626,2.645,0,0
36720,-0.063,-0.058,1.103,2.833,-114.29,3.343,0,0
36766,0.217,0.081,0.971,4.196,-148.023,4.891,0,0
36816,0.828,-0.099,0.641,0.224,-42.198,-12.137,0,0
36884,0.691,0.009,0.58,-10.55,171.931,-18.847,3,3
36931,-0.397,-0.05,1.019,-3.954,227.817,3.759,0,0
36977,-0.782,-0.172,1.299,12.565,50.634,-0.911,4,4
37023,-0.343,0.03,1.028,16.763,-106.481,-13.328,0,0
37069,0.077,-0.002,0.821,4.625,-87.366,-4.985,0,0
37116,0.206,-0.022,0.904,-2.855,-5.601,7.931,1,1
37163,-0.064,-0.013,0.909,0.552,-14.175,1.122,0,0
37209,0.068,-0.015,1.105,5.644,3.564,5.775,2,2
37255,-0.104,0.006,0.789,-6.664,-12.542,-5.445,0,0
37304,-0.223,-0.023,0.796,-6.102,-6.07,-6.778,0,0
37350,-0.064,-0.054,1.018,3.711,-5.13,2.488,0,0
37397,0.219,-0.006,1.155,12.304,5.298,12.556,5,5
37443,0.105,-0.024,1.056,7.157,7.365,7.294,2,2
37489,-0.178,-0.021,0.848,-5.526,-3.824,-5.449,0,0
37535,0.043,-0.026,1.026,5.789,-1.114,3.681,1,1
37581,-0.028,-0.025,0.936,0.772,-2.127,0.777,0,0
37628,0.137,-0.021,1.057,6.758,9.613,2.286,3,3
37675,-0.032,-0.019,0.983,1.562,10.214,1.064,0,0
37724,-0.05,0.003,0.934,-1.13,-4.384,-2.164,0,0
37770,-0.324,0.015,0.808,-5.618,-53.13,-6.024,0,0
37817,-0.313,-0.048,1.185,-6.214,-48.069,-2.584,0,0
37863,-0.42,-0.078,1.191,0.587,-172.58,-3.961,0,0
37909,0.265,-0.017,0.752,4.026,-200.13,15.298,0,0
37956,0.464,-0.011,0.798,-1.092,-131.344,27.489,0,0
38002,0.719,-0.163,0.683,-3.397,-84.015,15.779,0,0
38049,1.047,-0.029,0.547,8.588,54.656,3.098,2,2
38095,0.829,-0.005,0.403,-7.244,250.13,-6.87,3,3
38141,-0.293,-0.071,0.979,-14.29,250.13,-4.736,0,0
38209,-0.642,-0.131,1.328,3.457,62.588,-13.595,0,0
38255,-0.041,-0.004,0.91,0.928,-119.214,-23.977,0,0
38302,0.324,-0.072,0.818,-6.339,-31.511,-0.39,0,0
38348,0.078,-0.102,0.951,-2.763,37.183,5.572,0,0
38452,0.048,-0.034,1.058,5.587,3.4,1.74,1,1
38499,-0.063,-0.06,0.894,-2.958,-14.425,-2.628,0,0
38545,0.032,-0.06,0.953,0.619,19.134,0.044,0,0
38591,-0.044,-0.098,0.996,2.462,21.05,2.214,0,0
38638,-0.028,-0.072,1.048,5.344,15.361,2.119,1,1
38687,-0.039,-0.064,0.994,4.077,-10.87,-2.001,0,0
38734,0.052,-0.061,1.057,4.521,-2.451,3.147,2,2
38780,0.072,-0.06,1.011,3.056,-1.146,0.847,1,1
